time; hr
136948152795136; 0.000000
136958512726016; 97.000000
136960400162816; 98.000000
136962405040128; 99.000000
136964510580736; 100.000000
136966406406144; 95.000000
136966406406144; 95.000000
136968411283456; 92.000000
136968419672064; 92.000000
136970416160768; 88.000000
136970424549376; 88.000000
136972412649472; 92.000000
136972412649472; 92.000000
136974409138176; 95.000000
136974417526784; 95.000000
136976405626880; 97.000000
136976405626880; 97.000000
136978410504192; 98.000000
136980423770112; 99.000000
136982420258816; 98.000000
136988426502144; 97.000000
136990431379456; 97.000000
136994432745472; 97.000000
136996446011392; 97.000000
136998459277312; 97.000000
