time; x; y; z
160431079424; 1.433301; 1.651048; 9.602397
160436797440; 1.339981; 1.622334; 9.592826
160438976512; 1.339981; 1.622334; 9.592826
160446808064; 1.361516; 1.610370; 9.592826
160449085440; 1.361516; 1.610370; 9.592826
160526286848; 1.438086; 1.684547; 9.667004
160536690688; 1.397408; 1.686940; 9.602397
160554270720; 1.462015; 1.689333; 9.693324
160571965440; 1.450050; 1.665405; 9.619147
160611368960; 1.476372; 1.495514; 9.559326
160669204480; 1.421337; 1.631905; 9.650253
160700153856; 1.433301; 1.495514; 9.482756
160728416256; 1.385444; 1.586441; 9.580862
160758120448; 1.395016; 1.780260; 9.638289
160788299776; 1.452443; 1.698904; 9.698111
160803717120; 1.440479; 1.617548; 9.635897
160823345152; 1.485943; 1.485943; 9.652647
160842186752; 1.540978; 1.514657; 9.650253
160861175808; 1.517050; 1.708475; 9.602397
160878837760; 1.478764; 1.744368; 9.463614
160898056192; 1.418944; 1.799403; 9.422935
160921206784; 1.483550; 1.607977; 9.571291
160956628992; 1.634298; 1.186840; 9.588040
160989184000; 1.641476; 1.024128; 9.710074
161012727808; 1.816152; 1.021735; 9.750752
161027489792; 1.816152; 1.021735; 9.750752
161057308672; 1.840081; 0.926022; 9.710074
161099120640; 1.734796; 0.935594; 9.511470
161111359488; 1.691726; 1.347159; 9.552148
161124302848; 2.060220; 0.827917; 9.576077
161130594304; 2.060220; 0.827917; 9.576077
161146896384; 2.024328; 1.088734; 9.470792
161152253952; 2.024328; 1.088734; 9.470792
161157578752; 2.017149; 1.308874; 9.477970
161175076864; 2.660819; 1.170090; 9.432507
161185562624; 2.103291; 0.332602; 9.509077
161206894592; 1.610370; 0.437887; 9.590433
161231454208; 1.940579; 0.646062; 9.071191
161250410496; 2.215754; 0.241675; 9.032906
161277493248; 2.632105; -0.023928; 8.724232
161295007744; 2.627319; 0.143569; 8.743374
161308229632; 2.701497; -0.031107; 8.537591
161313308672; 2.701497; -0.031107; 8.537591
161333035008; 3.065206; -0.169890; 8.231310
161339654144; 3.055634; -0.488136; 7.989635
161350172672; 3.156133; -0.880559; 7.786245
161364049920; 2.914458; -1.643869; 7.666604
161369128960; 2.914458; -1.643869; 7.666604
161375043584; 2.852245; -2.100898; 7.367501
161397620736; 2.919244; -2.924029; 6.721439
161407844352; 3.069991; -3.175276; 6.228518
161427341312; 3.297310; -3.287738; 5.079962
161446674432; 3.510271; -3.605984; 4.271188
161470578688; 3.349952; -5.613562; 4.455436
161481261056; 3.330809; -6.391229; 4.376472
161504755712; 3.491128; -7.391429; 2.608177
161516781568; 3.546163; -7.779067; 1.478764
161538949120; 3.314059; -9.489935; -0.902094
161544372224; 3.314059; -9.489935; -0.902094
161578418176; 3.048456; -10.892129; -1.725225
161603043328; 3.641876; -10.191031; -2.129612
161636433920; 3.979264; -10.478170; -0.875773
161655242752; 4.768896; -10.360922; -0.488136
161714454528; 4.118048; -8.970692; -3.364309
161774927872; 4.328616; -9.466006; -3.830909
161835384832; 4.161119; -8.635697; -3.309274
161932738560; 5.008178; -7.345965; -6.015556
161957462016; 5.429315; -7.037292; -6.305088
161990393856; 5.654240; -5.431707; -5.931808
162004959232; 5.290531; -4.754539; -6.096912
162024095744; 5.166104; -4.419543; -5.869594
162036744192; 5.166104; -4.419543; -5.869594
162067955712; 5.324030; -5.099105; -6.204589
162080931840; 5.247460; -5.072784; -5.991628
162103541760; 5.367101; -5.249853; -5.606383
162117484544; 5.448457; -5.486742; -5.635098
162156773376; 5.702096; -5.402994; -4.960321
162164965376; 5.687739; -5.941379; -5.467600
162169913344; 5.687739; -5.941379; -5.467600
162191032320; 5.424529; -6.857830; -6.630512
162196226048; 5.163711; -7.381858; -6.941578
162215477248; 5.228317; -8.248059; -6.032306
162233696256; 5.477171; -9.525827; -5.137390
162239905792; 5.477171; -9.525827; -5.137390
162259877888; 5.376672; -10.023534; -4.608576
162282848256; 5.132605; -10.006784; -4.472186
162290696192; 5.919843; -10.085748; -4.534399
162320203776; 5.948557; -11.808579; -5.015356
162333163520; 5.544170; -11.631511; -4.173083
162345205760; 5.544170; -11.631511; -4.173083
162359230464; 6.230910; -12.378072; -5.051249
162363621376; 6.230910; -12.378072; -5.051249
162391310336; 6.259624; -12.459428; -5.362316
162409742336; 6.259624; -12.459428; -5.362316
162429501440; 6.295516; -12.232109; -5.283352
162438856704; 6.295516; -12.232109; -5.283352
162451259392; 5.986842; -11.641082; -5.170890
162482962432; 5.101498; -11.650654; -4.864608
162511765504; 5.101498; -11.650654; -4.864608
162555265024; 3.359523; -11.234303; -4.941179
162572992512; 2.926422; -10.344172; -4.383651
162613248000; 1.816152; -9.188439; -3.227918
162643755008; 0.524028; -8.898908; -2.220539
162650914816; 0.524028; -8.898908; -2.220539
162694545408; -0.155533; -7.769495; -0.356531
162707243008; -0.155533; -7.769495; -0.356531
162714992640; -0.181855; -7.582855; -0.062213
162747236352; -0.375673; -7.322037; 0.157926
162776170496; -0.904487; -6.111269; 0.445065
162784067584; -0.904487; -6.111269; 0.445065
162802384896; -1.342373; -5.481956; 0.942772
162823520256; -1.708475; -5.240282; 1.490728
162850144256; -2.306681; -4.776074; 1.261018
162860810240; -2.306681; -4.776074; 1.261018
162880749568; -2.758924; -4.615755; 1.098306
162896576512; -3.158526; -4.453043; 1.481157
162913632256; -3.596412; -4.445865; 2.098505
162931965952; -3.696911; -4.405187; 2.892923
162962997248; -3.850052; -4.575077; 2.842673
162970320896; -3.850052; -4.575077; 2.842673
163011690496; -4.273581; -5.065606; 3.096313
163076702208; -5.039285; -4.362116; 3.244668
163112632320; -4.902894; -4.448257; 3.536592
163135242240; -4.051049; -3.761517; 3.189633
163216801792; -3.110669; -5.247460; 1.708475
163246227456; -2.703890; -5.491528; 1.641476
163270852608; -1.411765; -6.326623; 2.019542
163298344960; -0.672383; -6.563512; 1.414158
163338387456; 0.430708; -7.278966; 0.313460
163359047680; 1.378266; -7.556534; -0.028714
163373056000; 2.210968; -8.118847; -0.435494
163390701568; 2.715854; -8.721839; -0.662812
163405529088; 3.476771; -9.131011; -0.708275
163416653824; 3.476771; -9.131011; -0.708275
163429203968; 4.079762; -10.179068; -1.172483
163451437056; 5.522635; -10.408778; -1.828117
163469262848; 7.434500; -10.753345; -3.146562
163482632192; 9.111869; -10.547563; -3.924229
163498377216; 10.308280; -12.519248; -2.813959
163520954368; 10.557134; -15.649060; -0.911665
163525066752; 10.557134; -15.649060; -0.911665
163540303872; 10.403993; -16.460226; -0.445065
163564257280; 10.779666; -16.386049; -0.232104
163574890496; 11.674582; -18.400806; 1.452443
163591290880; 11.674582; -18.400806; 1.452443
163624222720; 10.162318; -20.599810; 2.909672
163632349184; 10.344172; -20.075783; 3.644269
163647094784; 10.344172; -20.075783; 3.644269
163661398016; 9.999606; -19.082760; 1.696511
163673014272; 9.157332; -19.164116; -0.638884
163687612416; 9.157332; -19.164116; -0.638884
163703848960; 8.032705; -19.582861; -3.515056
163710664704; 7.927422; -17.991634; -2.902494
163725164544; 7.927422; -17.991634; -2.902494
163741696000; 8.166703; -16.833508; -1.959722
163748986880; 7.869994; -17.422142; -0.579063
163754819584; 7.869994; -17.422142; -0.579063
163771482112; 8.437093; -15.381064; -1.466800
163786391552; 9.640682; -11.942577; -0.531207
163793682432; 9.640682; -11.942577; -0.531207
163813605376; 8.913264; -8.152347; 0.131605
163817062400; 8.913264; -8.152347; 0.131605
163820732416; 8.913264; -8.152347; 0.131605
163835772928; 6.522834; -5.388637; 0.380459
163855450112; 4.366901; -3.948157; 1.959722
163875536896; 2.203790; -3.268596; 1.552942
163882319872; 0.658026; -2.612962; 0.588634
163910959104; -0.478565; -1.191626; 0.258425
163918643200; -0.478565; -1.191626; 0.258425
163933028352; -1.550549; -0.660419; 0.509671
163946020864; -2.388037; -0.926022; 0.935594
163954475008; -2.388037; -0.926022; 0.935594
163975626752; -2.866601; -1.064806; 1.670190
163996024832; -3.720839; -2.244468; 3.254239
164011622400; -3.720839; -2.244468; 3.254239
164033282048; -3.668197; -1.485943; 3.919444
164055875584; -4.694718; 1.720439; 2.321038
164081074176; -5.261817; 3.278167; 2.438286
164107386880; -5.309673; 3.615555; 2.577070
164130291712; -4.998607; 1.713261; 3.615555
164176461824; -2.955136; -3.945765; 2.072184
164195090432; -2.840281; -4.450650; 1.639084
164217880576; -2.067399; -4.493721; 1.957329
164260691968; -1.249053; -4.596612; 2.612962
164301586432; -0.342174; -5.350351; 0.485743
164353294336; 3.235096; -10.001999; -1.962115
164372496384; 3.235096; -10.001999; -1.962115
164414980096; 3.969693; -10.597812; -3.706482
164496506880; 9.734002; -9.722038; -6.192625
164527849472; 9.260223; -11.078769; -14.196617
164577460224; 3.850052; -16.144375; -14.591433
164621975552; -0.507278; -15.414563; -17.206787
164639768576; -2.804388; -16.579868; -19.915462
164720427008; -10.320244; -14.778072; -8.042277
164786356224; -4.345366; -7.549356; -6.120841
164835393536; -3.742375; -7.104290; -8.173882
164906270720; -2.971886; -2.368894; -2.866601
164932747264; -3.536592; -1.294517; 0.153141
164939350016; -5.414958; -1.919044; 0.177069
164975689728; -6.309873; -1.907080; 0.746561
165000298496; -4.510471; -2.103291; -1.000200
165005459456; -4.510471; -2.103291; -1.000200
165019402240; -5.063213; -3.527021; 0.172283
165031034880; -5.063213; -3.527021; 0.172283
165052416000; -6.597012; -1.708475; 0.847059
165081268224; -6.376873; 0.648455; 0.827917
165085478912; -6.376873; 0.648455; 0.827917
