time; x; y; z
260573265920; 4.058227; -2.148755; 9.013762
260598792192; 4.208975; -1.990828; 8.791230
260620861440; 4.170690; -1.964507; 8.750552
260631281664; 4.170690; -1.964507; 8.750552
260633542656; 4.170690; -1.964507; 8.750552
260634771456; 4.170690; -1.964507; 8.750552
260675174400; 4.149155; -1.883151; 8.575876
260687921152; 4.125226; -1.887937; 8.528020
260688887808; 4.125226; -1.887937; 8.528020
260690591744; 4.125226; -1.887937; 8.528020
260692164608; 4.125226; -1.887937; 8.528020
260717821952; 4.141976; -1.923829; 8.563912
260726013952; 4.106084; -1.971686; 8.592627
260736761856; 4.127619; -1.995614; 8.599805
260747722752; 4.118048; -1.921437; 8.595019
260770775040; 4.103691; -1.775474; 8.614161
260777148416; 4.103691; -1.775474; 8.614161
260785946624; 4.115655; -1.808974; 8.664411
260820434944; 4.015156; -2.143969; 8.829515
260832395264; 3.960121; -2.172683; 8.805588
260858527744; 4.010371; -2.170290; 8.831908
260882726912; 3.976871; -2.232503; 8.860622
260892033024; 4.053442; -2.196611; 8.855837
260919001088; 4.027121; -2.112862; 8.867801
260941889536; 4.034299; -2.076970; 8.877372
260966203392; 3.981657; -2.244468; 8.805588
260982784000; 4.024728; -2.222932; 8.824730
260999380992; 3.955336; -2.227718; 8.769695
261013094400; 3.943372; -2.196611; 8.772088
261024808960; 3.952943; -2.155933; 8.788837
261036474368; 4.041478; -2.163112; 8.760123
261043830784; 4.041478; -2.163112; 8.760123
261065965568; 4.101298; -2.203790; 8.764910
261080547328; 4.046263; -2.292324; 8.769695
261101191168; 3.998407; -2.227718; 8.709874
261124112384; 4.070191; -2.222932; 8.693125
261153095680; 4.017549; -2.115255; 8.714660
261169610752; 4.070191; -2.096113; 8.690732
261198626816; 4.106084; -2.151148; 8.700303
261233590272; 4.051049; -2.112862; 8.700303
261245485056; 4.039084; -2.055435; 8.678768
261274697728; 4.048656; -1.899901; 8.640483
261293998080; 4.012764; -1.945365; 8.685946
261307006976; 3.993621; -1.923829; 8.729017
261316182016; 4.029513; -2.031507; 8.707481
261328044032; 4.015156; -1.859223; 8.733803
261344788480; 4.024728; -1.773082; 8.702696
261358895104; 4.072584; -1.808974; 8.587840
261373476864; 4.127619; -1.703690; 8.635697
261395464192; 4.022335; -1.988436; 8.650054
261409718272; 3.991228; -2.210968; 8.606983
261432344576; 3.972085; -2.261217; 8.592627
261436129280; 3.950550; -2.213361; 8.489735
261440503808; 3.950550; -2.213361; 8.489735
261448843264; 3.940979; -2.366502; 8.475378
261458018304; 4.015156; -2.428715; 8.470592
261469929472; 3.979264; -2.505285; 8.446664
261478531072; 4.074977; -2.533999; 8.532805
261484822528; 4.139583; -2.569891; 8.494520
261493112832; 4.254439; -2.723032; 8.542377
261499584512; 4.254439; -2.723032; 8.542377
261509447680; 4.271188; -3.026921; 8.432307
261533122560; 4.079762; -3.512664; 8.149954
261543067648; 4.043870; -3.572484; 8.157132
261554388992; 4.048656; -3.572484; 8.111669
261560860672; 4.019942; -3.436093; 8.111669
261565644800; 4.019942; -3.436093; 8.111669
261579718656; 4.048656; -3.294917; 8.197810
261592645632; 4.065406; -3.148955; 8.295917
261601869824; 4.065406; -3.148955; 8.295917
261611978752; 4.189833; -3.031706; 8.468200
261619122176; 4.247260; -2.907279; 8.437093
261632688128; 4.192225; -2.900101; 8.417950
261641388032; 4.185047; -3.055634; 8.465807
261654265856; 4.247260; -3.225525; 8.501698
261673615360; 4.271188; -3.297310; 8.489735
261685051392; 4.280760; -3.270988; 8.475378
261694717952; 4.264010; -3.077170; 8.461020
261712707584; 4.352544; -3.089134; 8.566305
261722914816; 4.386044; -3.192025; 8.463413
261743476736; 4.338187; -3.187240; 8.482556
261752176640; 4.438686; -3.029314; 8.441878
261767970816; 4.491328; -3.017349; 8.353344
261780865024; 4.606184; -2.794817; 8.355737
261791121408; 4.673182; -2.782853; 8.305488
261800099840; 4.744967; -2.912065; 8.322237
261811044352; 4.843073; -3.077170; 8.248059
261817810944; 4.843073; -3.306881; 7.872386
261826805760; 4.843073; -3.306881; 7.872386
261844631552; 4.878965; -3.632305; 7.219146
261849759744; 4.910072; -3.806981; 6.809973
261861392384; 4.864608; -4.113262; 6.620940
261874679808; 4.615755; -4.692325; 5.912665
261892390912; 4.431508; -5.099105; 5.690132
261905760256; 4.189833; -5.905486; 5.180461
261925404672; 3.761517; -6.400801; 3.988835
261949407232; 3.397808; -7.030113; 3.261417
261981159424; 3.440879; -7.850851; 2.285146
262006063104; 3.440879; -8.650054; 1.789831
262025052160; 3.385844; -9.243474; 1.390230
262050791424; 3.340380; -9.810573; 0.988236
262053298176; 3.340380; -9.810573; 0.988236
262076661760; 3.503092; -9.430114; 0.727418
262114197504; 3.936193; -9.025727; 0.512064
262131351552; 3.775874; -8.080562; -0.050249
262200000512; 3.393023; -9.650253; -2.507678
262229721088; 3.658626; -8.463413; -3.565306
262242009088; 3.658626; -8.463413; -3.565306
262256525312; 3.445665; -8.640483; -3.589234
262286835712; 3.565306; -8.506484; -3.369094
262296715264; 3.919444; -8.480164; -3.577270
262313738240; 4.043870; -8.559127; -4.374080
262328270848; 4.240082; -7.640283; -4.874180
262341623808; 4.240082; -7.640283; -4.874180
262357549056; 4.445865; -7.259824; -5.056034
262377095168; 4.450650; -7.295716; -5.335995
262386515968; 4.644469; -7.520642; -4.754539
262399950848; 4.644469; -7.520642; -4.754539
262405210112; 5.352744; -8.260024; -3.120241
262441304064; 5.840880; -7.135397; -2.462214
262463438848; 5.697311; -6.448657; -4.869394
262481149952; 5.374279; -8.059027; -6.522834
262488473600; 5.374279; -8.059027; -6.522834
262500909056; 4.402794; -7.393822; -8.484949
262512443392; 4.402794; -7.393822; -8.484949
262534463488; 3.735196; -8.228917; -8.946764
262550110208; 3.656233; -9.119047; -7.578069
262563528704; 3.146562; -11.681760; -7.558927
262573735936; 3.146562; -11.681760; -7.558927
262590382080; 2.567499; -12.031113; -8.171490
262603833344; 2.304288; -14.811572; -9.104691
262613385216; 2.304288; -14.811572; -9.104691
262640336896; 2.945565; -16.546368; -6.262017
262675136512; 5.716453; -13.564912; -7.860423
262693158912; 5.678168; -13.674981; -8.461020
262707085312; 5.678168; -13.674981; -8.461020
262746521600; 5.879165; -12.117254; -9.418150
262760939520; 4.725825; -10.042677; -9.391829
262771539968; 4.725825; -10.042677; -9.391829
262783385600; 4.407579; -10.104890; -7.963314
262793953280; 4.407579; -10.104890; -7.963314
262806732800; 4.407579; -10.104890; -7.963314
262826328064; 4.271188; -10.454242; -6.348158
262836502528; 4.271188; -10.454242; -6.348158
262854574080; 2.778067; -8.906086; -5.962914
262868926464; 0.971486; -6.405586; -4.620541
