time; x; y; z
420423106560; 0.037324; 0.075259; 0.002443
420471439360; 0.006781; 0.061820; 0.030543
420489527296; 0.009835; 0.047770; 0.034819
420507910144; -0.001161; 0.045326; 0.023824
420557225984; 0.011057; 0.037385; 0.015272
420609687552; 0.003115; -0.007208; 0.004276
420651958272; -0.028039; -0.037751; -0.029932
420685185024; 0.011668; -0.043249; -0.042150
420697341952; 0.032437; -0.044471; -0.046426
420703600640; 0.050152; -0.045693; -0.050091
420717789184; 0.038546; -0.051191; -0.058643
420719919104; 0.038546; -0.051191; -0.058643
420735451136; 0.023274; -0.053023; -0.054978
420764319744; -0.020708; -0.040806; -0.044593
420776902656; -0.047586; -0.042028; -0.042150
420790960128; -0.043310; -0.046914; -0.037263
420799414272; -0.024374; -0.038973; -0.036041
420812750848; -0.004215; -0.036530; -0.029322
420816683008; 0.012889; -0.033475; -0.032376
420832968704; 0.020220; -0.023702; -0.022602
420839063552; 0.020220; -0.023702; -0.022602
420858888192; 0.015333; -0.015760; -0.021380
420867178496; 0.008002; -0.014539; -0.017715
420883136512; 0.015944; -0.011484; -0.014050
420895719424; 0.001283; -0.010873; -0.014050
420903223296; -0.029260; -0.012095; -0.016493
420915118080; -0.067745; -0.014539; -0.019548
420932911104; -0.208244; -0.034697; -0.028100
420943593472; -0.304150; -0.048136; -0.039706
420948639744; -0.421436; -0.054856; -0.055589
420961746944; -0.587591; -0.058521; -0.061087
420964270080; -0.587591; -0.058521; -0.061087
420977606656; -1.050627; -0.064019; -0.092241
420996939776; -1.687760; -0.088453; -0.141110
421006376960; -2.036564; -0.110444; -0.185092
421020696576; -2.354825; -0.144653; -0.250455
421029543936; -2.618718; -0.174585; -0.318872
421037211648; -2.834354; -0.195355; -0.392786
421044027392; -2.985237; -0.216124; -0.485638
421056217088; -3.084809; -0.239337; -0.604757
421065326592; -3.130013; -0.260717; -0.745866
421072273408; -3.130013; -0.260717; -0.745866
421089116160; -3.104967; -0.259496; -1.059851
421098815488; -3.062207; -0.224676; -1.234559
421109694464; -3.084809; -0.136101; -1.432479
421123457024; -3.440943; 0.140010; -1.872913
421141184512; -4.108619; 0.493701; -2.268754
421161041920; -4.854485; 0.838840; -2.605340
421170151424; -5.194126; 0.978117; -2.682920
421187977216; -5.836756; 1.196807; -2.699413
421190008832; -5.836756; 1.196807; -2.699413
421199052800; -6.141578; 1.269500; -2.675590
421225005056; -6.650429; 1.477194; -2.645046
421255413760; -6.207551; 2.058738; -2.418415
421275467776; -5.455576; 2.380664; -2.273640
421287264256; -5.128153; 2.510167; -2.179567
421294473216; -4.868535; 2.595078; -2.069000
421308628992; -4.718873; 2.647001; -1.954769
421320228864; -4.638239; 2.682431; -1.820989
421336383488; -4.470251; 2.754514; -1.430036
421343035392; -4.330363; 2.794220; -1.241278
421351096320; -4.173370; 2.792387; -1.127046
421362204672; -3.974839; 2.763676; -1.050688
421369544704; -3.974839; 2.763676; -1.050688
421377736704; -3.761647; 2.716640; -0.948063
421388451840; -3.553953; 2.653110; -0.839329
421396611072; -3.337096; 2.599354; -0.698830
421431050240; -3.116574; 2.589580; -0.539394
421443141632; -2.400640; 2.546208; -0.155771
421462671360; -1.819706; 2.488176; 0.047037
421505073152; -1.168524; 2.137540; 0.030543
421528698880; -1.468459; 1.582874; 0.046426
421544919040; -1.880182; 0.867551; 0.134390
421557731328; -1.778168; 0.316550; 0.174097
421565464576; -1.778168; 0.316550; 0.174097
421577293824; -1.245493; -0.036530; 0.226020
421602000896; -0.606528; -0.375560; 0.221744
421618843648; -0.006048; -0.548435; 0.235794
421634244608; 0.428888; -0.596082; 0.388510
421650792448; 0.617646; -0.432370; 0.568716
421664161792; 0.617646; -0.432370; 0.568716
421678579712; 0.224249; -0.384723; 0.604757
421689196544; -0.202135; -0.529498; 0.645685
421705154560; -0.314535; -0.682825; 0.596204
421713346560; -0.314535; -0.682825; 0.596204
421727928320; 0.067256; -0.812329; 0.643852
421736775680; 0.067256; -0.812329; 0.643852
421762203648; 0.591379; -0.891741; 0.733038
421768822784; 0.519297; -0.887465; 0.812451
421772558336; 0.519297; -0.887465; 0.812451
421780848640; -0.073854; -0.927171; 0.936456
421795102720; -0.073854; -0.927171; 0.936456
421800837120; -0.471527; -0.903958; 1.018312
421828395008; -0.726869; -0.949162; 1.037860
421878431744; -0.259557; -0.721921; 0.757473
421887737856; -0.259557; -0.721921; 0.757473
421908348928; -0.216796; -0.530109; 0.786184
421924667392; -0.247339; -0.390832; 0.701273
421936627712; -0.209466; -0.323026; 0.574213
421947572224; -0.209466; -0.323026; 0.574213
