time; x; y; z
160650608640; 0.028772; 0.001344; -0.002443
160679165952; 0.020831; 0.027611; 0.012828
160717275136; 0.031826; -0.004765; 0.031154
160747339776; 0.015944; -0.020036; 0.045204
160767246336; -0.029871; -0.011484; 0.047647
160795148288; -0.102564; -0.009041; 0.039706
160814415872; -0.102564; -0.001100; 0.015882
160831963136; -0.046365; -0.018815; 0.039095
160849330176; -0.028650; -0.031032; 0.080634
160870809600; -0.031704; -0.023702; 0.102014
160889143296; -0.092180; -0.040806; 0.112399
160911228928; -0.203357; -0.079290; 0.134390
160945750016; -0.364015; -0.206961; 0.125227
160965001216; -0.355462; -0.239948; 0.132558
160995475456; -0.267498; -0.219789; 0.202807
161017413632; -0.248561; -0.186803; 0.243735
161045250048; -0.384173; -0.170920; 0.212581
161065910272; -0.495351; -0.111055; 0.189368
161108918272; -0.676778; -0.166033; 0.138056
161121107968; -0.725036; -0.170920; 0.124006
161126547456; -0.725036; -0.192300; 0.183870
161140293632; -0.714651; -0.197187; 0.244346
161149468672; -0.726869; -0.191690; 0.257785
161155284992; -0.807503; -0.199631; 0.231518
161168162816; -0.924789; -0.150762; 0.153938
161180909568; -1.007256; -0.032865; 0.061087
161202356224; -0.503292; -0.040806; 0.572992
161222377472; -0.426934; -0.122051; 0.784351
161240301568; -1.235719; 0.029444; -0.304211
161269284864; -1.060401; -0.067684; -0.230907
161288814592; -1.130650; -0.029810; -0.298713
161303937024; -1.348118; 0.002566; -0.325591
161310916608; -1.527713; -0.005986; -0.338419
161327546368; -2.066496; -0.023091; -0.357967
161336688640; -2.352992; -0.012095; -0.350026
161344552960; -2.352992; -0.012095; -0.350026
161357774848; -2.918653; 0.014172; -0.303600
161366753280; -3.167886; 0.004398; -0.282220
161372176384; -3.167886; 0.004398; -0.282220
161392738304; -3.625424; -0.049358; -0.263894
161405403136; -3.979726; -0.099449; -0.300546
161423245312; -4.355408; -0.219178; -0.315817
161440563200; -4.616858; -0.249722; -0.314596
161452523520; -5.376775; -0.243002; -0.296881
161475543040; -6.342553; -0.182527; -0.210748
161489158144; -7.175162; -0.113499; -0.275500
161509408768; -7.539238; -0.076236; -0.423940
161532805120; -7.417065; -0.049358; -0.464868
161541521408; -7.147673; -0.053023; -0.477697
161566359552; -5.523383; -0.229563; -0.588874
161587298304; -4.274163; -0.502620; -0.727541
161624276992; -2.660257; -0.717645; -1.141096
161645445120; -2.392698; -0.771401; -1.144151
161699741696; -2.921707; -0.526444; -1.461801
161765064704; -2.230208; -0.556376; -1.497231
161828913152; -1.903395; -0.314473; -1.083675
161873739776; -2.834354; -0.132436; -0.585820
161948680192; -0.564989; 0.403904; 0.144775
161974288384; -0.083627; 0.321437; 0.177762
161992556544; 0.182710; 0.311053; 0.251066
162010841088; 0.081306; 0.275012; 0.202807
162031943680; -0.034147; 0.219423; 0.122173
162057142272; -0.080573; 0.171164; 0.078191
162072002560; -0.034147; 0.165056; 0.033598
162088435712; -0.041478; 0.143065; -0.024435
162110537728; -0.166094; 0.097861; -0.039706
162141454336; -0.375010; 0.130236; -0.093462
162161131520; -0.406775; 0.163223; -0.085521
162167177216; -0.406775; 0.163223; -0.085521
162185691136; -0.227792; 0.185214; -0.046426
162193326080; 0.136284; 0.127182; -0.007330
162208759808; 0.136284; 0.127182; -0.007330
162225668096; 0.419726; 0.097861; 0.058643
162237808640; 0.596266; 0.153449; 0.238237
162253504512; 0.887037; 0.308609; 0.579100
162279112704; 1.069686; 0.609766; 1.120938
162286698496; 1.069686; 0.609766; 1.120938
162302771200; 0.739208; 0.571281; 1.356121
162327412736; 0.230968; 0.599381; 1.727527
162338668544; 0.230968; 0.599381; 1.727527
162356625408; 0.356196; 0.572503; 2.021964
162361868288; 0.356196; 0.572503; 2.021964
162379300864; 0.356196; 0.572503; 2.021964
162396798976; 0.872377; 0.568838; 2.306627
162421080064; 0.872377; 0.568838; 2.306627
162434498560; 1.281656; 0.576779; 2.595567
162442346496; 1.281656; 0.576779; 2.595567
162476261376; 0.848553; 0.689789; 3.094643
162498428928; 0.848553; 0.689789; 3.094643
162551529472; 2.605401; 0.019059; 2.794708
162562048000; 2.681149; -0.018815; 2.676812
162604843008; 2.323182; -0.005986; 2.450181
162627092480; 2.081890; 0.018448; 2.318845
162647228416; 2.002477; 0.019670; 2.147802
162691710976; 2.209561; 0.088087; 1.770288
