time; x; y; z
260658970624; 0.006170; 0.055100; 0.010385
260716920832; -0.058582; 0.058765; 0.009774
260720787456; -0.058582; 0.058765; 0.009774
260735139840; -0.064080; 0.059987; 0.009163
260745756672; -0.070188; 0.057544; 0.002443
260761026560; -0.092790; 0.057544; -0.018937
260771741696; -0.123945; 0.063652; -0.029932
260784963584; -0.167316; 0.070372; -0.031154
260805836800; -0.208855; 0.077091; -0.023824
260821090304; -0.178922; 0.060598; -0.008552
260851269632; -0.113560; 0.033720; -0.013439
260870897664; -0.066523; 0.023946; -0.005498
260889477120; -0.012767; 0.019059; -0.006720
260907270144; 0.011057; 0.016005; 0.003054
260934205440; -0.012156; 0.023335; 0.002443
260953096192; -0.045754; 0.031887; 0.012217
260979425280; -0.013989; 0.024557; 0.014661
260986290176; 0.003115; 0.022113; 0.015272
261005049856; 0.008002; 0.025168; 0.010996
261015126016; 0.017165; 0.020892; 0.013439
261034049536; 0.022052; 0.017837; 0.010996
261041455104; 0.013500; 0.016005; 0.014661
261056331776; -0.002993; 0.014172; 0.017715
261072879616; -0.009713; 0.009285; 0.032987
261089591296; 0.008002; 0.015394; 0.040317
261112430592; 0.034880; 0.011729; 0.032987
261139660800; 0.050152; 0.005620; 0.046426
261163106304; 0.022663; 0.009896; 0.037263
261190811648; -0.009713; 0.010507; 0.029322
261219860480; 0.004337; 0.001955; 0.020159
261239373824; 0.039156; -0.005376; 0.018937
261268029440; 0.013500; -0.017593; -0.004276
261277630464; -0.010324; -0.016982; -0.006720
261294768128; -0.044532; -0.021869; -0.023213
261309251584; -0.069578; -0.015149; -0.039095
261324881920; -0.070799; -0.014539; -0.040928
261339496448; -0.097677; -0.009652; -0.065363
261353226240; -0.128221; -0.004765; -0.081856
261368119296; -0.244285; 0.000733; -0.109345
261389647872; -0.415327; 0.040439; -0.146608
261406703616; -0.557048; 0.077091; -0.134390
261419679744; -0.580872; 0.083811; -0.146608
261435293696; -0.601641; 0.080146; -0.193644
261437227008; -0.601641; 0.080146; -0.193644
261443649536; -0.625465; 0.074037; -0.194866
261455855616; -0.643791; 0.063041; -0.192423
261465227264; -0.672502; 0.052046; -0.186314
261475090432; -0.707321; 0.034941; -0.179594
261481922560; -0.707321; 0.034941; -0.179594
261489557504; -0.753136; 0.020281; -0.177151
261495291904; -0.784290; 0.020892; -0.160047
261503729664; -0.786733; 0.018448; -0.136834
261519327232; -0.719538; -0.000489; -0.087354
261537513472; -0.643791; -0.013317; -0.072082
261549555712; -0.425101; -0.042028; -0.064752
261558026240; -0.296819; -0.054245; -0.065363
261562613760; -0.296819; -0.054245; -0.065363
261573951488; -0.186864; -0.067684; -0.065973
261585420288; -0.103786; -0.086621; -0.063530
261597544448; -0.061636; -0.090897; -0.061697
