time; x; y; z
76969244884992; -1.567299; 2.902494; 9.071191
76969253273600; -1.567299; 2.902494; 9.071191
76969261662208; -1.567299; 2.902494; 9.071191
76969261662208; -1.567299; 2.902494; 9.071191
76969270050816; -1.567299; 2.902494; 9.071191
76969270050816; -1.567299; 2.902494; 9.071191
76969295216640; -1.557728; 2.775674; 9.281759
76969303605248; -1.557728; 2.775674; 9.281759
76969303605248; -1.557728; 2.775674; 9.281759
76969311993856; -1.557728; 2.775674; 9.281759
76969320382464; -1.557728; 2.775674; 9.281759
76969320382464; -1.557728; 2.775674; 9.281759
76969345548288; -1.593620; 3.034099; 9.363115
76969345548288; -1.593620; 3.034099; 9.363115
76969362325504; -1.593620; 3.034099; 9.363115
76969362325504; -1.593620; 3.034099; 9.363115
76969370714112; -1.593620; 3.034099; 9.363115
76969370714112; -1.593620; 3.034099; 9.363115
76969404268544; -1.710868; 2.672783; 9.482756
76969412657152; -1.710868; 2.672783; 9.482756
76969421045760; -1.710868; 2.672783; 9.482756
76969429434368; -1.710868; 2.672783; 9.482756
76969429434368; -1.710868; 2.672783; 9.482756
76969437822976; -1.710868; 2.672783; 9.482756
76969462988800; -1.674976; 3.440879; 9.217153
76969462988800; -1.674976; 3.440879; 9.217153
76969471377408; -1.674976; 3.440879; 9.217153
76969471377408; -1.674976; 3.440879; 9.217153
76969471377408; -1.674976; 3.440879; 9.217153
76969479766016; -1.674976; 3.440879; 9.217153
76969521709056; -1.703690; 2.720639; 9.178867
76969538486272; -1.703690; 2.720639; 9.178867
76969538486272; -1.703690; 2.720639; 9.178867
76969538486272; -1.703690; 2.720639; 9.178867
76969546874880; -1.703690; 2.720639; 9.178867
76969572040704; -1.677369; 3.165704; 9.133404
76969580429312; -1.677369; 3.165704; 9.133404
76969580429312; -1.677369; 3.165704; 9.133404
76969588817920; -1.677369; 3.165704; 9.133404
76969588817920; -1.677369; 3.165704; 9.133404
76969588817920; -1.677369; 3.165704; 9.133404
76969622372352; -1.780260; 2.890530; 9.068798
76969622372352; -1.780260; 2.890530; 9.068798
76969630760960; -1.780260; 2.890530; 9.068798
76969630760960; -1.780260; 2.890530; 9.068798
76969639149568; -1.780260; 2.890530; 9.068798
76969639149568; -1.780260; 2.890530; 9.068798
76969681092608; -1.576870; 3.043670; 9.087940
76969681092608; -1.576870; 3.043670; 9.087940
76969689481216; -1.576870; 3.043670; 9.087940
76969689481216; -1.576870; 3.043670; 9.087940
76969689481216; -1.576870; 3.043670; 9.087940
76969689481216; -1.576870; 3.043670; 9.087940
76969739812864; -1.868794; 2.993421; 8.884550
76969739812864; -1.868794; 2.993421; 8.884550
76969748201472; -1.868794; 2.993421; 8.884550
76969756590080; -1.868794; 2.993421; 8.884550
76969764978688; -1.868794; 2.993421; 8.884550
76969773367296; -1.868794; 2.993421; 8.884550
76969806921728; -3.201597; 3.845266; 7.972885
76969806921728; -3.201597; 3.845266; 7.972885
76969823698944; -3.201597; 3.845266; 7.972885
76969832087552; -3.201597; 3.845266; 7.972885
76969840476160; -3.201597; 3.845266; 7.972885
76969840476160; -3.201597; 3.845266; 7.972885
76969874030592; -4.584648; 4.405187; 5.465207
76969882419200; -4.584648; 4.405187; 5.465207
76969899196416; -4.584648; 4.405187; 5.465207
76969907585024; -4.584648; 4.405187; 5.465207
76969907585024; -3.972085; 2.926422; 3.988835
76969915973632; -3.972085; 2.926422; 3.988835
76969932750848; -3.972085; 2.926422; 3.988835
76969949528064; -3.972085; 2.926422; 3.988835
76969957916672; -3.972085; 2.926422; 3.988835
76969957916672; -3.972085; 2.926422; 3.988835
76969974693888; -2.321038; -1.019342; 4.168297
76969974693888; -2.321038; -1.019342; 4.168297
76970033414144; -1.864009; -1.497907; 4.130012
76970033414144; -1.864009; -1.497907; 4.130012
76970041802752; -1.864009; -1.497907; 4.130012
76970050191360; -1.864009; -1.497907; 4.130012
76970058579968; -0.346959; -1.363909; 6.546763
76970058579968; -0.346959; -1.363909; 6.546763
76970075357184; -0.346959; -1.363909; 6.546763
76970075357184; -0.346959; -1.363909; 6.546763
76970083745792; -0.346959; -1.363909; 6.546763
76970108911616; -0.346959; -1.363909; 6.546763
76970108911616; -5.087141; -7.448857; 6.750153
76970117300224; -5.087141; -7.448857; 6.750153
76970117300224; -5.087141; -7.448857; 6.750153
76970125688832; -5.087141; -7.448857; 6.750153
76970134077440; -5.087141; -7.448857; 6.750153
76970159243264; -5.087141; -7.448857; 6.750153
76970159243264; -5.087141; -7.448857; 6.750153
76970159243264; -5.087141; -7.448857; 6.750153
76970159243264; -5.087141; -7.448857; 6.750153
76970167631872; -5.087141; -7.448857; 6.750153
76970167631872; -14.866607; -15.505490; 7.826923
76970192797696; -14.866607; -15.505490; 7.826923
76970201186304; -14.866607; -15.505490; 7.826923
76970201186304; -14.866607; -15.505490; 7.826923
76970209574912; -14.866607; -15.505490; 7.826923
76970209574912; -14.866607; -15.505490; 7.826923
76970217963520; -14.866607; -15.505490; 7.826923
76970234740736; -24.770500; -14.139189; 9.267402
76970234740736; -24.770500; -14.139189; 9.267402
76970243129344; -24.770500; -14.139189; 9.267402
76970243129344; -24.770500; -14.139189; 9.267402
76970243129344; -24.770500; -14.139189; 9.267402
76970243129344; -24.770500; -14.139189; 9.267402
76970285072384; -21.008984; -15.326029; 8.018349
76970293460992; -21.008984; -15.326029; 8.018349
76970293460992; -21.008984; -15.326029; 8.018349
76970293460992; -21.008984; -15.326029; 8.018349
76970293460992; -21.008984; -15.326029; 8.018349
76970293460992; -21.008984; -15.326029; 8.018349
76970360569856; -25.550560; -13.220345; 4.591826
76970368958464; -25.550560; -13.220345; 4.591826
76970377347072; -25.550560; -13.220345; 4.591826
76970377347072; -25.550560; -13.220345; 4.591826
76970385735680; -25.550560; -13.220345; 4.591826
76970385735680; -24.241686; -10.291531; 2.768496
76970385735680; -24.241686; -10.291531; 2.768496
76970394124288; -24.241686; -10.291531; 2.768496
76970410901504; -24.241686; -10.291531; 2.768496
76970410901504; -24.241686; -10.291531; 2.768496
76970444455936; -13.914264; -5.029713; -2.457429
76970452844544; -13.914264; -5.029713; -2.457429
76970469621760; -11.516655; -2.500500; -4.575077
76970469621760; -11.516655; -2.500500; -4.575077
76970478010368; -10.222138; -0.497707; -5.699704
76970486398976; -10.222138; -0.497707; -5.699704
76970494787584; -10.222138; -0.497707; -5.699704
76970511564800; -8.403593; 2.029114; -7.003792
76970519953408; -5.429315; 4.197011; -8.130812
76970528342016; -5.429315; 4.197011; -8.130812
76970536730624; -2.414358; 4.453043; -7.305287
76970561896448; -0.382852; 4.125226; -6.113662
76970570285056; -0.382852; 4.125226; -6.113662
76970578673664; 0.643669; 4.130012; -5.982057
76970595450880; 0.964308; 4.634897; -5.809773
76970620616704; 0.935594; 5.012963; -5.678168
76970637393920; 0.000000; 3.986443; -5.807381
76970662559744; -1.782653; 2.155933; -6.467800
76970679336960; -3.692125; -0.540778; -7.197610
76970696114176; -4.314259; -1.457229; -8.315059
76970712891392; -4.448257; -1.462015; -10.729417
76970729668608; -3.653840; -1.146162; -11.385050
76970754834432; -1.112663; -1.983650; -10.710274
76970771611648; 2.447858; -4.685147; -9.037691
76970796777472; 7.094719; -10.609776; -4.419543
76970813554688; 11.014163; -22.636103; 2.081756
76970830331904; 21.726830; -30.668808; 5.685347
76970847109120; 32.786457; -32.920452; 5.010571
76970872274944; 25.514668; -28.055845; 6.987042
76970889052160; 18.391235; -19.604397; 3.273381
76970905829376; 13.852050; -6.984649; -3.079563
76970922606592; 2.069792; -4.560720; -7.843673
76970947772416; -13.423735; -8.638090; -13.773088
76970964549632; -64.005615; -5.283352; -35.241493
76970981326848; -49.363930; -17.027327; -43.652264
76971006492672; -2.758924; -38.366520; -17.778673
76971023269888; 21.650259; -0.921237; -19.580467
76971040047104; 13.978869; 25.380671; -9.351151
76971065212928; -15.072390; -27.907490; 2.646462
76971081990144; -17.419748; -22.238894; -18.171095
76971098767360; -44.618965; 5.412565; -2.900101
76971123933184; -51.223156; -12.928421; 9.444471
76971140710400; -26.601009; -10.674382; 5.694918
76971157487616; -26.658438; -1.177269; 5.632705
76971174264832; -22.817957; 4.077370; 7.343573
76971199430656; -15.708880; 1.880759; 4.668397
76971216207872; -12.052648; 7.951350; 5.895915
76971232985088; -7.609176; -0.602991; 9.190832
76971258150912; -1.572084; 1.304088; 3.211168
76971274928128; 1.055235; 5.111069; -0.423530
76971300093952; -1.182054; 6.778867; 0.349352
76971316871168; -7.278966; 2.498107; 6.058627
76971333648384; -5.718846; -9.432507; 3.649055
76971350425600; -1.545763; -9.257831; 1.067199
76971367202816; 0.552742; -6.594619; 1.998007
76971392368640; 8.063812; -4.582255; 4.754539
76971409145856; 21.958933; -12.789637; 3.735196
76971425923072; 18.558733; -17.331215; 3.515056
76971451088896; 9.609575; -7.080362; -0.196211
76971467866112; 10.461421; 3.034099; -7.980063
76971484643328; 6.778867; 9.621540; -15.704095
76971509809152; -5.058427; -0.098106; -8.434700
76971526586368; -12.131611; -7.446464; -18.417557
76971543363584; -24.646072; -9.152547; -27.713673
76971560140800; -17.663816; -7.113862; -20.317457
76971585306624; -2.057827; -1.253839; -14.993426
76971602083840; 10.066605; -4.031906; -11.373086
76971618861056; 0.528814; -12.899707; -14.986248
76971644026880; -16.357336; -5.168497; -19.046867
76971660804096; -45.858444; -5.982057; -18.534803
76971677581312; -46.281975; -21.322443; 1.959722
76971702747136; -21.690937; -23.947369; 11.090733
76971719524352; -12.854243; -13.088739; 6.149554
76971736301568; -8.736196; -4.838287; 5.063213
76971753078784; -4.919643; -5.879165; 7.118648
76971778244608; -2.306681; -11.042876; 8.303095
76971795021824; -1.768296; -11.397015; 2.998207
76971811799040; -4.924429; -5.407779; 0.531207
76971836964864; -8.003992; -3.120241; 1.339981
76971853742080; -8.271988; -3.979264; 1.050449
76971878907904; -9.080762; -3.857230; -0.074178
76971887296512; -9.934999; -2.096113; -1.931008
76971912462336; -9.164511; -5.056034; -1.837688
76971929239552; -6.982256; -8.257631; -2.328216
76971946016768; -2.366502; -9.554541; -2.457429
76971971182592; 3.270988; -9.427721; -0.674776
76971987959808; 5.307281; -10.762917; -2.897708
76972004737024; 3.275774; -15.548561; -6.843473
76972029902848; 1.864009; -13.313665; -5.553741
76972046680064; 1.978864; -4.713861; -4.596612
76972063457280; 1.990828; -1.660619; -2.962314
76972080234496; 6.472585; -2.608177; 0.736989
76972105400320; 12.983456; -0.401994; -1.753939
76972122177536; 12.100504; 1.198804; -9.944571
76972147343360; 10.403993; 2.478964; -17.737995
76972164120576; 4.287938; 3.125026; -15.393028
76972180897792; -4.627719; -3.842873; -16.000805
76972206063616; -11.150554; -9.970892; -21.669401
76972222840832; -21.994825; -14.239688; -24.504896
76972239618048; -35.899517; -9.415757; -23.239094
76972256395264; -14.878572; -10.246066; -15.912271
76972273172480; -12.471392; -20.382063; -11.483156
76972298338304; -21.095125; -21.300907; -4.048656
76972315115520; -26.761328; -13.323236; 4.895715
76972331892736; -17.168503; -14.749359; 7.733603
76972357058560; -6.309873; -5.469993; 1.952543
76972373835776; -2.081756; -1.112663; 2.720639
76972390612992; -6.723832; -3.869194; 6.597012
76972415778816; -12.023933; -11.722438; 3.744767
76972432556032; -12.930814; -2.529213; -2.452643
76972449333248; -15.273387; -1.942972; -0.634098
76972474499072; -14.703896; -0.181855; -4.548756
76972491276288; -9.640682; -8.056634; -5.481956
76972508053504; -3.773481; -18.628124; -8.279166
76972524830720; 0.528814; -24.289543; -6.939186
76972549996544; 0.177069; -16.211374; -4.524827
76972566773760; -0.349352; -17.429319; -8.437093
76972583550976; 6.659225; -16.651653; -12.669996
76972608716800; 13.347165; -9.571291; -11.382657
76972625494016; 16.400406; -5.194818; -6.759724
76972642271232; 5.852844; -0.002393; -5.017749
76972667437056; 7.996813; 0.653241; -7.539784
76972684214272; 18.530018; -5.572884; -7.941778
76972700991488; 14.536398; -4.429115; -9.150154
76972726157312; 5.632705; -3.988835; -9.231510
76972742934528; -1.392623; -1.342373; -8.740981
76972759711744; -8.762517; -5.900701; -17.029718
76972776488960; -13.718052; -10.183853; -20.231316
76972793266176; -24.239294; -6.422336; -14.175081
76972818432000; -22.612173; -3.675375; -12.672389
76972835209216; -13.397414; -8.429914; -11.511869
76972851986432; -16.733009; -13.189239; -8.161918
76972877152256; -23.509483; -9.997213; -0.143569
76972893929472; -19.460827; -13.555340; 6.147161
76972910706688; -10.521241; -8.779266; 4.713861
76972935872512; -2.567499; -1.871187; 5.479564
76972952649728; -1.069592; -1.071985; 4.474578
76972969426944; -6.652047; -1.454836; 1.897508
76972994592768; -10.621739; -3.639483; 1.698904
76973011369984; -10.490134; -1.411765; 0.464208
76973028147200; -8.257631; -4.110869; -3.421736
76973044924416; -6.726224; -9.284152; -6.745367
76973070090240; -6.135197; -7.889136; -7.243074
76973086867456; -3.160919; -11.004591; -2.871387
76973103644672; 1.883151; -16.211374; 0.394816
76973128810496; 6.936793; -19.992033; -2.809174
76973145587712; 7.030113; -21.229122; -2.507678
76973162364928; 3.981657; -16.467405; -2.971886
76973187530752; 0.942772; -6.838687; -3.072384
76973204307968; -1.763510; -3.498307; -5.388637
76973221085184; -1.064806; -2.242075; -6.618547
76973237862400; 4.630112; -6.096912; -4.666004
76973263028224; 10.133604; -2.378466; -1.311267
76973279805440; 9.631111; 5.903093; 2.593820
76973296582656; 6.427122; 0.837488; -5.816952
76973321748480; 6.053841; -0.736989; -19.281364
76973338525696; -0.117248; 1.481157; -14.596218
76973355302912; -8.896515; -12.466606; -14.457435
76973380468736; -14.988641; -12.911671; -11.514262
76973397245952; -22.195824; -12.748959; -18.281164
76973414023168; -15.438492; -10.403993; -18.719051
76973439188992; -6.979864; -11.272588; -11.954542
76973455966208; -12.701102; -15.577275; -7.432107
76973472743424; -20.315063; -12.885350; -4.331009
76973489520640; -17.101503; -12.837494; -0.705883
76973514686464; -11.138590; -9.537791; 2.507678
76973531463680; -6.546763; -4.610969; 1.423729
76973548240896; -4.165904; -1.399801; 0.612563
76973573406720; -7.786245; -2.254039; 5.079962
76973590183936; -12.172289; -2.227718; 2.215754
76973606961152; -13.165310; -5.948557; 1.160519
76973632126976; -12.169896; -6.180661; -2.467000
76973657292800; -10.621739; -11.947364; -5.247460
76973665681408; -8.889337; -12.466606; -4.800002
76973682458624; -3.519842; -11.669796; -2.526821
76973707624448; 4.010371; -15.400207; -2.478964
76973724401664; 10.906486; -23.480768; -1.756332
76973741178880; 9.102298; -15.464812; -1.464407
76973766344704; 4.433900; -4.146761; -3.065206
76973783121920; 1.150948; -3.790231; -5.812166
76973799899136; 1.713261; -7.171289; -7.915457
76973825064960; 3.079563; -9.772287; -6.211768
76973841842176; 7.355537; -6.309873; -1.761117
76973858619392; 14.234902; -0.112463; 0.100499
76973875396608; 9.621540; 1.500300; -0.294317
76973900562432; 3.385844; 0.882952; -1.799403
76973917339648; 0.162712; 2.940779; -10.286744
76973934116864; -5.938986; -0.217747; -13.931013
76973959282688; -14.000405; -10.650454; -13.330415
76973976059904; -21.980469; -13.507483; -13.380664
76973992837120; -20.114067; -12.145967; -13.440485
76974009614336; -8.494520; -11.708081; -9.722038
76974034780160; -0.370888; -14.294723; -10.968699
76974051557376; -0.684347; -15.464812; -9.308080
76974068334592; -7.412964; -15.766309; -6.025127
76974093500416; -9.401401; -15.244673; -4.127619
76974110277632; -10.841880; -12.385250; -5.417350
76974127054848; -14.359328; -6.391229; -3.342773
76974152220672; -16.424335; -2.313859; -1.835295
76974168997888; -12.830315; -2.964707; -0.375673
76974185775104; -12.440285; -2.299503; 0.093320
