time; x; y; z
86615372333056; -1.217947; 2.636891; 9.528220
86615414276096; -1.194018; 2.703890; 9.523434
86615422664704; -1.194018; 2.703890; 9.523434
86615422664704; -1.194018; 2.703890; 9.523434
86615498162176; -1.318445; 2.567499; 9.394221
86615506550784; -1.265803; 2.670390; 9.456435
86615514939392; -1.265803; 2.670390; 9.456435
86615514939392; -1.265803; 2.670390; 9.456435
86615514939392; -1.265803; 2.670390; 9.456435
86615514939392; -1.265803; 2.670390; 9.456435
86615514939392; -1.265803; 2.670390; 9.456435
86615531716608; -1.265803; 2.670390; 9.456435
86615556882432; -1.265803; 2.670390; 9.456435
86615582048256; -1.229911; 2.706282; 9.355937
86615657545728; -1.289731; 2.603391; 9.485149
86615657545728; -1.289731; 2.603391; 9.485149
86615665934336; -1.289731; 2.603391; 9.485149
86615682711552; -1.433301; 2.651248; 9.284152
86615699488768; -1.433301; 2.651248; 9.284152
86615699488768; -1.433301; 2.651248; 9.284152
86615707877376; -1.433301; 2.651248; 9.284152
86615707877376; -1.433301; 2.651248; 9.284152
86615724654592; -1.433301; 2.651248; 9.284152
86615724654592; -1.433301; 2.651248; 9.284152
86615816929280; -2.189433; 3.072384; 8.011170
86615825317888; -2.189433; 3.072384; 8.011170
86615842095104; -2.414358; 3.261417; 7.692925
86615842095104; -2.414358; 3.261417; 7.692925
86615850483712; -2.414358; 3.261417; 7.692925
86615850483712; -2.414358; 3.261417; 7.692925
86615858872320; -2.414358; 3.261417; 7.692925
86615858872320; -2.414358; 3.261417; 7.692925
86615867260928; -2.414358; 3.261417; 7.692925
86615875649536; -2.414358; 3.261417; 7.692925
86615875649536; -2.414358; 3.261417; 7.692925
86615884038144; -2.414358; 3.261417; 7.692925
86615884038144; -2.414358; 3.261417; 7.692925
86615900815360; -2.955136; 3.093920; 8.327023
86615900815360; -2.955136; 3.093920; 8.327023
86615900815360; -2.955136; 3.093920; 8.327023
86615900815360; -2.955136; 3.093920; 8.327023
86615909203968; -2.955136; 3.093920; 8.327023
86615959535616; -2.986243; 2.828316; 8.128419
86615967924224; -2.986243; 2.828316; 8.128419
86615976312832; -2.986243; 2.828316; 8.128419
86615984701440; -2.986243; 2.828316; 8.128419
86615993090048; -2.986243; 2.828316; 8.128419
86616001478656; -3.287738; 3.309274; 7.936993
86616001478656; -3.287738; 3.309274; 7.936993
86616026644480; -3.287738; 3.309274; 7.936993
86616026644480; -3.287738; 3.309274; 7.936993
86616035033088; -3.287738; 3.309274; 7.936993
86616035033088; -3.287738; 3.309274; 7.936993
86616043421696; -3.287738; 3.309274; 7.936993
86616051810304; -2.632105; 1.804188; 7.379465
86616060198912; -2.632105; 1.804188; 7.379465
86616068587520; -2.632105; 1.804188; 7.379465
86616068587520; -2.632105; 1.804188; 7.379465
86616127307776; -0.926022; 1.452443; 7.207182
86616135696384; -0.926022; 1.452443; 7.207182
86616144084992; -0.926022; 1.452443; 7.207182
86616144084992; -0.926022; 1.452443; 7.207182
86616160862208; -0.926022; 1.452443; 7.207182
86616160862208; -0.926022; 1.452443; 7.207182
86616211193856; -0.358923; -0.859023; 7.302895
86616211193856; -0.358923; -0.859023; 7.302895
86616219582464; -0.358923; -0.859023; 7.302895
86616219582464; -0.358923; -0.859023; 7.302895
86616219582464; -0.358923; -0.859023; 7.302895
