time; x; y; z
76844715999232; -0.473779; 1.718047; 9.595219
76844783108096; -0.631705; 1.770689; 9.659825
76844791496704; -0.631705; 1.770689; 9.659825
76844791496704; -0.631705; 1.770689; 9.659825
76844791496704; -0.631705; 1.770689; 9.659825
76844791496704; -0.631705; 1.770689; 9.659825
76844808273920; -0.631705; 1.770689; 9.659825
76844825051136; -0.631705; 1.770689; 9.659825
76844841828352; -0.677169; 1.811367; 9.602397
76844858605568; -0.677169; 1.811367; 9.602397
76844858605568; -0.677169; 1.811367; 9.602397
76844900548608; -0.698704; 1.890330; 9.535398
76844917325824; -0.698704; 1.890330; 9.535398
76844925714432; -0.698704; 1.890330; 9.535398
76844942491648; -0.698704; 1.890330; 9.535398
76844967657472; -0.722632; 1.940579; 9.509077
76845017989120; -0.722632; 1.940579; 9.509077
76845194149888; -5.694918; 2.364109; 4.438686
76845202538496; -6.491728; -0.969093; 2.261217
76845202538496; -6.491728; -0.969093; 2.261217
76845210927104; -6.491728; -0.969093; 2.261217
76845210927104; -6.491728; -0.969093; 2.261217
76845219315712; -6.491728; -0.969093; 2.261217
76845244481536; -6.491728; -0.969093; 2.261217
76845269647360; -8.453842; -3.244668; 0.363709
76845278035968; -8.453842; -3.244668; 0.363709
76845278035968; -8.453842; -3.244668; 0.363709
76845286424576; -8.453842; -3.244668; 0.363709
76845294813184; -10.691132; -5.032106; -1.519442
76845319979008; -10.691132; -5.032106; -1.519442
76845336756224; -10.691132; -5.032106; -1.519442
76845336756224; -10.691132; -5.032106; -1.519442
76845353533440; -13.651053; -8.216953; -6.221339
76845353533440; -13.651053; -8.216953; -6.221339
76845361922048; -13.651053; -8.216953; -6.221339
76845370310656; -13.651053; -8.216953; -6.221339
76845378699264; -13.651053; -8.216953; -6.221339
76845378699264; -13.651053; -8.216953; -6.221339
76845387087872; -13.651053; -8.216953; -6.221339
76845387087872; -13.651053; -8.216953; -6.221339
76845395476480; -13.651053; -8.216953; -6.221339
76845395476480; -13.651053; -8.216953; -6.221339
76845403865088; -13.651053; -8.216953; -6.221339
76845412253696; -17.338392; -8.549556; -12.535997
76845412253696; -17.338392; -8.549556; -12.535997
76845420642304; -17.338392; -8.549556; -12.535997
76845445808128; -15.292529; -7.716853; -14.565111
76845454196736; -15.292529; -7.716853; -14.565111
76845454196736; -15.292529; -7.716853; -14.565111
76845462585344; -15.292529; -7.716853; -14.565111
76845470973952; -15.292529; -7.716853; -14.565111
76845487751168; -9.207582; -6.819544; -13.222738
76845504528384; -9.207582; -6.819544; -13.222738
76845504528384; -9.207582; -6.819544; -13.222738
76845504528384; -9.207582; -6.819544; -13.222738
76845512916992; -9.207582; -6.819544; -13.222738
76845512916992; -9.207582; -6.819544; -13.222738
76845521305600; -9.207582; -6.819544; -13.222738
76845521305600; -9.207582; -6.819544; -13.222738
76845521305600; -9.207582; -6.819544; -13.222738
76845563248640; -5.453243; -7.116254; -10.951949
76845571637248; -5.453243; -7.116254; -10.951949
76845571637248; -5.453243; -7.116254; -10.951949
76845571637248; -5.453243; -7.116254; -10.951949
76845571637248; -5.453243; -7.116254; -10.951949
76845580025856; -5.453243; -7.116254; -10.951949
76845596803072; -4.278367; -13.581661; -10.045070
76845596803072; -4.278367; -13.581661; -10.045070
76845605191680; -4.278367; -13.581661; -10.045070
76845613580288; -4.278367; -13.581661; -10.045070
76845630357504; -4.278367; -13.581661; -10.045070
76845630357504; -4.278367; -13.581661; -10.045070
76845638746112; -3.948157; -11.334801; -14.478970
76845655523328; -3.948157; -11.334801; -14.478970
76845655523328; -3.948157; -11.334801; -14.478970
76845663911936; -3.948157; -11.334801; -14.478970
76845714243584; -3.850052; -10.071390; -20.212173
76845722632192; -3.850052; -10.071390; -20.212173
76845731020800; -3.850052; -10.071390; -20.212173
76845739409408; -2.763710; -6.443871; -24.674788
76845739409408; -2.763710; -6.443871; -24.674788
76845756186624; -2.763710; -6.443871; -24.674788
76845764575232; -2.763710; -6.443871; -24.674788
76845814906880; -2.438286; -1.741975; -16.505692
76845831684096; -2.438286; -1.741975; -16.505692
76845840072704; -2.397608; 2.888137; -9.614362
76845848461312; -2.397608; 2.888137; -9.614362
76845856849920; -2.397608; 2.888137; -9.614362
76845865238528; -2.397608; 2.888137; -9.614362
76845898792960; -5.982057; 9.875179; -12.497713
76845907181568; -5.982057; 9.875179; -12.497713
76845915570176; -5.982057; 9.875179; -12.497713
76845915570176; -5.982057; 9.875179; -12.497713
76845923958784; -14.840286; 12.040684; -4.510471
76845932347392; -14.840286; 12.040684; -4.510471
76845957513216; -14.840286; 12.040684; -4.510471
76845965901824; -14.840286; 12.040684; -4.510471
76845974290432; -14.840286; 12.040684; -4.510471
76845974290432; -11.868401; 0.880559; 1.229911
76845999456256; -11.868401; 0.880559; 1.229911
76846007844864; -11.868401; 0.880559; 1.229911
76846016233472; -11.868401; 0.880559; 1.229911
76846024622080; -11.868401; 0.880559; 1.229911
76846024622080; -10.540383; 0.799203; 0.016750
76846033010688; -10.540383; 0.799203; 0.016750
76846049787904; -10.540383; 0.799203; 0.016750
76846058176512; -10.540383; 0.799203; 0.016750
76846066565120; -10.540383; 0.799203; 0.016750
76846074953728; -10.540383; 0.799203; 0.016750
76846116896768; -8.231310; -10.758131; 6.601798
76846116896768; -8.231310; -10.758131; 6.601798
76846125285376; -7.312466; -17.737995; 6.223732
76846133673984; -7.312466; -17.737995; 6.223732
76846150451200; -7.312466; -17.737995; 6.223732
76846150451200; -7.312466; -17.737995; 6.223732
76846209171456; -14.687145; -23.822943; -0.002393
76846217560064; -14.687145; -23.822943; -0.002393
76846234337280; -19.810179; -19.168901; -4.553542
76846234337280; -19.810179; -19.168901; -4.553542
76846242725888; -19.810179; -19.168901; -4.553542
76846251114496; -19.810179; -19.168901; -4.553542
76846259503104; -19.810179; -19.168901; -4.553542
76846259503104; -19.810179; -19.168901; -4.553542
76846259503104; -19.810179; -19.168901; -4.553542
76846267891712; -19.810179; -19.168901; -4.553542
76846276280320; -19.810179; -19.168901; -4.553542
76846276280320; -19.810179; -19.168901; -4.553542
76846276280320; -19.810179; -19.168901; -4.553542
76846276280320; -19.810179; -19.168901; -4.553542
76846284668928; -11.624332; -18.312271; -4.113262
76846293057536; -11.624332; -18.312271; -4.113262
76846293057536; -11.624332; -18.312271; -4.113262
76846293057536; -11.624332; -18.312271; -4.113262
76846301446144; -11.624332; -18.312271; -4.113262
76846318223360; -11.624332; -18.312271; -4.113262
76846318223360; -11.624332; -18.312271; -4.113262
76846326611968; -11.624332; -18.312271; -4.113262
76846326611968; -11.624332; -18.312271; -4.113262
76846335000576; -11.624332; -18.312271; -4.113262
76846335000576; -11.624332; -18.312271; -4.113262
76846351777792; -1.643869; -10.403993; -4.120440
76846351777792; -1.643869; -10.403993; -4.120440
76846360166400; -1.643869; -10.403993; -4.120440
76846368555008; -1.643869; -10.403993; -4.120440
76846410498048; -12.684353; -15.038890; -8.133204
76846418886656; -6.491728; -17.558533; -6.491728
76846427275264; -6.491728; -17.558533; -6.491728
76846435663872; -6.491728; -17.558533; -6.491728
76846444052480; -6.491728; -17.558533; -6.491728
76846444052480; -6.491728; -17.558533; -6.491728
76846485995520; -0.679562; -14.433506; -10.683953
76846494384128; -0.679562; -14.433506; -10.683953
76846502772736; -0.679562; -14.433506; -10.683953
76846511161344; -4.302295; -1.584049; -14.713467
76846527938560; -4.302295; -1.584049; -14.713467
76846527938560; -4.302295; -1.584049; -14.713467
76846544715776; -4.302295; -1.584049; -14.713467
76846544715776; -4.302295; -1.584049; -14.713467
76846553104384; -4.302295; -1.584049; -14.713467
76846569881600; -0.363709; 9.200403; -10.370493
76846569881600; -0.363709; 9.200403; -10.370493
76846586658816; -0.363709; 9.200403; -10.370493
76846595047424; -0.363709; 9.200403; -10.370493
76846595047424; -0.363709; 9.200403; -10.370493
76846603436032; -0.363709; 9.200403; -10.370493
76846603436032; -0.363709; 9.200403; -10.370493
76846645379072; -8.963513; -0.823131; 1.167697
76846653767680; -8.963513; -0.823131; 1.167697
76846653767680; -8.963513; -0.823131; 1.167697
76846653767680; -8.963513; -0.823131; 1.167697
76846662156288; -8.963513; -0.823131; 1.167697
76846670544896; -8.963513; -0.823131; 1.167697
76846729265152; -31.972897; -26.242086; -4.433900
76846746042368; -31.972897; -26.242086; -4.433900
76846746042368; -31.972897; -26.242086; -4.433900
76846754430976; -31.972897; -26.242086; -4.433900
76846762819584; -31.972897; -26.242086; -4.433900
76846762819584; -31.972897; -26.242086; -4.433900
76846762819584; -31.972897; -26.242086; -4.433900
76846771208192; -31.972897; -26.242086; -4.433900
76846771208192; -31.972897; -26.242086; -4.433900
76846779596800; -31.972897; -26.242086; -4.433900
76846779596800; -17.730816; -20.937199; -1.115055
76846787985408; -17.730816; -20.937199; -1.115055
76846787985408; -17.730816; -20.937199; -1.115055
76846813151232; -17.730816; -20.937199; -1.115055
76846821539840; -17.730816; -20.937199; -1.115055
76846829928448; -17.730816; -20.937199; -1.115055
76846838317056; -17.730816; -20.937199; -1.115055
76846846705664; 14.919250; -8.338987; -10.080962
76846855094272; 10.770095; -8.654840; -9.973285
76846880260096; 10.770095; -8.654840; -9.973285
76846888648704; 10.770095; -8.654840; -9.973285
76846913814528; -11.813365; -15.440885; -9.257831
76846913814528; -11.813365; -15.440885; -9.257831
76846989312000; 3.649055; -12.758531; -14.455042
76846997700608; 3.649055; -12.758531; -14.455042
76847014477824; 3.649055; -12.758531; -14.455042
76847022866432; 3.649055; -12.758531; -14.455042
76847039643648; 3.649055; -12.758531; -14.455042
76847056420864; 1.576870; -2.129612; -10.820344
76847131918336; -11.985648; -3.055634; -3.019742
76847140306944; -11.985648; -3.055634; -3.019742
76847140306944; -11.985648; -3.055634; -3.019742
76847148695552; -11.985648; -3.055634; -3.019742
76847148695552; -11.985648; -3.055634; -3.019742
76847157084160; -11.985648; -3.055634; -3.019742
76847157084160; -11.985648; -3.055634; -3.019742
76847182249984; -32.762527; -7.214360; -7.910672
76847190638592; -32.762527; -7.214360; -7.910672
76847190638592; -32.762527; -7.214360; -7.910672
76847207415808; -32.762527; -7.214360; -7.910672
76847207415808; -32.762527; -7.214360; -7.910672
76847207415808; -32.762527; -7.214360; -7.910672
76847215804416; -32.762527; -7.214360; -7.910672
76847224193024; -29.450861; -17.656639; -4.835895
76847232581632; -29.450861; -17.656639; -4.835895
76847240970240; -29.450861; -17.656639; -4.835895
76847274524672; -29.450861; -17.656639; -4.835895
76847282913280; -11.387443; -14.500505; -1.651048
76847291301888; -11.387443; -14.500505; -1.651048
76847308079104; -11.387443; -14.500505; -1.651048
76847308079104; -11.387443; -14.500505; -1.651048
76847308079104; -11.387443; -14.500505; -1.651048
76847324856320; -11.387443; -14.500505; -1.651048
76847341633536; 8.623733; -8.449057; -9.477970
76847341633536; 8.623733; -8.449057; -9.477970
76847350022144; 8.623733; -8.449057; -9.477970
76847358410752; 2.435894; -7.695318; -10.248460
76847358410752; 2.435894; -7.695318; -10.248460
76847375187968; 2.435894; -7.695318; -10.248460
76847391965184; 2.435894; -7.695318; -10.248460
76847391965184; 2.435894; -7.695318; -10.248460
76847400353792; 2.435894; -7.695318; -10.248460
76847400353792; 2.435894; -7.695318; -10.248460
76847400353792; 2.435894; -7.695318; -10.248460
76847417131008; -5.577670; -10.595419; -20.252851
76847417131008; -5.577670; -10.595419; -20.252851
76847425519616; -5.577670; -10.595419; -20.252851
76847425519616; -5.577670; -10.595419; -20.252851
76847425519616; -5.577670; -10.595419; -20.252851
76847433908224; -5.577670; -10.595419; -20.252851
76847442296832; -5.577670; -10.595419; -20.252851
76847459074048; 2.048256; -8.628518; -16.756937
76847459074048; 2.048256; -8.628518; -16.756937
76847459074048; 2.048256; -8.628518; -16.756937
76847501017088; 2.048256; -8.628518; -16.756937
76847509405696; -3.050849; -7.159325; -5.489135
76847517794304; -3.050849; -7.159325; -5.489135
76847526182912; -3.050849; -7.159325; -5.489135
76847526182912; -3.050849; -7.159325; -5.489135
76847534571520; -3.050849; -7.159325; -5.489135
76847534571520; -3.050849; -7.159325; -5.489135
76847542960128; -3.050849; -7.159325; -5.489135
76847542960128; -3.050849; -7.159325; -5.489135
76847551348736; -3.050849; -7.159325; -5.489135
76847551348736; -3.050849; -7.159325; -5.489135
76847568125952; -5.434100; 2.043471; -8.817552
76847601680384; -5.434100; 2.043471; -8.817552
76847610068992; -5.434100; 2.043471; -8.817552
76847618457600; -5.434100; 2.043471; -8.817552
76847626846208; -18.982262; -4.905286; -1.734796
76847635234816; -18.982262; -4.905286; -1.734796
76847635234816; -18.982262; -4.905286; -1.734796
76847677177856; -32.288750; 2.325824; -8.690732
76847677177856; -32.288750; 2.325824; -8.690732
76847685566464; -32.288750; 2.325824; -8.690732
76847685566464; -32.288750; 2.325824; -8.690732
76847702343680; -32.288750; 2.325824; -8.690732
76847702343680; -32.288750; 2.325824; -8.690732
76847735898112; -25.507490; -12.997812; -9.061620
76847744286720; -25.507490; -12.997812; -9.061620
76847744286720; -25.507490; -12.997812; -9.061620
76847761063936; -25.507490; -12.997812; -9.061620
76847769452544; -25.507490; -12.997812; -9.061620
76847786229760; -25.507490; -12.997812; -9.061620
76847903670272; 14.352150; -13.493127; -11.219945
76847903670272; 14.352150; -13.493127; -11.219945
76847903670272; -4.998607; -9.698111; -11.368300
76847962390528; 0.457029; -5.747560; -17.046469
76847987556352; -5.436493; 10.088140; -7.575676
