time; x; y; z
73071771779072; 2.916851; 2.902494; 8.542377
73071771779072; 2.916851; 2.902494; 8.542377
73071780167680; 2.916851; 2.902494; 8.542377
73071788556288; 2.916851; 2.902494; 8.542377
73071830499328; 2.837888; 2.813959; 8.539984
73071830499328; 2.837888; 2.813959; 8.539984
73071830499328; 2.837888; 2.813959; 8.539984
73071838887936; 2.837888; 2.813959; 8.539984
73071838887936; 2.837888; 2.813959; 8.539984
73071847276544; 2.837888; 2.813959; 8.539984
73071864053760; 2.837888; 2.813959; 8.539984
73071864053760; 2.837888; 2.813959; 8.539984
73071889219584; 3.146562; 2.598605; 8.470592
73071897608192; 3.146562; 2.598605; 8.470592
73071905996800; 3.146562; 2.598605; 8.470592
73071905996800; 3.146562; 2.598605; 8.470592
73071914385408; 3.146562; 2.598605; 8.470592
73071922774016; 3.146562; 2.598605; 8.470592
73071947939840; 3.125026; 2.711068; 8.240881
73071947939840; 3.125026; 2.711068; 8.240881
73071956328448; 3.125026; 2.711068; 8.240881
73071964717056; 3.125026; 2.711068; 8.240881
73071973105664; 3.125026; 2.711068; 8.240881
73071973105664; 3.125026; 2.711068; 8.240881
73072006660096; 3.450450; 2.574677; 7.769495
73072023437312; 3.450450; 2.574677; 7.769495
73072031825920; 3.450450; 2.574677; 7.769495
73072031825920; 3.450450; 2.574677; 7.769495
73072040214528; 3.730411; 2.505285; 7.226325
73072048603136; 3.730411; 2.505285; 7.226325
73072065380352; 3.730411; 2.505285; 7.226325
73072065380352; 3.730411; 2.505285; 7.226325
73072073768960; 3.730411; 2.505285; 7.226325
73072082157568; 3.730411; 2.505285; 7.226325
73072082157568; 3.730411; 2.505285; 7.226325
73072090546176; 3.730411; 2.505285; 7.226325
73072132489216; 3.871587; 1.854438; 6.675975
73072140877824; 3.871587; 1.854438; 6.675975
73072149266432; 3.871587; 1.854438; 6.675975
73072149266432; 3.871587; 1.854438; 6.675975
73072157655040; 3.871587; 1.854438; 6.675975
73072157655040; 4.077370; 1.411765; 6.386444
73072174432256; 4.077370; 1.411765; 6.386444
73072182820864; 4.077370; 1.411765; 6.386444
73072191209472; 4.077370; 1.411765; 6.386444
73072199598080; 4.077370; 1.411765; 6.386444
73072199598080; 4.077370; 1.411765; 6.386444
73072207986688; 4.077370; 1.411765; 6.386444
73072249929728; 4.914858; 0.258425; 6.831509
73072249929728; 4.914858; 0.258425; 6.831509
73072266706944; 4.914858; 0.258425; 6.831509
73072275095552; 4.275974; 0.947558; 6.876972
73072275095552; 4.275974; 0.947558; 6.876972
73072275095552; 4.275974; 0.947558; 6.876972
