time; x; y; z
73161966092288; 1.569692; 3.850052; 9.025727
73161974480896; 1.569692; 3.850052; 9.025727
73161974480896; 1.569692; 3.850052; 9.025727
73161982869504; 1.569692; 3.850052; 9.025727
73161982869504; 1.569692; 3.850052; 9.025727
73161982869504; 1.569692; 3.850052; 9.025727
73162008035328; 1.481157; 3.998407; 8.925228
73162016423936; 1.481157; 3.998407; 8.925228
73162024812544; 1.481157; 3.998407; 8.925228
73162041589760; 1.505085; 4.043870; 9.004191
73162066755584; 1.505085; 4.043870; 9.004191
73162083532800; 1.505085; 4.043870; 9.004191
73162083532800; 1.505085; 4.043870; 9.004191
73162091921408; 1.505085; 4.043870; 9.004191
73162091921408; 1.505085; 4.043870; 9.004191
73162159030272; 1.741975; 3.902694; 8.975478
73162175807488; 1.741975; 3.902694; 8.975478
73162175807488; 1.741975; 3.902694; 8.975478
73162184196096; 1.741975; 3.902694; 8.975478
73162200973312; 1.741975; 3.902694; 8.975478
73162200973312; 1.741975; 3.902694; 8.975478
73162226139136; 1.572084; 3.876373; 8.944371
73162242916352; 1.572084; 3.876373; 8.944371
73162259693568; 1.572084; 3.876373; 8.944371
73162268082176; 1.572084; 3.876373; 8.944371
73162276470784; 1.567299; 3.869194; 8.796016
73162276470784; 1.567299; 3.869194; 8.796016
73162368745472; 1.727618; 3.869194; 8.709874
73162377134080; 1.727618; 3.869194; 8.709874
73162385522688; 1.734796; 3.933800; 8.472985
73162393911296; 1.734796; 3.933800; 8.472985
73162410688512; 1.734796; 3.933800; 8.472985
73162419077120; 1.734796; 3.933800; 8.472985
73162444242944; 1.734796; 3.933800; 8.472985
73162469408768; 2.117648; 3.912265; 8.128419
73162477797376; 2.117648; 3.912265; 8.128419
73162477797376; 2.117648; 3.912265; 8.128419
73162477797376; 2.117648; 3.912265; 8.128419
73162486185984; 2.117648; 3.912265; 8.128419
73162502963200; 2.428715; 3.993621; 7.843673
73162511351808; 2.428715; 3.993621; 7.843673
73162519740416; 2.428715; 3.993621; 7.843673
73162528129024; 2.428715; 3.993621; 7.843673
73162544906240; 2.428715; 3.993621; 7.843673
