time; x; y; z
75893145862144; 1.244268; 2.622534; 9.332008
75893154250752; 1.244268; 2.622534; 9.332008
75893171027968; 1.244268; 2.622534; 9.332008
75893179416576; 1.244268; 2.622534; 9.332008
75893179416576; 1.244268; 2.622534; 9.332008
75893179416576; 1.244268; 2.622534; 9.332008
75893204582400; 0.933201; 2.560320; 9.454042
75893212971008; 0.933201; 2.560320; 9.454042
75893212971008; 0.933201; 2.560320; 9.454042
75893229748224; 0.933201; 2.560320; 9.454042
75893229748224; 0.933201; 2.560320; 9.454042
75893229748224; 0.933201; 2.560320; 9.454042
75893271691264; 1.203590; 2.402394; 9.300901
75893280079872; 1.203590; 2.402394; 9.300901
75893288468480; 1.203590; 2.402394; 9.300901
75893288468480; 1.203590; 2.402394; 9.300901
75893296857088; 1.203590; 2.402394; 9.300901
75893305245696; 1.203590; 2.402394; 9.300901
75893313634304; 1.287339; 2.854637; 9.243474
75893322022912; 1.287339; 2.854637; 9.243474
75893322022912; 1.287339; 2.854637; 9.243474
75893330411520; 1.287339; 2.854637; 9.243474
75893330411520; 1.287339; 2.854637; 9.243474
75893338800128; 1.287339; 2.854637; 9.243474
75893380743168; 1.177269; 2.679961; 9.250652
75893380743168; 1.177269; 2.679961; 9.250652
75893389131776; 1.177269; 2.679961; 9.250652
75893389131776; 1.177269; 2.679961; 9.250652
75893397520384; 1.177269; 2.679961; 9.250652
75893397520384; 1.177269; 2.679961; 9.250652
75893431074816; 1.277767; 2.763710; 9.509077
75893447852032; 1.277767; 2.763710; 9.509077
75893447852032; 1.277767; 2.763710; 9.509077
75893447852032; 1.277767; 2.763710; 9.509077
75893447852032; 1.277767; 2.763710; 9.509077
75893456240640; 1.277767; 2.763710; 9.509077
75893489795072; 1.138984; 2.600998; 9.446864
75893489795072; 1.138984; 2.600998; 9.446864
75893498183680; 1.138984; 2.600998; 9.446864
75893498183680; 1.138984; 2.600998; 9.446864
75893514960896; 1.138984; 2.600998; 9.446864
75893514960896; 1.138984; 2.600998; 9.446864
75893548515328; 1.217947; 2.670390; 9.556933
75893556903936; 1.217947; 2.670390; 9.556933
75893565292544; 1.217947; 2.670390; 9.556933
75893573681152; 1.217947; 2.670390; 9.556933
75893573681152; 1.217947; 2.670390; 9.556933
75893582069760; 1.217947; 2.670390; 9.556933
75893615624192; 1.177269; 2.529213; 9.401401
75893624012800; 1.177269; 2.529213; 9.401401
75893632401408; 1.177269; 2.529213; 9.401401
75893640790016; 1.177269; 2.529213; 9.401401
75893640790016; 1.177269; 2.529213; 9.401401
75893649178624; 1.177269; 2.529213; 9.401401
75893674344448; 1.227518; 2.782853; 9.265009
75893691121664; 1.227518; 2.782853; 9.265009
75893699510272; 1.227518; 2.782853; 9.265009
75893699510272; 1.227518; 2.782853; 9.265009
75893699510272; 1.227518; 2.782853; 9.265009
75893707898880; 1.227518; 2.782853; 9.265009
75893724676096; 1.263410; 2.567499; 9.200403
75893741453312; 1.263410; 2.567499; 9.200403
75893749841920; 1.263410; 2.567499; 9.200403
75893749841920; 1.263410; 2.567499; 9.200403
75893758230528; 1.263410; 2.567499; 9.200403
75893783396352; 1.196411; 2.591427; 9.188439
75893783396352; 1.196411; 2.591427; 9.188439
75893783396352; 1.196411; 2.591427; 9.188439
75893791784960; 1.196411; 2.591427; 9.188439
75893800173568; 1.196411; 2.591427; 9.188439
75893816950784; 1.196411; 2.591427; 9.188439
75893816950784; 1.196411; 2.591427; 9.188439
75893850505216; 1.586441; 2.600998; 8.906086
75893858893824; 1.586441; 2.600998; 8.906086
75893858893824; 1.586441; 2.600998; 8.906086
75893875671040; 1.586441; 2.600998; 8.906086
75893875671040; 1.586441; 2.600998; 8.906086
75893884059648; 1.586441; 2.600998; 8.906086
