time; x; y; z
38599336656896; 0.203390; 1.634298; 9.695718
38599336656896; 0.203390; 1.634298; 9.695718
38599353434112; 0.203390; 1.634298; 9.695718
38599366017024; 0.203390; 1.634298; 9.695718
38599382794240; 0.172283; 1.363909; 9.714860
38599386988544; 0.172283; 1.363909; 9.714860
38599449903104; -0.052642; 1.383052; 9.784252
38599466680320; -0.052642; 1.383052; 9.784252
38599483457536; -0.052642; 1.383052; 9.784252
38599500234752; 0.040678; 1.411765; 9.896714
38599504429056; 0.040678; 1.411765; 9.896714
38599517011968; 0.040678; 1.411765; 9.896714
38599533789184; 0.040678; 1.411765; 9.896714
38599567343616; 0.038285; 1.371087; 9.743574
38599567343616; 0.038285; 1.371087; 9.743574
38599605092352; 0.464208; 1.674976; 9.552148
38599617675264; 0.464208; 1.674976; 9.552148
38599630258176; 0.464208; 1.674976; 9.552148
38599655424000; 0.464208; 1.674976; 9.552148
38599680589824; 1.112663; 1.909472; 8.910872
38599688978432; 1.112663; 1.909472; 8.910872
38599693172736; 1.112663; 1.909472; 8.910872
38599701561344; 1.112663; 1.909472; 8.910872
38599709949952; 1.112663; 1.909472; 8.910872
38599730921472; 2.258825; 2.873780; 7.386643
38599730921472; 2.258825; 2.873780; 7.386643
38599735115776; 2.258825; 2.873780; 7.386643
38599735115776; 2.258825; 2.873780; 7.386643
38599739310080; 2.258825; 2.873780; 7.386643
38599743504384; 2.258825; 2.873780; 7.386643
38599747698688; 2.258825; 2.873780; 7.386643
38599751892992; 2.258825; 2.873780; 7.386643
38599760281600; 2.258825; 2.873780; 7.386643
38599760281600; 2.258825; 2.873780; 7.386643
38599764475904; 2.258825; 2.873780; 7.386643
38599764475904; 2.258825; 2.873780; 7.386643
38599781253120; 3.749553; 3.692125; 5.711668
38599781253120; 3.749553; 3.692125; 5.711668
38599781253120; 3.749553; 3.692125; 5.711668
38599785447424; 3.749553; 3.692125; 5.711668
38599789641728; 3.749553; 3.692125; 5.711668
38599793836032; 3.749553; 3.692125; 5.711668
38599810613248; 3.749553; 3.692125; 5.711668
38599814807552; 3.749553; 3.692125; 5.711668
38599814807552; 3.749553; 3.692125; 5.711668
