time; x; y; z
2751159861248; -0.165105; 4.768896; 8.312666
2751165628416; -0.165105; 4.768896; 8.312666
2751168249856; -0.165105; 4.768896; 8.312666
2751176376320; -0.165105; 4.768896; 8.312666
2751176900608; -0.165105; 4.768896; 8.312666
2751185289216; -0.165105; 4.768896; 8.312666
2751230377984; -0.385244; 4.582255; 8.719446
2751234572288; -0.385244; 4.582255; 8.719446
2751256330240; -0.689133; 4.476971; 8.700303
2751258951680; -0.689133; 4.476971; 8.700303
2751268913152; -0.689133; 4.476971; 8.700303
2751279398912; -0.689133; 4.476971; 8.700303
2751299846144; -0.689133; 4.476971; 8.700303
2751301681152; -0.689133; 4.476971; 8.700303
2751313215488; -0.629312; 4.409972; 8.551949
2751318196224; -0.629312; 4.409972; 8.551949
2751393693696; -0.519243; 4.991428; 8.755338
2751398150144; -0.519243; 4.991428; 8.755338
2751409160192; -0.519243; 4.991428; 8.755338
2751415713792; -0.519243; 4.991428; 8.755338
2751421743104; -0.591027; 4.398008; 8.635697
2751429607424; -0.591027; 4.398008; 8.635697
2751446384640; -0.591027; 4.398008; 8.635697
2751462113280; -0.591027; 4.398008; 8.635697
2751463948288; -0.591027; 4.398008; 8.635697
2751466831872; -0.591027; 4.398008; 8.635697
2751479152640; -0.468993; 4.357330; 8.571091
2751480725504; -0.468993; 4.357330; 8.571091
2751507988480; -0.468993; 4.357330; 8.571091
2751519784960; -0.468993; 4.357330; 8.571091
2751531581440; -0.468993; 4.357330; 8.571091
2751547572224; -0.598206; 5.036891; 8.700303
2751549145088; -0.598206; 5.036891; 8.700303
2751552815104; -0.598206; 5.036891; 8.700303
2751585845248; -0.598206; 5.036891; 8.700303
2751592660992; -0.598206; 5.036891; 8.700303
2751602884608; -0.579063; 4.122833; 8.520842
2751611273216; -0.579063; 4.122833; 8.520842
2751613632512; -0.579063; 4.122833; 8.520842
2751615991808; -0.579063; 4.122833; 8.520842
2751657410560; -0.574277; 4.742575; 8.563912
2751663964160; -0.574277; 4.742575; 8.563912
2751678119936; -0.574277; 4.742575; 8.563912
2751680741376; -0.574277; 4.742575; 8.563912
2751682052096; -0.574277; 4.742575; 8.563912
2751696994304; -0.624527; 4.551149; 8.662018
2751735005184; -0.624527; 4.551149; 8.662018
2751743655936; -0.624527; 4.551149; 8.662018
2751746015232; -0.624527; 4.551149; 8.662018
2751753617408; -0.519243; 4.773681; 8.633304
2751768035328; -0.519243; 4.773681; 8.633304
2751771181056; -0.519243; 4.773681; 8.633304
2751785336832; -0.519243; 4.773681; 8.633304
2751794511872; -0.519243; 4.773681; 8.633304
2751807094784; -0.519243; 4.773681; 8.633304
2751818629120; -0.567099; 4.529613; 8.518449
2751873155072; -0.545564; 4.663611; 8.568698
2751876038656; -0.545564; 4.663611; 8.568698
2751893078016; -0.545564; 4.663611; 8.568698
2751897796608; -0.545564; 4.663611; 8.568698
2751901728768; -0.545564; 4.663611; 8.568698
2751904612352; -0.545564; 4.663611; 8.568698
2751940526080; -0.720240; 4.878965; 8.425129
2751942098944; -0.720240; 4.878965; 8.425129
2751945768960; -0.720240; 4.878965; 8.425129
2751949176832; -0.720240; 4.878965; 8.425129
2751952584704; -0.720240; 4.878965; 8.425129
2751958876160; -0.720240; 4.878965; 8.425129
2752010256384; -1.536192; 5.577670; 7.625926
2752012615680; -1.536192; 5.577670; 7.625926
2752014188544; -1.536192; 5.577670; 7.625926
2752018120704; -1.536192; 5.577670; 7.625926
2752035684352; -1.536192; 5.577670; 7.625926
2752055345152; -3.153740; 7.219146; 6.362515
2752058753024; -3.153740; 7.219146; 6.362515
2752062685184; -3.153740; 7.219146; 6.362515
2752070549504; -3.153740; 7.219146; 6.362515
2752072908800; -3.153740; 7.219146; 6.362515
2752075268096; -3.153740; 7.219146; 6.362515
2752078675968; -3.153740; 7.219146; 6.362515
2752081035264; -3.153740; 7.219146; 6.362515
2752086540288; -3.153740; 7.219146; 6.362515
2752091521024; -3.153740; 7.219146; 6.362515
2752092831744; -3.153740; 7.219146; 6.362515
2752097812480; -4.737789; 6.094519; 5.771488
2752104103936; -4.737789; 6.094519; 5.771488
2752154959872; -4.402794; 2.935993; 6.647261
2752164397056; -4.402794; 2.935993; 6.647261
2752173834240; -4.402794; 2.935993; 6.647261
2752178028544; -4.402794; 2.935993; 6.647261
2752179339264; -4.402794; 2.935993; 6.647261
2752195854336; -4.402794; 2.935993; 6.647261
2752237273088; -4.496114; -3.818945; 6.357730
2752240156672; -4.496114; -3.818945; 6.357730
2752248807424; -4.496114; -3.818945; 6.357730
2752253263872; -4.496114; -3.818945; 6.357730
2752255623168; -4.496114; -3.818945; 6.357730
2752258506752; -4.496114; -3.818945; 6.357730
2752304906240; -3.462414; -8.281559; 4.493721
2752317489152; -3.462414; -8.281559; 4.493721
2752327974912; -3.462414; -8.281559; 4.493721
2752331382784; -1.548156; -9.647861; 3.675375
2752347635712; -1.548156; -9.647861; 3.675375
2752361529344; -1.548156; -9.647861; 3.675375
2752362053632; -1.548156; -9.647861; 3.675375
2752366247936; -1.548156; -9.647861; 3.675375
2752368869376; -1.548156; -9.647861; 3.675375
2752373850112; -1.548156; -9.647861; 3.675375
2752377257984; -1.548156; -9.647861; 3.675375
2752383287296; -1.548156; -9.647861; 3.675375
2752404258816; -2.447858; -9.305687; 2.108077
2752413171712; -2.447858; -9.305687; 2.108077
2752418676736; -2.304288; -9.662218; 1.641476
2752420511744; -2.304288; -9.662218; 1.641476
2752451444736; -2.304288; -9.662218; 1.641476
2752457474048; -2.304288; -9.662218; 1.641476
2752499679232; -2.859423; -10.784451; 0.612563
2752507281408; -2.859423; -10.784451; 0.612563
2752510427136; -2.859423; -10.784451; 0.612563
2752518815744; -2.859423; -10.784451; 0.612563
2752542670848; -3.440879; -9.726824; -0.181855
2752573341696; -4.156333; -10.784451; -0.014357
2752635207680; -4.398008; -10.966306; 0.189033
2752647790592; -6.005985; -9.901500; 0.378066
2752658538496; -6.898508; -10.004392; 0.105284
2752667713536; -6.898508; -10.004392; 0.105284
2752671645696; -6.898508; -10.004392; 0.105284
2752679247872; -7.869994; -9.382257; 0.141177
2752729841664; -10.004392; -8.855837; -0.433101
2752748978176; -11.097912; -9.623933; -1.165305
2752753958912; -11.246266; -9.686146; -1.366302
2752756318208; -11.246266; -9.686146; -1.366302
2752757891072; -11.246266; -9.686146; -1.366302
2752769949696; -10.710274; -9.418150; -1.241875
2752782008320; -10.710274; -9.418150; -1.241875
2752785678336; -10.710274; -9.418150; -1.241875
2752809533440; -10.052248; -7.661818; -0.997807
2752814776320; -10.052248; -7.661818; -0.997807
2752823951360; -10.052248; -7.661818; -0.997807
2752828407808; -9.494720; -7.104290; -0.533599
2752840204288; -9.494720; -7.104290; -0.533599
2752845709312; -9.494720; -7.104290; -0.533599
2752850952192; -8.796016; -6.551548; 0.165105
2752873496576; -8.020741; -6.297909; 0.813560
2752893943808; -7.568498; -6.786045; 1.196411
2752898662400; -7.568498; -6.786045; 1.196411
2752907313152; -7.721639; -6.527620; 1.710868
2752914391040; -7.721639; -6.527620; 1.710868
2752916226048; -7.721639; -6.527620; 1.710868
2752927760384; -8.018349; -6.084948; 1.148555
2752937459712; -8.018349; -6.084948; 1.148555
2752943489024; -8.018349; -6.084948; 1.148555
2752948994048; -7.922636; -6.333802; 0.581456
2752950829056; -7.922636; -6.333802; 0.581456
2752961576960; -7.922636; -6.333802; 0.581456
2752970489856; -7.807780; -6.092126; 0.794417
2752990150656; -7.800602; -6.142376; 0.758525
2752991723520; -7.800602; -6.142376; 0.758525
2753003782144; -7.570891; -6.037092; 0.823131
2753029734400; -7.233503; -6.156733; 0.425922
2753047560192; -7.233503; -6.156733; 0.425922
2753088454656; -6.168697; -6.412765; -0.406780
2753103396864; -5.924629; -5.965307; -0.598206
2753114931200; -5.924629; -5.965307; -0.598206
2753129086976; -5.910272; -6.967899; -0.942772
2753148747776; -6.498906; -8.599805; -1.225125
2753160282112; -7.152147; -7.905886; -0.878166
2753174962176; -7.489535; -7.207182; -0.174676
2753200914432; -8.169097; -7.137790; -0.004786
2753219264512; -8.807981; -6.934400; -0.172283
2753241284608; -9.509077; -7.202396; -0.344566
2753253605376; -10.691132; -8.274381; 0.217747
2753261207552; -10.691132; -8.274381; 0.217747
2753271169024; -12.447463; -9.312865; 0.792024
2753276674048; -12.447463; -9.312865; 0.792024
2753286373376; -12.447463; -9.312865; 0.792024
2753304723456; -14.330615; -8.927621; 1.112663
2753306296320; -14.330615; -8.927621; 1.112663
2753314160640; -15.773487; -7.843673; 1.631905
2753329102848; -17.187645; -7.539784; 2.876173
2753336705024; -17.187645; -7.539784; 2.876173
2753341685760; -17.187645; -7.539784; 2.876173
2753350860800; -18.367306; -8.941978; 4.374080
2753360035840; -18.367306; -8.941978; 4.374080
2753363705856; -18.367306; -8.941978; 4.374080
2753373929472; -19.802999; -9.384650; 4.907679
2753375240192; -19.802999; -9.384650; 4.907679
2753384415232; -19.802999; -9.384650; 4.907679
2753395949568; -21.073589; -8.157132; 4.883751
2753400930304; -21.073589; -8.157132; 4.883751
2753407483904; -23.081167; -7.649854; 4.883751
2753422163968; -23.081167; -7.649854; 4.883751
2753438941184; -24.634109; -7.781459; 6.764510
2753454145536; -24.466612; -6.900900; 8.506484
2753470922752; -23.854050; -3.565306; 10.143175
2753493204992; -20.764915; -0.232104; 10.174282
2753500545024; -20.764915; -0.232104; 10.174282
2753508147200; -18.340986; -1.107877; 8.712267
2753518632960; -18.340986; -1.107877; 8.712267
2753539604480; -17.431713; -2.194218; 8.580662
2753552973824; -16.163517; -2.498107; 8.439486
2753560313856; -16.163517; -2.498107; 8.439486
2753568702464; -14.483755; -1.928615; 7.046863
2753583382528; -12.009577; -2.773281; 4.778467
2753605926912; -10.188639; -3.737589; 3.498307
2753622179840; -8.855837; -2.897708; 2.510071
2753643675648; -7.166504; -1.423729; 1.569692
2753660190720; -4.756931; -0.823131; 0.521635
2753680113664; -2.646462; -1.313660; -1.404587
2753699250176; -1.780260; -1.978864; -2.952743
2753718124544; -0.861416; -2.746960; -2.701497
2753740931072; 0.169890; -1.823331; -2.883351
2753759281152; 1.287339; -0.502493; -3.778267
2753778941952; 2.471786; -0.301496; -4.790431
2753796505600; 3.448057; -2.222932; -5.596812
2753814855680; 4.053442; -4.213761; -6.403193
2753835040768; 4.426722; -2.701497; -5.417350
2753853652992; 2.648855; 0.973879; -5.357530
2753875673088; 1.761117; -0.734597; -5.694918
2753891663872; 2.012364; -3.108277; -4.000800
2753911062528; 0.942772; -1.483550; -3.864408
