time; x; y; z
76253721788416; 0.004786; 4.642076; 8.499306
76253730177024; 0.004786; 4.642076; 8.499306
76253730177024; 0.004786; 4.642076; 8.499306
76253730177024; 0.004786; 4.642076; 8.499306
76253738565632; 0.004786; 4.642076; 8.499306
76253746954240; 0.004786; 4.642076; 8.499306
76253780508672; 0.035892; 4.417150; 8.657232
76253788897280; 0.035892; 4.417150; 8.657232
76253797285888; 0.035892; 4.417150; 8.657232
76253814063104; -0.320638; 4.405187; 8.846265
76253822451712; -0.320638; 4.405187; 8.846265
76253856006144; -0.320638; 4.405187; 8.846265
76253856006144; -0.320638; 4.405187; 8.846265
76253864394752; -0.842274; 4.491328; 8.499306
76253872783360; -0.842274; 4.491328; 8.499306
76253897949184; -0.842274; 4.491328; 8.499306
76253906337792; -0.842274; 4.491328; 8.499306
76253923115008; -0.842274; 4.491328; 8.499306
76253931503616; -2.392823; 5.405386; 7.252645
76253931503616; -2.392823; 5.405386; 7.252645
76253939892224; -2.392823; 5.405386; 7.252645
76253965058048; -2.392823; 5.405386; 7.252645
76253981835264; -3.407379; 7.496713; 5.929415
76253981835264; -3.407379; 7.496713; 5.929415
76253990223872; -3.713661; 7.104290; 5.895915
76254007001088; -3.713661; 7.104290; 5.895915
76254015389696; -3.713661; 7.104290; 5.895915
76254032166912; -3.713661; 7.104290; 5.895915
76254040555520; -3.713661; 7.104290; 5.895915
76254048944128; -4.252046; 2.222932; 5.178068
76254065721344; -4.252046; 2.222932; 5.178068
76254065721344; -4.252046; 2.222932; 5.178068
76254065721344; -4.252046; 2.222932; 5.178068
76254082498560; -4.252046; 2.222932; 5.178068
76254124441600; -3.744767; -3.586841; 3.311666
76254132830208; -3.744767; -3.586841; 3.311666
76254149607424; -3.101098; -10.097712; 2.833102
76254166384640; -3.101098; -10.097712; 2.833102
76254166384640; -3.101098; -10.097712; 2.833102
76254174773248; -3.101098; -10.097712; 2.833102
76254199939072; -3.101098; -10.097712; 2.833102
76254199939072; -3.101098; -10.097712; 2.833102
76254199939072; -0.449851; -13.330415; 2.828316
76254208327680; -0.449851; -13.330415; 2.828316
76254208327680; -0.449851; -13.330415; 2.828316
76254216716288; -0.449851; -13.330415; 2.828316
76254216716288; -0.449851; -13.330415; 2.828316
76254216716288; -0.449851; -13.330415; 2.828316
76254225104896; -0.449851; -13.330415; 2.828316
76254241882112; -0.449851; -13.330415; 2.828316
76254267047936; -0.921237; -11.217552; 1.986043
76254275436544; -0.921237; -11.217552; 1.986043
76254275436544; -0.921237; -11.217552; 1.986043
76254283825152; -0.921237; -11.217552; 1.986043
76254283825152; -0.921237; -11.217552; 1.986043
76254292213760; -0.921237; -11.217552; 1.986043
76254308990976; -0.921237; -11.217552; 1.986043
76254308990976; -0.921237; -11.217552; 1.986043
76254317379584; -0.921237; -11.217552; 1.986043
76254325768192; -0.966700; -11.708081; 0.390030
76254342545408; -1.383052; -13.021741; -0.763310
76254350934016; -1.383052; -13.021741; -0.763310
76254409654272; -0.272782; -11.837294; -0.799203
76254443208704; -0.272782; -11.837294; -0.799203
76254476763136; 1.895115; -12.184253; -3.251846
76254518706176; 2.340181; -10.135997; -4.527220
76254527094784; 2.340181; -10.135997; -4.527220
76254560649216; 1.021735; -12.361321; -5.278567
76254569037824; 1.021735; -12.361321; -5.278567
76254569037824; 1.485943; -13.129417; -3.467200
76254619369472; 1.954936; -8.116454; -3.866802
76254619369472; 1.954936; -8.116454; -3.866802
76254627758080; 1.954936; -8.116454; -3.866802
76254636146688; 0.035892; -9.652647; -1.861616
76254644535296; 0.035892; -9.652647; -1.861616
76254644535296; 0.035892; -9.652647; -1.861616
76254652923904; 0.035892; -9.652647; -1.861616
76254661312512; -1.581656; -17.580069; -1.665405
76254669701120; -1.581656; -17.580069; -1.665405
76254669701120; -1.416551; -15.103497; -2.364109
76254669701120; -1.416551; -15.103497; -2.364109
76254669701120; -1.416551; -15.103497; -2.364109
76254678089728; -1.416551; -15.103497; -2.364109
76254686478336; -1.416551; -15.103497; -2.364109
76254694866944; -2.203790; -9.487542; -0.607777
76254703255552; -2.203790; -9.487542; -0.607777
76254703255552; -2.203790; -9.487542; -0.607777
76254711644160; -5.410172; -8.001599; 1.141376
76254720032768; -5.410172; -8.001599; 1.141376
76254728421376; -5.410172; -8.001599; 1.141376
76254736809984; -8.951550; -10.817951; 1.643869
76254753587200; -11.320444; -12.476177; 1.765903
76254761975808; -11.320444; -12.476177; 1.765903
76254778753024; -12.490534; -12.705888; 3.503092
76254787141632; -15.105889; -13.526627; 5.922236
76254795530240; -15.105889; -13.526627; 5.922236
76254803918848; -15.105889; -13.526627; 5.922236
76254812307456; -16.455441; -13.536198; 7.176075
76254820696064; -16.455441; -13.536198; 7.176075
76254829084672; -15.029319; -12.794423; 7.611569
76254862639104; -13.883157; -12.564712; 8.805588
76254871027712; -15.242280; -13.768302; 10.648061
76254879416320; -15.242280; -13.768302; 10.648061
76254896193536; -17.737995; -13.375878; 11.267802
76254904582144; -18.946369; -11.710474; 10.296316
76254929747968; -19.034904; -10.135997; 9.186047
76254946525184; -18.809978; -10.492527; 8.913264
76254963302400; -17.580069; -9.982856; 7.869994
76254980079616; -14.914464; -8.975478; 6.424729
76255005245440; -12.715460; -7.874779; 4.687540
76255022022656; -11.478371; -8.492127; 3.022135
76255038799872; -9.580862; -7.549356; 1.342373
76255055577088; -7.927422; -6.139983; 0.287139
76255089131520; -6.872187; -3.962514; -0.964308
76255097520128; -6.221339; -1.935794; -1.438086
76255114297344; -5.249853; -0.045464; -2.325824
76255131074560; -3.653840; 0.387637; -3.400201
76255156240384; -1.761117; 0.538385; -3.751946
76255173017600; -0.607777; 0.873380; -4.666004
76255189794816; -0.366102; 0.988236; -4.989035
76255214960640; 0.492921; 1.919044; -6.637690
76255231737856; 1.689333; 2.955136; -7.764709
76255248515072; 2.108077; 3.321238; -10.444671
76255265292288; 0.784846; 5.761917; -11.887543
76255290458112; 1.823331; -1.818545; -14.421542
76255307235328; -1.950150; -1.634298; -5.934200
76255324012544; -0.935594; -2.033899; -0.267996
76255349178368; 0.521635; -4.505685; -1.395016
76255365955584; 1.758725; -9.217153; -1.086342
76255382732800; 2.486143; -12.459428; 1.428515
76255407898624; 1.179662; -11.944971; 8.216953
76255424675840; 2.603391; -15.842878; 9.710074
76255441453056; 1.806581; -13.605590; 5.199604
76255466618880; -1.440479; -15.153746; 5.955736
76255483396096; -6.022735; -19.252651; 6.620940
76255500173312; -13.289737; -32.212177; 0.203390
76255516950528; -15.699309; -26.256443; -4.630112
76255542116352; -19.412970; -15.763916; -12.959527
76255558893568; -23.054846; -33.762726; -11.169696
76255575670784; -14.263616; -30.474989; -5.448457
76255600836608; -7.843673; -14.878572; -9.588040
76255617613824; -5.022535; -10.159925; -1.622334
76255634391040; -6.453443; -21.671795; 5.855237
76255659556864; -10.222138; -13.368700; 8.245667
76255676334080; -13.146168; -7.570891; 9.142975
76255693111296; -16.340586; -7.661818; 9.891929
76255709888512; -22.468605; -9.011370; 9.468399
76255735054336; -32.116467; -4.034299; 8.520842
76255751831552; -17.273787; 0.921237; 7.747960
76255768608768; -11.751152; 1.524228; 11.600404
76255793774592; -10.540383; 6.001199; 10.581061
76255810551808; -9.492328; 18.403198; 4.182654
76255827329024; -7.745567; 14.048262; 1.036092
76255852494848; -9.099904; 4.237689; 1.584049
76255869272064; -6.295516; 5.551349; -9.968499
76255886049280; -5.446064; 1.739582; -6.766902
76255902826496; -2.031507; 3.457629; -4.675575
76255927992320; -0.796810; -4.141976; -2.526821
76255944769536; -0.547956; -11.844472; -1.323231
76255961546752; 1.813760; -9.064013; 0.299103
76255986712576; -0.591027; -16.431513; -0.143569
76256003489792; -2.199004; -21.219551; 2.782853
76256020267008; -12.019148; -14.608182; 1.253839
76256045432832; -25.244278; -23.533411; -11.296515
76256062210048; -31.089945; -40.211384; -13.136597
76256078987264; -21.073589; -34.806000; -13.186846
76256095764480; -11.598011; -11.700903; -9.286545
76256120930304; -2.708675; -8.171490; 6.948757
76256137707520; 5.206782; -17.639889; 3.113062
76256154484736; 3.591627; -17.812172; 1.378266
76256179650560; -3.548556; -17.422142; 8.190632
76256196427776; -12.488141; -10.707881; 12.468999
76256213204992; -16.553547; -15.416956; 10.370493
76256238370816; -14.306686; -11.825330; 12.335001
76256255148032; -11.705688; -2.816352; 14.380864
76256271925248; -8.135597; -0.354138; 12.851851
76256288702464; -7.941778; -3.943372; 15.574883
76256313868288; -6.597012; 2.682354; -2.299503
76256330645504; -13.363914; 11.219945; 11.212767
76256355811328; -10.047462; -1.237089; 3.330809
76256372588544; -8.453842; 3.311666; -3.835695
76256389365760; -6.750153; -0.526421; 1.320838
76256406142976; -5.623133; -0.485743; 2.069792
76256431308800; -4.867001; -4.197011; -2.091327
76256448086016; -2.868994; -7.271788; -3.694518
76256464863232; -0.512064; -10.569098; -6.541977
76256490029056; 0.555135; -15.383457; -3.065206
76256506806272; -6.561120; -14.737394; -6.281159
76256523583488; -22.753351; -18.259630; -20.116461
76256540360704; -29.178080; -37.237106; -27.835707
76256565526528; -13.914264; -31.910683; -19.568504
76256582303744; -2.935993; -18.912870; -3.926622
76256599080960; 5.615955; -6.065805; 7.850851
76256624246784; 4.340580; -8.001599; 5.194818
76256641024000; -0.545564; -18.130417; 6.539584
76256657801216; -4.823930; -9.432507; 11.925828
76256674578432; -14.888143; -9.011370; 14.019547
76256699744256; -18.266808; -8.721839; 11.971292
76256716521472; -15.507884; -13.007384; 13.550554
76256733298688; -11.832508; -3.565306; 11.289337
76256758464512; -7.793423; 4.407579; 10.734202
76256775241728; -5.718846; -1.698904; 12.291930
76256792018944; -7.293324; 0.007178; 2.024328
76256817184768; -13.244273; 7.692925; 3.412165
76256833961984; -10.863415; -1.337588; 4.417150
76256850739200; -6.795616; 3.105884; 0.904487
76256867516416; -4.816752; 4.476971; 1.143769
76256892682240; -4.445865; -6.690332; -1.531407
76256909459456; -4.934000; -9.662218; -0.074178
76256926236672; 0.155533; -8.685946; -2.009971
76256951402496; 3.869194; -8.860622; -7.353144
76256968179712; 1.911865; -12.318251; -5.711668
76256984956928; -9.032906; -12.725031; -6.171090
76257010122752; -20.386848; -21.320049; -20.185852
76257026899968; -25.722843; -25.117458; -23.227129
76257043677184; -15.541383; -34.863426; -20.137995
76257060454400; -6.869794; -14.703896; -10.191031
76257085620224; -0.768096; -7.101898; 5.424529
76257102397440; 0.945165; -11.861222; 4.192225
76257119174656; 0.375673; -18.771694; 4.922036
76257144340480; -3.507878; -11.073983; 11.107483
76257161117696; -11.818151; -16.802401; 11.542976
76257177894912; -16.900507; -9.879965; 14.505291
76257203060736; -15.136996; -10.238888; 18.183060
76257219837952; -12.466606; -5.000999; 16.881363
