time; x; y; z
76159089901568; -0.914058; 3.780660; 8.915657
76159165399040; -1.694118; 3.223132; 9.114262
76159165399040; -1.694118; 3.223132; 9.114262
76159165399040; -1.694118; 3.223132; 9.114262
76159165399040; -1.694118; 3.223132; 9.114262
76159165399040; -1.694118; 3.223132; 9.114262
76159190564864; -1.694118; 3.223132; 9.114262
76159190564864; -1.694118; 3.223132; 9.114262
76159207342080; -2.251646; 3.761517; 9.047262
76159207342080; -2.251646; 3.761517; 9.047262
76159215730688; -2.251646; 3.761517; 9.047262
76159224119296; -2.251646; 3.761517; 9.047262
76159333171200; -3.881158; 6.041877; 6.582655
76159349948416; -3.881158; 6.041877; 6.582655
76159349948416; -3.881158; 6.041877; 6.582655
76159408668672; -4.314259; 5.900701; 4.426722
76159417057280; -4.326223; 1.631905; 2.323431
76159450611712; -4.326223; 1.631905; 2.323431
76159542886400; 3.960121; -15.273387; -4.213761
76159551275008; 3.960121; -15.273387; -4.213761
76159551275008; 3.960121; -15.273387; -4.213761
76159559663616; 3.960121; -15.273387; -4.213761
76159559663616; 3.960121; -15.273387; -4.213761
76159568052224; 3.960121; -15.273387; -4.213761
76159576440832; 3.960121; -15.273387; -4.213761
76159584829440; 3.960121; -15.273387; -4.213761
76159584829440; 5.778666; -13.134204; -5.450850
76159584829440; 5.778666; -13.134204; -5.450850
76159593218048; 5.778666; -13.134204; -5.450850
76159593218048; 5.778666; -13.134204; -5.450850
76159593218048; 5.778666; -13.134204; -5.450850
76159593218048; 5.778666; -13.134204; -5.450850
76159601606656; 5.778666; -13.134204; -5.450850
76159601606656; 5.778666; -13.134204; -5.450850
76159618383872; 5.778666; -13.134204; -5.450850
76159618383872; 5.778666; -13.134204; -5.450850
76159635161088; 4.625326; -7.934600; -5.249853
76159651938304; 4.625326; -7.934600; -5.249853
76159651938304; 4.625326; -7.934600; -5.249853
76159660326912; 4.625326; -7.934600; -5.249853
76159660326912; 4.625326; -7.934600; -5.249853
76159677104128; 4.625326; -7.934600; -5.249853
76159702269952; 1.517050; -6.199803; -1.313660
76159727435776; 0.870987; -5.307281; -1.217947
76159727435776; 0.870987; -5.307281; -1.217947
76159735824384; 0.870987; -5.307281; -1.217947
76159769378816; -6.197411; -6.080163; 1.191626
76159794544640; -6.197411; -6.080163; 1.191626
76159828099072; -9.573684; -9.525827; -2.651248
76159836487680; -9.573684; -9.525827; -2.651248
76159853264896; -9.987641; -9.561719; -2.569891
76159878430720; -11.822937; -8.633304; -3.117848
76159911985152; -17.044075; -8.178668; -6.125626
76159937150976; -18.211773; -8.386844; -6.687939
76159937150976; -18.549162; -7.996813; -7.456035
76159953928192; -18.549162; -7.996813; -7.456035
76159953928192; -18.549162; -7.996813; -7.456035
76159953928192; -18.549162; -7.996813; -7.456035
76160004259840; -21.157337; -8.980264; -13.361522
76160012648448; -21.157337; -8.980264; -13.361522
