time; x; y; z
86726135513088; 2.373680; 4.998607; 8.468200
86726135513088; 2.373680; 4.998607; 8.468200
86726143901696; 2.373680; 4.998607; 8.468200
86726143901696; 2.373680; 4.998607; 8.468200
86726152290304; 2.141576; 4.706682; 8.468200
86726160678912; 2.141576; 4.706682; 8.468200
86726185844736; 2.141576; 4.706682; 8.468200
86726185844736; 2.141576; 4.706682; 8.468200
86726211010560; 2.371287; 4.584648; 8.721839
86726219399168; 2.371287; 4.584648; 8.721839
86726219399168; 2.371287; 4.584648; 8.721839
86726227787776; 2.371287; 4.584648; 8.721839
86726236176384; 2.371287; 4.584648; 8.721839
86726236176384; 2.371287; 4.584648; 8.721839
86726252953600; 2.445465; 4.570291; 8.630911
86726261342208; 2.445465; 4.570291; 8.630911
86726261342208; 2.445465; 4.570291; 8.630911
86726261342208; 2.445465; 4.570291; 8.630911
86726261342208; 2.445465; 4.570291; 8.630911
86726311673856; 2.426322; 4.828716; 8.245667
86726320062464; 2.426322; 4.828716; 8.245667
86726328451072; 2.426322; 4.828716; 8.245667
86726328451072; 2.426322; 4.828716; 8.245667
86726345228288; 2.426322; 4.828716; 8.245667
86726353616896; 2.426322; 4.828716; 8.245667
86726387171328; 2.438286; 4.989035; 8.051848
86726412337152; 2.438286; 4.989035; 8.051848
86726412337152; 2.438286; 4.989035; 8.051848
86726412337152; 2.438286; 4.989035; 8.051848
86726429114368; 2.596213; 4.448257; 7.391429
86726429114368; 2.596213; 4.448257; 7.391429
86726471057408; 2.596213; 4.448257; 7.391429
86726479446016; 2.031507; 4.651647; 7.133004
86726479446016; 2.031507; 4.651647; 7.133004
86726487834624; 2.031507; 4.651647; 7.133004
86726496223232; 2.031507; 4.651647; 7.133004
86726496223232; 2.031507; 4.651647; 7.133004
86726521389056; 2.031507; 4.651647; 7.133004
86726529777664; 2.031507; 4.651647; 7.133004
86726538166272; 2.842673; 4.957929; 5.003392
86726546554880; 2.842673; 4.957929; 5.003392
86726554943488; 2.842673; 4.957929; 5.003392
86726554943488; 2.842673; 4.957929; 5.003392
86726605275136; 4.534399; 1.612762; 2.292324
86726613663744; 4.534399; 1.612762; 2.292324
86726622052352; 4.534399; 1.612762; 2.292324
86726622052352; 4.534399; 1.612762; 2.292324
86726630440960; 4.534399; 1.612762; 2.292324
86726638829568; 4.534399; 1.612762; 2.292324
86726663995392; 5.881558; -6.716653; 0.796810
86726672384000; 5.881558; -6.716653; 0.796810
86726680772608; 5.881558; -6.716653; 0.796810
86726689161216; 5.881558; -6.716653; 0.796810
86726689161216; 5.881558; -6.716653; 0.796810
86726697549824; 5.881558; -6.716653; 0.796810
86726714327040; 6.774081; -8.176275; 1.655833
86726722715648; 6.774081; -8.176275; 1.655833
86726722715648; 6.774081; -8.176275; 1.655833
86726731104256; 6.774081; -8.176275; 1.655833
86726731104256; 6.774081; -8.176275; 1.655833
86726739492864; 6.774081; -8.176275; 1.655833
86726747881472; 6.774081; -8.176275; 1.655833
86726756270080; 6.774081; -8.176275; 1.655833
86726764658688; 6.774081; -8.176275; 1.655833
86726764658688; 6.774081; -8.176275; 1.655833
86726773047296; 6.833901; -12.000006; -0.208176
86726773047296; 6.833901; -12.000006; -0.208176
86726806601728; 6.833901; -12.000006; -0.208176
86726814990336; 6.833901; -12.000006; -0.208176
86726823378944; 6.833901; -12.000006; -0.208176
86726823378944; 6.484550; -14.653646; -0.387637
86726865321984; 6.398408; -14.206188; -0.349352
86726873710592; 6.398408; -14.206188; -0.349352
86726932430848; 6.841080; -13.208381; -0.004786
86726949208064; 6.821938; -11.550155; 1.433301
86726949208064; 6.821938; -11.550155; 1.433301
86726957596672; 6.821938; -11.550155; 1.433301
86726974373888; 7.714460; -11.614761; 1.512264
86726974373888; 7.714460; -11.614761; 1.512264
86726982762496; 7.915457; -11.050055; 1.296910
86726991151104; 7.915457; -11.050055; 1.296910
86726991151104; 7.915457; -11.050055; 1.296910
86726999539712; 7.915457; -11.050055; 1.296910
86726999539712; 7.618747; -10.576276; 1.483550
86727007928320; 7.618747; -10.576276; 1.483550
86727007928320; 7.618747; -10.576276; 1.483550
86727024705536; 7.343573; -9.812965; 2.021935
86727033094144; 7.343573; -9.812965; 2.021935
86727041482752; 7.176075; -9.147761; 2.187040
86727041482752; 7.176075; -9.147761; 2.187040
86727049871360; 7.176075; -9.147761; 2.187040
86727108591616; 6.443871; -8.566305; 1.962115
86727116980224; 6.111269; -8.499306; 1.806581
86727125368832; 6.111269; -8.499306; 1.806581
86727142146048; 5.448457; -8.267202; 1.296910
86727150534656; 4.936393; -7.917850; 0.868595
86727167311872; 4.936393; -7.917850; 0.868595
86727167311872; 4.936393; -7.917850; 0.868595
86727175700480; 5.331209; -7.831708; 0.875773
86727175700480; 5.331209; -7.831708; 0.875773
86727192477696; 5.752346; -8.147561; 1.021735
86727200866304; 5.752346; -8.147561; 1.021735
86727217643520; 5.587241; -8.243274; 0.856631
86727226032128; 5.587241; -8.243274; 0.856631
86727234420736; 4.823930; -7.702496; 0.126820
86727242809344; 4.823930; -7.702496; 0.126820
86727251197952; 4.792824; -8.032705; -0.368495
86727276363776; 5.692525; -8.185846; -0.863809
86727293140992; 6.410372; -7.238288; -0.892523
86727309918208; 7.544570; -6.465407; -0.722632
86727335084032; 10.152746; -5.402994; -0.404387
86727351861248; 12.961920; -6.570691; -0.198604
86727368638464; 13.615161; -5.508278; 0.832702
86727385415680; 13.957335; -4.780859; 0.782453
86727410581504; 15.591632; -4.335794; 2.012364
86727427358720; 17.895920; -5.058427; 3.043670
86727444135936; 17.821743; -5.417350; 3.527021
86727460913152; 20.104496; -6.836294; 5.264210
86727486078976; 21.621546; -7.523035; 7.458428
86727511244800; 21.016161; -7.159325; 8.731410
86727528022016; 22.595425; -6.843473; 9.853643
86727544799232; 23.844477; -6.331409; 11.696117
86727561576448; 24.382862; -6.302695; 13.428520
86727578353664; 24.559931; -5.661418; 14.184652
86727595130880; 24.122046; -3.914658; 13.263416
86727620296704; 22.183859; -2.522035; 11.818151
86727637073920; 20.147566; -2.672783; 10.514063
86727653851136; 18.029919; -3.285346; 9.705289
86727679016960; 15.952949; -2.644069; 8.054241
86727695794176; 13.002598; 0.172283; 4.931607
86727712571392; 10.284351; 0.083749; 2.763710
86727737737216; 7.948957; -0.256032; 1.521835
86727754514432; 6.293124; -0.203390; -1.074377
86727771291648; 4.773681; 1.026521; -3.196811
86727788068864; 3.165704; 2.500500; -4.649254
86727813234688; 1.916651; 3.553342; -5.541777
86727830011904; 1.117448; 3.244668; -5.582455
86727846789120; 1.060020; 2.629712; -5.979664
86727871954944; 1.105484; 1.328017; -6.147161
86727888732160; 0.076570; 0.007178; -6.781260
86727905509376; 0.945165; -1.241875; -6.941578
86727930675200; 2.404787; -2.921636; -5.125426
86727947452416; 0.969093; -3.046063; -2.603391
86727964229632; 0.557528; -4.677969; -0.720240
86727981006848; 0.569492; -8.673982; -0.528814
86728006172672; -0.284746; -8.626125; 0.220140
86728022949888; -1.308874; -7.702496; -1.158126
86728039727104; -0.646062; -8.848659; -2.950350
86728064892928; 2.005185; -10.090533; -2.555535
86728081670144; 9.635897; -11.894721; -7.281359
86728098447360; 14.098511; -14.964713; -8.059027
86728123613184; 22.435104; -20.044676; -6.908079
86728140390400; 33.743584; -21.966112; -14.196617
86728157167616; 27.562923; -30.675987; -12.713067
86728173944832; 17.178074; -25.009783; -9.791430
86728199110656; 14.105689; -18.515661; -8.379665
86728215887872; 9.786645; -23.411377; -0.200997
86728232665088; 8.994620; -26.936005; 7.738389
86728257830912; 13.919049; -27.866812; 10.212567
86728274608128; 19.336399; -22.916063; 15.232709
86728291385344; 26.541189; -25.064817; 13.816158
86728316551168; 28.292734; -23.045275; 11.152946
86728333328384; 20.973091; -13.007384; 15.567704
86728350105600; 18.642481; -1.021735; 10.076176
86728366882816; 20.099710; 3.622734; 8.932407
86728392048640; 24.693930; 10.054641; 9.080762
86728408825856; 25.452454; 22.346571; -3.637090
86728425603072; 16.625332; 23.552553; -3.146562
86728450768896; 9.882358; 16.565512; -5.678168
86728467546112; 5.414958; 7.695318; -8.987442
86728484323328; 0.267996; 4.079762; -6.068198
86728509489152; -2.335395; 0.882952; -1.495514
86728526266368; -6.242874; -9.509077; 0.672383
86728543043584; -3.668197; -13.146168; -1.198804
86728559820800; 2.275574; -14.007584; -5.414958
86728584986624; 8.453842; -16.383657; -9.298509
86728601763840; 16.637297; -18.525232; -8.018349
86728618541056; 26.074589; -20.293530; -10.880164
86728635318272; 33.209984; -24.004797; -15.677774
86728660484096; 23.452055; -34.370506; -10.303494
86728677261312; 7.343573; -24.531218; -1.938186
86728694038528; 4.074977; -12.538391; -7.915457
86728719204352; 6.233303; -24.653252; 2.330609
86728735981568; 6.752545; -22.140787; 7.915457
86728752758784; 10.478170; -17.814564; 7.415358
86728777924608; 16.106089; -22.863420; 13.966906
86728803090432; 13.603197; -25.969305; 17.443678
86728811479040; 13.306487; -14.919250; 14.632111
86728836644864; 15.816558; -7.702496; 12.543177
86728853422080; 15.938592; -0.988236; 12.232109
86728870199296; 15.620346; 8.157132; 8.061419
86728886976512; 17.326429; 19.934605; 2.644069
86728912142336; 12.734602; 20.707487; 2.220539
86728928919552; 7.424929; 14.622540; -1.969293
86728954085376; 4.577470; 6.800402; -6.733403
86728970862592; 2.366502; -1.122234; -2.866601
86728987639808; -2.009971; -4.115655; -5.929415
86729004417024; -0.940379; -12.232109; -9.655040
86729021194240; -0.591027; -19.298115; -8.815159
86729046360064; -0.234497; -17.429319; -7.331609
86729063137280; 11.732010; -24.260828; -5.130212
86729079914496; 14.567504; -16.859829; -9.556933
86729105080320; 23.566910; -17.278572; -26.371298
86729121857536; 27.371498; -26.103302; -21.556940
86729138634752; 8.566305; -25.076782; -7.534998
86729163800576; -0.315853; -16.429121; 2.057827
86729180577792; -1.818545; -15.488741; -10.482956
86729197355008; 3.065206; -23.535803; -2.533999
86729214132224; 10.289138; -16.096518; 1.122234
86729239298048; 21.497118; -14.711074; 1.811367
86729256075264; 20.054247; -19.046867; 13.911871
86729272852480; 12.507284; -17.809778; 14.773287
86729298018304; 17.525034; -12.449856; 12.815958
86729314795520; 17.560925; -2.734996; 10.466207
86729331572736; 17.324036; -5.036891; 13.435699
86729356738560; 16.706688; 3.077170; 12.748959
86729373515776; 16.680367; 18.319450; 3.074777
86729390292992; 11.408978; 19.135403; 4.924429
86729415458816; 6.034698; 14.112868; 0.055035
86729432236032; 4.429115; 6.104091; -4.098905
86729449013248; 1.718047; -0.265603; -1.392623
86729465790464; -3.452843; -3.201597; -0.863809
86729490956288; -3.407379; -9.209974; -4.996214
86729507733504; -2.902494; -10.315458; -9.150154
86729524510720; 1.986043; -11.631511; -9.126225
86729549676544; 10.746166; -15.455241; -5.577670
86729566453760; 19.733608; -16.811972; -13.205988
86729583230976; 32.504105; -19.367506; -23.743979
86729600008192; 29.065617; -24.162724; -17.580069
86729625174016; 18.302700; -32.166714; -10.315458
86729641951232; 3.857230; -18.967905; -4.278367
86729658728448; 0.832702; -16.773687; -9.056833
86729683894272; 6.774081; -24.153152; -1.976472
86729700671488; 8.324630; -21.379869; 5.718846
86729717448704; 11.751152; -17.639889; 7.377072
86729742614528; 15.696917; -17.879171; 14.739787
86729759391744; 13.021741; -20.494526; 14.627325
86729776168960; 13.569697; -14.514862; 12.210574
86729792946176; 15.766309; -10.033105; 8.597412
86729818112000; 14.201403; -5.603991; 7.525427
86729834889216; 14.629718; -2.548356; 9.769895
86729851666432; 17.338392; 9.399008; 2.620141
86729876832256; 18.860228; 18.427128; 2.670390
86729893609472; 9.659825; 14.536398; 2.866601
86729910386688; 6.604190; 10.176675; -1.945365
86729927163904; 3.656233; 4.773681; -2.557927
86729952329728; -1.584049; 2.196611; -0.074178
86729969106944; -3.974478; -2.933601; -4.278367
86729985884160; -5.209175; -8.173882; -6.570691
86730011049984; -5.539384; -11.672189; -6.640083
86730027827200; 0.720240; -12.205789; -6.252446
86730044604416; 14.524433; -16.577475; -10.083355
86730069770240; 27.838099; -21.946970; -20.204994
86730086547456; 31.042088; -25.605595; -17.096718
