time; x; y; z
76495288532992; 1.194018; 4.053442; 8.496913
76495288532992; 1.194018; 4.053442; 8.496913
76495288532992; 1.194018; 4.053442; 8.496913
76495296921600; 1.194018; 4.053442; 8.496913
76495296921600; 1.194018; 4.053442; 8.496913
76495296921600; 1.194018; 4.053442; 8.496913
76495338864640; 1.426122; 3.742375; 8.645268
76495347253248; 1.426122; 3.742375; 8.645268
76495355641856; 1.426122; 3.742375; 8.645268
76495355641856; 1.426122; 3.742375; 8.645268
76495364030464; 1.426122; 3.742375; 8.645268
76495364030464; 1.426122; 3.742375; 8.645268
76495397584896; 3.072384; 4.132405; 9.544970
76495414362112; 3.072384; 4.132405; 9.544970
76495414362112; 3.072384; 4.132405; 9.544970
76495414362112; 3.072384; 4.132405; 9.544970
76495422750720; 3.072384; 4.132405; 9.544970
76495422750720; 3.072384; 4.132405; 9.544970
76495464693760; 1.627119; 4.654040; 8.583055
76495464693760; 1.627119; 4.654040; 8.583055
76495481470976; 1.627119; 4.654040; 8.583055
76495481470976; 1.627119; 4.654040; 8.583055
76495489859584; 1.627119; 4.654040; 8.583055
76495489859584; 1.627119; 4.654040; 8.583055
76495515025408; 2.732604; 7.180861; 6.659225
76495531802624; 2.732604; 7.180861; 6.659225
76495540191232; 2.732604; 7.180861; 6.659225
76495540191232; 2.732604; 7.180861; 6.659225
76495548579840; 2.732604; 7.180861; 6.659225
76495556968448; 2.732604; 7.180861; 6.659225
76495590522880; 3.203990; 5.096712; 5.522635
76495598911488; 3.203990; 5.096712; 5.522635
76495615688704; 3.203990; 5.096712; 5.522635
76495624077312; 1.718047; -8.384451; 0.241675
76495640854528; 1.718047; -8.384451; 0.241675
76495640854528; 1.718047; -8.384451; 0.241675
76495666020352; -1.658226; -16.316658; -2.079363
76495674408960; -1.658226; -16.316658; -2.079363
76495674408960; -1.658226; -16.316658; -2.079363
76495691186176; -1.658226; -16.316658; -2.079363
76495699574784; -1.658226; -16.316658; -2.079363
76495707963392; -1.658226; -16.316658; -2.079363
76495724740608; -5.625526; -12.708282; -2.045863
76495741517824; -5.625526; -12.708282; -2.045863
76495741517824; -5.625526; -12.708282; -2.045863
76495817015296; -7.613962; -11.779866; -2.431108
76495825403904; -7.613962; -11.779866; -2.431108
76495833792512; -4.637290; -7.829316; -0.334995
76495850569728; -4.125226; -6.965507; 0.354138
76495850569728; -4.125226; -6.965507; 0.354138
76495867346944; -4.125226; -6.965507; 0.354138
76495875735552; -4.125226; -6.965507; 0.354138
76495900901376; -0.334995; -6.355337; 1.249053
76495909289984; -0.334995; -6.355337; 1.249053
76495934455808; -0.334995; -6.355337; 1.249053
76495959621632; 4.596612; -5.285745; 1.969293
