time; x; y; z
73357395492864; 2.507678; 6.757331; 6.520442
73357445824512; 2.589034; 6.168697; 7.398608
73357462601728; 2.589034; 6.168697; 7.398608
73357470990336; 2.589034; 6.168697; 7.398608
73357470990336; 2.589034; 6.168697; 7.398608
73357470990336; 2.589034; 6.168697; 7.398608
73357479378944; 2.589034; 6.168697; 7.398608
73357504544768; 2.438286; 6.228518; 7.180861
73357504544768; 2.438286; 6.228518; 7.180861
73357504544768; 2.438286; 6.228518; 7.180861
73357521321984; 2.438286; 6.228518; 7.180861
73357521321984; 2.438286; 6.228518; 7.180861
73357521321984; 2.438286; 6.228518; 7.180861
73357554876416; 2.646462; 6.486942; 7.147361
73357563265024; 2.646462; 6.486942; 7.147361
73357563265024; 2.646462; 6.486942; 7.147361
73357563265024; 2.646462; 6.486942; 7.147361
73357571653632; 2.646462; 6.486942; 7.147361
73357571653632; 2.646462; 6.486942; 7.147361
73357605208064; 2.565106; 6.364908; 6.994221
73357613596672; 2.565106; 6.364908; 6.994221
73357613596672; 2.565106; 6.364908; 6.994221
73357621985280; 2.565106; 6.364908; 6.994221
73357621985280; 2.565106; 6.364908; 6.994221
73357621985280; 2.565106; 6.364908; 6.994221
73357663928320; 2.423929; 6.534799; 6.587441
73357672316928; 2.423929; 6.534799; 6.587441
73357672316928; 2.423929; 6.534799; 6.587441
73357672316928; 2.423929; 6.534799; 6.587441
73357680705536; 2.423929; 6.534799; 6.587441
73357680705536; 2.423929; 6.534799; 6.587441
73357722648576; 2.261217; 6.556334; 6.252446
73357722648576; 2.261217; 6.556334; 6.252446
73357722648576; 2.261217; 6.556334; 6.252446
73357731037184; 2.261217; 6.556334; 6.252446
73357739425792; 2.261217; 6.556334; 6.252446
73357739425792; 2.261217; 6.556334; 6.252446
73357789757440; 2.876173; 7.109076; 5.907879
73357789757440; 2.876173; 7.109076; 5.907879
73357789757440; 2.876173; 7.109076; 5.907879
73357798146048; 2.876173; 7.109076; 5.907879
73357798146048; 2.876173; 7.109076; 5.907879
73357806534656; 2.876173; 7.109076; 5.907879
73357840089088; 3.136991; 9.001799; 4.462614
73357840089088; 3.136991; 9.001799; 4.462614
73357856866304; 3.136991; 9.001799; 4.462614
73357865254912; 3.562913; 9.284152; 4.393222
73357873643520; 3.562913; 9.284152; 4.393222
73357873643520; 3.562913; 9.284152; 4.393222
73357890420736; 3.562913; 9.284152; 4.393222
73357932363776; 5.154140; 4.579863; 1.452443
73357940752384; 5.154140; 4.579863; 1.452443
73357940752384; 5.154140; 4.579863; 1.452443
73357949140992; 5.154140; 4.579863; 1.452443
73357957529600; 5.154140; 4.579863; 1.452443
73357974306816; -0.732204; -10.200603; -1.306481
73358033027072; -4.048656; -14.096118; -7.494320
73358041415680; -4.048656; -14.096118; -7.494320
73358049804288; -4.048656; -14.096118; -7.494320
73358058192896; -7.183254; -9.992428; -4.072584
73358058192896; -7.183254; -9.992428; -4.072584
73358074970112; -7.183254; -9.992428; -4.072584
73358083358720; -7.183254; -9.992428; -4.072584
73358083358720; -7.183254; -9.992428; -4.072584
73358083358720; -7.183254; -9.992428; -4.072584
73358091747328; -7.183254; -9.992428; -4.072584
73358100135936; -7.183254; -9.992428; -4.072584
73358100135936; -7.183254; -9.992428; -4.072584
73358108524544; -7.183254; -9.992428; -4.072584
73358108524544; -7.183254; -9.992428; -4.072584
73358116913152; 0.454636; -6.022735; -0.983450
73358125301760; 0.454636; -6.022735; -0.983450
73358209187840; 8.566305; -10.013963; 1.622334
73358217576448; 8.566305; -10.013963; 1.622334
73358225965056; 8.566305; -10.013963; 1.622334
73358225965056; 8.566305; -10.013963; 1.622334
73358234353664; 8.566305; -10.013963; 1.622334
73358234353664; 8.566305; -10.013963; 1.622334
73358242742272; 14.179867; -11.899507; -0.083749
73358251130880; 14.179867; -11.899507; -0.083749
73358259519488; 14.179867; -11.899507; -0.083749
73358267908096; 14.179867; -11.899507; -0.083749
73358267908096; 14.179867; -11.899507; -0.083749
73358293073920; 19.176081; -12.602997; -10.025927
73358301462528; 19.176081; -12.602997; -10.025927
73358318239744; 21.784258; -11.849257; -12.937992
73358326628352; 21.784258; -11.849257; -12.937992
73358335016960; 21.303301; -10.978271; -14.912070
73358335016960; 21.303301; -10.978271; -14.912070
73358343405568; 21.303301; -10.978271; -14.912070
73358360182784; 22.911276; -13.648661; -13.249059
73358368571392; 22.911276; -13.648661; -13.249059
73358376960000; 23.636303; -11.219945; -14.579469
73358385348608; 23.636303; -11.219945; -14.579469
73358385348608; 23.636303; -11.219945; -14.579469
73358393737216; 22.765314; -10.600204; -16.309479
73358402125824; 22.765314; -10.600204; -16.309479
73358418903040; 20.087746; -11.353944; -16.311872
73358427291648; 15.881164; -11.440085; -16.022341
73358444068864; 15.881164; -11.440085; -16.022341
73358452457472; 13.280166; -12.026326; -16.845472
73358452457472; 13.280166; -12.026326; -16.845472
73358460846080; 13.280166; -12.026326; -16.845472
73358469234688; 7.573284; -9.068798; -16.670795
73358486011904; 3.907479; -8.405986; -17.498713
73358511177728; 6.601798; -2.172683; -21.279371
73358527954944; 4.225725; 0.658026; -17.991634
73358544732160; 3.426522; 2.792424; -14.902499
73358561509376; 3.311666; 4.357330; -13.727624
73358578286592; 5.553741; 0.976272; -14.493327
73358603452416; 7.879565; -0.832702; -16.883757
73358620229632; 9.956535; -0.282353; -18.501305
73358645395456; 10.411171; 0.157926; -15.500705
73358662172672; 9.884750; -0.437887; -8.774481
