time; x; y; z
38222902067200; 2.799603; -4.125226; 9.133404
38222906261504; 2.799603; -4.125226; 9.133404
38222906261504; 2.799603; -4.125226; 9.133404
38222914650112; 2.799603; -4.125226; 9.133404
38222918844416; 2.799603; -4.125226; 9.133404
38222931427328; 2.799603; -4.125226; 9.133404
38222952398848; 4.553542; -3.359523; 11.138590
38222952398848; 4.553542; -3.359523; 11.138590
38222964981760; 4.553542; -3.359523; 11.138590
38222969176064; 4.553542; -3.359523; 11.138590
38222969176064; 4.553542; -3.359523; 11.138590
38222977564672; 4.553542; -3.359523; 11.138590
38223023702016; 1.969293; -1.890330; 8.884550
38223040479232; 1.969293; -1.890330; 8.884550
38223044673536; 1.969293; -1.890330; 8.884550
38223048867840; 1.969293; -1.890330; 8.884550
38223053062144; 1.969293; -1.890330; 8.884550
38223061450752; 1.969293; -1.890330; 8.884550
38223082422272; 2.043471; -1.517050; 9.492328
38223082422272; 2.043471; -1.517050; 9.492328
38223086616576; 2.043471; -1.517050; 9.492328
38223090810880; 2.043471; -1.517050; 9.492328
38223099199488; 2.043471; -1.517050; 9.492328
38223099199488; 2.043471; -1.517050; 9.492328
38223132753920; 2.337788; -0.983450; 9.123833
38223132753920; 2.337788; -0.983450; 9.123833
38223145336832; 2.337788; -0.983450; 9.123833
38223149531136; 2.337788; -0.983450; 9.123833
38223166308352; 2.337788; -0.983450; 9.123833
38223195668480; 2.775674; -0.165105; 8.709874
38223204057088; 2.775674; -0.165105; 8.709874
38223216640000; 2.775674; -0.165105; 8.709874
38223229222912; 2.366502; 0.035892; 8.585447
38223233417216; 2.366502; 0.035892; 8.585447
38223233417216; 2.366502; 0.035892; 8.585447
38223262777344; 2.366502; 0.035892; 8.585447
38223266971648; 2.366502; 0.035892; 8.585447
38223283748864; 2.366502; 0.035892; 8.585447
38223296331776; 1.411765; 0.832702; 8.772088
38223308914688; 1.411765; 0.832702; 8.772088
38223313108992; 1.411765; 0.832702; 8.772088
38223367634944; 1.007378; 0.634098; 8.977871
38223380217856; 1.007378; 0.634098; 8.977871
38223380217856; 1.007378; 0.634098; 8.977871
38223384412160; 1.007378; 0.634098; 8.977871
38223401189376; 1.007378; 0.634098; 8.977871
38223413772288; 0.792024; 0.488136; 9.269794
38223434743808; 0.792024; 0.488136; 9.269794
38223438938112; 0.792024; 0.488136; 9.269794
38223451521024; 0.792024; 0.488136; 9.269794
38223459909632; 0.792024; 0.488136; 9.269794
38223464103936; 0.792024; 0.488136; 9.269794
38223468298240; 0.792024; 0.488136; 9.269794
38223472492544; 0.667598; 0.952343; 9.487542
38223497658368; 0.667598; 0.952343; 9.487542
38223510241280; 0.667598; 0.952343; 9.487542
38223514435584; 0.667598; 0.952343; 9.487542
38223518629888; 0.667598; 0.952343; 9.487542
38223527018496; -0.631705; 0.378066; 9.932607
38223531212800; -0.631705; 0.378066; 9.932607
38223560572928; -0.631705; 0.378066; 9.932607
38223560572928; -0.631705; 0.378066; 9.932607
38223568961536; -0.631705; 0.378066; 9.932607
38223577350144; -0.631705; 0.378066; 9.932607
38223577350144; -0.631705; 0.378066; 9.932607
38223594127360; 1.095913; 0.287139; 10.528419
38223627681792; 1.095913; 0.287139; 10.528419
38223636070400; 1.095913; 0.287139; 10.528419
38223644459008; 0.153141; 0.425922; 10.731810
38223648653312; 0.153141; 0.425922; 10.731810
38223652847616; 0.153141; 0.425922; 10.731810
38223661236224; 0.153141; 0.425922; 10.731810
38223761899520; 3.165704; -1.057628; 10.418350
38223766093824; 3.165704; -1.057628; 10.418350
38223770288128; 3.165704; -1.057628; 10.418350
38223774482432; 3.165704; -1.057628; 10.418350
38223778676736; 3.165704; -1.057628; 10.418350
38223782871040; 3.165704; -1.057628; 10.418350
38223799648256; 3.165704; -1.057628; 10.418350
38223816425472; 3.165704; -1.057628; 10.418350
38223820619776; 3.675375; -1.237089; 10.200603
38223824814080; 3.675375; -1.237089; 10.200603
38223833202688; 3.675375; -1.237089; 10.200603
38223833202688; 3.675375; -1.237089; 10.200603
38223845785600; 3.675375; -1.237089; 10.200603
38223849979904; 3.675375; -1.237089; 10.200603
38223849979904; 3.675375; -1.237089; 10.200603
38223854174208; 3.675375; -1.237089; 10.200603
38223858368512; 3.675375; -1.237089; 10.200603
38223858368512; 3.675375; -1.237089; 10.200603
38223862562816; 3.675375; -1.237089; 10.200603
38223866757120; 3.675375; -1.237089; 10.200603
38223870951424; 3.675375; -1.237089; 10.200603
38223870951424; 3.675375; -1.237089; 10.200603
38223875145728; 3.675375; -1.237089; 10.200603
38223879340032; 2.297110; -0.622134; 8.595019
38223900311552; 2.297110; -0.622134; 8.595019
38223904505856; 2.297110; -0.622134; 8.595019
38223908700160; 2.297110; -0.622134; 8.595019
38223908700160; 2.297110; -0.622134; 8.595019
38223912894464; 2.297110; -0.622134; 8.595019
38223912894464; 2.297110; -0.622134; 8.595019
38223950643200; 1.849652; 0.088534; 8.358130
38223954837504; 1.849652; 0.088534; 8.358130
38223959031808; 1.849652; 0.088534; 8.358130
38223963226112; 1.849652; 0.088534; 8.358130
38223967420416; 1.849652; 0.088534; 8.358130
38223967420416; 1.849652; 0.088534; 8.358130
38223988391936; 1.849652; 0.088534; 8.358130
38223992586240; 2.146362; 0.454636; 8.008778
38223992586240; 2.146362; 0.454636; 8.008778
38223996780544; 2.146362; 0.454636; 8.008778
38224000974848; 2.146362; 0.454636; 8.008778
38224005169152; 2.146362; 0.454636; 8.008778
38224021946368; 2.146362; 0.454636; 8.008778
38224030334976; 2.146362; 0.454636; 8.008778
38224030334976; 2.146362; 0.454636; 8.008778
38224034529280; 2.146362; 0.454636; 8.008778
38224038723584; 2.146362; 0.454636; 8.008778
38224038723584; 2.146362; 0.454636; 8.008778
38224093249536; 3.873980; -0.007178; 8.236095
38224101638144; 3.873980; -0.007178; 8.236095
38224101638144; 3.873980; -0.007178; 8.236095
38224110026752; 4.443471; 0.330210; 8.219346
38224114221056; 4.443471; 0.330210; 8.219346
38224118415360; 4.443471; 0.330210; 8.219346
38224126803968; 4.443471; 0.330210; 8.219346
38224130998272; 4.443471; 0.330210; 8.219346
38224135192576; 4.443471; 0.330210; 8.219346
38224139386880; 4.443471; 0.330210; 8.219346
38224143581184; 4.443471; 0.330210; 8.219346
38224147775488; 4.443471; 0.330210; 8.219346
38224177135616; 3.735196; 0.421137; 8.027920
38224181329920; 3.735196; 0.421137; 8.027920
38224181329920; 3.735196; 0.421137; 8.027920
38224185524224; 3.735196; 0.421137; 8.027920
38224189718528; 3.735196; 0.421137; 8.027920
38224193912832; 3.735196; 0.421137; 8.027920
38224227467264; 3.213561; 1.038485; 8.975478
38224231661568; 3.213561; 1.038485; 8.975478
38224235855872; 3.213561; 1.038485; 8.975478
38224240050176; 3.213561; 1.038485; 8.975478
38224244244480; 3.213561; 1.038485; 8.975478
38224244244480; 3.213561; 1.038485; 8.975478
38224298770432; 4.029513; 0.373280; 10.042677
38224302964736; 4.029513; 0.373280; 10.042677
38224302964736; 4.029513; 0.373280; 10.042677
38224307159040; 4.029513; 0.373280; 10.042677
38224311353344; 4.029513; 0.373280; 10.042677
38224319741952; 4.029513; 0.373280; 10.042677
38224344907776; 4.395615; 0.897308; 10.289138
38224353296384; 4.395615; 0.897308; 10.289138
38224361684992; 4.395615; 0.897308; 10.289138
38224365879296; 4.395615; 0.897308; 10.289138
38224370073600; 4.395615; 0.897308; 10.289138
38224374267904; 4.395615; 0.897308; 10.289138
38224412016640; 2.658426; -2.201397; 12.545569
38224420405248; 2.658426; -2.201397; 12.545569
38224432988160; 2.658426; -2.201397; 12.545569
38224441376768; 2.658426; -2.201397; 12.545569
38224441376768; 2.658426; -2.201397; 12.545569
38224445571072; 2.658426; -2.201397; 12.545569
38224470736896; 2.067399; -1.177269; 9.028120
38224470736896; 2.067399; -1.177269; 9.028120
38224474931200; 2.067399; -1.177269; 9.028120
38224479125504; 2.067399; -1.177269; 9.028120
38224483319808; 2.067399; -1.177269; 9.028120
38224487514112; 2.067399; -1.177269; 9.028120
38224516874240; 1.282553; -2.476571; 9.387043
38224521068544; 1.282553; -2.476571; 9.387043
38224529457152; 1.282553; -2.476571; 9.387043
38224533651456; 1.282553; -2.476571; 9.387043
38224533651456; 1.282553; -2.476571; 9.387043
38224542040064; 1.282553; -2.476571; 9.387043
38224571400192; 1.627119; -0.923630; 7.348358
38224575594496; 1.627119; -0.923630; 7.348358
38224579788800; 1.627119; -0.923630; 7.348358
38224579788800; 1.627119; -0.923630; 7.348358
38224596566016; 1.627119; -0.923630; 7.348358
38224600760320; 1.627119; -0.923630; 7.348358
38224630120448; 2.143969; -0.952343; 6.118447
38224634314752; 2.143969; -0.952343; 6.118447
38224638509056; 2.143969; -0.952343; 6.118447
38224642703360; 2.143969; -0.952343; 6.118447
38224646897664; 2.143969; -0.952343; 6.118447
38224646897664; 2.143969; -0.952343; 6.118447
38224688840704; 3.845266; -0.763310; 6.922436
38224688840704; 3.845266; -0.763310; 6.922436
38224693035008; 3.845266; -0.763310; 6.922436
38224697229312; 3.845266; -0.763310; 6.922436
38224701423616; 3.845266; -0.763310; 6.922436
38224705617920; 3.845266; -0.763310; 6.922436
38224747560960; 4.941179; -1.634298; 6.561120
