time; x; y; z
73818911539200; -1.131805; 5.735596; 7.068398
73818911539200; -1.131805; 5.735596; 7.068398
73818911539200; -1.131805; 5.735596; 7.068398
73818911539200; -1.131805; 5.735596; 7.068398
73818919927808; -1.131805; 5.735596; 7.068398
73818928316416; -1.131805; 5.735596; 7.068398
73818961870848; -2.182254; 4.431508; 8.963513
73818978648064; -2.182254; 4.431508; 8.963513
73818987036672; -2.182254; 4.431508; 8.963513
73818995425280; -2.182254; 4.431508; 8.963513
73819003813888; -2.182254; 4.431508; 8.963513
73819003813888; -2.182254; 4.431508; 8.963513
73819020591104; -2.182254; 4.828716; 8.329415
73819028979712; -2.182254; 4.828716; 8.329415
73819028979712; -2.182254; 4.828716; 8.329415
73819028979712; -2.182254; 4.828716; 8.329415
73819037368320; -2.182254; 4.828716; 8.329415
73819037368320; -2.182254; 4.828716; 8.329415
73819079311360; -1.713261; 4.785645; 7.872386
73819079311360; -1.713261; 4.785645; 7.872386
73819079311360; -1.713261; 4.785645; 7.872386
73819079311360; -1.713261; 4.785645; 7.872386
73819087699968; -1.713261; 4.785645; 7.872386
73819096088576; -1.713261; 4.785645; 7.872386
73819138031616; -1.983650; 5.067998; 8.188239
73819138031616; -1.983650; 5.067998; 8.188239
73819138031616; -1.983650; 5.067998; 8.188239
73819146420224; -1.983650; 5.067998; 8.188239
73819146420224; -1.983650; 5.067998; 8.188239
73819154808832; -1.983650; 5.067998; 8.188239
73819196751872; -2.450250; 6.211768; 6.530013
73819205140480; -2.450250; 6.211768; 6.530013
73819213529088; -2.450250; 6.211768; 6.530013
73819213529088; -2.450250; 6.211768; 6.530013
73819230306304; -2.450250; 6.211768; 6.530013
73819230306304; -2.450250; 6.211768; 6.530013
73819255472128; -3.467200; 7.207182; 5.005785
73819255472128; -3.467200; 7.207182; 5.005785
73819263860736; -3.467200; 7.207182; 5.005785
73819272249344; -3.467200; 7.207182; 5.005785
73819280637952; -3.467200; 7.207182; 5.005785
73819289026560; -3.467200; 7.207182; 5.005785
73819314192384; -4.936393; 8.865408; 3.716053
73819314192384; -4.936393; 8.865408; 3.716053
73819330969600; -4.936393; 8.865408; 3.716053
73819339358208; -4.936393; 8.865408; 3.716053
73819356135424; -4.936393; 8.865408; 3.716053
73819364524032; -4.936393; 8.865408; 3.716053
73819389689856; -2.392823; 0.452243; 3.041278
73819398078464; -2.392823; 0.452243; 3.041278
73819406467072; -2.392823; 0.452243; 3.041278
73819414855680; -2.392823; 0.452243; 3.041278
73819414855680; -2.392823; 0.452243; 3.041278
73819423244288; -3.397808; -11.394622; 1.696511
73819440021504; -3.397808; -11.394622; 1.696511
73819448410112; -3.397808; -11.394622; 1.696511
73819456798720; -3.397808; -11.394622; 1.696511
73819473575936; -3.397808; -11.394622; 1.696511
73819473575936; -3.397808; -11.394622; 1.696511
73819481964544; 4.211368; -13.780266; -4.297510
73819523907584; 4.211368; -13.780266; -4.297510
73819532296192; 4.211368; -13.780266; -4.297510
73819540684800; 4.572684; -11.638689; -7.396215
73819549073408; 4.572684; -11.638689; -7.396215
73819557462016; 4.572684; -11.638689; -7.396215
73819557462016; 4.572684; -11.638689; -7.396215
73819599405056; 3.385844; -13.660625; -7.609176
73819624570880; 3.385844; -13.660625; -7.609176
73819641348096; 2.301895; -8.659625; -3.074777
73819649736704; 1.825724; -9.080762; -3.476771
73819674902528; 1.825724; -9.080762; -3.476771
73819683291136; 1.825724; -9.080762; -3.476771
73819708456960; 1.294517; -10.827522; -2.208575
73819716845568; 1.294517; -10.827522; -2.208575
73819742011392; 2.084148; -10.609776; -1.619941
73819758788608; 1.435694; -10.688739; -2.816352
73819775565824; 0.509671; -9.923036; -2.720639
73819783954432; 0.509671; -9.923036; -2.720639
73819792343040; 0.509671; -9.923036; -2.720639
73819792343040; 0.509671; -9.923036; -2.720639
73819792343040; 0.509671; -9.923036; -2.720639
73819800731648; 0.803988; -9.841680; -1.741975
73819809120256; 0.803988; -9.841680; -1.741975
73819825897472; 1.196411; -10.954342; -1.395016
73819842674688; 1.033699; -10.119247; -2.222932
73819851063296; 1.033699; -10.119247; -2.222932
73819867840512; 0.849452; -9.217153; -3.388237
73819867840512; 0.849452; -9.217153; -3.388237
73819876229120; 0.839881; -9.166903; -2.708675
73819893006336; 0.839881; -9.166903; -2.708675
73819893006336; 0.739382; -8.683554; -1.184447
73819893006336; 0.739382; -8.683554; -1.184447
73819893006336; 0.739382; -8.683554; -1.184447
73819901394944; 0.739382; -8.683554; -1.184447
73819909783552; 0.739382; -8.683554; -1.184447
73819934949376; -0.294317; -6.537191; -0.698704
73819951726592; -1.524228; -7.144969; -1.069592
73819968503808; -1.524228; -7.144969; -1.069592
73819968503808; -2.002793; -7.843673; -0.758525
73819976892416; -2.002793; -7.843673; -0.758525
73820002058240; -2.517249; -7.556534; 0.011964
73820018835456; -3.534199; -7.527820; 0.066999
73820035612672; -4.878965; -8.044670; -0.540778
73820052389888; -6.039485; -8.286345; -0.669990
73820060778496; -6.039485; -8.286345; -0.669990
73820069167104; -6.630512; -7.690532; -1.160519
73820094332928; -7.980063; -7.499106; -1.471586
73820102721536; -7.980063; -7.499106; -1.471586
73820111110144; -10.447063; -7.149754; -2.624926
73820136275968; -12.959527; -7.130611; -4.689932
73820136275968; -12.959527; -7.130611; -4.689932
73820144664576; -13.744373; -7.300502; -5.300102
73820153053184; -13.744373; -7.300502; -5.300102
73820169830400; -14.567504; -6.814759; -5.979664
73820178219008; -14.567504; -6.814759; -5.979664
73820186607616; -17.455641; -7.128219; -7.051648
73820203384832; -21.059233; -7.865208; -9.430114
73820220162048; -21.499512; -8.169097; -11.078769
73820245327872; -19.886749; -7.869994; -11.179267
73820262105088; -19.054047; -8.571091; -11.365908
73820278882304; -18.309879; -10.449456; -11.887543
73820295659520; -18.317057; -10.928021; -12.401999
73820320825344; -15.419349; -9.537791; -13.368700
73820345991168; -14.184652; -9.262616; -15.067604
73820362768384; -13.612768; -10.080962; -15.261423
73820379545600; -11.210374; -4.488935; -16.591833
73820396322816; -11.186446; -2.251646; -19.185652
73820413100032; -11.291730; -3.840480; -20.362921
73820438265856; -12.509677; -2.725425; -22.439890
73820455043072; -13.426127; 1.385444; -22.856241
73820471820288; -12.648460; -2.861816; -17.422142
73820488597504; -11.684153; 1.251446; -12.732209
73820513763328; -9.451650; -2.031507; -7.855637
73820530540544; -8.114061; -2.256432; -7.101898
73820547317760; -7.879565; -2.292324; -7.594819
73820572483584; -8.267202; -4.342973; -8.276773
73820589260800; -8.078169; -4.685147; -7.590034
73820606038016; -6.965507; -3.993621; -5.316852
73820622815232; -7.094719; -2.569891; -2.768496
73820647981056; -5.943771; -4.462614; 1.529014
73820664758272; -5.343173; -5.704489; 3.895515
73820681535488; -4.548756; -5.594419; 4.158726
73820706701312; -3.955336; -3.795017; 2.888137
73820723478528; -2.081756; -3.299702; 2.426322
73820748644352; -1.196411; -6.754938; 4.237689
73820765421568; -2.074577; -7.637890; 7.635497
73820782198784; -2.100898; -6.001199; 6.202196
73820798976000; -0.894916; -4.558327; -1.426122
73820815753216; -0.717847; -8.532805; -1.110270
73820840919040; -1.603191; -11.858829; 3.227918
73820857696256; -2.474179; -9.131011; 3.670590
73820874473472; -3.165704; -11.260623; 0.406780
73820899639296; -2.842673; -13.976477; -0.588634
73820916416512; -3.132205; -15.632310; 2.632105
73820933193728; -4.725825; -14.864214; 2.007578
73820949970944; -7.046863; -16.335800; -0.313460
73820975136768; -9.001799; -18.434305; -2.931208
73820991913984; -8.913264; -20.611774; -3.086741
73821008691200; -9.877572; -18.546768; -1.299303
73821033857024; -13.986049; -12.354143; -4.252046
73821050634240; -22.049860; -12.263216; -6.147161
73821067411456; -22.468605; -18.154345; -4.098905
73821092577280; -16.017555; -13.217953; -4.539185
73821109354496; -14.440684; -5.163711; -7.728817
73821126131712; -13.641482; -1.899901; -8.702696
73821151297536; -10.202995; -3.972085; -8.212168
73821168074752; -5.300102; -8.865408; -11.743974
73821184851968; 1.162912; -9.501899; -13.306487
73821201629184; 10.176675; -11.002198; -11.810972
73821226795008; 3.438486; -9.623933; -7.855637
73821243572224; -9.044869; -7.941778; -10.492527
73821260349440; 1.447658; -8.695518; -12.122040
73821285515264; -1.141376; -10.427921; -14.758930
73821302292480; -4.275974; -4.275974; -18.946369
73821319069696; -8.269595; -7.298109; -18.070597
73821335846912; -15.428921; -10.305887; -18.317057
73821361012736; -11.478371; -9.528220; -16.756937
73821377789952; -8.647661; -8.384451; -11.810972
73821394567168; -8.786445; -8.276773; -9.817751
73821419732992; -8.032705; -8.528020; -9.724431
73821436510208; -7.733603; -7.506285; -10.143175
73821453287424; -7.898707; -10.229317; -7.116254
73821478453248; -6.752545; -11.638689; -1.835295
73821495230464; -5.436493; -7.391429; 1.789831
73821512007680; -4.768896; -3.476771; 2.871387
73821528784896; -4.319045; -3.735196; 2.093720
73821553950720; -4.965107; -2.979064; 1.765903
73821570727936; -4.630112; 1.155733; 1.182054
73821587505152; -3.826123; 4.402794; -1.289731
73821612670976; -5.213961; 1.730011; -1.959722
73821629448192; -8.465807; -4.242475; 6.276374
73821646225408; -7.968100; -7.759924; 10.246066
73821671391232; -4.950750; -4.156333; 0.868595
73821688168448; -2.251646; -0.792024; -3.952943
73821704945664; -5.443672; -22.136002; 4.366901
73821730111488; -7.613962; -11.174481; 8.894122
73821746888704; -4.500899; -15.866807; 7.929814
73821763665920; -2.699104; -17.525034; 1.864009
73821788831744; -4.934000; -22.071396; 2.024328
73821805608960; -6.577869; -19.061226; 0.332602
73821822386176; -7.905886; -14.730216; -3.067599
73821839163392; -10.590633; -14.323437; -4.429115
73821864329216; -14.349757; -13.660625; -5.041677
73821881106432; -16.398014; -12.131611; -4.938786
73821897883648; -13.313665; -7.288538; -6.644868
73821923049472; -11.904293; -5.381458; -7.872386
73821939826688; -11.322837; -5.632705; -6.360123
73821956603904; -8.561520; -3.586841; -6.838687
73821973381120; -4.067799; -2.024328; -8.324630
73821998546944; 0.457029; -5.206782; -9.205189
73822015324160; 5.103891; -13.153346; -10.911271
73822032101376; 6.044270; -14.684752; -9.540184
73822048878592; 3.371487; -12.306287; -11.882757
73822074044416; -3.708875; -13.497912; -13.086347
73822090821632; 0.995414; -10.451849; -12.495320
73822107598848; -1.234697; -8.494520; -13.536198
73822132764672; -3.579663; -9.126225; -16.744972
73822149541888; -10.528419; -6.824330; -18.173489
73822166319104; -18.465412; -10.636097; -21.372692
73822191484928; -12.461821; -9.578469; -15.661024
73822208262144; -9.628718; -6.544370; -10.430314
73822225039360; -11.296515; -8.798409; -9.832108
73822250205184; -11.286944; -8.831908; -10.253245
73822266982400; -10.588241; -10.578669; -7.657032
73822283759616; -8.051848; -10.746166; -3.254239
73822308925440; -6.139983; -6.355337; -0.315853
73822325702656; -5.335995; -1.840081; -0.818345
73822342479872; -5.278567; -0.263211; -2.459822
73822359257088; -5.596812; -2.148755; 1.572084
73822384422912; -5.596812; -1.177269; 4.517649
73822401200128; -5.989235; 2.289931; 0.251246
73822417977344; -6.340980; 5.759524; -3.163311
73822443143168; -8.405986; -4.027121; 6.817152
73822459920384; -6.807580; -10.849058; 9.664611
73822476697600; -4.407579; -3.321238; 8.216953
73822501863424; -3.594020; -4.400401; 3.239882
73822518640640; -9.068798; -15.510277; 0.902094
73822535417856; -10.219746; -18.195023; 9.482756
73822552195072; -4.472186; -14.644074; 7.977671
73822577360896; -4.436293; -18.987047; 2.723032
73822594138112; -7.185647; -23.837299; -0.916451
73822610915328; -10.514063; -22.415962; -0.485743
73822636081152; -11.758330; -16.053448; -3.541378
73822652858368; -14.665610; -14.653646; -4.936393
73822669635584; -18.991833; -15.457634; -5.749953
73822686412800; -13.579268; -12.134004; -4.536792
73822711578624; -8.157132; -6.017949; -4.867001
73822728355840; -7.156932; -2.043471; -6.281159
73822745133056; -7.066005; -2.055435; -5.206782
73822770298880; -5.168497; -3.955336; -5.606383
73822787076096; -1.313660; -3.510271; -5.962914
73822803853312; 3.438486; -3.316452; -7.869994
73822829019136; 4.689932; -7.140183; -7.573284
73822845796352; 2.055435; -9.217153; -8.863015
73822862573568; 0.514457; -8.944371; -8.901300
73822879350784; -1.588834; -9.626326; -11.997613
73822904516608; -3.512664; -12.344572; -11.576476
73822921293824; -0.263211; -11.779866; -9.152547
73822938071040; -8.965906; -12.514462; -10.526027
73822963236864; -15.515062; -17.084753; -18.065811
73822980014080; -10.437492; -15.594026; -17.883957
73822996791296; -10.770095; -14.641682; -13.540983
73823021957120; -12.643675; -14.033905; -12.971492
73823038734336; -10.533205; -10.138390; -11.028520
73823055511552; -7.054041; -9.449257; -7.515856
73823072288768; -6.070591; -7.410572; -5.496314
73823097454592; -5.649454; -5.111069; -2.885744
73823114231808; -5.520242; -4.426722; -0.878166
73823139397632; -6.197411; -5.115855; -0.177069
73823156174848; -7.377072; -3.672983; 0.880559
73823172952064; -5.326423; -2.191826; 1.670190
73823189729280; -3.919444; -2.383251; 2.541178
73823206506496; -5.936593; -1.179662; 0.277567
73823231672320; -9.379865; 1.284946; 1.201197
73823248449536; -8.724232; 2.311467; 2.854637
73823265226752; -6.159125; 1.167697; 3.292524
73823290392576; -4.058227; -0.705883; 3.223132
73823307169792; -3.424129; 0.126820; 6.364908
73823332335616; -6.250053; -1.500300; 3.385844
73823349112832; -12.088540; -11.363515; 0.107677
73823365890048; -11.789437; -13.622339; 5.778666
73823382667264; -6.027520; -12.251252; 7.140183
73823407833088; -5.749953; -12.495320; 5.036891
73823424610304; -10.442278; -17.304893; 2.019542
73823441387520; -12.861422; -20.595024; 3.527021
73823458164736; -12.083755; -17.273787; 3.651447
73823483330560; -16.249659; -17.252251; -0.098106
73823500107776; -19.463219; -16.369299; -4.508078
73823516884992; -14.696716; -11.633904; -5.943771
73823542050816; -11.739188; -8.219346; -5.924629
73823558828032; -11.763116; -8.384451; -5.254639
73823575605248; -9.934999; -4.661219; -7.211967
73823592382464; -5.673382; -2.318645; -8.958728
73823617548288; -2.237289; -3.297310; -6.486942
73823634325504; 1.083949; -6.147161; -6.482157
73823651102720; 3.897908; -7.463214; -9.343972
73823676268544; 4.144369; -8.243274; -9.700503
73823693045760; 2.160719; -8.595019; -9.001799
73823709822976; -0.507278; -7.609176; -10.085748
73823734988800; -0.258425; -10.693524; -12.323036
73823751766016; -1.134198; -12.045469; -10.327422
73823768543232; -5.340780; -8.970692; -13.454842
73823785320448; -14.395221; -9.901500; -17.726030
73823810486272; -14.081761; -13.993227; -20.099710
73823827263488; -9.925428; -9.748360; -14.641682
73823844040704; -12.691531; -12.550355; -13.567305
73823869206528; -11.401800; -12.375679; -9.444471
73823885983744; -9.702896; -11.365908; -6.699903
73823902760960; -7.668997; -10.435100; -2.756532
73823919538176; -6.063413; -10.269995; 1.155733
73823944704000; -6.273981; -7.599605; 1.782653
