time; x; y; z
74078698340352; 1.531407; 5.673382; 8.288737
74078706728960; 1.531407; 5.673382; 8.288737
74078757060608; 1.722832; 4.699504; 8.063812
74078757060608; 1.722832; 4.699504; 8.063812
74078757060608; 1.722832; 4.699504; 8.063812
74078757060608; 1.722832; 4.699504; 8.063812
74078765449216; 1.722832; 4.699504; 8.063812
74078773837824; 1.722832; 4.699504; 8.063812
74078807392256; 1.797010; 5.257031; 8.626125
74078832558080; 1.797010; 5.257031; 8.626125
74078832558080; 1.797010; 5.257031; 8.626125
74078832558080; 1.797010; 5.257031; 8.626125
74078840946688; 1.797010; 5.257031; 8.626125
74078849335296; 1.797010; 5.257031; 8.626125
74078866112512; 1.828117; 4.723432; 8.367701
74078874501120; 1.828117; 4.723432; 8.367701
74078882889728; 1.828117; 4.723432; 8.367701
74078882889728; 1.828117; 4.723432; 8.367701
74078891278336; 1.828117; 4.723432; 8.367701
74078891278336; 1.828117; 4.723432; 8.367701
74078933221376; 1.670190; 5.091927; 8.054241
74078941609984; 1.670190; 5.091927; 8.054241
74078941609984; 1.670190; 5.091927; 8.054241
74078941609984; 1.670190; 5.091927; 8.054241
74078949998592; 1.670190; 5.091927; 8.054241
74078949998592; 1.670190; 5.091927; 8.054241
74078983553024; 2.012364; 5.412565; 6.704689
74078983553024; 2.012364; 5.412565; 6.704689
74078991941632; 2.012364; 5.412565; 6.704689
74079000330240; 2.012364; 5.412565; 6.704689
74079000330240; 2.012364; 5.412565; 6.704689
74079008718848; 2.012364; 5.412565; 6.704689
74079042273280; 5.534599; 7.267003; 4.218546
74079050661888; 5.534599; 7.267003; 4.218546
74079050661888; 5.534599; 7.267003; 4.218546
74079059050496; 5.534599; 7.267003; 4.218546
74079059050496; 5.534599; 7.267003; 4.218546
74079067439104; 5.534599; 7.267003; 4.218546
74079100993536; 3.208775; 6.611369; 3.852444
74079109382144; 3.208775; 6.611369; 3.852444
74079117770752; 3.208775; 6.611369; 3.852444
74079126159360; 3.208775; 6.611369; 3.852444
74079134547968; 3.208775; 6.611369; 3.852444
74079134547968; 3.208775; 6.611369; 3.852444
74079151325184; 4.256832; -8.702696; 2.208575
74079159713792; 4.256832; -8.702696; 2.208575
74079168102400; 4.256832; -8.702696; 2.208575
74079176491008; 4.256832; -8.702696; 2.208575
74079193268224; 4.256832; -8.702696; 2.208575
74079218434048; -1.399801; -14.742180; 1.529014
74079251988480; -1.399801; -14.742180; 1.529014
74079268765696; -1.399801; -14.742180; 1.529014
74079268765696; -5.139783; -12.985848; -1.067199
74079285542912; -5.139783; -12.985848; -1.067199
74079285542912; -5.139783; -12.985848; -1.067199
74079293931520; -5.139783; -12.985848; -1.067199
74079310708736; -5.139783; -12.985848; -1.067199
74079319097344; -5.139783; -12.985848; -1.067199
74079327485952; -5.139783; -12.985848; -1.067199
74079327485952; -4.235296; -11.090733; -1.210768
74079335874560; -4.235296; -11.090733; -1.210768
74079335874560; -4.235296; -11.090733; -1.210768
74079369428992; -4.235296; -11.090733; -1.210768
74079377817600; -4.235296; -11.090733; -1.210768
74079386206208; -2.419144; -8.202596; 0.023928
74079444926464; 0.057428; -8.417950; 1.215554
74079453315072; 0.057428; -8.417950; 1.215554
74079478480896; 0.057428; -8.417950; 1.215554
74079562366976; 5.950950; -7.077970; -0.433101
74079562366976; 5.950950; -7.077970; -0.433101
74079587532800; 6.348158; -7.338787; -2.770889
74079587532800; 6.348158; -7.338787; -2.770889
74079604310016; 7.149754; -8.233703; -2.440679
74079604310016; 7.149754; -8.233703; -2.440679
74079646253056; 10.380065; -9.611969; -2.498107
74079646253056; 10.380065; -9.611969; -2.498107
74079654641664; 10.380065; -9.611969; -2.498107
74079663030272; 11.284552; -8.334201; -5.075177
74079679807488; 13.380664; -9.473185; -7.276574
74079688196096; 13.380664; -9.473185; -7.276574
