time; x; y; z
97471388712960; -1.864009; 2.074577; 9.286545
97471397101568; -1.864009; 2.074577; 9.286545
97471397101568; -1.864009; 2.074577; 9.286545
97471405490176; -1.864009; 2.074577; 9.286545
97471405490176; -1.864009; 2.074577; 9.286545
97471405490176; -1.864009; 2.074577; 9.286545
97471455821824; -1.952543; 2.187040; 9.257831
97471464210432; -1.952543; 2.187040; 9.257831
97471472599040; -1.952543; 2.187040; 9.257831
97471480987648; -1.952543; 2.187040; 9.257831
97471489376256; -1.983650; 2.086541; 9.511470
97471489376256; -1.983650; 2.086541; 9.511470
97471506153472; -1.983650; 2.086541; 9.511470
97471514542080; -1.983650; 2.086541; 9.511470
97471522930688; -1.983650; 2.086541; 9.511470
97471522930688; -1.983650; 2.086541; 9.511470
97471531319296; -1.983650; 2.086541; 9.511470
97471531319296; -1.983650; 2.086541; 9.511470
97471581650944; -2.074577; 2.545963; 9.511470
97471581650944; -2.074577; 2.545963; 9.511470
97471598428160; -2.074577; 2.545963; 9.511470
97471598428160; -2.074577; 2.545963; 9.511470
97471606816768; -2.060220; 2.072184; 9.516255
97471615205376; -2.060220; 2.072184; 9.516255
97471640371200; -2.060220; 2.072184; 9.516255
97471648759808; -2.060220; 2.072184; 9.516255
97471657148416; -2.060220; 2.072184; 9.516255
97471657148416; -2.060220; 2.072184; 9.516255
97471665537024; -1.923829; 2.433501; 9.236296
97471673925632; -1.923829; 2.433501; 9.236296
97471699091456; -1.923829; 2.433501; 9.236296
97471707480064; -1.923829; 2.433501; 9.236296
97471715868672; -1.923829; 2.433501; 9.236296
97471715868672; -1.837688; 2.280360; 9.104691
97471724257280; -1.837688; 2.280360; 9.104691
97471732645888; -1.837688; 2.280360; 9.104691
97471766200320; -1.837688; 2.280360; 9.104691
97471782977536; -1.789831; 2.036292; 9.133404
97471791366144; -1.789831; 2.036292; 9.133404
97471799754752; -1.789831; 2.036292; 9.133404
97471799754752; -1.789831; 2.036292; 9.133404
97471808143360; -1.789831; 2.036292; 9.133404
97471841697792; -1.952543; 2.108077; 9.152547
97471850086400; -1.952543; 2.108077; 9.152547
97471850086400; -1.952543; 2.108077; 9.152547
97471866863616; -1.952543; 2.108077; 9.152547
97471866863616; -1.952543; 2.108077; 9.152547
97471883640832; -1.952543; 2.108077; 9.152547
97471917195264; -1.892723; 2.545963; 8.382058
97471925583872; -1.892723; 2.545963; 8.382058
97471933972480; -1.892723; 2.545963; 8.382058
97471933972480; -1.892723; 2.545963; 8.382058
97471933972480; -1.892723; 2.545963; 8.382058
97471950749696; -2.584249; 2.591427; 7.867601
97471984304128; -2.584249; 2.591427; 7.867601
97471984304128; -2.584249; 2.591427; 7.867601
97471992692736; -2.584249; 2.591427; 7.867601
97472001081344; -2.584249; 2.591427; 7.867601
97472001081344; -2.584249; 2.591427; 7.867601
97472001081344; -2.584249; 2.591427; 7.867601
97472043024384; -3.577270; 1.170090; 8.781659
97472068190208; -3.730411; 1.241875; 8.901300
97472076578816; -3.730411; 1.241875; 8.901300
97472084967424; -3.730411; 1.241875; 8.901300
