time; x; y; z
97563243970560; -2.505285; 2.620141; 9.195618
97563243970560; -2.505285; 2.620141; 9.195618
97563243970560; -2.505285; 2.620141; 9.195618
97563243970560; -2.505285; 2.620141; 9.195618
97563252359168; -2.505285; 2.620141; 9.195618
97563285913600; -2.440679; 2.691926; 9.044869
97563294302208; -2.440679; 2.691926; 9.044869
97563311079424; -2.440679; 2.691926; 9.044869
97563319468032; -2.440679; 2.691926; 9.044869
97563327856640; -2.440679; 2.691926; 9.044869
97563336245248; -2.526821; 2.577070; 9.107083
97563361411072; -2.526821; 2.577070; 9.107083
97563369799680; -2.526821; 2.577070; 9.107083
97563369799680; -2.526821; 2.577070; 9.107083
97563386576896; -2.526821; 2.577070; 9.107083
97563394965504; -2.522035; 2.431108; 9.257831
97563403354112; -2.522035; 2.431108; 9.257831
97563411742720; -2.522035; 2.431108; 9.257831
97563411742720; -2.522035; 2.431108; 9.257831
97563420131328; -2.522035; 2.431108; 9.257831
97563420131328; -2.522035; 2.431108; 9.257831
97563428519936; -2.522035; 2.431108; 9.257831
97563428519936; -2.522035; 2.431108; 9.257831
97563453685760; -2.459822; 2.830709; 9.214760
97563453685760; -2.459822; 2.830709; 9.214760
97563462074368; -2.459822; 2.830709; 9.214760
97563470462976; -2.459822; 2.830709; 9.214760
97563470462976; -2.459822; 2.830709; 9.214760
97563470462976; -2.459822; 2.830709; 9.214760
97563512406016; -2.579463; 2.522035; 9.068798
97563520794624; -2.579463; 2.522035; 9.068798
97563529183232; -2.579463; 2.522035; 9.068798
97563545960448; -2.579463; 2.522035; 9.068798
97563571126272; -2.371287; 2.900101; 8.779266
97563579514880; -2.371287; 2.900101; 8.779266
97563604680704; -2.371287; 2.900101; 8.779266
97563613069312; -2.471786; 3.136991; 7.977671
97563613069312; -2.471786; 3.136991; 7.977671
97563613069312; -2.471786; 3.136991; 7.977671
97563621457920; -2.471786; 3.136991; 7.977671
97563629846528; -2.471786; 3.136991; 7.977671
97563638235136; -2.471786; 3.136991; 7.977671
97563638235136; -2.471786; 3.136991; 7.977671
97563655012352; -2.471786; 3.136991; 7.977671
97563655012352; -2.471786; 3.136991; 7.977671
97563705344000; -2.955136; 3.783053; 6.640083
97563713732608; -2.955136; 3.783053; 6.640083
97563730509824; -4.027121; 3.804588; 6.199803
97563738898432; -4.027121; 3.804588; 6.199803
97563747287040; -4.027121; 3.804588; 6.199803
97563755675648; -4.027121; 3.804588; 6.199803
97563772452864; -4.027121; 3.804588; 6.199803
97563780841472; -5.166104; 3.510271; 5.087141
97563789230080; -5.166104; 3.510271; 5.087141
97563797618688; -5.166104; 3.510271; 5.087141
97563806007296; -5.166104; 3.510271; 5.087141
97563806007296; -5.166104; 3.510271; 5.087141
97563822784512; -5.166104; 3.510271; 5.087141
97563831173120; -7.384251; 2.218147; 4.398008
97563831173120; -7.384251; 2.218147; 4.398008
97563839561728; -7.384251; 2.218147; 4.398008
97563839561728; -7.384251; 2.218147; 4.398008
97563856338944; -7.384251; 2.218147; 4.398008
97563889893376; -9.899107; -2.074577; -1.095913
97563889893376; -9.899107; -2.074577; -1.095913
97563906670592; -9.899107; -2.074577; -1.095913
97563906670592; -9.899107; -2.074577; -1.095913
97563940225024; -11.621940; -5.936593; -5.747560
97563940225024; -11.621940; -5.936593; -5.747560
