time; x; y; z
97271169417216; 0.997807; 4.481757; 8.793623
97271186194432; 0.997807; 4.481757; 8.793623
97271219748864; 0.988236; 4.350152; 8.810373
97271228137472; 0.988236; 4.350152; 8.810373
97271236526080; 0.988236; 4.350152; 8.810373
97271236526080; 0.988236; 4.350152; 8.810373
97271270080512; 0.952343; 4.378865; 8.549556
97271286857728; 0.952343; 4.378865; 8.549556
97271286857728; 0.952343; 4.378865; 8.549556
97271295246336; 0.952343; 4.378865; 8.549556
97271320412160; 1.081556; 4.302295; 8.678768
97271345577984; 1.081556; 4.302295; 8.678768
97271379132416; 0.952343; 4.364509; 8.573483
97271404298240; 0.952343; 4.364509; 8.573483
97271412686848; 0.952343; 4.364509; 8.573483
97271412686848; 0.952343; 4.364509; 8.573483
97271437852672; 1.155733; 4.173083; 8.391629
97271446241280; 1.155733; 4.173083; 8.391629
97271479795712; 1.584049; 4.223332; 7.465607
97271504961536; 1.584049; 4.223332; 7.465607
97271521738752; 1.584049; 4.223332; 7.465607
97271530127360; 1.584049; 4.223332; 7.465607
97271546904576; 2.333002; 4.010371; 5.173283
97271546904576; 2.333002; 4.010371; 5.173283
97271572070400; 2.333002; 4.010371; 5.173283
97271580459008; 2.333002; 4.010371; 5.173283
97271614013440; 2.928815; 4.393222; 3.290131
97271614013440; 2.928815; 4.393222; 3.290131
97271630790656; 2.928815; 4.393222; 3.290131
97271647567872; 2.928815; 4.393222; 3.290131
97271731453952; 9.332008; 0.401994; 3.586841
97271731453952; 9.332008; 0.401994; 3.586841
97271739842560; 9.332008; 0.401994; 3.586841
97271748231168; 9.332008; 0.401994; 3.586841
97271756619776; 9.332008; 0.401994; 3.586841
97271756619776; 9.332008; 0.401994; 3.586841
97271765008384; 9.332008; 0.401994; 3.586841
97271773396992; 11.621940; -2.452643; 2.443072
97271773396992; 11.621940; -2.452643; 2.443072
97271781785600; 11.621940; -2.452643; 2.443072
97271790174208; 11.621940; -2.452643; 2.443072
97271806951424; 11.621940; -2.452643; 2.443072
97271806951424; 11.621940; -2.452643; 2.443072
97271806951424; 11.621940; -2.452643; 2.443072
97271815340032; 11.621940; -2.452643; 2.443072
97271815340032; 11.621940; -2.452643; 2.443072
