time; x; y; z
97404707667968; 1.160519; 2.160719; 9.413364
97404724445184; 1.160519; 2.160719; 9.413364
97404724445184; 1.160519; 2.160719; 9.413364
97404749611008; 1.021735; 2.462214; 9.274581
97404766388224; 1.021735; 2.462214; 9.274581
97404783165440; 1.021735; 2.462214; 9.274581
97404783165440; 1.021735; 2.462214; 9.274581
97404791554048; 1.021735; 2.462214; 9.274581
97404791554048; 1.021735; 2.462214; 9.274581
97404825108480; 1.105484; 2.734996; 9.293723
97404833497088; 1.105484; 2.734996; 9.293723
97404841885696; 1.105484; 2.734996; 9.293723
97404841885696; 1.105484; 2.734996; 9.293723
97404841885696; 1.105484; 2.734996; 9.293723
97404858662912; 1.105484; 2.734996; 9.293723
97404867051520; 1.359123; 2.639283; 9.468399
97404875440128; 1.359123; 2.639283; 9.468399
97404875440128; 1.359123; 2.639283; 9.468399
97404875440128; 1.359123; 2.639283; 9.468399
97404883828736; 1.359123; 2.639283; 9.468399
97404892217344; 1.359123; 2.639283; 9.468399
97404925771776; 1.306481; 2.622534; 9.422935
97404925771776; 1.306481; 2.622534; 9.422935
97404934160384; 1.306481; 2.622534; 9.422935
97404934160384; 1.306481; 2.622534; 9.422935
97404942548992; 1.306481; 2.622534; 9.422935
97404942548992; 1.306481; 2.622534; 9.422935
97404984492032; 1.222732; 2.555535; 9.186047
97404992880640; 1.222732; 2.555535; 9.186047
97405009657856; 1.222732; 2.555535; 9.186047
97405026435072; 1.222732; 2.555535; 9.186047
97405034823680; 1.261018; 2.725425; 8.341380
97405043212288; 1.261018; 2.725425; 8.341380
97405059989504; 1.261018; 2.725425; 8.341380
97405059989504; 1.261018; 2.725425; 8.341380
97405076766720; 1.261018; 2.725425; 8.341380
97405093543936; 1.612762; 3.326024; 6.345766
97405110321152; 1.909472; 3.857230; 5.357530
97405118709760; 1.909472; 3.857230; 5.357530
97405127098368; 1.909472; 3.857230; 5.357530
97405135486976; 1.909472; 3.857230; 5.357530
97405143875584; 1.909472; 3.857230; 5.357530
97405143875584; 1.909472; 3.857230; 5.357530
97405152264192; 1.909472; 3.857230; 5.357530
97405169041408; 2.967100; 3.227918; 3.060420
97405177430016; 2.967100; 3.227918; 3.060420
97405219373056; 4.503292; 2.426322; 2.261217
97405227761664; 4.503292; 2.426322; 2.261217
97405227761664; 4.503292; 2.426322; 2.261217
97405236150272; 4.503292; 2.426322; 2.261217
97405244538880; 4.503292; 2.426322; 2.261217
97405244538880; 4.503292; 2.426322; 2.261217
97405269704704; 8.231310; 0.753739; 0.902094
97405278093312; 8.231310; 0.753739; 0.902094
97405278093312; 8.231310; 0.753739; 0.902094
97405286481920; 8.231310; 0.753739; 0.902094
97405320036352; 13.746766; -4.208975; 1.107877
97405328424960; 13.746766; -4.208975; 1.107877
97405328424960; 13.746766; -4.208975; 1.107877
97405336813568; 13.746766; -4.208975; 1.107877
