time; x; y; z
96866377138176; -0.435494; 5.682954; 8.126026
96866385526784; -0.435494; 5.682954; 8.126026
96866385526784; -0.435494; 5.682954; 8.126026
96866385526784; -0.435494; 5.682954; 8.126026
96866393915392; -0.435494; 5.682954; 8.126026
96866393915392; -0.435494; 5.682954; 8.126026
96866461024256; -0.873380; 4.945964; 8.595019
96866469412864; -0.873380; 4.945964; 8.595019
96866469412864; -0.873380; 4.945964; 8.595019
96866469412864; -0.873380; 4.945964; 8.595019
96866477801472; -0.873380; 4.945964; 8.595019
96866477801472; -0.873380; 4.945964; 8.595019
96866502967296; -0.480957; 5.338387; 8.164310
96866511355904; -0.480957; 5.338387; 8.164310
96866519744512; -0.480957; 5.338387; 8.164310
96866544910336; -0.480957; 5.338387; 8.164310
96866553298944; -0.488136; 5.091927; 7.977671
96866553298944; -0.488136; 5.091927; 7.977671
96866595241984; -0.488136; 5.091927; 7.977671
96866603630592; -0.488136; 5.091927; 7.977671
96866628796416; -1.100698; 5.271388; 7.097112
96866628796416; -1.100698; 5.271388; 7.097112
96866637185024; -1.100698; 5.271388; 7.097112
96866653962240; -1.100698; 5.271388; 7.097112
96866737848320; -2.538785; 9.178867; 3.369094
96866746236928; -2.538785; 9.178867; 3.369094
96866754625536; -6.518049; 5.883951; 3.113062
96866754625536; -6.518049; 5.883951; 3.113062
96866763014144; -6.518049; 5.883951; 3.113062
96866763014144; -6.518049; 5.883951; 3.113062
96866788179968; -6.518049; 5.883951; 3.113062
96866796568576; -6.518049; 5.883951; 3.113062
96866804957184; -6.518049; 5.883951; 3.113062
96866813345792; -5.826523; -2.981457; 1.801795
96866821734400; -5.826523; -2.981457; 1.801795
96866830123008; -5.826523; -2.981457; 1.801795
96866830123008; -5.826523; -2.981457; 1.801795
96866846900224; -5.826523; -2.981457; 1.801795
96866846900224; -5.826523; -2.981457; 1.801795
96866863677440; 0.222533; -14.565111; -2.739782
96866880454656; 0.222533; -14.565111; -2.739782
96866897231872; 0.222533; -14.565111; -2.739782
96866897231872; 0.222533; -14.565111; -2.739782
96866914009088; 0.222533; -14.565111; -2.739782
96866914009088; 0.222533; -14.565111; -2.739782
96866964340736; 4.230510; -16.063019; -5.242674
96866964340736; 4.230510; -16.063019; -5.242674
96866972729344; 4.230510; -16.063019; -5.242674
96866972729344; 4.230510; -16.063019; -5.242674
96866981117952; 4.230510; -16.063019; -5.242674
96866989506560; 5.903093; -13.564912; -6.120841
96867090169856; 4.993821; -9.300901; -3.304488
96867098558464; 4.993821; -9.300901; -3.304488
96867098558464; 4.993821; -9.300901; -3.304488
96867098558464; 4.993821; -9.300901; -3.304488
96867106947072; 4.993821; -9.300901; -3.304488
96867115335680; 4.993821; -9.300901; -3.304488
96867165667328; 2.170290; -8.669196; 1.045663
96867182444544; 2.170290; -8.669196; 1.045663
