time; x; y; z
38780471869440; -2.182254; 3.582056; 8.322237
38780476063744; -2.182254; 3.582056; 8.322237
38780484452352; -2.182254; 3.582056; 8.322237
38780497035264; -2.182254; 3.582056; 8.322237
38780497035264; -2.182254; 3.582056; 8.322237
38780497035264; -2.182254; 3.582056; 8.322237
38780538978304; -1.878366; 3.833302; 8.841479
38780538978304; -1.878366; 3.833302; 8.841479
38780543172608; -1.878366; 3.833302; 8.841479
38780547366912; -1.878366; 3.833302; 8.841479
38780547366912; -1.878366; 3.833302; 8.841479
38780547366912; -1.878366; 3.833302; 8.841479
38780589309952; -2.067399; 3.888337; 8.745767
38780597698560; -2.067399; 3.888337; 8.745767
38780597698560; -2.067399; 3.888337; 8.745767
38780606087168; -2.067399; 3.888337; 8.745767
38780606087168; -2.067399; 3.888337; 8.745767
38780610281472; -2.067399; 3.888337; 8.745767
38780652224512; -2.258825; 3.778267; 8.822337
38780656418816; -2.258825; 3.778267; 8.822337
38780664807424; -2.258825; 3.778267; 8.822337
38780664807424; -2.258825; 3.778267; 8.822337
38780669001728; -2.258825; 3.778267; 8.822337
38780673196032; -2.258825; 3.778267; 8.822337
38780715139072; -2.187040; 3.869194; 8.800801
38780715139072; -2.187040; 3.869194; 8.800801
38780719333376; -2.187040; 3.869194; 8.800801
38780723527680; -2.187040; 3.869194; 8.800801
38780731916288; -2.187040; 3.869194; 8.800801
38780736110592; -2.187040; 3.869194; 8.800801
38780761276416; -2.380858; 4.225725; 8.358130
38780765470720; -2.380858; 4.225725; 8.358130
38780773859328; -2.380858; 4.225725; 8.358130
38780778053632; -2.380858; 4.225725; 8.358130
38780786442240; -2.380858; 4.225725; 8.358130
38780790636544; -2.380858; 4.225725; 8.358130
38780828385280; -3.235096; 5.295317; 7.001399
38780840968192; -3.235096; 5.295317; 7.001399
38780845162496; -3.235096; 5.295317; 7.001399
38780849356800; -3.235096; 5.295317; 7.001399
38780849356800; -3.235096; 5.295317; 7.001399
38780853551104; -3.235096; 5.295317; 7.001399
38780887105536; -3.859623; 7.702496; 5.948557
38780899688448; -3.859623; 7.702496; 5.948557
38780899688448; -3.859623; 7.702496; 5.948557
38780903882752; -3.859623; 7.702496; 5.948557
38780908077056; -3.859623; 7.702496; 5.948557
38780912271360; -3.859623; 7.702496; 5.948557
38780937437184; -1.500300; 0.131605; 2.813959
38780941631488; -1.500300; 0.131605; 2.813959
38780950020096; -1.500300; 0.131605; 2.813959
38780950020096; -1.500300; 0.131605; 2.813959
38780954214400; -1.500300; 0.131605; 2.813959
38780983574528; 2.388037; -13.225131; -0.847059
38780987768832; 2.388037; -13.225131; -0.847059
38780991963136; 2.388037; -13.225131; -0.847059
38781000351744; 2.388037; -13.225131; -0.847059
38781004546048; 2.388037; -13.225131; -0.847059
38781012934656; 2.388037; -13.225131; -0.847059
38781046489088; 4.498507; -11.581262; -2.493321
38781054877696; 4.498507; -11.581262; -2.493321
38781088432128; 4.498507; -11.581262; -2.493321
38781092626432; 4.498507; -11.581262; -2.493321
38781101015040; 4.074977; -9.104691; -2.976671
38781109403648; 4.074977; -9.104691; -2.976671
38781147152384; 4.074977; -9.104691; -2.976671
38781147152384; 4.074977; -9.104691; -2.976671
38781176512512; -0.837488; -5.625526; 1.284946
38781201678336; -0.837488; -5.625526; 1.284946
38781218455552; -0.837488; -5.625526; 1.284946
38781222649856; -0.837488; -5.625526; 1.284946
38781243621376; -7.391429; -5.331209; -1.129412
38781243621376; -7.391429; -5.331209; -1.129412
38781247815680; -7.391429; -5.331209; -1.129412
38781252009984; -7.391429; -5.331209; -1.129412
38781256204288; -7.391429; -5.331209; -1.129412
38781264592896; -7.391429; -5.331209; -1.129412
38781268787200; -7.391429; -5.331209; -1.129412
38781277175808; -7.391429; -5.331209; -1.129412
38781285564416; -7.391429; -5.331209; -1.129412
38781306535936; -12.954741; -8.386844; -3.919444
38781319118848; -12.954741; -8.386844; -3.919444
38781319118848; -12.954741; -8.386844; -3.919444
38781319118848; -12.954741; -8.386844; -3.919444
38781348478976; -14.818750; -9.664611; -5.051249
38781369450496; -16.024733; -11.803794; -5.295317
38781373644800; -18.439091; -11.277373; -6.273981
38781377839104; -18.439091; -11.277373; -6.273981
38781377839104; -18.439091; -11.277373; -6.273981
38781386227712; -18.439091; -11.277373; -6.273981
38781423976448; -21.590439; -8.482556; -8.853444
38781428170752; -22.337000; -9.566504; -11.117054
38781440753664; -22.337000; -9.566504; -11.117054
38781440753664; -22.337000; -9.566504; -11.117054
38781444947968; -22.337000; -9.566504; -11.117054
38781474308096; -19.769501; -9.949356; -11.739188
38781478502400; -19.769501; -9.949356; -11.739188
38781495279616; -17.874386; -9.738789; -12.078969
38781503668224; -17.874386; -9.738789; -12.078969
38781520445440; -16.089340; -10.478170; -12.626925
38781545611264; -14.550755; -9.817751; -12.492927
38781549805568; -12.985848; -8.123632; -12.363714
38781570777088; -11.184053; -6.984649; -13.519448
38781591748608; -9.836894; -6.400801; -15.553348
38781595942912; -9.836894; -6.400801; -15.553348
38781595942912; -9.836894; -6.400801; -15.553348
38781604331520; -9.836894; -6.400801; -15.553348
38781608525824; -8.815159; -5.194818; -16.912470
38781616914432; -8.815159; -5.194818; -16.912470
38781625303040; -7.759924; -4.287938; -17.132610
38781646274560; -6.314659; -3.393023; -16.206587
38781663051776; -5.955736; -2.761317; -14.280366
38781684023296; -5.455636; -1.919044; -12.160325
38781700800512; -5.084748; -0.835095; -9.851251
38781721772032; -3.629912; -2.486143; -6.422336
38781738549248; -3.256632; -4.256832; -7.563713
38781759520768; -3.553342; -3.309274; -8.678768
38781780492288; -2.909672; -4.584648; -6.451050
38781797269504; -2.584249; -4.816752; -4.924429
38781822435328; -2.519642; -3.826123; -3.761517
38781839212544; -2.825923; -2.557927; -2.261217
38781855989760; -2.718246; -1.450050; -0.251246
38781876961280; -3.445665; -2.289931; 0.600598
38781893738496; -3.450450; -2.770889; 2.364109
38781918904320; -2.170290; -3.349952; 4.500899
38781935681536; -1.478764; -2.651248; 4.608576
38781952458752; -2.045863; -1.696511; 3.780660
38781973430272; -2.811567; -1.823331; 0.990629
38781994401792; -0.854238; -5.692525; 2.581856
38782011179008; -2.242075; -5.079962; 3.713661
38782032150528; -0.576670; -1.768296; 4.048656
38782048927744; -0.533599; -3.192025; 4.969893
38782069899264; -1.036092; -6.443871; 7.125826
38782086676480; 0.052642; -7.688139; 9.279366
38782107648000; 1.244268; -8.556734; 10.439885
38782128619520; -0.100499; -11.933006; 10.695917
38782149591040; -1.306481; -14.763716; 14.383257
38782166368256; -3.089134; -18.826729; 18.446270
38782187339776; -6.532406; -20.717058; 13.177275
38782204116992; -10.308280; -17.008183; 3.732803
38782225088512; -14.799608; -17.867207; 3.158526
38782241865728; -14.048262; -14.746966; 5.895915
38782262837248; -13.768302; -13.926228; 5.692525
38782279614464; -13.349558; -8.819944; -3.419343
38782300585984; -9.798609; -9.968499; -3.031706
38782325751808; -6.436693; -12.557533; 0.928415
38782338334720; -2.926422; -9.446864; -0.521635
38782359306240; -1.150948; -8.135597; -4.780859
38782380277760; -0.964308; -9.686146; -5.496314
38782401249280; -3.381058; -12.957134; -3.254239
38782418026496; -5.692525; -9.454042; -3.974478
38782434803712; -4.120440; -8.760123; -5.974878
38782455775232; -1.773082; -8.580662; -5.709275
38782472552448; 0.425922; -9.669396; -4.955536
38782493523968; 1.249053; -6.881758; -4.060620
38782514495488; 3.409772; -5.687739; -5.123033
38782531272704; 1.916651; -10.490134; -6.343373
38782552244224; -1.086342; -12.813565; -7.992028
38782573215744; -3.474379; -11.234303; -10.832308
38782589992960; -5.824131; -15.847665; -8.915657
38782610964480; -11.265409; -16.926826; -11.437693
38782627741696; -10.217353; -21.576082; -12.827922
38782648713216; -5.850451; -21.044876; -10.949556
38782669684736; -2.356930; -19.771894; -9.667004
38782686461952; -3.103491; -17.395821; -6.331409
38782707433472; 0.291924; -14.981462; -1.450050
38782724210688; 0.507278; -10.296316; -1.682154
38782745182208; -0.332602; -8.015956; -1.629512
38782761959424; -0.490529; -6.230910; 0.083749
38782782930944; -0.361316; -3.383451; 1.093520
38782799708160; -0.567099; 0.210568; 0.179462
38782820679680; -1.837688; 3.299702; -2.002793
38782841651200; -4.151547; 3.634698; -4.082155
38782858428416; -6.324230; 1.868794; -2.682354
38782879399936; -6.618547; 2.304288; -1.184447
38782900371456; -5.599205; 4.060620; -1.232304
38782917148672; -5.489135; 3.529413; 0.217747
38782938120192; -5.190032; 1.514657; 1.940579
38782954897408; -4.127619; -0.624527; 4.883751
38782975868928; -3.024528; -2.191826; 6.905686
38782996840448; -2.031507; -4.043870; 7.989635
38783013617664; -3.964907; -12.964314; 9.410972
38783034589184; -6.369694; -19.719252; 10.473385
38783055560704; -8.910872; -22.820349; 10.502099
38783072337920; -13.689339; -23.468805; 10.169497
38783093309440; -15.287744; -17.024933; 2.215754
38783110086656; -15.969698; -15.601204; -5.934200
38783131058176; -18.922441; -18.984655; -0.131605
38783147835392; -17.709280; -17.938992; 0.440279
38783168806912; -14.797215; -15.201602; -3.835695
38783185584128; -10.052248; -12.866207; -6.886544
38783206555648; -4.139583; -13.452449; -3.335595
38783227527168; 0.251246; -11.085947; 0.715454
38783248498688; -0.971486; -8.193025; -1.852045
38783265275904; -3.823730; -7.886744; -4.984250
38783282053120; -5.101498; -12.217752; -4.529613
38783303024640; -4.249653; -12.787244; -3.878766
38783323996160; -2.677568; -8.989835; -5.520242
38783344967680; -1.201197; -11.911471; -6.865008
38783361744896; 3.012564; -13.272987; -5.692525
38783382716416; 4.398008; -9.355937; -4.737789
38783399493632; -0.057428; -8.563912; -4.024728
38783420465152; -0.334995; -12.559926; -4.022335
38783437242368; -3.361916; -10.375279; -6.568298
38783458213888; -5.017749; -10.109675; -8.920443
38783479185408; -7.427321; -13.986049; -9.903893
38783495962624; -13.399807; -15.713666; -11.956935
38783516934144; -12.684353; -19.204794; -13.469198
38783533711360; -7.793423; -17.364714; -10.679168
38783558877184; -4.070191; -14.840286; -8.817552
38783579848704; -4.673182; -13.438092; -7.240681
38783592431616; -0.662812; -13.758730; -2.273181
38783613403136; 0.246461; -11.193624; 0.076570
38783634374656; 0.751346; -9.884750; 1.502693
38783651151872; 1.261018; -7.678568; 1.971686
38783672123392; 1.598405; -5.486742; 1.981257
38783693094912; 0.914058; -4.326223; 0.358923
38783726649344; -1.033699; 0.916451; -0.466600
38783726649344; -1.033699; 0.916451; -0.466600
38783756009472; -1.773082; 0.911665; -0.289532
38783768592384; -3.993621; 0.380459; -0.739382
38783789563904; -5.737988; 1.308874; -0.629312
38783810535424; -5.797809; 2.589034; 1.871187
38783823118336; -4.895715; 1.856830; 3.448057
38783844089856; -3.680161; 0.351745; 3.069991
38783860867072; -2.050649; -0.665205; 3.979264
38783881838592; -1.466800; -1.112663; 5.453243
38783898615808; -1.950150; -3.976871; 7.791030
38783919587328; -3.359523; -11.136196; 10.162318
38783940558848; -4.165904; -13.646268; 9.090333
38783957336064; -4.450650; -14.639289; 6.123233
38783978307584; -9.676575; -17.831314; 7.585248
38783999279104; -14.155939; -18.080168; 6.671189
38784016056320; -13.258630; -13.280166; -0.775275
38784037027840; -16.527225; -17.979670; -4.433900
38784057999360; -19.460827; -21.841684; 2.467000
38784074776576; -16.311872; -15.538990; 3.132205
38784095748096; -14.304294; -12.392428; -2.390430
38784112525312; -10.377672; -11.901900; -7.094719
38784133496832; -5.254639; -14.301901; -5.716453
38784150274048; 0.045464; -13.533805; -2.469393
38784171245568; -0.390030; -9.889536; -4.273581
38784192217088; -2.550749; -9.695718; -6.288338
38784208994304; -2.737389; -13.966906; -6.611369
38784229965824; -1.064806; -14.632111; -5.529813
