time; x; y; z
39004539977728; -1.808974; 4.249653; 8.420342
39004544172032; -1.808974; 4.249653; 8.420342
39004544172032; -1.808974; 4.249653; 8.420342
39004552560640; -1.808974; 4.249653; 8.420342
39004556754944; -1.808974; 4.249653; 8.420342
39004560949248; -1.808974; 4.249653; 8.420342
39004602892288; -1.567299; 4.015156; 8.597412
39004607086592; -1.567299; 4.015156; 8.597412
39004611280896; -1.567299; 4.015156; 8.597412
39004615475200; -1.567299; 4.015156; 8.597412
39004615475200; -1.567299; 4.015156; 8.597412
39004632252416; -1.567299; 4.015156; 8.597412
39004657418240; -2.053042; 4.060620; 8.836694
39004665806848; -2.053042; 4.060620; 8.836694
39004665806848; -2.053042; 4.060620; 8.836694
39004674195456; -2.053042; 4.060620; 8.836694
39004678389760; -2.053042; 4.060620; 8.836694
39004678389760; -2.053042; 4.060620; 8.836694
39004720332800; -2.187040; 4.287938; 8.781659
39004724527104; -2.187040; 4.287938; 8.781659
39004732915712; -2.187040; 4.287938; 8.781659
39004741304320; -2.187040; 4.287938; 8.781659
39004741304320; -2.187040; 4.287938; 8.781659
39004749692928; -2.187040; 4.287938; 8.781659
39004774858752; -2.390430; 4.488935; 8.106883
39004779053056; -2.390430; 4.488935; 8.106883
39004791635968; -2.390430; 4.488935; 8.106883
39004791635968; -2.390430; 4.488935; 8.106883
39004795830272; -2.390430; 4.488935; 8.106883
39004795830272; -2.390430; 4.488935; 8.106883
39004841967616; -3.694518; 6.046663; 6.506085
39004854550528; -3.694518; 6.046663; 6.506085
39004867133440; -3.694518; 6.046663; 6.506085
39004871327744; -3.694518; 6.046663; 6.506085
39004875522048; -3.694518; 6.046663; 6.506085
39004875522048; -3.694518; 6.046663; 6.506085
39004925853696; -3.562913; 6.214160; 5.797809
39004938436608; -2.038685; 0.942772; 4.570291
39004942630912; -2.038685; 0.942772; 4.570291
39004946825216; -2.038685; 0.942772; 4.570291
39004959408128; -2.038685; 0.942772; 4.570291
39004971991040; -2.038685; 0.942772; 4.570291
39004976185344; -2.038685; 0.942772; 4.570291
39004992962560; -1.919044; -10.832308; 1.978864
39005001351168; -1.919044; -10.832308; 1.978864
39005005545472; -1.919044; -10.832308; 1.978864
39005026516992; -1.919044; -10.832308; 1.978864
39005068460032; 1.229911; -13.753944; -0.090927
39005072654336; 1.229911; -13.753944; -0.090927
39005085237248; 1.229911; -13.753944; -0.090927
39005085237248; 1.229911; -13.753944; -0.090927
39005089431552; 1.229911; -13.753944; -0.090927
39005093625856; 1.229911; -13.753944; -0.090927
39005122985984; 2.062613; -11.423335; -1.337588
