time; x; y; z
76901288771584; -0.504886; 3.467200; 9.188439
76901305548800; -0.440279; 3.596412; 9.145369
76901305548800; -0.440279; 3.596412; 9.145369
76901313937408; -0.440279; 3.596412; 9.145369
76901322326016; -0.440279; 3.596412; 9.145369
76901322326016; -0.440279; 3.596412; 9.145369
76901330714624; -0.440279; 3.596412; 9.145369
76901372657664; -0.394816; 3.608377; 9.140582
76901381046272; -0.394816; 3.608377; 9.140582
76901397823488; -0.696311; 3.383451; 9.286545
76901414600704; -0.696311; 3.383451; 9.286545
76901431377920; -0.696311; 3.383451; 9.286545
76901439766528; -0.696311; 3.383451; 9.286545
76901464932352; -0.698704; 3.488735; 9.365508
76901473320960; -0.698704; 3.488735; 9.365508
76901481709568; -0.698704; 3.488735; 9.365508
76901481709568; -0.698704; 3.488735; 9.365508
76901498486784; -0.600598; 3.357130; 9.312865
76901506875392; -0.600598; 3.357130; 9.312865
76901515264000; -0.689133; 3.292524; 9.255438
76901515264000; -0.689133; 3.292524; 9.255438
76901523652608; -0.689133; 3.292524; 9.255438
76901557207040; -0.689133; 3.292524; 9.255438
76901565595648; -0.689133; 3.292524; 9.255438
76901573984256; -0.734597; 3.589234; 9.071191
76901582372864; -0.734597; 3.589234; 9.071191
76901590761472; -0.734597; 3.589234; 9.071191
76901590761472; -0.734597; 3.589234; 9.071191
76901599150080; -0.734597; 3.589234; 9.071191
76901599150080; -0.734597; 3.589234; 9.071191
76901624315904; -0.985843; 3.598805; 8.784052
76901624315904; -0.985843; 3.598805; 8.784052
76901632704512; -0.985843; 3.598805; 8.784052
76901649481728; -0.985843; 3.598805; 8.784052
76901666258944; -1.280160; 3.957729; 8.489735
76901666258944; -1.280160; 3.957729; 8.489735
76901674647552; -1.280160; 3.957729; 8.489735
76901683036160; -1.280160; 3.957729; 8.489735
76901691424768; -1.280160; 3.957729; 8.489735
76901699813376; -1.280160; 3.957729; 8.489735
76901699813376; -1.280160; 3.957729; 8.489735
76901699813376; -1.280160; 3.957729; 8.489735
76901716590592; -2.151148; 4.110869; 7.255038
76901741756416; -2.151148; 4.110869; 7.255038
76901750145024; -2.151148; 4.110869; 7.255038
76901850808320; -3.519842; 2.352145; 5.998806
76901859196928; -3.639483; -0.234497; 8.238488
76901875974144; -3.639483; -0.234497; 8.238488
76901892751360; -3.639483; -0.234497; 8.238488
76901892751360; -3.639483; -0.234497; 8.238488
76901892751360; -3.639483; -0.234497; 8.238488
76901951471616; -2.947958; -1.217947; 8.154739
76901959860224; -2.947958; -1.217947; 8.154739
76901959860224; -2.947958; -1.217947; 8.154739
76901976637440; -2.947958; -1.217947; 8.154739
