time; x; y; z
86479527215104; -3.653840; 1.978864; 8.977871
86479569158144; -3.629912; 1.988436; 9.020942
86479585935360; -3.629912; 1.988436; 9.020942
86479585935360; -3.629912; 1.988436; 9.020942
86479602712576; -3.629912; 1.988436; 9.020942
86479602712576; -3.629912; 1.988436; 9.020942
86479602712576; -3.629912; 1.988436; 9.020942
86479619489792; -3.629912; 1.988436; 9.020942
86479619489792; -3.464807; 1.959722; 8.927621
86479636267008; -3.464807; 1.959722; 8.927621
86479636267008; -3.464807; 1.959722; 8.927621
86479653044224; -3.464807; 1.959722; 8.927621
86479678210048; -3.464807; 1.959722; 8.927621
86479694987264; -3.534199; 1.971686; 9.035298
86479703375872; -3.534199; 1.971686; 9.035298
86479703375872; -3.534199; 1.971686; 9.035298
86479720153088; -3.534199; 1.971686; 9.035298
86479720153088; -3.534199; 1.971686; 9.035298
86479787261952; -3.632305; 1.998007; 9.059227
86479787261952; -3.632305; 1.998007; 9.059227
86479795650560; -3.632305; 1.998007; 9.059227
86479812427776; -3.579663; 2.012364; 9.047262
86479812427776; -3.579663; 2.012364; 9.047262
86479820816384; -3.579663; 2.012364; 9.047262
86479837593600; -3.579663; 2.012364; 9.047262
86479837593600; -3.579663; 2.012364; 9.047262
86479837593600; -3.579663; 2.012364; 9.047262
86479845982208; -3.579663; 2.012364; 9.047262
86479854370816; -3.579663; 2.012364; 9.047262
86479854370816; -3.754339; 1.926222; 8.953942
86479871148032; -3.723232; 1.911865; 8.891729
86479879536640; -3.723232; 1.911865; 8.891729
86479879536640; -3.723232; 1.911865; 8.891729
86479887925248; -3.723232; 1.911865; 8.891729
86479887925248; -3.723232; 1.911865; 8.891729
86479896313856; -3.723232; 1.911865; 8.891729
86479913091072; -3.723232; 1.911865; 8.891729
86479913091072; -3.723232; 1.911865; 8.891729
86479921479680; -3.486343; 2.021935; 8.891729
86479929868288; -3.486343; 2.021935; 8.891729
86479929868288; -3.486343; 2.021935; 8.891729
86479938256896; -3.486343; 2.021935; 8.891729
86479963422720; -3.486343; 2.021935; 8.891729
86479963422720; -3.486343; 2.021935; 8.891729
86479971811328; -3.486343; 2.021935; 8.891729
86479980199936; -3.534199; 1.947758; 8.937193
86479980199936; -3.534199; 1.947758; 8.937193
86479988588544; -3.534199; 1.947758; 8.937193
86479996977152; -3.534199; 1.947758; 8.937193
86480013754368; -3.534199; 1.947758; 8.937193
86480022142976; -3.534199; 1.947758; 8.937193
86480030531584; -3.534199; 1.947758; 8.937193
86480038920192; -3.716053; 1.864009; 8.994620
86480038920192; -3.716053; 1.864009; 8.994620
86480047308800; -3.716053; 1.864009; 8.994620
86480064086016; -3.716053; 1.864009; 8.994620
86480072474624; -3.716053; 1.864009; 8.994620
86480072474624; -3.716053; 1.864009; 8.994620
86480080863232; -3.716053; 1.864009; 8.994620
86480080863232; -3.716053; 1.864009; 8.994620
86480089251840; -3.716053; 1.864009; 8.994620
86480122806272; -3.598805; 1.923829; 8.932407
86480131194880; -3.598805; 1.923829; 8.932407
86480131194880; -3.598805; 1.923829; 8.932407
86480139583488; -3.598805; 1.923829; 8.932407
86480139583488; -3.598805; 1.923829; 8.932407
86480147972096; -3.598805; 1.923829; 8.932407
86480173137920; -3.713661; 1.981257; 8.934800
86480181526528; -3.713661; 1.981257; 8.934800
86480181526528; -3.713661; 1.981257; 8.934800
86480189915136; -3.713661; 1.981257; 8.934800
86480189915136; -3.713661; 1.981257; 8.934800
86480198303744; -3.713661; 1.981257; 8.934800
86480223469568; -4.043870; 2.244468; 8.683554
86480240246784; -4.043870; 2.244468; 8.683554
86480248635392; -4.043870; 2.244468; 8.683554
86480265412608; -4.043870; 2.244468; 8.683554
86480273801216; -5.367101; 2.871387; 7.676175
86480273801216; -5.367101; 2.871387; 7.676175
86480315744256; -5.367101; 2.871387; 7.676175
86480332521472; -5.764310; 3.079563; 6.573084
86480332521472; -5.764310; 3.079563; 6.573084
86480349298688; -5.764310; 3.079563; 6.573084
86480349298688; -5.764310; 3.079563; 6.573084
86480357687296; -5.764310; 3.079563; 6.573084
86480366075904; -5.764310; 3.079563; 6.573084
86480366075904; -5.764310; 3.079563; 6.573084
86480366075904; -5.764310; 3.079563; 6.573084
86480374464512; -5.764310; 3.079563; 6.573084
86480374464512; -5.764310; 3.079563; 6.573084
86480382853120; -5.764310; 3.079563; 6.573084
86480391241728; -4.792824; 2.201397; 6.798009
86480391241728; -4.792824; 2.201397; 6.798009
86480391241728; -4.792824; 2.201397; 6.798009
86480399630336; -4.792824; 2.201397; 6.798009
86480408018944; -4.792824; 2.201397; 6.798009
86480408018944; -4.792824; 2.201397; 6.798009
86480466739200; -3.694518; -0.076570; 8.362915
86480466739200; -3.694518; -0.076570; 8.362915
86480475127808; -3.694518; -0.076570; 8.362915
86480475127808; -3.694518; -0.076570; 8.362915
86480483516416; -3.694518; -0.076570; 8.362915
86480483516416; -3.694518; -0.076570; 8.362915
86480500293632; -3.646662; -0.930808; 9.736395
86480508682240; -3.646662; -0.930808; 9.736395
86480508682240; -3.646662; -0.930808; 9.736395
86480517070848; -3.646662; -0.930808; 9.736395
86480525459456; -3.646662; -0.930808; 9.736395
86480525459456; -3.646662; -0.930808; 9.736395
86480550625280; -4.455436; -0.906880; 10.664810
86480550625280; -4.455436; -0.906880; 10.664810
86480559013888; -4.455436; -0.906880; 10.664810
86480559013888; -4.455436; -0.906880; 10.664810
86480559013888; -4.455436; -0.906880; 10.664810
86480559013888; -4.455436; -0.906880; 10.664810
86480575791104; -4.455436; -0.906880; 10.664810
86480575791104; -4.455436; -0.906880; 10.664810
86480575791104; -4.455436; -0.906880; 10.664810
86480584179712; -4.455436; -0.906880; 10.664810
86480609345536; -5.271388; 0.337388; 10.856236
86480609345536; -5.271388; 0.337388; 10.856236
86480617734144; -5.271388; 0.337388; 10.856236
86480617734144; -5.271388; 0.337388; 10.856236
86480634511360; -5.271388; 0.337388; 10.856236
86480634511360; -5.271388; 0.337388; 10.856236
86480659677184; -5.548956; 1.440479; 9.710074
86480659677184; -5.548956; 1.440479; 9.710074
86480668065792; -5.548956; 1.440479; 9.710074
86480668065792; -5.548956; 1.440479; 9.710074
86480676454400; -5.548956; 1.440479; 9.710074
86480676454400; -5.548956; 1.440479; 9.710074
86480710008832; -5.615955; 2.603391; 8.396415
86480718397440; -5.615955; 2.603391; 8.396415
86480718397440; -5.615955; 2.603391; 8.396415
86480726786048; -5.615955; 2.603391; 8.396415
86480726786048; -5.615955; 2.603391; 8.396415
86480735174656; -5.615955; 2.603391; 8.396415
86480768729088; -5.125426; 2.388037; 7.338787
86480777117696; -5.125426; 2.388037; 7.338787
86480777117696; -5.125426; 2.388037; 7.338787
86480777117696; -5.125426; 2.388037; 7.338787
86480785506304; -5.125426; 2.388037; 7.338787
