time; x; y; z
75946489020416; 1.012164; 4.613362; 8.635697
75946539352064; 1.031307; 4.756931; 8.626125
75946556129280; 1.031307; 4.756931; 8.626125
75946556129280; 1.031307; 4.756931; 8.626125
75946564517888; 1.031307; 4.756931; 8.626125
75946572906496; 1.031307; 4.756931; 8.626125
75946589683712; 1.016950; 4.402794; 8.650054
75946598072320; 1.016950; 4.402794; 8.650054
75946598072320; 1.016950; 4.402794; 8.650054
75946606460928; 1.016950; 4.402794; 8.650054
75946623238144; 1.016950; 4.402794; 8.650054
75946623238144; 1.016950; 4.402794; 8.650054
75946656792576; 0.916451; 4.804788; 8.707481
75946665181184; 0.916451; 4.804788; 8.707481
75946673569792; 0.916451; 4.804788; 8.707481
75946681958400; 0.916451; 4.804788; 8.707481
75946698735616; 1.050449; 4.419543; 8.714660
75946698735616; 1.050449; 4.419543; 8.714660
75946723901440; 1.050449; 4.419543; 8.714660
75946740678656; 1.050449; 4.419543; 8.714660
75946749067264; 1.050449; 4.419543; 8.714660
75946757455872; 0.933201; 4.589434; 8.762517
75946765844480; 0.933201; 4.589434; 8.762517
75946774233088; 0.933201; 4.589434; 8.762517
75946816176128; 0.990629; 4.393222; 8.585447
75946824564736; 0.990629; 4.393222; 8.585447
75946832953344; 0.990629; 4.393222; 8.585447
75946841341952; 0.990629; 4.393222; 8.585447
75946841341952; 0.990629; 4.393222; 8.585447
75946858119168; 0.990629; 4.393222; 8.585447
75946883284992; 0.976272; 4.800002; 8.590233
75946883284992; 0.976272; 4.800002; 8.590233
75946908450816; 0.976272; 4.800002; 8.590233
75946908450816; 0.976272; 4.800002; 8.590233
75946908450816; 0.976272; 4.800002; 8.590233
75946916839424; 0.976272; 4.800002; 8.590233
75946933616640; 1.095913; 4.335794; 8.492127
75946942005248; 1.095913; 4.335794; 8.492127
75946942005248; 1.095913; 4.335794; 8.492127
75946950393856; 1.095913; 4.335794; 8.492127
75946958782464; 1.095913; 4.335794; 8.492127
75946975559680; 1.095913; 4.335794; 8.492127
75946983948288; 1.208375; 4.606184; 8.303095
75947000725504; 1.208375; 4.606184; 8.303095
75947017502720; 1.208375; 4.606184; 8.303095
75947034279936; 1.208375; 4.606184; 8.303095
75947042668544; 2.129612; 4.752146; 7.738389
75947051057152; 2.129612; 4.752146; 7.738389
75947084611584; 2.129612; 4.752146; 7.738389
75947093000192; 2.129612; 4.752146; 7.738389
75947093000192; 3.665804; 4.508078; 5.666204
75947093000192; 3.665804; 4.508078; 5.666204
75947101388800; 3.665804; 4.508078; 5.666204
75947101388800; 3.665804; 4.508078; 5.666204
75947134943232; 3.665804; 4.508078; 5.666204
75947134943232; 3.665804; 4.508078; 5.666204
75947151720448; 4.675575; 3.567698; 4.716253
75947151720448; 4.675575; 3.567698; 4.716253
75947151720448; 4.675575; 3.567698; 4.716253
75947160109056; 4.675575; 3.567698; 4.716253
75947202052096; 4.675575; 3.567698; 4.716253
75947218829312; 4.764110; -0.220140; 4.546363
75947235606528; 4.764110; -0.220140; 4.546363
75947243995136; 4.764110; -0.220140; 4.546363
75947252383744; 4.764110; -0.220140; 4.546363
75947302715392; 1.497907; -5.347959; 5.776274
75947311104000; 1.497907; -5.347959; 5.776274
75947319492608; 1.497907; -5.347959; 5.776274
75947319492608; 1.497907; -5.347959; 5.776274
75947336269824; 1.497907; -5.347959; 5.776274
75947336269824; 1.497907; -5.347959; 5.776274
75947386601472; -0.028714; -9.489935; 5.706882
75947386601472; -0.028714; -9.489935; 5.706882
75947403378688; -0.028714; -9.489935; 5.706882
75947411767296; -0.028714; -9.489935; 5.706882
75947411767296; -0.028714; -9.489935; 5.706882
75947411767296; -0.028714; -9.489935; 5.706882
75947436933120; -0.555135; -12.488141; 5.225924
75947445321728; -0.196211; -12.784851; 5.223532
75947453710336; -0.196211; -12.784851; 5.223532
75947453710336; -0.196211; -12.784851; 5.223532
75947462098944; -0.196211; -12.784851; 5.223532
75947470487552; -0.196211; -12.784851; 5.223532
75947520819200; 4.711468; -16.216160; 5.139783
75947529207808; 4.711468; -16.216160; 5.139783
75947529207808; 4.711468; -16.216160; 5.139783
75947537596416; 4.711468; -16.216160; 5.139783
75947554373632; 13.875978; -18.589840; 4.934000
75947554373632; 13.875978; -18.589840; 4.934000
75947571150848; 15.388243; -18.281164; 5.151747
75947587928064; 15.388243; -18.281164; 5.151747
75947596316672; 15.388243; -18.281164; 5.151747
75947596316672; 15.388243; -18.281164; 5.151747
75947629871104; 17.060825; -18.147167; 6.467800
75947638259712; 17.060825; -18.147167; 6.467800
75947638259712; 17.060825; -18.147167; 6.467800
75947638259712; 16.919649; -17.754744; 6.522834
75947646648320; 16.919649; -17.754744; 6.522834
75947646648320; 16.919649; -17.754744; 6.522834
75947705368576; 16.194624; -13.301702; 5.137390
75947705368576; 16.194624; -13.301702; 5.137390
75947705368576; 16.194624; -13.301702; 5.137390
75947705368576; 16.194624; -13.301702; 5.137390
75947713757184; 16.194624; -13.301702; 5.137390
75947713757184; 16.194624; -13.301702; 5.137390
75947722145792; 16.194624; -13.301702; 5.137390
75947722145792; 16.194624; -13.301702; 5.137390
75947738923008; 16.194624; -13.301702; 5.137390
75947738923008; 16.194624; -13.301702; 5.137390
75947738923008; 16.194624; -13.301702; 5.137390
75947747311616; 16.168303; -9.863214; 1.380659
75947747311616; 16.168303; -9.863214; 1.380659
75947755700224; 16.168303; -9.863214; 1.380659
75947772477440; 16.168303; -9.863214; 1.380659
75947789254656; 16.168303; -9.863214; 1.380659
75947797643264; 16.168303; -9.863214; 1.380659
75947806031872; 10.344172; -7.831708; -0.622134
75947814420480; 10.344172; -7.831708; -0.622134
75947814420480; 10.344172; -7.831708; -0.622134
75947831197696; 10.344172; -7.831708; -0.622134
75947847974912; 8.298309; -5.362316; -1.517050
75947856363520; 8.298309; -5.362316; -1.517050
75947864752128; 8.298309; -5.362316; -1.517050
75947873140736; 8.298309; -5.362316; -1.517050
75947889917952; 8.298309; -5.362316; -1.517050
75947898306560; 3.804588; -0.713061; -3.019742
75947940249600; 3.804588; -0.713061; -3.019742
75947957026816; -1.866402; -0.598206; -1.624727
75947965415424; -1.866402; -0.598206; -1.624727
75947973804032; -1.866402; -0.598206; -1.624727
75947973804032; -1.866402; -0.598206; -1.624727
75947982192640; -1.866402; -0.598206; -1.624727
75947982192640; -1.866402; -0.598206; -1.624727
75948015747072; -3.907479; 0.569492; -2.641676
75948024135680; -3.907479; 0.569492; -2.641676
75948032524288; -4.426722; 1.495514; -2.868994
75948032524288; -4.426722; 1.495514; -2.868994
75948040912896; -4.426722; 1.495514; -2.868994
75948049301504; -4.426722; 1.495514; -2.868994
75948074467328; -4.426722; 1.495514; -2.868994
75948091244544; -5.965307; -0.882952; -1.540978
75948099633152; -5.965307; -0.882952; -1.540978
75948099633152; -5.965307; -0.882952; -1.540978
75948099633152; -5.965307; -0.882952; -1.540978
75948099633152; -5.965307; -0.882952; -1.540978
75948133187584; -5.965307; -0.882952; -1.540978
75948149964800; -6.793223; -1.648655; 1.548156
75948149964800; -6.793223; -1.648655; 1.548156
75948191907840; -6.793223; -1.648655; 1.548156
75948208685056; -5.716453; -2.349752; 1.170090
75948217073664; -5.716453; -2.349752; 1.170090
75948225462272; -4.548756; -2.730211; 1.306481
75948233850880; -4.548756; -2.730211; 1.306481
75948242239488; -4.548756; -2.730211; 1.306481
75948259016704; -4.548756; -2.730211; 1.306481
75948267405312; -4.548756; -2.730211; 1.306481
75948275793920; -4.548756; -2.730211; 1.306481
75948284182528; -0.933201; -2.773281; -0.014357
75948292571136; -1.722832; -3.871587; 1.478764
75948292571136; -1.722832; -3.871587; 1.478764
75948317736960; -1.722832; -3.871587; 1.478764
75948326125568; -1.722832; -3.871587; 1.478764
75948326125568; -1.722832; -3.871587; 1.478764
75948334514176; -1.722832; -3.871587; 1.478764
75948342902784; -1.722832; -3.871587; 1.478764
75948351291392; -4.304688; -20.796022; 6.876972
75948359680000; -4.304688; -20.796022; 6.876972
75948376457216; -4.304688; -20.796022; 6.876972
75948401623040; -4.862216; -23.712872; 0.988236
75948410011648; -4.862216; -23.712872; 0.988236
75948418400256; -2.897708; -21.590439; 0.031107
75948426788864; -2.897708; -21.590439; 0.031107
75948435177472; -2.897708; -21.590439; 0.031107
75948443566080; -2.897708; -21.590439; 0.031107
75948468731904; -2.897708; -21.590439; 0.031107
75948493897728; 3.390630; -11.557333; -3.699304
75948502286336; 3.390630; -11.557333; -3.699304
75948502286336; 3.390630; -11.557333; -3.699304
75948510674944; 3.390630; -11.557333; -3.699304
75948519063552; 3.390630; -11.557333; -3.699304
75948535840768; 9.138189; -10.454242; -14.201403
75948535840768; 9.138189; -10.454242; -14.201403
75948544229376; 9.138189; -10.454242; -14.201403
75948544229376; 9.138189; -10.454242; -14.201403
75948544229376; 9.138189; -10.454242; -14.201403
75948552617984; 9.138189; -10.454242; -14.201403
75948552617984; 9.138189; -10.454242; -14.201403
75948561006592; 9.138189; -10.454242; -14.201403
75948569395200; 9.138189; -10.454242; -14.201403
75948569395200; 9.138189; -10.454242; -14.201403
75948577783808; 9.138189; -10.454242; -14.201403
75948577783808; -0.976272; -7.008577; -8.130812
75948577783808; -0.976272; -7.008577; -8.130812
75948586172416; -0.976272; -7.008577; -8.130812
75948594561024; -0.976272; -7.008577; -8.130812
75948611338240; -0.976272; -7.008577; -8.130812
75948636504064; -3.972085; -6.695118; -2.318645
75948636504064; -3.972085; -6.695118; -2.318645
75948636504064; -3.972085; -6.695118; -2.318645
75948653281280; -3.972085; -6.695118; -2.318645
75948661669888; -3.972085; -6.695118; -2.318645
75948670058496; 14.414364; -4.115655; -1.208375
75948678447104; 14.414364; -4.115655; -1.208375
75948678447104; 14.414364; -4.115655; -1.208375
75948686835712; 14.414364; -4.115655; -1.208375
75948695224320; 14.414364; -4.115655; -1.208375
75948695224320; 14.414364; -4.115655; -1.208375
75948712001536; 14.414364; -4.115655; -1.208375
75948753944576; 41.824146; -6.458228; -5.788238
75948753944576; 41.824146; -6.458228; -5.788238
75948753944576; 41.824146; -6.458228; -5.788238
75948762333184; 41.824146; -6.458228; -5.788238
75948762333184; 41.824146; -6.458228; -5.788238
75948762333184; 41.824146; -6.458228; -5.788238
75948787499008; 11.487942; 0.686740; 3.864408
75948795887616; 11.487942; 0.686740; 3.864408
75948795887616; 11.487942; 0.686740; 3.864408
75948804276224; 11.487942; 0.686740; 3.864408
75948812664832; 7.661818; 1.418944; 5.670990
75948854607872; 7.661818; 1.418944; 5.670990
75948862996480; -6.853044; -1.995614; 6.508478
75948871385088; -6.853044; -1.995614; 6.508478
75948879773696; -6.853044; -1.995614; 6.508478
75948888162304; -6.853044; -1.995614; 6.508478
75948888162304; -6.853044; -1.995614; 6.508478
75948904939520; -6.853044; -1.995614; 6.508478
75948904939520; -6.853044; -1.995614; 6.508478
75948913328128; -6.853044; -1.995614; 6.508478
75948930105344; -1.076770; -9.571291; 2.545963
75948938493952; -1.076770; -9.571291; 2.545963
75948955271168; -1.076770; -9.571291; 2.545963
75948955271168; -1.076770; -9.571291; 2.545963
75948963659776; -1.076770; -9.571291; 2.545963
75948997214208; 5.632705; -29.295328; -7.288538
75949148209152; 2.708675; 3.067599; 0.313460
75949148209152; 2.708675; 3.067599; 0.313460
75949164986368; 3.522235; 4.421936; -0.734597
75949173374976; 3.522235; 4.421936; -0.734597
75949181763584; 3.974478; 4.692325; -1.569692
75949223706624; 4.658826; 3.416951; -2.191826
75949315981312; 3.474379; 0.973879; -2.400001
75949324369920; 1.928615; -0.263211; -0.808774
75949332758528; 1.928615; -0.263211; -0.808774
75949341147136; 1.064806; -3.682554; 0.418744
75949341147136; 1.064806; -3.682554; 0.418744
75949357924352; 0.528814; -11.186446; 0.557528
75949408256000; -9.152547; -31.793434; -6.991828
75949433421824; -4.780859; -24.299114; -0.904487
75949441810432; -4.780859; -24.299114; -0.904487
75949458587648; 3.572484; -19.755144; -5.012963
75949466976256; 3.572484; -19.755144; -5.012963
75949475364864; 7.980063; -18.862621; -17.395821
75949475364864; 7.980063; -18.862621; -17.395821
75949475364864; 7.980063; -18.862621; -17.395821
75949517307904; 37.304104; -21.607189; -34.138401
