time; x; y; z
75816633368576; 0.315853; 2.246861; 9.528220
75816641757184; 0.315853; 2.246861; 9.528220
75816641757184; 0.315853; 2.246861; 9.528220
75816650145792; 0.315853; 2.246861; 9.528220
75816658534400; 0.315853; 2.246861; 9.528220
75816658534400; 0.315853; 2.246861; 9.528220
75816734031872; 0.200997; 2.206182; 9.564112
75816734031872; 0.200997; 2.206182; 9.564112
75816742420480; 0.200997; 2.206182; 9.564112
75816750809088; 0.200997; 2.206182; 9.564112
75816759197696; 0.200997; 2.206182; 9.564112
75816767586304; 0.200997; 2.206182; 9.564112
75816767586304; 0.200997; 2.206182; 9.564112
75816767586304; 0.200997; 2.206182; 9.564112
75816775974912; 0.200997; 2.206182; 9.564112
75816784363520; 0.200997; 2.206182; 9.564112
75816784363520; 0.200997; 2.206182; 9.564112
75816792752128; 0.299103; 2.187040; 9.734002
75816876638208; 0.308674; 2.098505; 9.686146
75816885026816; 0.308674; 2.098505; 9.686146
75816910192640; 0.296710; 2.122434; 9.611969
75816918581248; 0.296710; 2.122434; 9.611969
75816935358464; 0.296710; 2.122434; 9.611969
75816935358464; 0.296710; 2.122434; 9.611969
75816985690112; 0.205783; 2.014757; 9.559326
75816985690112; 0.205783; 2.014757; 9.559326
75816994078720; 0.205783; 2.014757; 9.559326
75816994078720; 0.205783; 2.014757; 9.559326
75817002467328; 0.205783; 2.014757; 9.559326
75817002467328; 0.205783; 2.014757; 9.559326
75817019244544; 0.205783; 2.014757; 9.559326
75817027633152; 0.265603; 2.124826; 9.561719
75817027633152; 0.265603; 2.124826; 9.561719
75817036021760; 0.265603; 2.124826; 9.561719
75817036021760; 0.265603; 2.124826; 9.561719
75817044410368; 0.265603; 2.124826; 9.561719
75817069576192; 0.265603; 2.124826; 9.561719
75817069576192; 0.265603; 2.124826; 9.561719
75817077964800; 0.265603; 2.124826; 9.561719
75817086353408; 0.346959; 1.938186; 9.657433
75817094742016; 0.346959; 1.938186; 9.657433
75817103130624; 0.346959; 1.938186; 9.657433
75817119907840; 0.346959; 1.938186; 9.657433
75817136685056; 0.346959; 1.938186; 9.657433
75817136685056; 0.272782; 2.050649; 9.564112
75817161850880; 0.272782; 2.050649; 9.564112
75817161850880; 0.272782; 2.050649; 9.564112
75817170239488; 0.272782; 2.050649; 9.564112
75817254125568; 0.239282; 2.172683; 9.533006
75817262514176; 0.239282; 2.172683; 9.533006
75817279291392; 0.239282; 2.172683; 9.533006
75817287680000; 0.239282; 2.172683; 9.533006
75817312845824; 0.239282; 2.172683; 9.533006
75817312845824; 0.248854; 2.210968; 9.578469
75817346400256; 0.248854; 2.210968; 9.578469
75817363177472; 0.248854; 2.210968; 9.578469
75817371566080; 0.114855; 1.986043; 9.540184
75817379954688; 0.114855; 1.986043; 9.540184
75817379954688; 0.114855; 1.986043; 9.540184
75817379954688; 0.114855; 1.986043; 9.540184
75817430286336; 0.114855; 1.986043; 9.540184
75817438674944; 0.184247; 2.017149; 9.640682
75817438674944; 0.184247; 2.017149; 9.640682
75817455452160; 0.184247; 2.017149; 9.640682
75817472229376; 0.184247; 2.017149; 9.640682
75817480617984; 0.184247; 2.017149; 9.640682
75817489006592; 0.232104; 2.084148; 9.547362
75817489006592; 0.232104; 2.084148; 9.547362
75817497395200; 0.232104; 2.084148; 9.547362
75817505783808; 0.232104; 2.084148; 9.547362
75817505783808; 0.232104; 2.084148; 9.547362
75817505783808; 0.232104; 2.084148; 9.547362
75817522561024; 0.232104; 2.084148; 9.547362
75817530949632; 0.232104; 2.084148; 9.547362
75817530949632; 0.232104; 2.084148; 9.547362
75817539338240; 0.232104; 2.084148; 9.547362
75817539338240; 0.232104; 2.084148; 9.547362
75817547726848; 0.272782; 2.199004; 9.748360
