time; x; y; z
38368314392576; -0.796810; 1.244268; 9.403793
38368322781184; -0.796810; 1.244268; 9.403793
38368356335616; -0.796810; 1.244268; 9.403793
38368360529920; -0.643669; 1.808974; 9.341579
38368364724224; -0.643669; 1.808974; 9.341579
38368373112832; -0.643669; 1.808974; 9.341579
38368419250176; -0.643669; 1.808974; 9.341579
38368431833088; -0.468993; 1.701297; 9.530613
38368444416000; -0.468993; 1.701297; 9.530613
38368456998912; -0.468993; 1.701297; 9.530613
38368456998912; -0.468993; 1.701297; 9.530613
38368473776128; -0.715454; 1.581656; 9.865608
38368503136256; -0.715454; 1.581656; 9.865608
38368536690688; -0.643669; 1.574477; 9.609575
38368549273600; -0.643669; 1.574477; 9.609575
38368553467904; -0.643669; 1.574477; 9.609575
38368557662208; -0.643669; 1.574477; 9.609575
38368561856512; -0.643669; 1.574477; 9.609575
38368574439424; -0.643669; 1.574477; 9.609575
38368582828032; -0.643669; 1.574477; 9.609575
38368582828032; -0.643669; 1.574477; 9.609575
38368587022336; -0.643669; 1.574477; 9.609575
38368587022336; -0.725025; 1.002593; 9.501899
38368595410944; -0.725025; 1.002593; 9.501899
38368603799552; -0.725025; 1.002593; 9.501899
38368607993856; -0.725025; 1.002593; 9.501899
38368612188160; -0.725025; 1.002593; 9.501899
38368620576768; -0.725025; 1.002593; 9.501899
38368620576768; -0.725025; 1.002593; 9.501899
38368624771072; -0.725025; 1.002593; 9.501899
38368649936896; -0.476172; 1.115055; 9.310472
38368654131200; -0.476172; 1.115055; 9.310472
38368654131200; -0.476172; 1.115055; 9.310472
38368658325504; -0.476172; 1.115055; 9.310472
38368666714112; -0.476172; 1.115055; 9.310472
38368670908416; -0.476172; 1.115055; 9.310472
38368675102720; -0.476172; 1.115055; 9.310472
38368679297024; -0.476172; 1.115055; 9.310472
38368683491328; -0.476172; 1.115055; 9.310472
38368687685632; -0.476172; 1.115055; 9.310472
38368687685632; -0.476172; 1.115055; 9.310472
38368691879936; -0.476172; 1.115055; 9.310472
38368729628672; -0.165105; 0.947558; 8.915657
38368733822976; -0.165105; 0.947558; 8.915657
38368738017280; -0.165105; 0.947558; 8.915657
