time; x; y; z
12946904186880; -1.612762; 0.576670; 9.655040
12946907332608; -1.612762; 0.576670; 9.655040
12946909429760; -1.612762; 0.576670; 9.655040
12946912575488; -1.612762; 0.576670; 9.655040
12946915721216; -1.612762; 0.576670; 9.655040
12946920964096; -1.612762; 0.576670; 9.655040
12946922012672; -1.612762; 0.576670; 9.655040
12946925158400; -1.612762; 0.576670; 9.655040
12946928304128; -1.612762; 0.576670; 9.655040
12946930401280; -1.612762; 0.576670; 9.655040
12946932498432; -1.612762; 0.576670; 9.655040
12946937741312; -1.612762; 0.576670; 9.655040
12946939838464; -1.612762; 0.576670; 9.655040
12946944032768; -1.426122; 0.579063; 9.602397
12946946129920; -1.426122; 0.579063; 9.602397
12946948227072; -1.426122; 0.579063; 9.602397
12946950324224; -1.426122; 0.579063; 9.602397
12946953469952; -1.426122; 0.579063; 9.602397
12947030016000; -1.770689; 0.868595; 9.745967
12947050987520; -1.770689; 0.868595; 9.745967
12947057278976; -1.770689; 0.868595; 9.745967
12947062521856; -2.438286; 0.988236; 9.305687
12947068813312; -2.438286; 0.988236; 9.305687
12947079299072; -2.438286; 0.988236; 9.305687
12947099222016; -2.438286; 0.988236; 9.305687
12947105513472; -2.438286; 0.988236; 9.305687
12947107610624; -2.438286; 0.988236; 9.305687
12947119144960; -3.584448; 1.588834; 8.286345
12947121242112; -3.584448; 1.588834; 8.286345
12947121242112; -3.584448; 1.588834; 8.286345
12947139067904; -3.584448; 1.588834; 8.286345
12947153747968; -3.584448; 1.588834; 8.286345
12947154796544; -3.584448; 1.588834; 8.286345
12947161088000; -3.584448; 1.588834; 8.286345
12947168428032; -3.584448; 1.588834; 8.286345
12947177865216; -2.440679; -2.019542; 8.987442
12947235536896; -1.409373; 0.308674; 9.616755
12947238682624; -1.409373; 0.308674; 9.616755
12947240779776; -1.409373; 0.308674; 9.616755
12947252314112; -1.409373; 0.308674; 9.616755
12947254411264; -1.409373; 0.308674; 9.616755
12947256508416; -1.409373; 0.308674; 9.616755
12947339345920; -2.782853; 0.921237; 8.975478
12947361366016; -2.208575; -0.758525; 7.618747
12947368706048; -2.208575; -0.758525; 7.618747
12947370803200; -2.208575; -0.758525; 7.618747
12947402260480; -2.208575; -0.758525; 7.618747
12947404357632; -2.208575; -0.758525; 7.618747
12947417989120; -2.624926; -5.300102; 2.849852
