time; x; y; z
75482590609408; -0.282353; 4.668397; 8.188239
75482598998016; -0.282353; 4.668397; 8.188239
75482598998016; -0.282353; 4.668397; 8.188239
75482598998016; -0.282353; 4.668397; 8.188239
75482598998016; -0.282353; 4.668397; 8.188239
75482607386624; -0.282353; 4.668397; 8.188239
75482649329664; -0.452243; 4.977071; 8.508878
75482657718272; -0.452243; 4.977071; 8.508878
75482657718272; -0.452243; 4.977071; 8.508878
75482666106880; -0.452243; 4.977071; 8.508878
75482666106880; -0.452243; 4.977071; 8.508878
75482674495488; -0.452243; 4.977071; 8.508878
75482708049920; -0.729811; 5.175675; 8.370093
75482716438528; -0.729811; 5.175675; 8.370093
75482716438528; -0.729811; 5.175675; 8.370093
75482716438528; -0.729811; 5.175675; 8.370093
75482716438528; -0.729811; 5.175675; 8.370093
75482724827136; -0.729811; 5.175675; 8.370093
75482766770176; -0.847059; 5.079962; 8.291130
75482766770176; -0.847059; 5.079962; 8.291130
75482783547392; -0.847059; 5.079962; 8.291130
75482783547392; -0.847059; 5.079962; 8.291130
75482800324608; -0.847059; 5.079962; 8.291130
75482800324608; -0.847059; 5.079962; 8.291130
75482842267648; -0.672383; 5.376672; 8.212168
75482859044864; -0.672383; 5.376672; 8.212168
75482867433472; -0.672383; 5.376672; 8.212168
75482875822080; -0.811167; 5.012963; 8.291130
75482884210688; -0.811167; 5.012963; 8.291130
75482909376512; -0.811167; 5.012963; 8.291130
75482942930944; -0.741775; 5.307281; 8.188239
75482959708160; -0.741775; 5.307281; 8.188239
75482959708160; -0.741775; 5.307281; 8.188239
75482984873984; -0.741775; 5.307281; 8.188239
75482993262592; -0.655633; 4.943572; 8.209774
75482993262592; -0.655633; 4.943572; 8.209774
75483010039808; -0.655633; 4.943572; 8.209774
75483018428416; -0.655633; 4.943572; 8.209774
75483026817024; -0.655633; 4.943572; 8.209774
75483026817024; -0.655633; 4.943572; 8.209774
75483035205632; -0.655633; 4.943572; 8.209774
75483043594240; -0.655633; 4.943572; 8.209774
75483077148672; -0.648455; 5.180461; 8.061419
75483077148672; -0.648455; 5.180461; 8.061419
75483077148672; -0.648455; 5.180461; 8.061419
75483085537280; -0.648455; 5.180461; 8.061419
75483085537280; -0.648455; 5.180461; 8.061419
75483085537280; -0.648455; 5.180461; 8.061419
75483110703104; -0.870987; 5.402994; 8.252846
75483119091712; -0.870987; 5.402994; 8.252846
75483127480320; -0.870987; 5.402994; 8.252846
75483127480320; -0.870987; 5.402994; 8.252846
75483127480320; -0.870987; 5.402994; 8.252846
75483135868928; -0.870987; 5.402994; 8.252846
75483144257536; -0.870987; 5.402994; 8.252846
75483152646144; -0.870987; 5.402994; 8.252846
75483152646144; -0.870987; 5.402994; 8.252846
75483161034752; -0.870987; 5.402994; 8.252846
75483161034752; -1.820938; 6.467800; 7.472785
75483161034752; -1.820938; 6.467800; 7.472785
75483186200576; -1.820938; 6.467800; 7.472785
75483211366400; -1.820938; 6.467800; 7.472785
75483211366400; -1.820938; 6.467800; 7.472785
75483219755008; -2.847459; 7.312466; 6.687939
75483228143616; -2.847459; 7.312466; 6.687939
75483236532224; -2.847459; 7.312466; 6.687939
75483253309440; -2.847459; 7.312466; 6.687939
75483261698048; -2.847459; 7.312466; 6.687939
75483261698048; -2.847459; 7.312466; 6.687939
75483270086656; -2.847459; 7.312466; 6.687939
75483270086656; -2.847459; 7.312466; 6.687939
75483270086656; -2.847459; 7.312466; 6.687939
75483295252480; -2.196611; 3.242275; 5.840880
75483303641088; -2.196611; 3.242275; 5.840880
75483303641088; -2.196611; 3.242275; 5.840880
75483312029696; -1.727618; 1.124627; 5.453243
75483312029696; -1.727618; 1.124627; 5.453243
75483320418304; -1.727618; 1.124627; 5.453243
75483328806912; -1.727618; 1.124627; 5.453243
75483337195520; -1.727618; 1.124627; 5.453243
75483362361344; 2.175076; -7.948957; 3.364309
75483370749952; 2.175076; -7.948957; 3.364309
75483379138560; 2.175076; -7.948957; 3.364309
75483379138560; 2.175076; -7.948957; 3.364309
75483387527168; 2.175076; -7.948957; 3.364309
75483387527168; 2.175076; -7.948957; 3.364309
75483421081600; 1.919044; -10.387243; 2.768496
75483421081600; 1.919044; -10.387243; 2.768496
75483429470208; 1.919044; -10.387243; 2.768496
75483437858816; 1.919044; -10.387243; 2.768496
75483437858816; 1.919044; -10.387243; 2.768496
75483446247424; 1.919044; -10.387243; 2.768496
75483471413248; 1.354338; -7.446464; 4.996214
75483479801856; 1.354338; -7.446464; 4.996214
75483479801856; 1.354338; -7.446464; 4.996214
75483488190464; 1.354338; -7.446464; 4.996214
75483488190464; 1.354338; -7.446464; 4.996214
75483496579072; 1.354338; -7.446464; 4.996214
