time; x; y; z
75390290755584; -10.784451; -12.875778; 5.905486
75390307532800; -13.392629; -15.929020; 5.158926
75390324310016; -14.895321; -17.603996; 4.802395
75390341087232; -20.535204; -19.932213; -0.150748
75390366253056; -18.606588; -20.315063; -3.361916
75390383030272; -16.216160; -17.467606; -4.409972
75390399807488; -16.656439; -15.256638; -4.106084
75390424973312; -13.670196; -14.974284; -4.393222
75390441750528; -8.662018; -13.952549; -6.123233
75390458527744; -1.840081; -13.488341; -7.135397
75390483693568; 3.000600; -10.348958; -6.034698
75390500470784; -0.940379; -8.860622; -6.573084
75390517248000; -2.313859; -8.348558; -7.436893
75390534025216; -2.421536; -8.003992; -7.300502
75390559191040; -3.148955; -7.891529; -7.594819
75390575968256; -2.148755; -7.893922; -7.025327
75390592745472; -1.622334; -7.137790; -7.357930
75390617911296; -1.182054; -9.238688; -8.913264
75390634688512; -1.751546; -7.494320; -9.329616
75390659854336; -2.266003; -7.769495; -9.578469
75390676631552; -6.360123; -10.047462; -10.298709
75390693408768; -8.276773; -11.408978; -11.109876
75390710185984; -7.446464; -11.574083; -10.856236
75390726963200; -6.137590; -9.566504; -10.269995
75390752129024; -5.211568; -11.755938; -8.190632
75390768906240; -2.383251; -12.916456; -4.766503
75390785683456; -0.177069; -12.143575; -0.497707
75390810849280; -0.540778; -9.872787; 3.948157
75390827626496; -0.789631; -7.757531; 4.821537
75390861180928; -0.607777; -7.599605; 2.510071
75390869569536; 0.337388; -5.855237; -0.055035
75390886346752; 1.093520; -3.256632; -0.540778
75390903123968; 0.215354; -0.882952; 0.631705
75390928289792; -1.631905; -0.500100; 2.876173
75390945067008; -3.333202; -2.021935; 3.663411
75390961844224; -3.259024; -1.658226; 1.935794
75390978621440; -2.734996; -0.126820; 1.476372
75391003787264; -2.916851; 0.524028; 3.113062
75391020564480; -4.323831; -1.349552; 5.486742
75391045730304; -5.094319; -2.766103; 5.998806
75391070896128; -3.976871; -3.081956; 4.182654
75391087673344; -4.730610; -6.683154; 3.742375
75391112839168; -10.762917; -14.407186; 5.087141
75391121227776; -17.235502; -16.981863; 5.027320
75391138004992; -17.099112; -17.508284; 5.087141
75391154782208; -21.664616; -21.650259; -0.492921
75391171559424; -20.219351; -22.810778; -4.800002
75391196725248; -16.706688; -19.144974; -4.670790
75391213502464; -15.404992; -15.323636; -4.474578
75391230279680; -12.392428; -14.148760; -5.414958
75391247056896; -7.281359; -14.258830; -6.051448
75391272222720; 0.380459; -12.760923; -7.197610
75391288999936; 5.438886; -10.499705; -7.326823
75391305777152; -0.689133; -6.824330; -6.094519
75391330942976; -1.787439; -7.427321; -7.520642
75391347720192; -2.675176; -7.336394; -8.331808
75391364497408; -5.008178; -5.453243; -8.697910
75391389663232; -3.452843; -5.125426; -8.315059
75391406440448; -2.055435; -6.695118; -7.850851
75391423217664; -1.588834; -6.678368; -8.640483
75391439994880; -1.459622; -4.981857; -8.786445
75391465160704; -1.995614; -6.314659; -9.722038
75391481937920; -4.115655; -7.046863; -10.506885
75391498715136; -7.243074; -8.338987; -10.475778
75391523880960; -7.994421; -11.014163; -11.499906
75391540658176; -8.135597; -10.896914; -12.287145
75391557435392; -8.664411; -13.667803; -12.057433
75391582601216; -6.075377; -16.005590; -10.131211
75391599378432; -3.876373; -14.380864; -6.463014
75391616155648; -3.306881; -12.433106; -1.136591
75391632932864; -2.845066; -10.715060; 2.292324
75391658098688; -1.947758; -8.781659; 1.024128
75391674875904; -0.126820; -4.359723; 0.239282
75391691653120; 0.892523; 1.079163; 1.854438
75391716818944; -0.009571; 3.993621; 3.763910
75391733596160; -1.071985; 3.450450; 1.648655
75391750373376; -1.426122; 1.536192; 0.064606
75391775539200; -2.866601; -1.586441; 2.567499
75391792316416; -4.512864; -0.935594; 6.582655
75391809093632; -4.996214; -0.969093; 7.357930
75391825870848; -4.354937; -0.626920; 2.792424
75391851036672; -3.751946; -2.988636; 3.431308
75391867813888; -3.845266; -7.676175; 7.412964
75391884591104; -6.666404; -11.248659; 8.250452
75391909756928; -10.420743; -13.328022; 4.058227
75391926534144; -13.414164; -13.741981; -0.105284
75391951699968; -17.106289; -20.817556; 3.637090
75391968477184; -21.540190; -21.982862; 1.998007
75391985254400; -20.906092; -19.673788; -0.497707
75392002031616; -18.845871; -16.039091; -3.445665
75392027197440; -15.550955; -16.474585; -4.716253
75392043974656; -12.117254; -15.914663; -4.551149
75392069140480; -7.647461; -14.311472; -5.455636
75392085917696; -2.213361; -12.894921; -6.202196
75392102694912; 3.933800; -10.423136; -7.245467
75392127860736; 0.708275; -9.176475; -5.917450
75392144637952; -1.593620; -8.130812; -6.764510
75392161415168; -2.170290; -7.348358; -7.362715
75392178192384; -3.816552; -6.955935; -7.886744
75392194969600; -2.476571; -6.293124; -7.341180
75392220135424; -2.065006; -8.353344; -7.305287
75392236912640; -0.971486; -9.860822; -6.893722
75392253689856; -1.648655; -5.532206; -8.446664
75392278855680; -2.359323; -8.951550; -8.233703
75392304021504; -5.649454; -10.315458; -8.504091
