time; x; y; z
18205626073088; -7.415358; -2.165504; -1.143769
18205640753152; -2.084148; -1.016950; 1.002593
18205670113280; 2.627319; -2.227718; 2.481357
18205686890496; 6.259624; -2.474179; 2.644069
18205709959168; 5.745167; -1.567299; 3.144169
18205741416448; 1.249053; -0.710668; 2.852245
18205743513600; 1.249053; -0.710668; 2.852245
18205770776576; 2.711068; -3.122633; 1.445265
18205779165184; 2.711068; -3.122633; 1.445265
18205793845248; 2.696711; -3.464807; 2.359323
18205816913920; 2.227718; -2.462214; 0.447458
18205835788288; 2.440679; -2.493321; -1.107877
18205850468352; 3.445665; -6.458228; 0.129212
18205871439872; 4.302295; -10.100104; 3.584448
18205890314240; 4.639683; -12.614961; 3.766303
18205915480064; 6.525228; -16.744972; 1.517050
18205940645888; 11.081161; -23.121845; 2.268396
18205959520256; 17.340786; -25.552954; 4.027121
18205965811712; 13.572090; -26.792435; 1.203590
18205986783232; 10.068997; -26.103302; -0.983450
18206005657600; 9.095119; -18.290737; -2.029114
18206024531968; 9.489935; -16.754543; -2.134398
18206064377856; 6.187840; -20.152351; -2.199004
18206066475008; 6.187840; -20.152351; -2.199004
18206091640832; 1.954936; -14.598611; -1.012164
18206108418048; -2.981457; -6.939186; -2.359323
18206125195264; -5.747560; -8.348558; -1.974079
18206146166784; -3.318845; -14.603396; -2.577070
18206160846848; -0.990629; -10.839486; -5.163711
18206183915520; -0.937986; -6.166304; -5.285745
18206202789888; -1.375873; -7.987242; -3.572484
18206219567104; -3.431308; -11.009377; -2.385644
18206240538624; -6.405586; -8.082955; 0.727418
18206257315840; -4.713861; -4.742575; -1.406980
18206280384512; -2.919244; -2.419144; -2.203790
18206307647488; -2.560320; -2.801995; -1.916651
18206328619008; -1.672583; -4.740181; -2.402394
18206339104768; -0.040678; -6.857830; -2.569891
18206368464896; 0.535992; -6.963114; -3.330809
18206387339264; -9.090333; -16.297516; -4.390830
18206399922176; -9.090333; -16.297516; -4.390830
18206412505088; -12.540784; -17.307285; -2.041078
18206439768064; -7.640283; -17.912670; 0.203390
18206475419648; -6.151947; -11.913864; 4.881358
18206479613952; -6.151947; -11.913864; 4.881358
18206508974080; -9.028120; -8.114061; 3.617948
18206513168384; -9.028120; -8.114061; 3.617948
18206532042752; -3.986443; -6.443871; 2.467000
18206548819968; -0.799203; -3.474379; 2.297110
18206563500032; 1.615155; -1.227518; 2.289931
18206603345920; 3.452843; -1.280160; 3.897908
