time; x; y; z
87095074881536; 2.371287; 5.438886; 7.850851
87095074881536; 2.371287; 5.438886; 7.850851
87095091658752; 2.371287; 5.438886; 7.850851
87095100047360; 2.371287; 5.438886; 7.850851
87095100047360; 2.371287; 5.438886; 7.850851
87095116824576; 2.371287; 5.438886; 7.850851
87095183933440; 2.813959; 5.489135; 8.516056
87095200710656; 2.813959; 5.489135; 8.516056
87095209099264; 2.813959; 5.489135; 8.516056
87095217487872; 2.813959; 5.489135; 8.516056
87095225876480; 2.813959; 5.489135; 8.516056
87095242653696; 2.603391; 5.237889; 8.518449
87095242653696; 2.603391; 5.237889; 8.518449
87095251042304; 2.603391; 5.237889; 8.518449
87095251042304; 2.603391; 5.237889; 8.518449
87095276208128; 2.603391; 5.237889; 8.518449
87095301373952; 2.395216; 5.113462; 7.941778
87095301373952; 2.395216; 5.113462; 7.941778
87095334928384; 2.395216; 5.113462; 7.941778
87095360094208; 2.433501; 5.402994; 8.025527
87095368482816; 2.433501; 5.402994; 8.025527
87095402037248; 2.433501; 5.402994; 8.025527
87095410425856; 2.433501; 5.402994; 8.025527
87095435591680; 2.244468; 5.099105; 7.539784
87095485923328; 2.203790; 5.120640; 6.999006
87095485923328; 2.203790; 5.120640; 6.999006
87095494311936; 2.203790; 5.120640; 6.999006
87095494311936; 2.203790; 5.120640; 6.999006
87095494311936; 2.203790; 5.120640; 6.999006
87095494311936; 2.203790; 5.120640; 6.999006
87095502700544; 2.203790; 5.120640; 6.999006
87095511089152; 2.203790; 5.120640; 6.999006
87095519477760; 2.203790; 5.120640; 6.999006
87095519477760; 2.203790; 5.120640; 6.999006
87095519477760; 2.203790; 5.120640; 6.999006
87095519477760; 2.203790; 5.120640; 6.999006
87095527866368; 2.833102; 5.644669; 4.965107
87095553032192; 2.833102; 5.644669; 4.965107
87095569809408; 2.833102; 5.644669; 4.965107
87095578198016; 2.833102; 5.644669; 4.965107
87095586586624; 3.785445; 3.881158; 4.077370
87095586586624; 3.785445; 3.881158; 4.077370
87095603363840; 3.785445; 3.881158; 4.077370
87095603363840; 3.785445; 3.881158; 4.077370
87095603363840; 3.785445; 3.881158; 4.077370
