time; x; y; z
37596893806592; -1.107877; 4.201797; 8.645268
37596893806592; -1.107877; 4.201797; 8.645268
37596902195200; -1.107877; 4.201797; 8.645268
37596902195200; -1.107877; 4.201797; 8.645268
37596906389504; -1.107877; 4.201797; 8.645268
37596923166720; -1.107877; 4.201797; 8.645268
37596956721152; -0.978664; 3.964907; 8.671589
37596956721152; -0.978664; 3.964907; 8.671589
37596969304064; -0.978664; 3.964907; 8.671589
37596973498368; -0.978664; 3.964907; 8.671589
37596973498368; -0.978664; 3.964907; 8.671589
37596977692672; -0.978664; 3.964907; 8.671589
37597007052800; -1.588834; 4.532006; 8.906086
37597019635712; -1.588834; 4.532006; 8.906086
37597019635712; -1.588834; 4.532006; 8.906086
37597023830016; -1.588834; 4.532006; 8.906086
37597023830016; -1.588834; 4.532006; 8.906086
37597023830016; -1.588834; 4.532006; 8.906086
37597069967360; -1.607977; 4.036692; 8.874979
37597074161664; -1.607977; 4.036692; 8.874979
37597078355968; -1.607977; 4.036692; 8.874979
37597082550272; -1.607977; 4.036692; 8.874979
37597086744576; -1.607977; 4.036692; 8.874979
37597090938880; -1.607977; 4.036692; 8.874979
37597132881920; -1.462015; 4.216154; 8.578269
37597153853440; -1.462015; 4.216154; 8.578269
37597158047744; -1.462015; 4.216154; 8.578269
37597166436352; -1.462015; 4.216154; 8.578269
37597179019264; -1.462015; 4.216154; 8.578269
37597183213568; -1.665405; 4.352544; 8.520842
37597220962304; -1.665405; 4.352544; 8.520842
37597233545216; -1.665405; 4.352544; 8.520842
37597237739520; -2.335395; 5.130212; 7.874779
37597241933824; -2.335395; 5.130212; 7.874779
37597267099648; -2.335395; 5.130212; 7.874779
37597271293952; -2.335395; 5.130212; 7.874779
37597300654080; -3.586841; 5.221139; 6.214160
37597304848384; -3.586841; 5.221139; 6.214160
37597325819904; -3.586841; 5.221139; 6.214160
37597334208512; -3.586841; 5.221139; 6.214160
37597342597120; -3.586841; 5.221139; 6.214160
37597350985728; -3.790231; 5.644669; 7.503892
37597359374336; -3.790231; 5.644669; 7.503892
37597371957248; -3.790231; 5.644669; 7.503892
37597380345856; -3.790231; 5.644669; 7.503892
37597380345856; -3.790231; 5.644669; 7.503892
37597384540160; -3.790231; 5.644669; 7.503892
37597388734464; -3.790231; 5.644669; 7.503892
37597405511680; -3.790231; 5.644669; 7.503892
37597422288896; -4.170690; 4.577470; 8.260024
37597426483200; -4.170690; 4.577470; 8.260024
37597426483200; -4.170690; 4.577470; 8.260024
37597430677504; -4.170690; 4.577470; 8.260024
37597434871808; -4.170690; 4.577470; 8.260024
