time; x; y; z
405717745664; -14.447864; -16.237694; -14.596218
405738979328; -9.097511; -14.641682; -13.674981
405761818624; -1.966900; -10.250853; -8.346166
405784985600; 3.866802; -7.022934; -1.718047
405814509568; 6.092126; -3.775874; -4.007978
405832990720; 3.771089; -4.168297; -7.185647
405839020032; 3.771089; -4.168297; -7.185647
405894266880; -3.127419; -8.114061; -4.902894
405895413760; -4.565506; -7.484749; -7.302895
405903343616; -4.565506; -7.484749; -7.302895
405936472064; -0.720240; -3.835695; -8.171490
405938536448; -0.720240; -3.835695; -8.171490
405961113600; 0.823131; -4.821537; -4.247260
405973467136; 1.552942; -9.415757; -5.324030
405999681536; 0.784846; -4.577470; -8.056634
406011543552; -0.902094; -2.210968; -10.145568
406025371648; -1.603191; -5.268995; -8.664411
406051946496; -1.899901; -8.587840; -10.013963
406068953088; -3.443272; -10.542776; -12.045469
406103752704; -6.230910; -13.418949; -15.357136
406105686016; -6.230910; -13.418949; -15.357136
406126002176; -6.474978; -12.830315; -10.717453
406142910464; -4.362116; -12.961920; -9.748360
406169649152; -0.476172; -12.973885; -12.232109
406194126848; -0.691526; -12.284752; -10.760524
406251339776; -0.976272; -7.700103; 0.126820
406265790464; -0.492921; -7.188039; 4.735396
406266937344; -0.492921; -7.188039; 4.735396
406274277376; 0.454636; -5.166104; 5.871987
406291480576; 0.454636; -5.166104; 5.871987
406302588928; 1.801795; -2.658426; 4.608576
406326837248; 2.914458; -0.899701; 2.371287
406333784064; 3.010171; -0.102891; 0.725025
406361669632; 2.043471; -0.579063; 0.356531
406377725952; 0.287139; -0.827917; 0.703490
406398173184; -0.806381; -0.777667; 0.813560
406414327808; -1.263410; -0.978664; 0.490529
406435266560; -1.203590; -1.445265; -0.112463
406455091200; -1.038485; -2.297110; -1.129412
406469312512; -1.158126; -3.907479; -2.108077
406491070464; -1.351945; -6.149554; -3.378666
406508830720; -1.622334; -9.020942; -5.185246
406529376256; -3.081956; -14.033905; -7.568498
406546710528; -7.771888; -17.848064; -9.432507
406592258048; -25.435705; -24.971497; -15.364314
406600876032; -25.435705; -24.971497; -15.364314
406623584256; -16.704294; -22.774885; -15.682560
406656778240; -13.076776; -17.903099; -13.619946
406657990656; -13.076776; -17.903099; -13.619946
406673227776; -9.257831; -14.076976; -7.946564
406686269440; -5.168497; -13.751552; 1.136591
406704062464; -1.048056; -9.942178; 6.336195
406731554816; 5.173283; -3.661019; 1.828117
406743089152; 10.322637; 0.052642; -4.800002
406762422272; 8.264810; -1.751546; -5.958128
406783852544; 3.055634; -4.419543; -3.081956
406798794752; 0.516850; -2.983850; -0.504886
406816194560; -1.390230; -1.914258; -0.270389
406845423616; -2.734996; -2.282753; -4.572684
406862725120; -3.795017; -4.869394; -6.647261
406886809600; -4.316652; -6.678368; -6.065805
406920167424; -2.081756; -8.097312; -5.960521
406933143552; -2.569891; -9.683753; -6.379265
406939336704; -2.569891; -9.683753; -6.379265
406957293568; -3.412165; -8.573483; -9.590433
406981902336; -5.139783; -8.293523; -11.631511
407005593600; -5.529813; -9.573684; -10.231709
407018831872; -5.888737; -10.801202; -9.851251
407036329984; -6.872187; -11.102697; -11.519048
407049633792; -8.015956; -12.689138; -14.995819
407081517056; -10.023534; -15.357136; -16.725830
407086628864; -9.851251; -14.900106; -15.778273
407111565312; -6.159125; -16.534405; -15.816558
407127195648; -5.046463; -17.333607; -16.130018
407149019136; -5.087141; -14.012369; -10.040284
407163666432; -3.835695; -9.616755; -5.486742
407184244736; -2.687140; -6.776474; -1.215554
407204855808; -1.335195; -5.000999; 2.488536
407223533568; -0.500100; -2.177469; 4.730610
407240933376; 0.016750; -0.373280; 5.687739
407266623488; 0.277567; 1.931008; 5.460421
407285202944; 0.248854; 2.132005; 5.197211
407303028736; -0.028714; 1.249053; 4.606184
407322689536; -0.806381; -0.095713; 3.146562
407338188800; -1.557728; -1.031307; 1.749153
407356571648; -1.823331; -1.916651; 1.098306
407377903616; -1.875973; -2.215754; 0.959522
407395729408; -1.897508; -2.900101; 1.119841
407427416064; -1.741975; -4.357330; -0.076570
407439671296; -1.780260; -6.195018; -2.199004
407469064192; -2.256432; -7.666604; -2.333002
407473848320; -2.663212; -8.650054; -1.883151
407495802880; -3.893122; -10.068997; -2.933601
407510253568; -8.219346; -16.046268; -9.676575
407530143744; -21.815365; -19.058832; -16.491333
407548624896; -26.890541; -18.147167; -15.775880
407573102592; -23.813372; -18.798016; -13.177275
407601807360; -24.220150; -18.659231; -13.878371
407610654720; -21.662224; -18.587446; -16.197016
407626186752; -15.192031; -17.082361; -14.668003
407645126656; -6.824330; -14.773287; -6.592227
407664623616; 0.145962; -9.939785; 2.007578
407684218880; 6.417551; -5.816952; 0.890130
407703289856; 8.092526; -6.187840; -5.761917
407723114496; 5.558527; -4.845466; -7.240681
407742447616; 1.801795; -5.596812; -3.878766
407761256448; -4.919643; -5.312066; -2.222932
407779966976; -8.575876; -6.173482; -4.922036
407799889920; -4.599005; -6.987042; -6.467800
407818797056; -2.344966; -7.946564; -7.109076
407840096256; -0.334995; -5.958128; -7.604390
407858118656; 1.897508; -3.802195; -7.566105
407876894720; 3.134598; -0.251246; -9.516255
407897210880; 3.208775; -0.117248; -10.258031
407915692032; 2.045863; -4.811966; -9.669396
407935320064; -1.311267; -3.237489; -9.028120
407964680192; -3.897908; -5.462814; -11.729616
407977295872; -7.073184; -7.747960; -12.567104
407997448192; -9.518648; -8.209774; -10.320244
408018550784; -8.315059; -12.744173; -13.107882
408032411648; -9.662218; -15.799808; -15.402599
408052432896; -9.537791; -16.409977; -11.054841
408072454144; -3.672983; -18.058632; -9.119047
408093229056; -4.931607; -20.243280; -10.131211
408111284224; -3.529413; -19.027725; -8.556734
408129175552; -2.120041; -13.167703; -5.223532
408147394560; -1.186840; -10.329815; -1.253839
408167415808; 0.823131; -7.872386; 2.883351
408187731968; 2.426322; -5.704489; 4.218546
408204902400; 3.084348; -2.782853; 3.878766
408224006144; 2.861816; -0.093320; 2.785246
408243077120; 2.261217; 1.782653; 1.794617
