time; x; y; z
50796666290176; 12.610175; -11.361122; -17.163717
50796678873088; 12.610175; -11.361122; -17.163717
50796683067392; 11.191232; -9.238688; -19.901106
50796699844608; 11.191232; -9.238688; -19.901106
50796725010432; 17.197216; -13.399807; -29.565716
50796754370560; 15.931413; -15.369100; -27.785456
50796762759168; 11.440085; -11.284552; -23.542982
50796775342080; 11.440085; -11.284552; -23.542982
50796783730688; 9.145369; -11.129018; -21.616760
50796808896512; 9.856036; -8.102098; -19.846071
50796817285120; 9.856036; -8.102098; -19.846071
50796829868032; 11.708081; -5.302495; -16.484156
50796838256640; 13.574483; 0.617348; -12.344572
50796859228160; 15.625132; 7.970492; -8.872586
50796884393984; 23.545374; 11.260623; -8.578269
50796917948416; 24.528826; 11.521441; -0.253639
50796922142720; 24.528826; 11.521441; -0.253639
50796951502848; 24.593431; 14.122439; -0.770489
50796964085760; 25.148565; 10.803595; -0.200997
50796980862976; 22.961527; 7.814959; 4.728218
50796993445888; 19.412970; 3.110669; 4.577470
50797014417408; 17.613567; 0.495314; 4.211368
50797035388928; 16.704294; -9.217153; 8.219346
50797056360448; 15.828522; -7.499106; 6.175875
50797077331968; 15.314065; -9.418150; 11.822937
50797089914880; 13.600804; -11.693725; 16.118053
50797110886400; 16.130018; -16.347765; 19.300507
50797127663616; 17.149361; -18.187845; 19.671394
50797152829440; 21.224337; -22.978275; 14.763716
50797169606656; 30.685558; -21.454048; 9.255438
50797186383872; 39.199219; -23.717659; 4.290331
50797207355392; 35.440098; -25.574488; 3.428915
50797228326912; 18.168703; -30.661629; 10.882557
50797249298432; 2.646462; -20.901306; 5.850451
50797261881344; -15.725631; -20.659630; 0.648455
50797282852864; -15.048462; -21.700508; -0.337388
50797308018688; 0.937986; -12.512070; -2.531606
50797324795904; 0.720240; -11.069198; -7.994421
50797341573120; 8.597412; -22.176680; -11.566905
50797362544640; 10.992627; -23.720051; -12.921243
50797383516160; -1.062413; -18.477377; -10.638490
50797400293376; -1.344766; -16.610975; -6.599405
50797417070592; 4.381258; -18.948763; -8.015956
50797438042112; 3.507878; -3.692125; -11.767901
50797454819328; 1.739582; 2.763710; -10.853844
50797479985152; 0.531207; 10.837093; -13.775480
50797496762368; 6.369694; 19.429720; -6.920043
50797517733888; 12.559926; 21.317657; 3.452843
50797534511104; 8.377272; 15.594026; 0.835095
50797559676928; 7.369894; 14.328222; -0.581456
50797580648448; 6.573084; 13.770695; 6.568298
50797593231360; 4.412365; 0.916451; 12.004791
50797610008576; 2.981457; -15.596418; 13.619946
50797630980096; 6.293124; -21.487547; 14.443077
50797656145920; 17.824137; -33.284164; 4.620541
50797689700352; 30.008389; -40.295132; -6.142376
50797693894656; 30.008389; -40.295132; -6.142376
50797706477568; 23.169703; -30.319456; -12.468999
50797731643392; 18.853050; -34.861034; -25.107887
50797744226304; 4.503292; -30.281170; -15.634703
50797769392128; -24.141188; -11.406586; 1.002593
50797790363648; -14.309079; -1.213161; -6.441479
50797807140864; -4.771288; 4.666004; -19.647467
50797836500992; -6.202196; 7.336394; -18.384056
50797853278208; 4.807181; -1.402194; -11.844472
50797870055424; 7.042077; -4.168297; -2.892923
50797886832640; 5.740382; -5.584848; -13.414164
50797899415552; 3.127419; -5.161318; -4.974678
50797924581376; 0.665205; -6.226124; -4.000800
50797941358592; -0.832702; -2.067399; -1.368695
50797966524416; -2.280360; -0.674776; 4.060620
50797979107328; -2.045863; 6.673583; 2.993421
50798000078848; 1.974079; 8.884550; 2.416751
50798021050368; 10.068997; 18.149559; 2.845066
50798042021888; 13.469198; 22.595425; 5.146962
50798058799104; 13.868800; 20.918056; 8.776874
50798088159232; 9.422935; 17.867207; 7.759924
50798096547840; 8.707481; 8.807981; 9.915857
50798113325056; 9.023335; -7.326823; 6.714260
50798134296576; 13.464413; -22.308285; -1.320838
50798151073792; 23.066811; -35.791840; -15.180067
50798172045312; 26.670401; -38.624943; -23.662622
50798193016832; 24.792036; -37.698921; -31.331619
50798209794048; 27.620352; -32.205002; -36.868610
50798226571264; 24.981068; -29.671001; -32.774490
50798255931392; 13.579268; -33.918262; -15.498312
50798285291520; -7.829316; -6.302695; 1.856830
50798289485824; -7.829316; -6.302695; 1.856830
50798314651648; -11.090733; 3.570091; 8.260024
50798348206080; 1.220340; 2.287539; -6.451050
50798352400384; 1.220340; 2.287539; -6.451050
50798369177600; 5.742774; 9.882358; -3.407379
50798385954816; 4.275974; 10.179068; 1.485943
50798411120640; 6.204589; 11.023734; -1.225125
50798423703552; 3.364309; 13.395021; -3.448057
50798440480768; 4.756931; 12.363714; -2.483750
50798465646592; 7.645068; 8.355737; -0.404387
50798478229504; 8.477771; 4.503292; 0.507278
50798503395328; 7.704889; 1.866402; 1.495514
50798515978240; 6.742974; 0.059821; -0.229711
50798536949760; 6.419943; -3.448057; 1.270589
50798557921280; 4.321438; -7.176075; 4.369294
50798578892800; 1.540978; -9.236296; 7.209575
50798599864320; -1.514657; -6.893722; 6.833901
50798616641536; -4.991428; -4.218546; 3.503092
50798641807360; -1.682154; -4.649254; 0.229711
50798650195968; 12.134004; -8.731410; -2.218147
50798671167488; 52.534420; -15.326029; -7.838887
50798704721920; 34.540394; -18.015562; -4.338187
50798717304832; 43.331627; -17.843279; -6.080163
50798734082048; 34.387253; -13.091133; -6.958328
50798750859264; 23.294128; -19.757536; -3.230311
50798767636480; 15.256638; -12.100504; 0.404387
50798788608000; 10.059426; -6.345766; 1.646262
50798805385216; 5.735596; -4.646862; 6.453443
50798826356736; 2.632105; -3.199204; 7.355537
50798843133952; -0.650848; -1.895115; 4.859823
50798864105472; -4.620541; -0.906880; 3.562913
50798885076992; -8.329415; 0.653241; 2.840281
50798906048512; -8.410771; 0.387637; 3.019742
50798927020032; -3.699304; -0.658026; 4.019942
50798943797248; -0.074178; 0.021535; 2.340181
50798960574464; 2.349752; -0.260818; 0.169890
50798981545984; 5.520242; -0.789631; -1.299303
50798998323200; 10.801202; -1.710868; -2.426322
50799019294720; 21.793829; 0.000000; -5.644669
50799044460544; 30.429525; 0.110070; -8.846265
50799057043456; 20.831913; -4.369294; -4.299902
50799078014976; 12.875778; -5.876772; -0.105284
50799111569408; 21.253050; 0.014357; 0.526421
50799115763712; 21.253050; 0.014357; 0.526421
50799140929536; 16.871792; -1.820938; 0.169890
50799157706752; 12.782458; -2.579463; 1.234697
50799195455488; 8.066205; -1.670190; 3.383451
50799208038400; 6.056234; -1.952543; 3.381058
50799224815616; 6.056234; -1.952543; 3.381058
50799249981440; 3.000600; -2.160719; 1.694118
50799262564352; 3.000600; -2.160719; 1.694118
50799270952960; 3.163311; -2.103291; 0.677169
50799287730176; 5.477171; -1.691726; -0.047856
50799308701696; 8.293523; -1.497907; -0.669990
50799325478912; 10.853844; -2.084148; -1.184447
50799350644736; 13.488341; -2.612962; -1.823331
50799371616256; 14.713467; -3.297310; -0.928415
50799392587776; 12.495320; -3.826123; 1.533799
50799409364992; 9.836894; -3.419343; 2.529213
50799430336512; 9.030513; -3.866802; 2.292324
50799442919424; 8.922835; -4.170690; 1.629512
50799463890944; 8.654840; -4.055834; 2.084148
50799484862464; 8.542377; -4.122833; 3.376273
50799510028288; 8.487342; -4.907679; 4.340580
50799526805504; 9.104691; -5.953343; 4.034299
50799551971328; 9.384650; -5.874380; 4.082155
50799564554240; 7.731210; -4.443471; 4.168297
50799581331456; 4.811966; -2.452643; 3.960121
50799598108672; 3.826123; 0.466600; 3.534199
50799619080192; 7.891529; 4.024728; 4.153940
50799635857408; 12.471392; 7.300502; 3.756732
50799652634624; 13.639089; 9.080762; 3.395415
50799673606144; 12.473784; 8.348558; 3.122633
50799694577664; 11.081161; 7.606783; 3.462414
50799711354880; 10.191031; 6.872187; 3.136991
50799740715008; 8.915657; 5.268995; 2.868994
50799770075136; 8.853444; 3.955336; 2.778067
50799770075136; 8.853444; 3.955336; 2.778067
50799791046656; 8.525627; 3.558127; 3.012564
50799807823872; 8.697910; 3.443272; 3.304488
50799828795392; 8.700303; 3.077170; 4.048656
50799845572608; 7.908279; 3.383451; 5.099105
50799866544128; 6.608976; 4.304688; 5.491528
50799887515648; 5.316852; 4.261617; 5.486742
50799904292864; 4.706682; 2.234896; 4.740181
50799925264384; 5.020142; 2.656033; 4.661219
50799946235904; 5.192425; 1.457229; 3.931408
50799963013120; 3.979264; -2.545963; 2.036292
50799983984640; 4.007978; -7.243074; -0.990629
50800004956160; 5.094319; -12.354143; -2.002793
50800021733376; 8.276773; -17.998812; -1.395016
50800042704896; 10.724631; -17.072790; -2.316252
50800059482112; 13.004992; -17.381464; -6.020342
50800080453632; 17.099112; -19.087545; -9.255438
50800101425152; 20.712273; -17.989241; -11.641082
50800122396672; 22.332214; -19.640287; -13.648661
50800139173888; 26.000410; -20.640488; -14.909678
50800160145408; 26.143980; -19.860428; -19.317257
50800176922624; 19.290936; -18.843479; -21.805792
