time; x; y; z
43272932163584; -0.457029; 5.400601; 7.563713
43272965718016; -0.406780; 5.453243; 7.721639
43273016049664; -0.830309; 5.668597; 7.896315
43273016049664; -0.708275; 5.647061; 8.025527
43273032826880; -0.708275; 5.647061; 8.025527
43273049604096; -0.708275; 5.647061; 8.025527
43273062187008; -0.708275; 5.647061; 8.025527
43273066381312; -0.708275; 5.647061; 8.025527
43273083158528; -0.710668; 5.503492; 8.044670
43273095741440; -0.710668; 5.503492; 8.044670
43273112518656; -0.710668; 5.503492; 8.044670
43273133490176; -0.708275; 5.761917; 7.226325
43273146073088; -0.708275; 5.761917; 7.226325
43273183821824; -0.708275; 5.761917; 7.226325
43273196404736; -1.780260; 7.015756; 5.635098
43273246736384; -2.364109; 7.080362; 4.912465
43273326428160; -3.876373; 6.233303; 4.811966
43273343205376; -3.462414; 1.780260; 5.556134
43273364176896; -3.462414; 1.780260; 5.556134
43273368371200; -3.462414; 1.780260; 5.556134
43273372565504; -3.462414; 1.780260; 5.556134
43273385148416; -3.462414; 1.780260; 5.556134
43273393537024; -2.883351; -7.628319; 5.223532
43273397731328; -2.883351; -7.628319; 5.223532
43273401925632; -2.883351; -7.628319; 5.223532
43273406119936; -2.883351; -7.628319; 5.223532
43273410314240; -2.883351; -7.628319; 5.223532
43273418702848; -2.883351; -7.628319; 5.223532
43273427091456; -2.883351; -7.628319; 5.223532
43273431285760; -2.883351; -7.628319; 5.223532
43273435480064; -2.883351; -7.628319; 5.223532
43273435480064; -2.883351; -7.628319; 5.223532
43273443868672; 0.894916; -13.794622; 2.455036
43273448062976; 0.894916; -13.794622; 2.455036
43273448062976; 0.894916; -13.794622; 2.455036
43273456451584; 0.894916; -13.794622; 2.455036
43273460645888; 0.894916; -13.794622; 2.455036
43273464840192; 0.894916; -13.794622; 2.455036
43273469034496; 0.894916; -13.794622; 2.455036
43273473228800; 0.894916; -13.794622; 2.455036
43273477423104; 0.894916; -13.794622; 2.455036
43273477423104; 0.894916; -13.794622; 2.455036
43273490006016; 0.894916; -13.794622; 2.455036
43273494200320; 0.894916; -13.794622; 2.455036
43273502588928; 3.397808; -11.921042; 0.870987
43273506783232; 3.397808; -11.921042; 0.870987
43273510977536; 3.397808; -11.921042; 0.870987
43273515171840; 3.397808; -11.921042; 0.870987
43273531949056; 3.397808; -11.921042; 0.870987
43273540337664; 3.397808; -11.921042; 0.870987
