time; x; y; z
11880088207360; -0.583849; 4.998607; 8.006385
11880094498816; -0.583849; 4.998607; 8.006385
11880107081728; -0.583849; 4.998607; 8.006385
11880107081728; -0.583849; 4.998607; 8.006385
11880110227456; -0.583849; 4.998607; 8.006385
11880119664640; -0.583849; 4.998607; 8.006385
11880155316224; -1.081556; 5.405386; 8.377272
11880172093440; -1.081556; 5.405386; 8.377272
11880186773504; -1.081556; 5.405386; 8.377272
11880204599296; -1.241875; 4.646862; 8.499306
11880217182208; -1.241875; 4.646862; 8.499306
11880218230784; -1.241875; 4.646862; 8.499306
11880253882368; -1.241875; 4.646862; 8.499306
11880271708160; -0.966700; 5.173283; 8.276773
11880286388224; -0.966700; 5.173283; 8.276773
11880291631104; -0.966700; 5.173283; 8.276773
11880305262592; -0.966700; 5.173283; 8.276773
11880317845504; -0.935594; 5.278567; 8.410771
11880343011328; -0.935594; 5.278567; 8.410771
11880350351360; -0.935594; 5.278567; 8.410771
11880374468608; -0.921237; 5.091927; 8.434700
11880376565760; -0.921237; 5.091927; 8.434700
11880382857216; -0.921237; 5.091927; 8.434700
11880402780160; -0.921237; 5.091927; 8.434700
11880417460224; -0.921237; 5.091927; 8.434700
11880421654528; -0.921237; 5.091927; 8.434700
11880436334592; -0.949951; 4.833502; 8.303095
11880455208960; -0.916451; 4.704289; 8.372486
11880457306112; -0.916451; 4.704289; 8.372486
11880463597568; -0.916451; 4.704289; 8.372486
11880486666240; -0.916451; 4.704289; 8.372486
11880492957696; -0.916451; 4.704289; 8.372486
11880500297728; -0.844666; 5.369494; 8.269595
11880502394880; -0.844666; 5.369494; 8.269595
11880505540608; -0.844666; 5.369494; 8.269595
11880512880640; -0.844666; 5.369494; 8.269595
11880562163712; -0.842274; 4.979464; 8.324630
11880572649472; -0.842274; 4.979464; 8.324630
11880582086656; -0.842274; 4.979464; 8.324630
11880588378112; -0.842274; 4.979464; 8.324630
11880595718144; -0.842274; 4.979464; 8.324630
11880602009600; -0.842274; 4.979464; 8.324630
11880604106752; -0.842274; 4.979464; 8.324630
11880624029696; -0.973879; 5.398208; 8.322237
11880631369728; -0.973879; 5.398208; 8.322237
11880636612608; -0.973879; 5.398208; 8.322237
11880640806912; -0.973879; 5.398208; 8.322237
11880654438400; -0.973879; 5.398208; 8.322237
11880662827008; -0.973879; 5.398208; 8.322237
11880673312768; -1.069592; 5.120640; 8.398808
11880679604224; -1.069592; 5.120640; 8.398808
11880683798528; -1.069592; 5.120640; 8.398808
11880686944256; -1.069592; 5.120640; 8.398808
11880691138560; -1.069592; 5.120640; 8.398808
11880694284288; -1.069592; 5.120640; 8.398808
11880754053120; -0.914058; 5.161318; 8.391629
11880762441728; -0.914058; 5.161318; 8.391629
11880768733184; -0.914058; 5.161318; 8.391629
11880770830336; -0.914058; 5.161318; 8.391629
11880773976064; -0.914058; 5.161318; 8.391629
11880779218944; -0.914058; 5.161318; 8.391629
11880806481920; -1.071985; 5.106284; 8.195417
11880820113408; -1.071985; 5.106284; 8.195417
11880823259136; -1.071985; 5.106284; 8.195417
11880827453440; -1.071985; 5.106284; 8.195417
11880836890624; -1.071985; 5.106284; 8.195417
11880846327808; -1.050449; 5.261817; 8.291130
11880862056448; -1.050449; 5.261817; 8.291130
11880862056448; -1.050449; 5.261817; 8.291130
11880865202176; -1.050449; 5.261817; 8.291130
11880868347904; -1.050449; 5.261817; 8.291130
11880872542208; -1.050449; 5.261817; 8.291130
11880877785088; -1.050449; 5.261817; 8.291130
11880893513728; -1.050449; 5.261817; 8.291130
11880895610880; -1.050449; 5.261817; 8.291130
11880898756608; -1.050449; 5.261817; 8.291130
11880902950912; -0.928415; 5.245067; 7.951350
11880906096640; -0.928415; 5.245067; 7.951350
11880908193792; -0.928415; 5.245067; 7.951350
11880935456768; -0.928415; 5.245067; 7.951350
11880945942528; -0.928415; 5.245067; 7.951350
11880949088256; -0.928415; 5.245067; 7.951350
11880957476864; -0.928415; 5.245067; 7.951350
11880967962624; -0.921237; 5.355137; 8.097312
11880970059776; -0.921237; 5.355137; 8.097312
11881026682880; -0.820738; 5.714060; 8.269595
11881030877184; -0.820738; 5.714060; 8.269595
11881037168640; -0.820738; 5.714060; 8.269595
11881042411520; -0.820738; 5.714060; 8.269595
11881045557248; -0.820738; 5.714060; 8.269595
11881052897280; -0.820738; 5.714060; 8.269595
11881083305984; -0.837488; 5.800202; 7.819745
11881088548864; -0.837488; 5.800202; 7.819745
11881096937472; -0.837488; 5.800202; 7.819745
11881099034624; -0.837488; 5.800202; 7.819745
11881101131776; -0.837488; 5.800202; 7.819745
11881104277504; -0.837488; 5.800202; 7.819745
11881116860416; -0.837488; 5.800202; 7.819745
11881122103296; -0.837488; 5.800202; 7.819745
11881128394752; -0.837488; 5.800202; 7.819745
11881135734784; -0.851845; 5.706882; 7.889136
11881138880512; -0.851845; 5.706882; 7.889136
11881142026240; -0.851845; 5.706882; 7.889136
11881164046336; -0.851845; 5.706882; 7.889136
11881169289216; -0.851845; 5.706882; 7.889136
11881186066432; -0.851845; 5.706882; 7.889136
11881188163584; -0.851845; 5.706882; 7.889136
11881214377984; -0.961915; 5.905486; 7.781459
11881215426560; -0.961915; 5.905486; 7.781459
11881274146816; -0.909273; 5.666204; 7.745567
11881278341120; -0.909273; 5.666204; 7.745567
11881294069760; -0.909273; 5.666204; 7.745567
11881298264064; -0.909273; 5.666204; 7.745567
11881305604096; -0.909273; 5.666204; 7.745567
11881307701248; -1.060020; 5.647061; 7.855637
11881339158528; -1.060020; 5.647061; 7.855637
11881350692864; -1.060020; 5.647061; 7.855637
11881364324352; -1.141376; 5.816952; 8.015956
11881367470080; -1.141376; 5.816952; 8.015956
11881371664384; -1.141376; 5.816952; 8.015956
11881374810112; -1.141376; 5.816952; 8.015956
11881382150144; -1.141376; 5.816952; 8.015956
11881386344448; -1.141376; 5.816952; 8.015956
11881391587328; -1.141376; 5.816952; 8.015956
11881395781632; -1.141376; 5.816952; 8.015956
11881405218816; -1.141376; 5.816952; 8.015956
11881407315968; -1.141376; 5.816952; 8.015956
11881424093184; -0.961915; 5.711668; 7.867601
11881428287488; -0.961915; 5.711668; 7.867601
11881442967552; -0.961915; 5.711668; 7.867601
11881445064704; -0.961915; 5.711668; 7.867601
11881449259008; -0.961915; 5.711668; 7.867601
11881455550464; -0.961915; 5.711668; 7.867601
11881473376256; -0.961915; 5.711668; 7.867601
11881483862016; -1.172483; 5.280960; 7.649854
11881484910592; -1.172483; 5.280960; 7.649854
11881496444928; -1.172483; 5.280960; 7.649854
11881499590656; -1.172483; 5.280960; 7.649854
11881502736384; -1.172483; 5.280960; 7.649854
11881538387968; -1.115055; 5.977271; 8.379665
11881540485120; -1.115055; 5.977271; 8.379665
11881542582272; -1.115055; 5.977271; 8.379665
11881546776576; -1.115055; 5.977271; 8.379665
11881547825152; -1.115055; 5.977271; 8.379665
11881549922304; -1.115055; 5.977271; 8.379665
11881565650944; -1.115055; 5.977271; 8.379665
11881568796672; -1.115055; 5.977271; 8.379665
11881575088128; -1.115055; 5.977271; 8.379665
11881576136704; -1.115055; 5.977271; 8.379665
11881577185280; -1.115055; 5.977271; 8.379665
11881580331008; -1.115055; 5.977271; 8.379665
11881611788288; -1.016950; 5.570491; 7.695318
11881612836864; -1.016950; 5.570491; 7.695318
11881626468352; -1.016950; 5.570491; 7.695318
11881627516928; -1.016950; 5.570491; 7.695318
11881642196992; -1.016950; 5.570491; 7.695318
11881642196992; -1.016950; 5.570491; 7.695318
11881677848576; -0.856631; 5.874380; 7.664211
11881683091456; -0.856631; 5.874380; 7.664211
11881688334336; -0.856631; 5.874380; 7.664211
11881696722944; -0.856631; 5.874380; 7.664211
11881706160128; -0.856631; 5.874380; 7.664211
11881713500160; -1.232304; 5.915058; 7.927422
11881743908864; -1.232304; 5.915058; 7.927422
11881746006016; -1.232304; 5.915058; 7.927422
11881757540352; -1.232304; 5.915058; 7.927422
11881763831808; -1.232304; 5.915058; 7.927422
11881766977536; -1.201197; 5.603991; 7.977671
11881773268992; -1.201197; 5.603991; 7.977671
11881787949056; -1.201197; 5.603991; 7.977671
11881795289088; -1.201197; 5.603991; 7.977671
11881799483392; -1.201197; 5.603991; 7.977671
11881814163456; -1.201197; 5.603991; 7.977671
11881816260608; -1.201197; 5.603991; 7.977671
11881819406336; -1.201197; 5.603991; 7.977671
11881862397952; -0.928415; 5.649454; 7.917850
11881865543680; -0.928415; 5.649454; 7.917850
11881869737984; -0.928415; 5.649454; 7.917850
11881881272320; -0.928415; 5.649454; 7.917850
11881885466624; -1.110270; 5.862415; 8.006385
11881887563776; -1.110270; 5.862415; 8.006385
11881927409664; -1.110270; 5.862415; 8.006385
11881934749696; -1.110270; 5.862415; 8.006385
11881943138304; -1.182054; 5.666204; 7.556534
11881948381184; -1.182054; 5.666204; 7.556534
11881955721216; -1.182054; 5.666204; 7.556534
11881960964096; -1.182054; 5.666204; 7.556534
11881977741312; -1.182054; 5.666204; 7.556534
11881997664256; -1.182054; 5.666204; 7.556534
11882003955712; -1.624727; 7.176075; 5.795416
11882010247168; -1.624727; 7.176075; 5.795416
11882017587200; -1.624727; 7.176075; 5.795416
11882021781504; -1.624727; 7.176075; 5.795416
11882037510144; -1.624727; 7.176075; 5.795416
11882043801600; -1.624727; 7.176075; 5.795416
11882045898752; -1.624727; 7.176075; 5.795416
11882064773120; -3.225525; 7.726424; 3.397808
11882068967424; -3.225525; 7.726424; 3.397808
11882071064576; -3.225525; 7.726424; 3.397808
11882092036096; -3.225525; 7.726424; 3.397808
11882097278976; -3.225525; 7.726424; 3.397808
11882109861888; -3.225525; 7.726424; 3.397808
11882114056192; -4.589434; 6.587441; 2.821138
11882118250496; -4.589434; 6.587441; 2.821138
11882122444800; -4.589434; 6.587441; 2.821138
11882161242112; -4.589434; 6.587441; 2.821138
11882167533568; -4.589434; 6.587441; 2.821138
11882181165056; -4.543970; 1.703690; 4.486542
11882195845120; -4.543970; 1.703690; 4.486542
11882196893696; -4.543970; 1.703690; 4.486542
11882200039424; -4.543970; 1.703690; 4.486542
11882221010944; -4.543970; 1.703690; 4.486542
11882226253824; -4.543970; 1.703690; 4.486542
11882245128192; -2.191826; -9.126225; 4.177868
11882252468224; -2.191826; -9.126225; 4.177868
11882262953984; -2.191826; -9.126225; 4.177868
11882266099712; -2.191826; -9.126225; 4.177868
11882296508416; 1.213161; -15.586846; 0.062213
11882299654144; 1.213161; -15.586846; 0.062213
11882311188480; 1.213161; -15.586846; 0.062213
11882317479936; 1.213161; -15.586846; 0.062213
11882324819968; 1.213161; -15.586846; 0.062213
11882333208576; 1.213161; -15.586846; 0.062213
11882362568704; 3.728018; -14.806787; -0.617348
11882375151616; 3.728018; -14.806787; -0.617348
11882378297344; 3.728018; -14.806787; -0.617348
11882382491648; 3.728018; -14.806787; -0.617348
11882391928832; 3.728018; -14.806787; -0.617348
11882398220288; 3.728018; -14.806787; -0.617348
11882429677568; 4.721039; -13.765908; -2.297110
11882440163328; 4.721039; -13.765908; -2.297110
11882450649088; 4.721039; -13.765908; -2.297110
11882455891968; 4.721039; -13.765908; -2.297110
11882461134848; 1.837688; -10.643275; -1.737189
11882504126464; 0.909273; -10.784451; -1.902294
11882545020928; -3.007778; -7.755138; -1.088734
11882549215232; -3.007778; -7.755138; -1.088734
11882669801472; -12.021541; -7.331609; -2.115255
11882672947200; -12.021541; -7.331609; -2.115255
11882703355904; -12.021541; -7.331609; -2.115255
11882708598784; -14.335401; -6.642476; -3.716053
11882745298944; -15.416956; -6.391229; -3.227918
11882745298944; -17.436499; -6.809973; -3.821338
11882746347520; -17.436499; -6.809973; -3.821338
11882748444672; -17.436499; -6.809973; -3.821338
11882750541824; -17.436499; -6.809973; -3.821338
11882753687552; -17.436499; -6.809973; -3.821338
11882766270464; -19.805393; -6.778867; -5.716453
11882772561920; -19.805393; -6.778867; -5.716453
11882780950528; -19.805393; -6.778867; -5.716453
11882786193408; -21.645473; -6.278767; -7.345965
11882788290560; -21.645473; -6.278767; -7.345965
11882789339136; -21.645473; -6.278767; -7.345965
11882799824896; -21.645473; -6.278767; -7.345965
11882802970624; -22.987846; -6.764510; -8.874979
11882806116352; -22.987846; -6.764510; -8.874979
11882808213504; -22.987846; -6.764510; -8.874979
11882812407808; -22.987846; -6.764510; -8.874979
11882816602112; -22.987846; -6.764510; -8.874979
11882828136448; -22.475782; -8.415557; -9.178867
11882833379328; -22.475782; -8.415557; -9.178867
11882836525056; -22.475782; -8.415557; -9.178867
11882838622208; -22.475782; -8.415557; -9.178867
11882842816512; -21.839293; -9.693324; -11.411371
11882844913664; -21.839293; -9.693324; -11.411371
11882847010816; -21.839293; -9.693324; -11.411371
11882850156544; -21.839293; -9.693324; -11.411371
11882858545152; -21.839293; -9.693324; -11.411371
11882862739456; -19.398613; -8.441878; -13.593625
11882873225216; -19.398613; -8.441878; -13.593625
11882876370944; -19.398613; -8.441878; -13.593625
11882881613824; -16.137196; -7.659425; -13.890335
11882886856704; -16.137196; -7.659425; -13.890335
11882908876800; -14.328222; -8.872586; -12.849458
11882915168256; -14.328222; -8.872586; -12.849458
11882926702592; -12.593426; -9.157332; -12.160325
11882939285504; -10.892129; -7.941778; -11.830115
11882956062720; -10.892129; -7.941778; -11.830115
11882971791360; -10.009177; -5.716453; -12.325429
11882981228544; -10.301102; -5.589633; -12.844672
11882987520000; -10.301102; -5.589633; -12.844672
11882995908608; -9.262616; -3.661019; -14.285151
11883002200064; -9.262616; -3.661019; -14.285151
11883009540096; -9.262616; -3.661019; -14.285151
11883015831552; -9.202796; -5.295317; -14.282759
11883024220160; -9.202796; -5.295317; -14.282759
11883047288832; -9.549755; -3.024528; -15.029319
11883057774592; -9.219545; -2.706282; -13.344772
11883066163200; -9.219545; -2.706282; -13.344772
11883079794688; -8.212168; -3.728018; -10.370493
11883095523328; -6.786045; -3.862016; -8.738588
11883113349120; -6.613762; -3.493521; -8.377272
11883140612096; -6.503692; -3.775874; -7.977671
11883154243584; -6.415157; -4.242475; -7.073184
11883176263680; -6.218946; -3.936193; -5.903093
11883194089472; -5.702096; -3.900301; -4.247260
11883210866688; -5.115855; -3.306881; -2.182254
11883237081088; -4.721039; -3.543770; 0.004786
11883251761152; -4.235296; -3.036492; 0.792024
11883274829824; -3.577270; -2.321038; 1.325624
11883287412736; -3.024528; -1.854438; 1.404587
11883311529984; -2.416751; -2.019542; 1.873580
11883340890112; -2.376073; -2.234896; 2.498107
11883345084416; -2.471786; -2.471786; 1.837688
11883363958784; -2.986243; -3.177669; 1.540978
11883383881728; -2.309074; -4.728218; 3.438486
11883401707520; -2.294717; -5.721239; 3.622734
11883421630464; -3.086741; -4.730610; 0.983450
11883441553408; -3.881158; -10.600204; 0.485743
11883461476352; -2.483750; -11.985648; 6.448657
11883481399296; -1.567299; -11.909079; 9.832108
11883500273664; -3.467200; -11.356337; 3.476771
11883518099456; -5.465207; -24.784857; 6.541977
11883538022400; -4.115655; -25.780272; 10.561919
11883555848192; -7.884351; -25.744379; 8.944371
11883575771136; -10.071390; -19.587646; 3.730411
11883594645504; -15.089140; -16.914864; -4.201797
11883613519872; -18.764515; -19.889141; -1.947758
11883633442816; -18.092133; -19.010977; 1.777867
11883652317184; -17.089539; -14.620147; 0.093320
11883671191552; -16.199409; -6.398408; -11.550155
11883691114496; -14.993426; -11.260623; -13.811373
11883709988864; -7.874779; -11.911471; -7.829316
11883729911808; -0.078963; -10.073783; -6.259624
11883748786176; 2.780460; -10.533205; -7.049255
11883767660544; -1.021735; -10.770095; -6.704689
11883787583488; -4.450650; -11.042876; -9.025727
11883807506432; -2.361716; -8.441878; -7.752745
11883825332224; -4.285545; -7.834101; -7.401000
11883845255168; -4.601398; -5.824131; -8.956335
11883864129536; -1.596013; -6.429514; -9.229117
11883883003904; 1.043271; -10.760524; -9.224331
11883902926848; 1.024128; -4.019942; -11.066805
11883921801216; -3.158526; -2.615355; -12.289537
11883941724160; -7.185647; -5.338387; -12.330215
11883961647104; -9.087940; -6.374479; -12.411572
11883980521472; -10.947164; -8.690732; -12.078969
11883999395840; -12.914063; -10.554741; -10.999805
11884018270208; -12.461821; -14.435899; -12.502499
11884037144576; -10.487741; -14.447864; -12.961920
11884091670528; -4.831109; -12.928421; -9.288938
11884095864832; -6.838687; -10.715060; -7.015756
11884105302016; -6.838687; -10.715060; -7.015756
11884143050752; -3.184847; -11.016556; -5.158926
11884152487936; -2.737389; -7.561319; -5.589633
11884168216576; -2.737389; -7.561319; -5.589633
11884176605184; -3.349952; -5.213961; -5.118248
11884194430976; -3.337988; -4.914858; -3.467200
11884211208192; -2.656033; -3.538985; -3.306881
11884231131136; -2.988636; -2.868994; -3.924229
11884250005504; -2.766103; -2.816352; -4.637290
11884268879872; -3.871587; -1.789831; -5.036891
11884288802816; -4.737789; -1.667797; -3.845266
11884307677184; -6.183053; -2.182254; -3.885944
11884325502976; -8.415557; -3.471986; -4.285545
11884344377344; -10.155139; -4.070191; -3.960121
11884364300288; -11.571691; -4.115655; -3.826123
11884384223232; -14.199010; -4.742575; -3.637090
11884403097600; -15.701702; -5.204389; -3.237489
11884421971968; -18.326628; -6.101698; -2.565106
11884440846336; -20.618952; -6.967899; -1.806581
11884459720704; -20.630917; -7.448857; -1.684547
11884479643648; -20.874985; -6.860222; -2.246861
11884498518016; -22.272392; -6.790831; -2.912065
11884517392384; -23.150558; -8.255239; -3.529413
11884537315328; -23.095524; -9.320045; -3.878766
11884556189696; -22.695923; -8.238488; -3.218346
11884576112640; -23.720051; -6.199803; -1.789831
11884594987008; -23.162523; -4.864608; -1.316052
11884614909952; -21.542582; -5.012963; -1.450050
11884633784320; -20.635702; -8.035098; -2.682354
11884653707264; -20.039890; -11.009377; -1.875973
11884672581632; -20.386848; -7.661818; 0.655633
11884692504576; -18.640089; -7.948957; 1.730011
11884710330368; -19.501505; -10.214960; 1.942972
11884730253312; -19.697716; -10.559526; 4.694718
11884750176256; -18.472591; -10.638490; 6.317052
11884769050624; -16.484156; -13.088739; 6.257231
11884787924992; -17.046469; -2.734996; 3.739982
11884807847936; -14.543576; 2.038685; 12.873385
11884827770880; -10.284351; -9.851251; 11.102697
11884846645248; -12.141182; -13.995620; 6.245267
11884865519616; -9.958928; -10.537991; 3.979264
11884884393984; -9.030513; -8.530413; 3.337988
11884904316928; -8.075776; -8.329415; 2.579463
11884923191296; -5.991628; -8.872586; -0.454636
11884942065664; -4.646862; -7.396215; 1.272982
11884961988608; -4.230510; -3.771089; 0.753739
11884980862976; -3.854837; -1.249053; 1.316052
11885000785920; -3.438486; -0.796810; 1.775474
11885018611712; -5.431707; -1.069592; 0.500100
11885038534656; -5.398208; 0.256032; -1.466800
11885059506176; -4.304688; 0.356531; -1.237089
11885077331968; -4.206582; -0.088534; -0.961915
11885096206336; -3.984050; -0.787239; -1.555335
11885115080704; -3.617948; -0.866202; -2.031507
11885135003648; -2.718246; -0.823131; -1.189233
11885154926592; -1.825724; -0.437887; -3.359523
11885173800960; -1.012164; -2.768496; -3.570091
11885192675328; 0.294317; -5.685347; -2.462214
11885211549696; 0.658026; -12.679567; -0.153141
11885231472640; 0.595813; -19.649860; 1.567299
11885251395584; -7.867601; -23.052454; -4.491328
11885269221376; -14.057833; -30.888948; -7.700103
11885289144320; -12.842279; -25.533810; -3.878766
11885308018688; -19.211973; -22.045074; -2.615355
11885326893056; -23.621944; -19.697716; -4.790431
11885346816000; -18.752550; -25.617559; -7.654640
11885365690368; -8.513663; -18.374485; -15.448063
11885385613312; -7.123433; -14.574683; -9.121440
11885404487680; 1.009771; -6.759724; -1.852045
11885424410624; 3.522235; -8.025527; -6.960721
11885442236416; -0.997807; -9.473185; -6.967899
11885462159360; -9.652647; -9.927821; -2.775674
11885481033728; -17.283358; -7.759924; -3.900301
11885499908096; -15.012569; -5.060820; -3.787838
11885520879616; -18.396021; -6.357730; -6.343373
11885539753984; -22.645674; -9.334401; -3.699304
11885561774080; -18.238094; -10.645668; -2.751746
11885578551296; -16.118053; -8.621340; -5.103891
11885599522816; -13.923835; -9.209974; -4.613362
11885616300032; -14.694324; -10.169497; -4.409972
11885635174400; -16.740187; -8.501698; -3.979264
11885654048768; -14.605789; -7.965706; -1.150948
11885673971712; -12.327823; -8.932407; -0.792024
11885693894656; -7.716853; -9.461221; -3.010171
11885712769024; -3.952943; -11.626725; -3.172883
11885731643392; -1.722832; -10.597812; -1.940579
11885750517760; -2.993421; -8.819944; -2.266003
11885769392128; -0.971486; -6.618547; -7.719246
11885788266496; 5.565705; -7.099505; -7.846066
11885807140864; 8.884550; -5.869594; -6.400801
11885827063808; 14.421542; -2.359323; -4.596612
11885845938176; 18.178274; -0.117248; -5.946164
11885866909696; 13.213166; -4.201797; -6.685546
11885885784064; 10.870593; -7.137790; -6.764510
11885905707008; 9.623933; -4.819145; -7.238288
11885923532800; 8.800801; -1.986043; -7.568498
11885943455744; 8.324630; -0.457029; -8.037491
11885962330112; 6.228518; -2.620141; -7.965706
11885982253056; 3.012564; -6.228518; -7.676175
11886001127424; -0.653241; -6.793223; -6.204589
11886020001792; -1.988436; -5.149354; -6.089734
11886038876160; -2.467000; -3.249453; -8.023134
11886062993408; -3.115455; -0.222533; -7.779067
11886093402112; -4.158726; -1.703690; -5.154140
11886098644992; -4.158726; -1.703690; -5.154140
11886115422208; -3.811766; -0.471386; -6.759724
11886135345152; -4.709075; -1.990828; -7.334002
11886154219520; -6.630512; -3.151347; -4.601398
11886174142464; -5.304888; -2.816352; -0.495314
11886191968256; -4.371687; -1.282553; 0.543171
11886211891200; -4.811966; -2.993421; -1.387837
11886230765568; -9.631111; -7.850851; -3.661019
11886250688512; -16.390835; -11.593225; -3.893122
11886269562880; -12.909278; -14.706288; -4.780859
11886289485824; -8.480164; -20.702702; -5.845666
11886308360192; -19.149759; -33.946976; -2.581856
11886328283136; -21.066410; -32.477783; 3.474379
11886347157504; -21.576082; -23.830120; 1.229911
11886367080448; -30.731022; -22.896919; -8.659625
11886385954816; -28.852655; -23.246271; -14.065011
11886404829184; -25.749165; -15.093925; -13.942978
11886423703552; -18.192631; -17.850456; -4.438686
11886443626496; -7.683353; -13.641482; -6.434300
11886462500864; -2.416751; -8.743374; -12.387643
11886482423808; -0.122034; -16.151552; -5.534599
11886501298176; 2.196611; -17.644674; -2.778067
11886520172544; -3.835695; -9.698111; -5.199604
11886540095488; -3.881158; -7.467999; -6.826723
11886558969856; -2.344966; -9.059227; -9.860822
11886577844224; -8.204988; -15.220745; -10.258031
11886596718592; -4.517649; -7.767102; -11.330015
11886616641536; 0.289532; -7.580462; -11.763116
11886635515904; -0.306281; -7.838887; -13.349558
11886655438848; -5.771488; -9.169296; -16.264015
11886674313216; -8.784052; -4.579863; -17.383856
11886693187584; -11.073983; 4.197011; -15.005391
11886713110528; -9.631111; -3.079563; -10.478170
11886733033472; -10.447063; -1.378266; -11.533405
11886751907840; -11.801401; -1.885544; -12.770494
11886770782208; -12.799209; -5.891129; -12.961920
11886790705152; -16.800007; -8.161918; -11.552547
11886808530944; -17.012968; -11.767901; -10.214960
11886827405312; -13.878371; -13.986049; -5.730810
11886848376832; -9.647861; -10.798809; -6.049056
11886866202624; -4.610969; -10.968699; -3.381058
11886886125568; -4.503292; -10.628919; -3.201597
11886904999936; -0.172283; -9.272188; 0.526421
11886924922880; -1.021735; -13.816158; 3.632305
11886943797248; -2.019542; -15.780665; 6.838687
11886963720192; -3.194418; -13.560126; 8.496913
11886982594560; -6.360123; -11.150554; 6.513263
11887002517504; -5.989235; -11.327622; 6.111269
11887021391872; -2.636891; -10.547563; 6.106483
11887045509120; -0.856631; -6.788438; 5.706882
11887062286336; -0.571885; -4.654040; 4.663611
11887079063552; -1.179662; -4.515256; 2.103291
11887097937920; -2.610569; -5.644669; -0.873380
11887116812288; -4.082155; -5.505885; -0.894916
11887135686656; -3.517449; -3.098705; -1.406980
11887155609600; -2.660819; -2.816352; -4.350152
11887174483968; -3.462414; -3.230311; -6.635297
11887193358336; -5.850451; -4.072584; -7.963314
11887213281280; -8.209774; -5.077569; -6.795616
11887232155648; -9.513863; -8.267202; -5.934200
11887252078592; -12.495320; -12.229716; -8.463413
11887269904384; -13.519448; -8.090134; -11.971292
11887290875904; -16.989040; -8.932407; -9.399008
11887308701696; -19.910677; -8.748159; -8.537591
11887327576064; -22.152752; -10.128819; -11.708081
11887347499008; -25.607988; -11.724831; -12.289537
11887366373376; -27.211180; -7.573284; -11.014163
11887385247744; -26.239693; -10.226924; -11.717652
11887405170688; -26.244478; -11.875579; -12.306287
11887425093632; -26.335405; -11.961720; -11.624332
11887443968000; -26.823542; -8.597412; -11.442478
11887462842368; -27.625137; -7.374680; -9.865608
11887481716736; -26.230122; -7.381858; -8.202596
11887501639680; -24.686750; -6.008378; -3.639483
11887519465472; -21.176481; -5.656633; 0.342174
11887540436992; -17.297714; -9.142975; 2.340181
11887559311360; -15.945770; -12.055040; 5.302495
11887578185728; -13.756337; -10.604990; 7.080362
11887597060096; -12.157932; -5.082355; 7.415358
11887616983040; -10.547563; -3.558127; 9.566504
11887635857408; -8.609376; -6.376873; 7.460821
11887654731776; -7.379465; -9.446864; 4.658826
11887673606144; -5.984449; -9.640682; 5.053641
11887693529088; -4.529613; -6.580262; 5.529813
11887713452032; -3.282953; -4.280760; 3.888337
11887732326400; -2.567499; -4.326223; 1.658226
11887751200768; -2.837888; -4.967500; 0.260818
11887770075136; -1.990828; -4.029513; -1.653440
11887789998080; -1.167697; -1.459622; -1.923829
11887808872448; -1.921437; 0.413958; -1.299303
11887828795392; -3.481557; 0.677169; -2.818745
11887848718336; -3.144169; -0.564706; -4.572684
11887867592704; -3.713661; -0.346959; -4.481757
11887886467072; -4.733003; 1.873580; -3.622734
11887905341440; -4.539185; -0.105284; -3.696911
11887924215808; -2.864209; -1.399801; -2.785246
11887944138752; -1.098306; -1.696511; -1.335195
11887963013120; 0.629312; -3.948157; -0.916451
