time; x; y; z
50783785582592; 0.272782; 2.120041; 9.556933
50783810748416; 0.272782; 2.120041; 9.556933
50783844302848; 0.346959; 2.175076; 9.609575
50783865274368; 0.346959; 2.175076; 9.609575
50783898828800; 0.313460; 2.072184; 9.528220
50783919800320; 0.313460; 2.072184; 9.528220
50783936577536; 0.313460; 2.072184; 9.528220
50783974326272; 0.289532; 2.079363; 9.255438
50784007880704; 1.251446; 2.627319; 8.705089
50784024657920; 1.251446; 2.627319; 8.705089
50784028852224; 1.251446; 2.627319; 8.705089
50784037240832; 1.251446; 2.627319; 8.705089
50784058212352; 4.553542; 4.101298; 5.046463
50784066600960; 4.553542; 4.101298; 5.046463
50784091766784; 4.553542; 4.101298; 5.046463
50784104349696; 4.553542; 4.101298; 5.046463
50784108544000; 4.553542; 4.101298; 5.046463
50784125321216; 5.704489; 4.000800; 1.792224
50784154681344; 5.704489; 4.000800; 1.792224
50784179847168; 8.013563; 2.155933; 1.875973
50784192430080; 8.013563; 2.155933; 1.875973
50784213401600; 8.013563; 2.155933; 1.875973
50784221790208; 8.013563; 2.155933; 1.875973
50784234373120; 13.050455; -1.741975; 0.806381
50784238567424; 13.050455; -1.741975; 0.806381
50784238567424; 13.050455; -1.741975; 0.806381
50784255344640; 13.050455; -1.741975; 0.806381
50784272121856; 13.050455; -1.741975; 0.806381
50784284704768; 13.050455; -1.741975; 0.806381
50784284704768; 13.050455; -1.741975; 0.806381
50784314064896; 17.814564; -12.961920; -1.562513
50784314064896; 17.814564; -12.961920; -1.562513
50784318259200; 17.814564; -12.961920; -1.562513
50784318259200; 17.814564; -12.961920; -1.562513
50784322453504; 17.814564; -12.961920; -1.562513
50784339230720; 17.814564; -12.961920; -1.562513
50784389562368; 15.457634; -17.560925; -6.704689
50784423116800; 10.246066; -18.403198; -10.679168
50784431505408; 10.246066; -18.403198; -10.679168
50784444088320; 10.246066; -18.403198; -10.679168
50784448282624; 10.246066; -18.403198; -10.679168
50784498614272; 1.586441; -13.887942; -14.175081
50784624443392; -4.012764; -15.594026; -27.974489
50784645414912; 0.069392; -10.650454; -30.374491
50784712523776; 10.344172; -8.961121; -16.113268
50784725106688; 10.344172; -8.961121; -16.113268
50784758661120; 17.297714; -1.651048; -12.964314
50784796409856; 26.936005; 6.144769; -2.852245
50784813187072; 26.940790; 6.537191; 1.296910
50784863518720; 21.547367; 6.379265; 0.126820
50784876101632; 19.745573; 2.921636; 4.512864
50784897073152; 16.082161; 0.107677; 7.331609
50784943210496; 10.526027; -0.406780; 4.189833
50784951599104; 8.953942; -1.423729; 4.342973
50784993542144; 8.745767; -13.385449; 9.834501
50785006125056; 5.268995; -17.546568; 12.406785
50785022902272; 2.550749; -20.602203; 14.055440
50785035485184; 2.550749; -20.602203; 14.055440
50785060651008; 6.735796; -26.505297; 15.586846
50785127759872; 44.647678; -12.760923; -9.726824
50785144537088; 21.260229; -17.898314; -0.954736
50785157120000; 8.796016; -14.007584; -5.235496
50785173897216; 8.796016; -14.007584; -5.235496
50785186480128; -10.112068; -10.375279; -1.952543
50785199063040; -2.699104; -18.369699; 2.258825
50785211645952; -2.699104; -18.369699; 2.258825
50785266171904; 7.257431; -22.152752; -16.785650
50785324892160; -1.517050; -5.924629; -13.416556
50785337475072; -3.074777; -17.596817; -11.645867
50785345863680; -3.074777; -17.596817; -11.645867
50785358446592; -3.527021; -7.578069; -16.101303
50785392001024; -2.524428; 5.723632; -7.470392
50785412972544; -2.524428; 5.723632; -7.470392
50785610104832; 21.753151; -44.190647; -8.422736
50785626882048; -4.165904; -40.007996; -8.963513
50785631076352; -4.165904; -40.007996; -8.963513
50785706573824; -1.536192; -10.176675; -17.742781
50785714962432; -2.672783; -8.336594; -17.419748
50785719156736; -2.672783; -8.336594; -17.419748
50785748516864; -4.127619; -19.850857; -12.890136
50785769488384; 0.150748; 8.525627; -3.467200
50785782071296; -1.057628; -5.008178; -10.049855
50785786265600; -1.057628; -5.008178; -10.049855
50785794654208; 0.669990; 1.397408; -8.159525
50785849180160; 13.808979; 14.840286; 2.723032
50785849180160; 13.808979; 14.840286; 2.723032
50785861763072; 13.808979; 14.840286; 2.723032
50785882734592; 16.302301; 25.703701; 4.328616
50785891123200; 15.046069; 16.821543; 9.868001
50785895317504; 15.046069; 16.821543; 9.868001
50785912094720; 13.000205; 14.833108; 11.885150
50785920483328; 13.000205; 14.833108; 11.885150
50785928871936; 14.033905; -3.316452; 21.533010
50785941454848; 14.033905; -3.316452; 21.533010
50785949843456; 27.263821; -24.153152; 6.247660
50785962426368; 27.263821; -24.153152; 6.247660
50785970814976; 46.382473; -25.277779; 4.252046
50785975009280; 46.382473; -25.277779; 4.252046
50785983397888; 46.382473; -25.277779; 4.252046
50785987592192; 44.561535; -42.546780; -3.692125
50785991786496; 44.561535; -42.546780; -3.692125
50786004369408; 37.505100; -44.779282; -15.448063
50786012758016; 37.505100; -44.779282; -15.448063
50786012758016; 37.505100; -44.779282; -15.448063
50786025340928; 14.976677; -39.605999; -21.547367
50786029535232; 14.976677; -39.605999; -21.547367
50786033729536; 14.976677; -39.605999; -21.547367
50786033729536; 14.976677; -39.605999; -21.547367
50786071478272; -25.177280; -17.608782; -13.270595
50786075672576; -25.177280; -17.608782; -13.270595
50786088255488; -19.810179; 16.673187; -19.867607
50786105032704; -19.810179; 16.673187; -19.867607
50786109227008; -12.684353; -9.604790; -16.850258
50786126004224; -7.975278; 2.086541; -18.848265
50786130198528; -7.975278; 2.086541; -18.848265
50786138587136; -1.406980; -8.228917; -3.460021
50786167947264; -3.749553; -5.036891; -14.146367
50786184724480; 2.297110; 5.225924; -3.998407
50786188918784; 2.297110; 5.225924; -3.998407
50786205696000; 9.870394; 13.844872; -5.467600
50786222473216; 10.889736; 0.959522; -0.339781
50786230861824; 10.889736; 0.959522; -0.339781
50786247639040; 12.497713; 14.577076; 7.822137
50786260221952; 13.493127; 16.701902; 8.355737
50786281193472; 8.537591; 22.320250; 7.389036
50786310553600; 4.536792; 21.303301; 4.833502
50786314747904; 4.893322; 11.172089; 5.254639
50786348302336; 10.722239; 1.067199; 7.518249
50786356690944; 21.116659; -9.824930; 6.987042
50786386051072; 34.738998; -12.973885; -2.368894
50786407022592; 23.765514; -27.919455; 0.105284
50786440577024; 19.549360; -21.420547; -0.270389
50786465742848; 21.588045; -21.028126; -7.298109
50786490908672; 9.915857; -18.891335; -8.334201
50786503491584; 4.859823; -16.295122; -3.912265
50786528657408; 0.588634; -15.833307; -0.691526
50786549628928; -1.732404; -10.092926; -6.805188
50786549628928; -1.732404; -10.092926; -6.805188
50786553823232; -1.732404; -10.092926; -6.805188
50786574794752; -1.880759; -8.566305; -4.484149
50786599960576; 0.272782; -2.096113; 0.957129
50786625126400; 1.368695; -0.686740; 1.390230
50786625126400; 1.368695; -0.686740; 1.390230
50786633515008; 1.368695; -0.686740; 1.390230
50786646097920; 2.938386; 0.007178; 0.189033
50786671263744; 5.285745; -0.162712; -1.246661
50786683846656; 8.374879; -1.471586; -2.115255
50786683846656; 8.374879; -1.471586; -2.115255
50786688040960; 8.374879; -1.471586; -2.115255
50786696429568; 11.509477; -2.718246; -2.670390
50786704818176; 11.509477; -2.718246; -2.670390
50786709012480; 11.509477; -2.718246; -2.670390
50786713206784; 12.509677; -3.206382; -3.108277
50786725789696; 12.509677; -3.206382; -3.108277
50786734178304; 11.808579; -3.940979; -2.620141
50786755149824; 10.308280; -5.666204; -1.995614
50786776121344; 8.807981; -6.242874; -3.259024
50786780315648; 8.807981; -6.242874; -3.259024
50786788704256; 8.807981; -6.242874; -3.259024
50786826452992; 8.779266; -5.702096; -1.048056
50786843230208; 7.965706; -5.156533; -1.138984
50786851618816; 7.788638; -5.560920; -1.043271
50786864201728; 7.788638; -5.560920; -1.043271
50786918727680; 9.432507; -5.510671; -0.272782
50787002613760; 9.712467; -2.959922; 1.232304
50787006808064; 9.712467; -2.959922; 1.232304
50787011002368; 9.712467; -2.959922; 1.232304
50787040362496; 9.315259; -2.416751; 3.199204
50787078111232; 9.056833; 0.313460; 4.670790
50787094888448; 11.332408; 1.572084; 3.096313
50787107471360; 16.800007; 0.524028; 2.108077
50787128442880; 22.715065; -1.605584; 2.335395
50787182968832; 24.973890; -4.283153; 1.763510
50787208134656; 21.736401; 0.674776; -3.328416
50787308797952; -1.835295; -6.503692; -22.537996
50787346546688; 9.633504; -7.345965; -17.917456
50787451404288; 8.197810; 4.831109; -8.769695
50787480764416; 14.763716; 10.686346; 1.184447
