time; x; y; z
3052108775424; 1.555335; 0.780060; 9.214760
3052122406912; 1.555335; 0.780060; 9.214760
3052152815616; 1.555335; 0.780060; 9.214760
3052170379264; 1.438086; 0.947558; 9.272188
3052171952128; 1.438086; 0.947558; 9.272188
3052202360832; 1.438086; 0.947558; 9.272188
3052244041728; 1.464407; 0.703490; 9.755538
3052284149760; 1.591227; 0.842274; 9.887143
3052289392640; 1.591227; 0.842274; 9.887143
3052299091968; 1.591227; 0.842274; 9.887143
3052317179904; 1.591227; 0.842274; 9.887143
3052321374208; 1.591227; 0.842274; 9.887143
3052352045056; 1.591227; 0.748953; 9.963714
3052366462976; 1.591227; 0.748953; 9.963714
3052398706688; 1.576870; 0.823131; 9.812965
3052416008192; 1.576870; 0.823131; 9.812965
3052449300480; 1.665405; 0.985843; 9.853643
3052485738496; 1.665405; 0.985843; 9.853643
3052515360768; 1.612762; 0.847059; 9.765109
3052532400128; 1.612762; 0.847059; 9.765109
3052539740160; 1.612762; 0.847059; 9.765109
3052542099456; 1.612762; 0.847059; 9.765109
3052548653056; 1.612762; 0.847059; 9.765109
3052551274496; 1.612762; 0.847059; 9.765109
3052595838976; 1.574477; 0.942772; 9.674182
3052605014016; 1.574477; 0.942772; 9.674182
3052610519040; 1.574477; 0.942772; 9.674182
3052621529088; 1.588834; 0.770489; 9.638289
3052632539136; 1.588834; 0.770489; 9.638289
3052638568448; 1.588834; 0.770489; 9.638289
3052654559232; 1.588834; 0.770489; 9.638289
3052680773632; 1.579263; 0.976272; 9.667004
3052681560064; 1.579263; 0.976272; 9.667004
3052682608640; 1.579263; 0.976272; 9.667004
3052684443648; 1.579263; 0.976272; 9.667004
3052691259392; 1.579263; 0.976272; 9.667004
3052703055872; 1.579263; 0.976272; 9.667004
3052711444480; 1.579263; 0.976272; 9.667004
3052718784512; 1.579263; 0.976272; 9.667004
3052727435264; 1.718047; 1.055235; 9.700503
3052731629568; 1.718047; 1.055235; 9.700503
3052736086016; 1.718047; 1.055235; 9.700503
3052749979648; 1.718047; 1.055235; 9.700503
3052765184000; 1.718047; 1.055235; 9.700503
3052768067584; 1.718047; 1.055235; 9.700503
3052778553344; 1.718047; 1.055235; 9.700503
3052781436928; 1.639084; 1.071985; 9.741181
3052783534080; 1.639084; 1.071985; 9.741181
3052828360704; 1.639084; 1.071985; 9.741181
