time; x; y; z
3159029186560; 1.349552; 3.299702; 8.992228
3159032070144; 1.349552; 3.299702; 8.992228
3159043604480; 1.349552; 3.299702; 8.992228
3159043866624; 1.349552; 3.299702; 8.992228
3159044390912; 1.349552; 3.299702; 8.992228
3159059857408; 1.349552; 3.299702; 8.992228
3159095771136; 1.167697; 3.235096; 9.083155
3159103373312; 1.167697; 3.235096; 9.083155
3159108616192; 1.167697; 3.235096; 9.083155
3159111761920; 1.167697; 3.235096; 9.083155
3159113859072; 1.167697; 3.235096; 9.083155
3159116480512; 1.167697; 3.235096; 9.083155
3159150297088; 1.368695; 3.675375; 9.066405
3159168122880; 1.368695; 3.675375; 9.066405
3159169171456; 1.368695; 3.675375; 9.066405
3159172055040; 1.368695; 3.675375; 9.066405
3159181230080; 1.368695; 3.675375; 9.066405
3159183851520; 1.368695; 3.675375; 9.066405
3159217930240; 1.557728; 3.639483; 9.142975
3159229464576; 1.557728; 3.639483; 9.142975
3159232086016; 1.557728; 3.639483; 9.142975
3159237853184; 1.557728; 3.639483; 9.142975
3159241261056; 1.557728; 3.639483; 9.142975
3159247814656; 1.557728; 3.639483; 9.142975
3159298408448; 1.399801; 3.574877; 9.104691
3159305486336; 1.399801; 3.574877; 9.104691
3159309418496; 1.399801; 3.574877; 9.104691
3159320428544; 1.411765; 3.404987; 9.284152
3159324360704; 1.411765; 3.404987; 9.284152
3159326195712; 1.411765; 3.404987; 9.284152
3159336681472; 1.411765; 3.404987; 9.284152
3159342448640; 1.411765; 3.404987; 9.284152
3159343759360; 1.411765; 3.404987; 9.284152
3159347167232; 1.411765; 3.404987; 9.284152
3159357915136; 1.411765; 3.404987; 9.284152
3159363420160; 1.411765; 3.404987; 9.284152
3159405363200; 1.481157; 3.486343; 9.154940
3159408508928; 1.481157; 3.486343; 9.154940
3159416111104; 1.481157; 3.486343; 9.154940
3159418732544; 1.481157; 3.486343; 9.154940
3159434461184; 1.452443; 3.522235; 9.025727
3159439179776; 1.452443; 3.522235; 9.025727
3159458316288; 1.452443; 3.522235; 9.025727
3159464083456; 1.452443; 3.522235; 9.025727
3159465918464; 1.452443; 3.522235; 9.025727
3159469850624; 1.452443; 3.522235; 9.025727
3159472472064; 1.452443; 3.522235; 9.025727
3159474307072; 1.452443; 3.522235; 9.025727
3159536697344; 1.342373; 3.476771; 8.874979
3159549018112; 1.871187; 3.431308; 8.874979
3159559503872; 1.844866; 3.393023; 8.776874
3159570776064; 1.844866; 3.393023; 8.776874
3159573921792; 1.844866; 3.393023; 8.776874
3159576018944; 1.844866; 3.393023; 8.776874
3159578116096; 1.844866; 3.393023; 8.776874
3159586766848; 1.844866; 3.393023; 8.776874
3159591223296; 1.844866; 3.393023; 8.776874
3159601709056; 1.844866; 3.393023; 8.776874
3159607214080; 1.844866; 3.393023; 8.776874
3159608524800; 1.844866; 3.393023; 8.776874
3159618486272; 1.938186; 3.385844; 8.394022
3159661740032; 1.938186; 3.385844; 8.394022
3159679303680; 2.091327; 3.141776; 8.573483
3159685857280; 2.091327; 3.141776; 8.573483
3159696867328; 2.091327; 3.141776; 8.573483
3159708663808; 2.091327; 3.141776; 8.573483
3159711023104; 2.091327; 3.141776; 8.573483
3159715217408; 2.091327; 3.141776; 8.573483
3159718363136; 2.091327; 3.141776; 8.573483
3159721508864; 2.091327; 3.141776; 8.573483
3159723343872; 2.091327; 3.141776; 8.573483
3159729635328; 2.608177; 3.263810; 8.635697
3159736451072; 2.608177; 3.263810; 8.635697
3159773413376; 2.608177; 3.263810; 8.635697
3159776821248; 2.608177; 3.263810; 8.635697
3159779180544; 2.608177; 3.263810; 8.635697
3159790714880; 3.189633; 3.696911; 8.003992
3159793074176; 3.189633; 3.696911; 8.003992
3159795433472; 3.189633; 3.696911; 8.003992
3159815618560; 3.189633; 3.696911; 8.003992
3159820075008; 3.189633; 3.696911; 8.003992
3159828725760; 3.189633; 3.696911; 8.003992
3159831609344; 3.189633; 3.696911; 8.003992
3159835017216; 3.189633; 3.696911; 8.003992
3159843930112; 4.130012; 3.555734; 7.637890
3159867785216; 4.130012; 3.555734; 7.637890
3159872503808; 4.130012; 3.555734; 7.637890
3159878533120; 4.130012; 3.555734; 7.637890
3159882203136; 4.130012; 3.555734; 7.637890
3159883776000; 4.130012; 3.555734; 7.637890
3159886659584; 4.130012; 3.555734; 7.637890
3159912349696; 4.917251; 3.510271; 7.745567
3159916544000; 4.917251; 3.510271; 7.745567
3159920738304; 4.917251; 3.510271; 7.745567
3159921524736; 4.917251; 3.510271; 7.745567
3159923359744; 4.917251; 3.510271; 7.745567
3159931224064; 4.917251; 3.510271; 7.745567
3159961370624; 5.539384; 2.364109; 7.958528
3159970021376; 5.539384; 2.364109; 7.958528
3159973953536; 5.539384; 2.364109; 7.958528
3159978409984; 5.539384; 2.364109; 7.958528
3159982342144; 5.539384; 2.364109; 7.958528
3159992827904; 5.539384; 2.364109; 7.958528
3160021663744; 5.498706; 1.703690; 7.824530
3160025333760; 5.498706; 1.703690; 7.824530
3160027430912; 5.498706; 1.703690; 7.824530
3160040538112; 5.498706; 1.703690; 7.824530
