time; x; y; z
Sun Feb 16 13:20:26 GMT+01:00 1992; -2.632105; 5.541777; 7.570891
Sun Feb 16 17:56:46 GMT+01:00 1992; -2.632105; 5.541777; 7.570891
Mon Feb 17 00:47:28 GMT+01:00 1992; -2.660819; 5.673382; 7.458428
Mon Feb 17 04:44:29 GMT+01:00 1992; -2.660819; 5.673382; 7.458428
Mon Feb 17 08:31:41 GMT+01:00 1992; -2.660819; 5.673382; 7.458428
Mon Feb 17 10:32:55 GMT+01:00 1992; -2.660819; 5.673382; 7.458428
Mon Feb 17 15:11:27 GMT+01:00 1992; -2.670390; 5.587241; 7.317252
Mon Feb 17 18:06:13 GMT+01:00 1992; -2.670390; 5.587241; 7.317252
Mon Feb 17 22:31:38 GMT+01:00 1992; -2.670390; 5.587241; 7.317252
Mon Feb 17 23:14:14 GMT+01:00 1992; -2.670390; 5.587241; 7.317252
Tue Feb 18 02:34:07 GMT+01:00 1992; -2.670390; 5.587241; 7.317252
Tue Feb 18 05:46:21 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 06:09:17 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 06:42:04 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 08:10:32 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 12:07:33 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 12:49:04 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 13:34:56 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 17:37:25 GMT+01:00 1992; -2.715854; 5.493921; 7.401000
Tue Feb 18 22:03:56 GMT+01:00 1992; -2.768496; 5.809773; 7.582855
Tue Feb 18 23:13:50 GMT+01:00 1992; -2.768496; 5.809773; 7.582855
Wed Feb 19 05:11:00 GMT+01:00 1992; -2.768496; 5.809773; 7.582855
Wed Feb 19 11:59:31 GMT+01:00 1992; -2.768496; 5.809773; 7.582855
Wed Feb 19 16:06:22 GMT+01:00 1992; -2.916851; 5.632705; 7.417750
Wed Feb 19 18:16:21 GMT+01:00 1992; -2.916851; 5.632705; 7.417750
Wed Feb 19 20:35:04 GMT+01:00 1992; -2.916851; 5.632705; 7.417750
Thu Feb 20 00:57:13 GMT+01:00 1992; -2.916851; 5.632705; 7.417750
Thu Feb 20 03:20:18 GMT+01:00 1992; -2.916851; 5.632705; 7.417750
Thu Feb 20 08:58:54 GMT+01:00 1992; -2.766103; 5.788238; 7.350751
Thu Feb 20 11:05:36 GMT+01:00 1992; -2.766103; 5.788238; 7.350751
Thu Feb 20 14:13:28 GMT+01:00 1992; -2.766103; 5.788238; 7.350751
Thu Feb 20 17:02:46 GMT+01:00 1992; -2.766103; 5.788238; 7.350751
Thu Feb 20 22:42:28 GMT+01:00 1992; -2.794817; 5.735596; 7.379465
Fri Feb 21 01:00:06 GMT+01:00 1992; -2.794817; 5.735596; 7.379465
Fri Feb 21 02:41:40 GMT+01:00 1992; -2.794817; 5.735596; 7.379465
Fri Feb 21 04:38:33 GMT+01:00 1992; -2.794817; 5.735596; 7.379465
Fri Feb 21 06:08:07 GMT+01:00 1992; -2.794817; 5.735596; 7.379465
Fri Feb 21 09:17:05 GMT+01:00 1992; -2.794817; 5.735596; 7.379465
Fri Feb 21 10:41:11 GMT+01:00 1992; -2.794817; 5.735596; 7.379465
Fri Feb 21 17:12:13 GMT+01:00 1992; -2.737389; 5.572884; 7.250253
Sat Feb 22 08:17:42 GMT+01:00 1992; -2.720639; 5.644669; 7.456035
Sat Feb 22 14:00:40 GMT+01:00 1992; -2.720639; 5.644669; 7.456035
Sun Feb 23 20:44:25 GMT+01:00 1992; -2.861816; 5.740382; 6.836294
Sun Feb 23 23:49:01 GMT+01:00 1992; -2.861816; 5.740382; 6.836294
Mon Feb 24 04:30:49 GMT+01:00 1992; -2.861816; 5.740382; 6.836294
Mon Feb 24 05:59:17 GMT+01:00 1992; -2.555535; 5.740382; 7.767102
Mon Feb 24 08:31:07 GMT+01:00 1992; -2.555535; 5.740382; 7.767102
Mon Feb 24 09:16:59 GMT+01:00 1992; -2.555535; 5.740382; 7.767102
Mon Feb 24 18:32:57 GMT+01:00 1992; -2.555535; 5.740382; 7.767102
Tue Feb 25 01:23:39 GMT+01:00 1992; -2.220539; 5.771488; 8.269595
Tue Feb 25 02:43:23 GMT+01:00 1992; -2.220539; 5.771488; 8.269595
Tue Feb 25 04:14:02 GMT+01:00 1992; -2.220539; 5.771488; 8.269595
Tue Feb 25 05:02:06 GMT+01:00 1992; -2.220539; 5.771488; 8.269595
Tue Feb 25 05:45:47 GMT+01:00 1992; -2.220539; 5.771488; 8.269595
Tue Feb 25 12:46:19 GMT+01:00 1992; -2.220539; 5.771488; 8.269595
Tue Feb 25 16:32:25 GMT+01:00 1992; -2.720639; 5.943771; 7.534998
Tue Feb 25 21:12:02 GMT+01:00 1992; -2.720639; 5.943771; 7.534998
Wed Feb 26 00:49:24 GMT+01:00 1992; -2.720639; 5.943771; 7.534998
Wed Feb 26 01:33:05 GMT+01:00 1992; -2.720639; 5.943771; 7.534998
Wed Feb 26 02:47:21 GMT+01:00 1992; -2.720639; 5.943771; 7.534998
Wed Feb 26 15:58:10 GMT+01:00 1992; -4.079762; 7.066005; 5.678168
Wed Feb 26 20:25:46 GMT+01:00 1992; -4.079762; 7.066005; 5.678168
Wed Feb 26 23:10:42 GMT+01:00 1992; -4.697111; 7.448857; 2.555535
Thu Feb 27 00:57:44 GMT+01:00 1992; -4.697111; 7.448857; 2.555535
Thu Feb 27 02:57:53 GMT+01:00 1992; -4.697111; 7.448857; 2.555535
Thu Feb 27 05:55:56 GMT+01:00 1992; -4.697111; 7.448857; 2.555535
Thu Feb 27 15:07:31 GMT+01:00 1992; -5.252246; 3.182454; 3.649055
Thu Feb 27 17:49:11 GMT+01:00 1992; -5.252246; 3.182454; 3.649055
Thu Feb 27 19:36:13 GMT+01:00 1992; -5.252246; 3.182454; 3.649055
Thu Feb 27 20:29:44 GMT+01:00 1992; -5.252246; 3.182454; 3.649055
Fri Feb 28 00:48:36 GMT+01:00 1992; -5.252246; 3.182454; 3.649055
Fri Feb 28 03:35:44 GMT+01:00 1992; -5.252246; 3.182454; 3.649055
Fri Feb 28 04:42:21 GMT+01:00 1992; -5.252246; 3.182454; 3.649055
Fri Feb 28 06:50:09 GMT+01:00 1992; -3.696911; -3.605984; 4.304688
Fri Feb 28 14:05:58 GMT+01:00 1992; -3.696911; -3.605984; 4.304688
Fri Feb 28 16:20:19 GMT+01:00 1992; -3.696911; -3.605984; 4.304688
Fri Feb 28 17:56:26 GMT+01:00 1992; -3.696911; -3.605984; 4.304688
Fri Feb 28 20:31:32 GMT+01:00 1992; -3.696911; -3.605984; 4.304688
Fri Feb 28 22:19:40 GMT+01:00 1992; -0.246461; -8.958728; 2.744568
Fri Feb 28 23:15:22 GMT+01:00 1992; -0.246461; -8.958728; 2.744568
Sat Feb 29 03:45:10 GMT+01:00 1992; -0.246461; -8.958728; 2.744568
