time; x; y; z
1249768636416; -1.828117; 2.818745; 9.291330
1249795112960; -2.486143; 3.629912; 9.279366
1249805729792; -2.486143; 3.629912; 9.279366
1249819754496; -2.486143; 3.629912; 9.279366
1249841250304; -2.577070; 3.483950; 9.305687
1249852653568; -2.577070; 3.483950; 9.305687
1249854226432; -2.577070; 3.483950; 9.305687
1249856847872; -2.577070; 3.483950; 9.305687
1249863925760; -2.577070; 3.483950; 9.305687
1249874280448; -2.577070; 3.483950; 9.305687
1249887518720; -2.577070; 3.483950; 9.305687
1249901281280; -2.328216; 3.842873; 8.906086
1249902854144; -2.328216; 3.842873; 8.906086
1249904295936; -2.328216; 3.842873; 8.906086
1249905737728; -2.328216; 3.842873; 8.906086
1249908097024; -2.328216; 3.842873; 8.906086
1249917009920; -2.328216; 3.842873; 8.906086
1249919238144; -2.328216; 3.842873; 8.906086
1249977040896; -2.409572; 3.113062; 8.944371
1249986740224; -2.409572; 3.113062; 8.944371
1249988706304; -2.409572; 3.113062; 8.944371
1249994997760; -2.409572; 3.113062; 8.944371
1250003386368; -2.409572; 3.113062; 8.944371
1250011643904; -2.478964; 3.689733; 8.855837
1250047819776; -2.478964; 3.689733; 8.855837
1250053062656; -2.478964; 3.689733; 8.855837
1250061713408; -2.478964; 3.689733; 8.855837
1250075213824; -2.292324; 3.337988; 8.774481
1250085306368; -2.292324; 3.337988; 8.774481
1250098937856; -2.292324; 3.337988; 8.774481
1250133278720; -2.376073; 3.771089; 8.283952
1250147172352; -2.376073; 3.771089; 8.283952
1250151628800; -2.376073; 3.771089; 8.283952
1250165522432; -2.376073; 3.771089; 8.283952
1250169716736; -2.376073; 3.771089; 8.283952
1250186100736; -3.560520; 4.630112; 7.456035
1250218344448; -3.560520; 4.630112; 7.456035
1250228830208; -3.560520; 4.630112; 7.456035
1250243510272; -4.881358; 4.943572; 5.850451
1250248491008; -4.881358; 4.943572; 5.850451
1250254127104; -4.881358; 4.943572; 5.850451
1250281259008; -4.881358; 4.943572; 5.850451
1250314551296; -5.603991; 4.364509; 5.264210
1250321367040; -5.603991; 4.364509; 5.264210
1250334212096; -5.603991; 4.364509; 5.264210
1250345353216; -5.603991; 4.364509; 5.264210
1250347974656; -5.603991; 4.364509; 5.264210
1250358722560; -2.816352; -1.942972; 2.624926
1250383101952; -2.816352; -1.942972; 2.624926
1250386640896; -2.816352; -1.942972; 2.624926
1250398830592; -2.816352; -1.942972; 2.624926
1250412855296; 1.040878; -12.090933; -2.462214
1250414690304; 1.040878; -12.090933; -2.462214
1250418491392; 1.040878; -12.090933; -2.462214
1250435661824; 1.040878; -12.090933; -2.462214
1250451259392; 1.040878; -12.090933; -2.462214
1250462007296; 1.040878; -12.090933; -2.462214
1250484027392; 3.739982; -12.519248; -7.168897
1250491629568; 3.739982; -12.519248; -7.168897
1250499493888; 3.739982; -12.519248; -7.168897
1250501328896; 3.739982; -12.519248; -7.168897
1250503163904; 3.739982; -12.519248; -7.168897
1250515484672; 3.739982; -12.519248; -7.168897
1250519154688; 3.739982; -12.519248; -7.168897
1250535014400; 4.462614; -9.528220; -7.530213
1250536980480; 4.462614; -9.528220; -7.530213
1250570534912; 4.462614; -9.528220; -7.530213
1250575777792; 4.462614; -9.528220; -7.530213
1250596618240; 1.048056; -8.114061; -6.089734
1250619949056; 1.048056; -8.114061; -6.089734
1250644852736; 1.048056; -8.114061; -6.089734
1250665955328; -1.641476; -9.267402; -4.031906
1250714058752; -1.641476; -9.267402; -4.031906
1250732146688; -6.745367; -8.068598; -2.170290
1250778415104; -9.360723; -7.671390; -2.280360
1250790211584; -9.360723; -7.671390; -2.280360
1250798206976; -9.576077; -8.224132; -2.117648
1250810527744; -9.576077; -8.224132; -2.117648
1250882093056; -15.285351; -5.424529; -4.469793
1250891530240; -16.421942; -5.606383; -5.812166
1250909618176; -17.417356; -5.491528; -7.427321
1250932686848; -18.245274; -4.208975; -8.303095
1250945531904; -18.245274; -4.208975; -8.303095
1250950119424; -18.405592; -3.809374; -9.566504
1251089317888; -10.516456; -5.627919; -11.107483
1251105308672; -8.681161; -5.938986; -10.296316
1251114876928; -8.681161; -5.938986; -10.296316
1251118678016; -8.681161; -5.938986; -10.296316
1251124969472; -8.286345; -4.972285; -11.636296
1251153936384; -8.030313; -5.594419; -12.634104
1251222618112; -5.714060; -4.651647; -12.756138
1251238346752; -4.658826; -3.672983; -14.263616
1251249094656; -4.658826; -3.672983; -14.263616
1251255779328; -3.888337; -4.218546; -12.433106
1251263381504; -3.888337; -4.218546; -12.433106
1251268755456; -3.888337; -4.218546; -12.433106
1251273474048; -3.888337; -4.218546; -12.433106
1251292479488; -3.103491; -4.003192; -10.246066
1251315810304; -2.306681; -3.672983; -8.724232
1251318038528; -2.306681; -3.672983; -8.724232
1251319873536; -2.306681; -3.672983; -8.724232
1251324329984; -2.306681; -3.672983; -8.724232
1251329572864; -2.306681; -3.672983; -8.724232
1251345301504; -2.407180; -3.859623; -6.776474
1251349364736; -2.407180; -3.859623; -6.776474
1251355394048; -1.933401; -4.321438; -5.075177
1251357622272; -1.933401; -4.321438; -5.075177
1251363258368; -1.933401; -4.321438; -5.075177
1251364962304; -1.933401; -4.321438; -5.075177
1251375841280; -1.847259; -3.718446; -4.153940
1251379380224; -1.847259; -3.718446; -4.153940
1251382919168; -1.847259; -3.718446; -4.153940
1251392880640; -1.521835; -3.290131; -3.744767
1251414507520; -1.495514; -2.452643; -3.194418
1251417653248; -1.495514; -2.452643; -3.194418
1251423682560; -1.495514; -2.452643; -3.194418
1251427090432; -1.495514; -2.452643; -3.194418
1251439411200; -1.794617; -2.445465; -1.198804
1251446620160; -1.794617; -2.445465; -1.198804
1251459989504; -1.954936; -3.048456; 0.413958
1251482927104; -2.502892; -1.069592; 0.971486
1251491315712; -4.017549; -0.619741; 2.062613
1251499573248; -4.017549; -0.619741; 2.062613
1251501539328; -4.017549; -0.619741; 2.062613
1251503243264; -4.017549; -0.619741; 2.062613
1251510976512; -4.165904; -3.438486; 3.548556
1251516088320; -4.165904; -3.438486; 3.548556
1251519365120; -4.165904; -3.438486; 3.548556
1251529195520; -3.369094; -3.548556; 3.720839
1251564847104; -2.478964; -1.974079; 2.615355
1251572842496; -2.321038; -2.191826; 2.134398
1251580968960; -2.321038; -2.191826; 2.134398
1251587915776; -2.737389; -2.050649; 2.950350
1251594207232; -2.737389; -2.050649; 2.950350
1251605479424; -2.868994; -2.306681; 2.778067
1251609804800; -2.868994; -2.306681; 2.778067
1251617669120; -2.868994; -2.306681; 2.778067
1251623567360; -3.522235; -4.335794; 2.213361
1251628548096; -3.522235; -4.335794; 2.213361
1251632742400; -3.522235; -4.335794; 2.213361
1251652141056; -5.056034; -6.374479; 2.873780
1251674423296; -5.328816; -8.585447; 5.302495
1251696836608; -4.945964; -9.102298; 6.757331
1251714400256; -6.163911; -12.569497; 7.207182
1251728031744; -6.434300; -15.287744; 5.936593
1251751755776; -7.312466; -20.508883; 6.884151
1251774955520; -11.322837; -23.430519; 8.968299
1251796451328; -15.979270; -20.145174; 0.971486
1251812311040; -15.979270; -20.145174; 0.971486
1251832889344; -17.469997; -19.724037; -2.593820
1251858055168; -20.415564; -16.893328; -0.327817
1251873128448; -20.415564; -16.893328; -0.327817
1251896328192; -14.689538; -8.597412; -9.554541
1251936960512; 0.789631; -6.283552; -6.671189
1251958456320; 9.743574; -4.867001; -6.434300
1251988733952; -0.074178; -11.535798; -5.759524
1252024778752; -5.694918; -8.231310; -5.723632
1252054401024; -6.496513; -5.862415; -8.185846
1252056367104; -6.496513; -5.862415; -8.185846
1252074455040; -1.045663; -5.178068; -10.473385
1252094246912; 6.336195; -5.053641; -11.452049
1252103946240; 6.336195; -5.053641; -11.452049
1252120461312; 6.850651; -6.135197; -13.339986
1252133699584; 1.811367; -8.425129; -12.674782
1252140646400; 1.811367; -8.425129; -12.674782
1252170661888; -1.505085; -12.741780; -13.497912
1252189536256; -3.108277; -12.863814; -14.935999
1252197924864; -3.108277; -12.863814; -14.935999
1252212867072; -6.092126; -16.532011; -16.144375
1252217847808; -6.092126; -16.532011; -16.144375
1252227678208; -10.102497; -20.097317; -20.066210
1252229644288; -10.102497; -20.097317; -20.066210
1252241309696; -4.847859; -19.747965; -20.207388
1252248518656; -4.847859; -19.747965; -20.207388
1252253106176; -4.847859; -19.747965; -20.207388
1252264902656; -1.328017; -18.343378; -17.137396
1252273946624; -1.328017; -18.343378; -17.137396
1252282859520; -3.012564; -14.385650; -13.284951
