time; x; y; z
83139519053824; -2.074577; 2.995814; 9.193225
83139519053824; -2.074577; 2.995814; 9.193225
83139527442432; -2.074577; 2.995814; 9.193225
83139527442432; -2.074577; 2.995814; 9.193225
83139527442432; -2.074577; 2.995814; 9.193225
83139535831040; -2.074577; 2.995814; 9.193225
83139577774080; -1.907080; 2.971886; 9.102298
83139577774080; -1.907080; 2.971886; 9.102298
83139602939904; -1.907080; 2.971886; 9.102298
83139602939904; -1.907080; 2.971886; 9.102298
83139602939904; -1.907080; 2.971886; 9.102298
83139611328512; -2.002793; 2.830709; 9.200403
83139619717120; -2.002793; 2.830709; 9.200403
83139636494336; -2.002793; 2.830709; 9.200403
83139636494336; -2.002793; 2.830709; 9.200403
83139636494336; -2.002793; 2.830709; 9.200403
83139644882944; -2.002793; 2.830709; 9.200403
83139644882944; -2.002793; 2.830709; 9.200403
83139661660160; -1.887937; 2.912065; 9.154940
83139670048768; -1.887937; 2.912065; 9.154940
83139670048768; -1.887937; 2.912065; 9.154940
83139670048768; -1.887937; 2.912065; 9.154940
83139703603200; -1.837688; 2.964707; 9.142975
83139711991808; -1.837688; 2.964707; 9.142975
83139720380416; -1.837688; 2.964707; 9.142975
83139720380416; -1.837688; 2.964707; 9.142975
83139720380416; -1.837688; 2.964707; 9.142975
83139720380416; -1.837688; 2.964707; 9.142975
83139762323456; -1.952543; 3.110669; 8.932407
83139770712064; -1.952543; 3.110669; 8.932407
83139770712064; -1.952543; 3.110669; 8.932407
83139770712064; -1.952543; 3.110669; 8.932407
83139770712064; -1.952543; 3.110669; 8.932407
83139779100672; -1.952543; 3.110669; 8.932407
83139821043712; -1.921437; 3.134598; 8.776874
83139821043712; -1.921437; 3.134598; 8.776874
83139829432320; -1.921437; 3.134598; 8.776874
83139829432320; -1.921437; 3.134598; 8.776874
83139829432320; -1.921437; 3.134598; 8.776874
83139829432320; -1.921437; 3.134598; 8.776874
83139879763968; -1.861616; 3.531806; 8.508878
83139879763968; -1.861616; 3.531806; 8.508878
83139879763968; -1.861616; 3.531806; 8.508878
83139888152576; -1.679762; 3.878766; 8.618947
83139888152576; -1.679762; 3.878766; 8.618947
83139896541184; -1.679762; 3.878766; 8.618947
83139904929792; -1.679762; 3.878766; 8.618947
83139946872832; -1.383052; 4.718646; 9.207582
83139946872832; -1.383052; 4.718646; 9.207582
83139955261440; -1.383052; 4.718646; 9.207582
83139955261440; -1.383052; 4.718646; 9.207582
83139955261440; -1.383052; 4.718646; 9.207582
83139963650048; -1.383052; 4.718646; 9.207582
83140013981696; -2.560320; -0.088534; 9.518648
83140022370304; -2.560320; -0.088534; 9.518648
83140022370304; -2.560320; -0.088534; 9.518648
83140047536128; -2.560320; -0.088534; 9.518648
83140047536128; -2.560320; -0.088534; 9.518648
83140047536128; -2.560320; -0.088534; 9.518648
83140081090560; -1.509871; -4.917251; 9.583255
83140081090560; -1.509871; -4.917251; 9.583255
83140089479168; -1.509871; -4.917251; 9.583255
83140097867776; -1.509871; -4.917251; 9.583255
83140097867776; -1.509871; -4.917251; 9.583255
83140123033600; -0.940379; -10.284351; 5.539384
83140123033600; -0.940379; -10.284351; 5.539384
83140131422208; -0.940379; -10.284351; 5.539384
83140139810816; -0.940379; -10.284351; 5.539384
83140148199424; -0.940379; -10.284351; 5.539384
83140156588032; -0.940379; -10.284351; 5.539384
83140190142464; 0.638884; -11.978470; -0.325424
83140190142464; 0.638884; -11.978470; -0.325424
83140198531072; 0.638884; -11.978470; -0.325424
83140198531072; 0.638884; -11.978470; -0.325424
83140198531072; 0.638884; -11.978470; -0.325424
83140206919680; 0.638884; -11.978470; -0.325424
83140232085504; 1.232304; -8.367701; 1.756332
83140232085504; 1.232304; -8.367701; 1.756332
83140240474112; 1.232304; -8.367701; 1.756332
83140240474112; 1.232304; -8.367701; 1.756332
83140257251328; 1.232304; -8.367701; 1.756332
83140257251328; 1.232304; -8.367701; 1.756332
83140315971584; -0.856631; -9.114262; -0.457029
83140324360192; -0.856631; -9.114262; -0.457029
83140324360192; -0.856631; -9.114262; -0.457029
83140349526016; -0.856631; -9.114262; -0.457029
83140349526016; -0.856631; -9.114262; -0.457029
83140366303232; -2.172683; -8.551949; -0.679562
83140399857664; -3.091527; -7.829316; 0.378066
83140399857664; -3.091527; -7.829316; 0.378066
83140458577920; -5.223532; -8.255239; 0.504886
83140466966528; -6.113662; -8.140383; -0.038285
83140475355136; -6.113662; -8.140383; -0.038285
83140475355136; -6.113662; -8.140383; -0.038285
83140483743744; -6.113662; -8.140383; -0.038285
83140492132352; -6.192625; -8.054241; -0.433101
83140492132352; -6.192625; -8.054241; -0.433101
83140492132352; -6.192625; -8.054241; -0.433101
83140500520960; -6.192625; -8.054241; -0.433101
83140500520960; -6.192625; -8.054241; -0.433101
83140508909568; -6.558727; -8.530413; -0.626920
83140508909568; -6.558727; -8.530413; -0.626920
83140517298176; -6.558727; -8.530413; -0.626920
83140525686784; -6.460621; -8.355737; -0.483350
83140534075392; -6.460621; -8.355737; -0.483350
83140542464000; -6.348158; -8.161918; -0.246461
83140567629824; -6.376873; -8.114061; 0.047856
83140584407040; -6.723832; -7.740781; 0.074178
83140601184256; -6.786045; -7.733603; 0.028714
83140626350080; -6.886544; -7.915457; 0.040678
83140643127296; -6.506085; -8.250452; 0.244068
83140659904512; -6.848258; -9.056833; 0.279960
83140685070336; -7.164111; -8.848659; -0.095713
83140701847552; -7.013363; -8.583055; -0.471386
83140718624768; -7.410572; -8.097312; -0.725025
83140743790592; -8.054241; -8.142776; -0.473779
83140760567808; -8.999406; -8.453842; -0.564706
83140777345024; -9.755538; -8.965906; -0.485743
83140794122240; -10.332209; -8.951550; -0.215354
83140819288064; -10.638490; -8.432307; -0.574277
83140836065280; -10.913664; -8.078169; -0.729811
83140852842496; -11.066805; -7.740781; -0.775275
83140878008320; -10.880164; -7.618747; -0.375673
83140894785536; -10.449456; -6.087341; 0.330210
83140911562752; -10.518848; -5.962914; 0.648455
83140945117184; -11.052447; -5.096712; 1.165305
83140953505792; -10.913664; -3.479164; 1.201197
83140970283008; -10.631311; -3.699304; 1.593620
83140987060224; -9.925428; -3.409772; 1.622334
83141020614656; -9.657433; -3.101098; 1.339981
83141037391872; -9.293723; -2.656033; 0.916451
83141054169088; -8.520842; -1.514657; 0.387637
83141079334912; -8.114061; -1.593620; -0.559920
83141096112128; -7.465607; -2.380858; -0.758525
83141112889344; -7.278966; -2.033899; -1.694118
83141138055168; -6.999006; -1.476372; -2.995814
83141154832384; -6.853044; -1.904687; -4.273581
83141163220992; -6.072984; -1.842473; -4.776074
83141179998208; -5.852844; -2.459822; -3.780660
83141205164032; -6.400801; -1.703690; -4.007978
83141221941248; -6.611369; -1.062413; -4.922036
83141238718464; -5.649454; -0.524028; -5.285745
83141272272896; -5.800202; 0.000000; -6.173482
83141280661504; -6.317052; 0.004786; -7.439286
83141297438720; -6.757331; -1.914258; -7.874779
83141322604544; -6.233303; -1.751546; -7.731210
83141339381760; -6.065805; 1.107877; -7.499106
83141356158976; -6.805188; -0.358923; -7.257431
83141372936192; -6.831509; -0.559920; -7.030113
83141398102016; -7.539784; 0.167498; -7.487142
83141414879232; -8.863015; 0.203390; -8.652447
83141431656448; -9.305687; 1.488336; -9.298509
83141456822272; -9.791430; 1.907080; -9.631111
83141473599488; -10.578669; 1.158126; -9.690931
83141490376704; -10.971092; 1.689333; -10.167104
83141515542528; -11.155339; 1.682154; -11.045269
83141540708352; -11.346765; 1.103091; -11.129018
83141549096960; -11.040483; 0.837488; -10.777273
83141565874176; -10.569098; 0.445065; -10.341780
83141591040000; -10.033105; 0.957129; -10.042677
83141607817216; -9.576077; 0.815953; -10.320244
83141624594432; -9.250652; 0.198604; -10.657632
83141649760256; -9.327223; 0.196211; -10.600204
83141666537472; -9.111869; 0.701097; -10.128819
83141683314688; -8.477771; 0.861416; -9.934999
83141708480512; -8.441878; 0.227318; -10.389636
83141725257728; -8.788837; -0.260818; -11.796616
83141742034944; -9.408579; -0.222533; -12.081362
83141758812160; -9.154940; -0.186640; -11.930614
83141783977984; -10.052248; 0.918844; -12.995420
83141800755200; -10.346565; 1.256232; -13.222738
83141817532416; -10.413564; 0.981057; -13.399807
83141842698240; -11.464013; 1.160519; -13.935799
83141859475456; -12.153146; 1.124627; -13.875978
83141876252672; -11.741581; 0.720240; -12.457035
83141901418496; -12.258430; 0.052642; -12.490534
83141918195712; -12.614961; 0.454636; -12.591033
83141934972928; -12.100504; -0.488136; -12.148360
83141951750144; -11.921042; -0.177069; -12.540784
83141976915968; -11.224731; -0.626920; -11.669796
83141993693184; -9.494720; -0.689133; -9.628718
83142010470400; -7.788638; -1.416551; -7.903493
83142035636224; -6.202196; -2.414358; -7.197610
83142052413440; -5.225924; -2.876173; -6.802795
83142069190656; -3.536592; -2.445465; -6.104091
83142094356480; -2.065006; -3.519842; -5.051249
83142111133696; -0.689133; -3.376273; -3.871587
83142127910912; 0.545564; -3.000600; -2.165504
83142153076736; 1.722832; -2.029114; -0.294317
83142169853952; 2.610569; -2.218147; 0.356531
83142186631168; 3.089134; -2.024328; 0.870987
83142211796992; 3.634698; -0.811167; 1.756332
83142228574208; 4.137190; -2.038685; 3.785445
83142245351424; 4.132405; -3.328416; 4.328616
83142262128640; 4.118048; -2.919244; 4.261617
83142287294464; 4.242475; -1.246661; 3.816552
83142304071680; 4.555934; -0.985843; 3.869194
83142320848896; 4.503292; -1.818545; 4.823930
83142337626112; 4.321438; -1.902294; 5.434100
83142362791936; 4.244867; -2.112862; 5.551349
83142379569152; 4.359723; -2.313859; 5.522635
83142396346368; 4.934000; -2.560320; 5.498706
83142421512192; 5.374279; -2.653640; 6.075377
83142438289408; 5.113462; -2.428715; 6.266802
83142455066624; 5.154140; -3.141776; 6.197411
83142480232448; 4.764110; -3.931408; 5.953343
83142497009664; 4.529613; -2.976671; 5.075177
83142513786880; 4.998607; -2.620141; 4.981857
83142538952704; 4.560720; -2.053042; 5.319245
83142555729920; 4.120440; -2.852245; 5.130212
83142572507136; 3.694518; -3.996014; 5.345566
83142589284352; 2.428715; -4.718646; 5.391029
83142614450176; 2.158326; -2.667997; 5.180461
83142631227392; 2.127219; -1.050449; 5.335995
83142648004608; 1.153340; -0.839881; 5.441278
83142673170432; -0.825524; -1.040878; 5.288138
83142689947648; -2.684747; -1.356730; 5.187640
83142706724864; -4.934000; -1.184447; 5.771488
83142723502080; -7.216753; -1.505085; 5.257031
83142748667904; -8.623733; -1.634298; 4.366901
83142765445120; -10.073783; -0.311067; 3.409772
83142782222336; -12.595819; 0.741775; 2.266003
83142815776768; -15.507884; -1.213161; 2.299503
83142824165376; -16.917255; -3.790231; 1.507478
83142840942592; -17.003397; -4.070191; 1.268196
83142857719808; -18.707087; -5.601598; 0.105284
83142882885632; -20.886950; -8.413164; -1.225125
83142899662848; -21.095125; -10.085748; -0.169890
83142924828672; -21.186052; -10.131211; 1.452443
83142941605888; -22.770100; -12.181860; 2.141576
83142958383104; -22.516460; -14.794823; 2.158326
83142975160320; -21.944576; -13.593625; 3.352345
83143000326144; -22.583460; -13.521841; 3.852444
83143017103360; -22.150360; -13.012170; 2.038685
83143033880576; -21.657438; -14.416757; 0.827917
83143059046400; -21.748365; -15.536597; -1.526621
83143075823616; -17.915064; -20.049461; -0.763310
83143092600832; -15.792629; -13.641482; -0.751346
83143117766656; -16.780865; -12.411572; -2.050649
83143134543872; -14.687145; -16.240088; -2.000400
83143151321088; -13.397414; -16.716259; -3.024528
83143168098304; -11.952149; -14.108083; -3.981657
83143193264128; -10.822737; -12.614961; -5.386244
83143210041344; -8.879765; -11.052447; -5.857630
83143226818560; -7.188039; -10.076176; -5.855237
83143251984384; -4.986642; -8.827123; -5.833702
83143268761600; -3.768696; -6.350551; -4.804788
83143285538816; -3.182454; -6.805188; -4.110869
83143302316032; -1.756332; -7.580462; -4.364509
83143327481856; -0.378066; -5.709275; -5.015356
83143344259072; 1.040878; -4.170690; -5.328816
83143361036288; 1.890330; -3.993621; -4.706682
83143386202112; 2.696711; -4.271188; -3.811766
83143402979328; 3.524628; -4.565506; -2.328216
83143419756544; 4.051049; -3.428915; -2.038685
83143444922368; 4.689932; -2.498107; -2.498107
83143461699584; 4.984250; -4.776074; -1.584049
83143478476800; 4.826324; -5.659026; -0.083749
83143503642624; 5.206782; -4.486542; 0.595813
83143520419840; 6.226124; -3.979264; 1.160519
83143537197056; 6.020342; -4.213761; 0.729811
83143553974272; 6.214160; -5.881558; 0.739382
