time; x; y; z
12497540087808; -18.163918; -4.012764; -28.579874
12497557913600; -18.989441; -5.735596; -27.905098
12497588322304; -17.228323; -7.156932; -24.681965
12497604050944; -14.998212; -7.640283; -19.403399
12497639702528; -11.382657; -4.898108; -15.165709
12497642848256; -11.382657; -4.898108; -15.165709
12497666965504; -10.810773; -6.235696; -13.488341
12497702617088; -8.334201; -3.984050; -10.758131
12497704714240; -8.334201; -3.984050; -10.758131
12497766580224; -4.256832; -0.655633; -5.197211
12497780211712; -4.256832; -0.655633; -5.197211
12497792794624; -3.199204; -4.338187; -4.668397
12497823203328; -0.952343; -3.457629; -6.264410
12497831591936; -0.952343; -3.457629; -6.264410
12497846272000; -0.179462; -3.285346; -6.089734
12497866194944; 0.961915; -3.232703; -6.376873
12497903943680; 2.502892; -4.132405; -5.905486
12497909186560; 2.502892; -4.132405; -5.905486
12497934352384; 2.742175; -3.955336; -5.498706
12497977344000; 3.854837; -4.077370; -2.782853
12497983635456; 3.854837; -4.077370; -2.782853
12497998315520; 4.266403; -4.797609; -1.509871
12498023481344; 4.297510; -5.010571; -0.756132
12498035015680; 4.323831; -4.474578; 0.155533
12498042355712; 4.323831; -4.474578; 0.155533
12498059132928; 5.111069; -4.065406; 0.468993
12498090590208; 5.757131; -3.857230; 0.160319
12498117853184; 5.383851; -4.646862; 1.483550
12498127290368; 5.383851; -4.646862; 1.483550
12498140921856; 5.103891; -3.041278; 1.560120
12498155601920; 5.915058; -2.177469; 0.490529
12498173427712; 5.915058; -3.708875; 0.847059
12498193350656; 4.177868; -4.795217; 2.907279
12498211176448; 3.060420; -3.756732; 2.979064
12498232147968; 3.108277; -2.505285; 3.139383
12498253119488; 2.435894; -1.753939; 3.515056
12498277236736; 1.459622; -0.794417; 3.854837
12498295062528; 0.823131; 0.141177; 4.220939
12498317082624; 0.418744; 0.703490; 4.936393
12498341199872; -0.440279; 0.303888; 5.967700
12498350637056; -1.567299; 1.079163; 6.242874
12498384191488; -3.543770; 1.045663; 7.925029
12498403065856; -5.127819; 1.186840; 9.209974
12498422988800; -6.116055; 1.787439; 9.925428
12498460737536; -8.185846; 1.385444; 10.198210
12498480660480; -9.544970; 1.555335; 10.875379
12498499534848; -10.777273; 0.696311; 12.040684
