time; x; y; z
83080102543360; -1.596013; 4.369294; 8.681161
83080102543360; -1.596013; 4.369294; 8.681161
83080119320576; -1.596013; 4.369294; 8.681161
83080119320576; -1.596013; 4.369294; 8.681161
83080136097792; -1.596013; 4.369294; 8.681161
83080136097792; -1.596013; 4.369294; 8.681161
83080178040832; -1.665405; 4.275974; 8.707481
83080186429440; -1.665405; 4.275974; 8.707481
83080194818048; -1.665405; 4.275974; 8.707481
83080203206656; -1.665405; 4.275974; 8.707481
83080203206656; -1.665405; 4.275974; 8.707481
83080203206656; -1.665405; 4.275974; 8.707481
83080228372480; -1.665405; 4.211368; 8.697910
83080245149696; -1.665405; 4.211368; 8.697910
83080245149696; -1.665405; 4.211368; 8.697910
83080253538304; -1.665405; 4.211368; 8.697910
83080253538304; -1.665405; 4.211368; 8.697910
83080261926912; -1.665405; 4.211368; 8.697910
83080303869952; -1.624727; 4.364509; 8.688339
83080303869952; -1.624727; 4.364509; 8.688339
83080312258560; -1.624727; 4.364509; 8.688339
83080312258560; -1.624727; 4.364509; 8.688339
83080320647168; -1.624727; 4.364509; 8.688339
83080320647168; -1.624727; 4.364509; 8.688339
83080337424384; -1.694118; 4.335794; 8.678768
83080345812992; -1.694118; 4.335794; 8.678768
83080345812992; -1.694118; 4.335794; 8.678768
83080345812992; -1.694118; 4.335794; 8.678768
83080354201600; -1.694118; 4.335794; 8.678768
83080354201600; -1.694118; 4.335794; 8.678768
83080387756032; -1.639084; 4.421936; 8.214561
83080396144640; -1.639084; 4.421936; 8.214561
83080396144640; -1.639084; 4.421936; 8.214561
83080396144640; -1.639084; 4.421936; 8.214561
83080396144640; -1.639084; 4.421936; 8.214561
83080404533248; -1.639084; 4.421936; 8.214561
83080446476288; -0.926022; 3.747160; 8.173882
83080454864896; -0.926022; 3.747160; 8.173882
83080454864896; -0.926022; 3.747160; 8.173882
83080454864896; -0.926022; 3.747160; 8.173882
83080463253504; -0.926022; 3.747160; 8.173882
83080463253504; -0.926022; 3.747160; 8.173882
83080488419328; -0.476172; 3.663411; 8.183454
83080496807936; -0.476172; 3.663411; 8.183454
83080496807936; -0.476172; 3.663411; 8.183454
83080530362368; 0.820738; 2.191826; 8.212168
83080530362368; 0.820738; 2.191826; 8.212168
83080538750976; 0.820738; 2.191826; 8.212168
83080538750976; 0.820738; 2.191826; 8.212168
83080547139584; 0.820738; 2.191826; 8.212168
83080547139584; 0.820738; 2.191826; 8.212168
83080589082624; 0.866202; 0.581456; 8.446664
83080589082624; 0.866202; 0.581456; 8.446664
83080589082624; 0.866202; 0.581456; 8.446664
83080597471232; 0.866202; 0.581456; 8.446664
83080605859840; 0.866202; 0.581456; 8.446664
83080605859840; 0.866202; 0.581456; 8.446664
83080647802880; -0.174676; 1.787439; 7.889136
83080647802880; -0.174676; 1.787439; 7.889136
83080656191488; -0.174676; 1.787439; 7.889136
83080672968704; -0.174676; 1.787439; 7.889136
83080672968704; -0.174676; 1.787439; 7.889136
83080681357312; -0.174676; 1.787439; 7.889136
83080698134528; -2.957529; 0.114855; 8.520842
83080706523136; -2.957529; 0.114855; 8.520842
83080714911744; -2.957529; 0.114855; 8.520842
83080714911744; -2.957529; 0.114855; 8.520842
83080723300352; -2.957529; 0.114855; 8.520842
83080731688960; -2.957529; 0.114855; 8.520842
83080756854784; -4.979464; 1.019342; 7.867601
83080756854784; -4.979464; 1.019342; 7.867601
83080765243392; -4.979464; 1.019342; 7.867601
83080765243392; -4.979464; 1.019342; 7.867601
83080773632000; -4.979464; 1.019342; 7.867601
83080807186432; -7.939385; 1.627119; 8.635697
83080823963648; -7.939385; 1.627119; 8.635697
83080832352256; -7.939385; 1.627119; 8.635697
83080840740864; -7.939385; 1.627119; 8.635697
83080840740864; -7.939385; 1.627119; 8.635697
83080840740864; -7.939385; 1.627119; 8.635697
83080865906688; -10.418350; 3.495914; 9.427721
83080874295296; -10.418350; 3.495914; 9.427721
83080891072512; -10.418350; 3.495914; 9.427721
83080891072512; -10.418350; 3.495914; 9.427721
83080899461120; -10.418350; 3.495914; 9.427721
83080916238336; -13.794622; 4.972285; 10.437492
83080924626944; -13.794622; 4.972285; 10.437492
83080924626944; -13.794622; 4.972285; 10.437492
83080933015552; -13.794622; 4.972285; 10.437492
83080933015552; -13.794622; 4.972285; 10.437492
83080933015552; -13.794622; 4.972285; 10.437492
83080974958592; -17.663816; 1.861616; 10.839486
83080974958592; -17.663816; 1.861616; 10.839486
83080974958592; -17.663816; 1.861616; 10.839486
83080974958592; -17.663816; 1.861616; 10.839486
83080983347200; -17.663816; 1.861616; 10.839486
83080983347200; -17.663816; 1.861616; 10.839486
83081033678848; -17.118254; 5.793024; 10.535598
83081033678848; -17.118254; 5.793024; 10.535598
83081033678848; -17.118254; 5.793024; 10.535598
83081033678848; -17.118254; 5.793024; 10.535598
83081033678848; -17.118254; 5.793024; 10.535598
83081042067456; -17.118254; 5.793024; 10.535598
83081084010496; -13.268202; 5.697311; 11.873186
83081092399104; -13.268202; 5.697311; 11.873186
83081092399104; -13.268202; 5.697311; 11.873186
83081092399104; -13.268202; 5.697311; 11.873186
83081092399104; -13.268202; 5.697311; 11.873186
83081092399104; -13.268202; 5.697311; 11.873186
83081142730752; -10.018748; 2.557927; 9.999606
83081142730752; -10.018748; 2.557927; 9.999606
83081151119360; -10.018748; 2.557927; 9.999606
83081151119360; -10.018748; 2.557927; 9.999606
83081151119360; -10.018748; 2.557927; 9.999606
83081151119360; -10.018748; 2.557927; 9.999606
83081209839616; -6.479764; -0.428315; 6.424729
83081209839616; -6.479764; -0.428315; 6.424729
83081218228224; -6.479764; -0.428315; 6.424729
83081218228224; -6.479764; -0.428315; 6.424729
83081218228224; -6.479764; -0.428315; 6.424729
83081218228224; -6.479764; -0.428315; 6.424729
83081260171264; -4.101298; -2.603391; 3.249453
83081260171264; -4.101298; -2.603391; 3.249453
83081268559872; -4.101298; -2.603391; 3.249453
83081268559872; -4.101298; -2.603391; 3.249453
83081310502912; 0.112463; -3.311666; -1.500300
83081310502912; 0.112463; -3.311666; -1.500300
83081310502912; 0.112463; -3.311666; -1.500300
83081318891520; 0.112463; -3.311666; -1.500300
83081318891520; 0.112463; -3.311666; -1.500300
83081327280128; 0.112463; -3.311666; -1.500300
83081360834560; 2.744568; -5.424529; -3.524628
83081360834560; 2.744568; -5.424529; -3.524628
83081369223168; 2.744568; -5.424529; -3.524628
83081369223168; 2.744568; -5.424529; -3.524628
83081377611776; 2.744568; -5.424529; -3.524628
83081377611776; 2.744568; -5.424529; -3.524628
83081411166208; 3.464807; -6.867401; -3.340380
83081419554816; 3.464807; -6.867401; -3.340380
83081419554816; 3.464807; -6.867401; -3.340380
83081419554816; 3.464807; -6.867401; -3.340380
83081419554816; 3.464807; -6.867401; -3.340380
83081419554816; 3.464807; -6.867401; -3.340380
83081486663680; 1.639084; -4.613362; -2.749353
83081495052288; 1.639084; -4.613362; -2.749353
83081495052288; 1.639084; -4.613362; -2.749353
83081495052288; 1.639084; -4.613362; -2.749353
83081495052288; 1.639084; -4.613362; -2.749353
83081495052288; 1.639084; -4.613362; -2.749353
83081503440896; 1.639084; -4.613362; -2.749353
