time; x; y; z
83332465426432; -0.531207; 2.203790; 9.611969
83332465426432; -0.531207; 2.203790; 9.611969
83332490592256; -0.531207; 2.203790; 9.611969
83332490592256; -0.531207; 2.203790; 9.611969
83332515758080; -0.591027; 2.191826; 9.425328
83332591255552; -0.581456; 2.165504; 9.480363
83332624809984; -0.533599; 2.378466; 9.415757
83332641587200; -0.533599; 2.378466; 9.415757
83332649975808; -0.533599; 2.378466; 9.415757
83332658364416; -0.533599; 2.378466; 9.415757
83332691918848; -0.562313; 2.215754; 9.518648
83332708696064; -0.562313; 2.215754; 9.518648
83332708696064; -0.562313; 2.215754; 9.518648
83332717084672; -0.562313; 2.215754; 9.518648
83332717084672; -0.562313; 2.215754; 9.518648
83332717084672; -0.562313; 2.215754; 9.518648
83332725473280; -0.562313; 2.215754; 9.518648
83332725473280; -0.562313; 2.215754; 9.518648
83332733861888; -0.741775; 2.397608; 9.272188
83332742250496; -0.741775; 2.397608; 9.272188
83332742250496; -0.741775; 2.397608; 9.272188
83332750639104; -0.741775; 2.397608; 9.272188
83332750639104; -0.741775; 2.397608; 9.272188
83332767416320; -0.741775; 2.397608; 9.272188
83332775804928; -0.741775; 2.397608; 9.272188
83332784193536; -0.741775; 2.397608; 9.272188
83332784193536; -0.741775; 2.397608; 9.272188
83332800970752; -0.588634; 2.498107; 8.556734
83332809359360; -0.588634; 2.498107; 8.556734
83332842913792; -0.588634; 2.498107; 8.556734
83332859691008; -1.584049; 2.598605; 7.570891
83332859691008; -1.584049; 2.598605; 7.570891
83332868079616; -1.584049; 2.598605; 7.570891
83332868079616; -1.584049; 2.598605; 7.570891
83332876468224; -1.584049; 2.598605; 7.570891
83332918411264; -0.741775; 2.890530; 7.697711
83332926799872; -0.741775; 2.890530; 7.697711
83332943577088; -0.741775; 2.890530; 7.697711
83332943577088; -0.741775; 2.890530; 7.697711
83332960354304; -0.928415; -0.373280; 8.757730
83332968742912; -0.928415; -0.373280; 8.757730
83333002297344; -0.928415; -0.373280; 8.757730
83333019074560; -0.928415; -0.373280; 8.757730
83333027463168; -0.677169; -5.606383; 8.547162
83333052628992; -0.677169; -5.606383; 8.547162
83333052628992; -0.677169; -5.606383; 8.547162
83333052628992; -0.677169; -5.606383; 8.547162
83333086183424; -0.815953; -10.195817; 8.276773
83333086183424; -0.815953; -10.195817; 8.276773
83333094572032; -0.815953; -10.195817; 8.276773
83333102960640; -0.815953; -10.195817; 8.276773
83333102960640; -0.815953; -10.195817; 8.276773
83333128126464; -0.815953; -10.195817; 8.276773
83333153292288; -1.560120; -7.140183; 7.008577
83333161680896; -1.560120; -7.140183; 7.008577
83333186846720; -1.576870; -7.207182; 6.384051
83333186846720; -1.576870; -7.207182; 6.384051
83333186846720; -1.576870; -7.207182; 6.384051
83333186846720; -1.576870; -7.207182; 6.384051
83333220401152; -1.576870; -7.207182; 6.384051
83333220401152; -1.576870; -7.207182; 6.384051
83333237178368; 0.196211; -10.779666; 2.727818
83333237178368; 0.196211; -10.779666; 2.727818
83333245566976; 0.196211; -10.779666; 2.727818
83333245566976; 0.196211; -10.779666; 2.727818
83333262344192; 0.196211; -10.779666; 2.727818
83333270732800; 0.196211; -10.779666; 2.727818
83333270732800; 0.196211; -10.779666; 2.727818
83333270732800; 0.196211; -10.779666; 2.727818
83333279121408; 0.196211; -10.779666; 2.727818
83333279121408; 0.196211; -10.779666; 2.727818
83333295898624; 0.818345; -9.332008; -0.495314
83333312675840; 0.803988; -9.537791; -0.705883
83333321064448; 0.803988; -9.537791; -0.705883
83333329453056; 0.803988; -9.537791; -0.705883
83333329453056; 0.803988; -9.537791; -0.705883
83333337841664; 0.803988; -9.537791; -0.705883
83333346230272; 0.803988; -9.537791; -0.705883
83333354618880; 0.803988; -9.537791; -0.705883
83333363007488; 1.593620; -9.343972; -0.928415
83333363007488; 1.593620; -9.343972; -0.928415
83333396561920; 1.658226; -8.336594; -1.512264
83333404950528; 1.658226; -8.336594; -1.512264
83333413339136; 2.053042; -9.013762; -1.500300
83333438504960; 2.359323; -8.932407; -1.885544
83333446893568; 2.359323; -8.932407; -1.885544
83333446893568; 2.672783; -8.408379; -2.244468
83333522391040; 2.790031; -7.992028; -4.409972
83333530779648; 2.955136; -7.554141; -4.874180
83333539168256; 2.955136; -7.554141; -4.874180
83333555945472; 3.089134; -7.819745; -4.264010
83333564334080; 3.383451; -7.410572; -4.476971
83333572722688; 3.383451; -7.410572; -4.476971
83333581111296; 3.383451; -7.410572; -4.476971
83333606277120; 3.864408; -6.637690; -5.697311
83333606277120; 3.864408; -6.637690; -5.697311
83333606277120; 3.864408; -6.637690; -5.697311
83333623054336; 3.864408; -6.637690; -5.697311
83333623054336; 3.864408; -6.637690; -5.697311
83333623054336; 3.907479; -6.379265; -6.506085
83333631442944; 3.907479; -6.379265; -6.506085
83333631442944; 3.907479; -6.379265; -6.506085
83333631442944; 3.907479; -6.379265; -6.506085
83333639831552; 3.907479; -6.379265; -6.506085
83333639831552; 3.969693; -5.769095; -7.180861
83333648220160; 3.969693; -5.769095; -7.180861
83333648220160; 3.969693; -5.769095; -7.180861
83333656608768; 3.969693; -5.769095; -7.180861
83333664997376; 4.180261; -5.486742; -7.834101
83333664997376; 4.180261; -5.486742; -7.834101
83333673385984; 4.180261; -5.486742; -7.834101
83333681774592; 4.180261; -5.486742; -7.834101
83333698551808; 4.316652; -5.046463; -8.142776
83333706940416; 3.952943; -4.764110; -8.015956
83333706940416; 3.952943; -4.764110; -8.015956
83333723717632; 4.072584; -4.718646; -8.209774
83333757272064; 4.115655; -4.771288; -9.628718
83333790826496; 4.256832; -4.943572; -10.131211
83333807603712; 4.110869; -5.146962; -10.207782
83333824380928; 3.888337; -5.647061; -9.731609
83333857935360; 3.570091; -4.898108; -11.368300
83333874712576; 3.089134; -5.290531; -11.870793
83333883101184; 3.089134; -5.290531; -11.870793
83333891489792; 3.089134; -5.290531; -11.870793
83333908267008; 2.900101; -5.252246; -11.832508
83333925044224; 3.208775; -5.601598; -10.652846
83333941821440; 3.373880; -5.668597; -9.803394
83333950210048; 3.754339; -5.419743; -9.018549
83333966987264; 3.969693; -5.615955; -8.525627
