time; x; y; z
12806257639424; -1.320838; -0.169890; -0.174676
12806259736576; -1.320838; -0.169890; -0.174676
12806272319488; -0.995414; -3.364309; 1.339981
12806300631040; -1.495514; -3.945765; 3.290131
12806312165376; -3.115455; -2.859423; 3.713661
12806335234048; -2.457429; -2.749353; 3.108277
12806350962688; -2.155933; -4.479364; 2.718246
12806398148608; -2.124826; -6.788438; 4.914858
12806414925824; -3.589234; -6.575477; 4.790431
12806427508736; -4.144369; -5.414958; 3.756732
12806468403200; -3.591627; -4.737789; 0.713061
12806522929152; -3.668197; -5.280960; -1.861616
12806541803520; -3.931408; -4.424329; -1.998007
12806560677888; -3.220739; -6.424729; -2.840281
12806618349568; -5.527421; -7.508677; -6.972685
12806638272512; -4.936393; -7.750352; -8.341380
12806677069824; -2.775674; -6.283552; -12.380465
12806695944192; -1.677369; -6.120841; -13.220345
12806714818560; 3.890730; -5.520242; -16.101303
12806753615872; 14.651253; -8.197810; -22.765314
12806795558912; 17.001005; -14.163117; -25.105495
12806811287552; 15.058033; -13.782659; -22.305893
12806831210496; 11.629118; -11.810972; -16.929220
12806850084864; 9.513863; -10.193424; -13.220345
12806868959232; 9.236296; -8.097312; -13.567305
12806888882176; 9.525827; -10.293923; -12.655639
12806928728064; 7.147361; -8.769695; -10.336994
12806946553856; 5.864808; -8.461020; -9.573684
12806966476800; 4.656433; -7.207182; -10.645668
12806985351168; 4.692325; -8.216953; -12.251252
12807004225536; 5.493921; -8.193025; -10.451849
12807043022848; 3.038885; -5.266603; -3.280560
12807108034560; 1.361516; -6.549156; -1.832902
12807137394688; 0.023928; -4.828716; -1.842473
12807140540416; 0.023928; -4.828716; -1.842473
12807212892160; -1.462015; -3.818945; -0.765703
12807229669376; -1.995614; -3.218346; 0.327817
12807237009408; -1.974079; -2.321038; 0.045464
12807253786624; -1.988436; -0.083749; 1.194018
12807271612416; -1.988436; -0.083749; 1.194018
12807305166848; -0.760918; -5.895915; 2.632105
