time; x; y; z
83256716296192; -0.124427; -6.778867; -19.324436
83256724684800; 0.461815; -7.219146; -19.106689
83256733073408; 0.461815; -7.219146; -19.106689
83256758239232; 0.703490; -7.111469; -18.202202
83256766627840; 0.703490; -7.111469; -18.202202
83256766627840; 0.653241; -6.920043; -16.378872
83256766627840; 0.653241; -6.920043; -16.378872
83256775016448; 0.653241; -6.920043; -16.378872
83256783405056; 0.653241; -6.920043; -16.378872
83256800182272; -0.038285; -6.541977; -13.450056
83256808570880; -0.038285; -6.541977; -13.450056
83256808570880; -0.038285; -6.541977; -13.450056
83256825348096; -0.038285; -6.541977; -13.450056
83256825348096; -0.394816; -4.768896; -11.485549
83256825348096; -0.394816; -4.768896; -11.485549
83256850513920; -0.583849; -3.656233; -9.217153
83256858902528; -0.583849; -3.656233; -9.217153
83256875679744; -0.698704; -3.153740; -6.862615
83256875679744; -0.698704; -3.153740; -6.862615
83256884068352; -0.897308; -2.536392; -4.883751
83256892456960; -0.897308; -2.536392; -4.883751
83256892456960; -0.897308; -2.536392; -4.883751
83256900845568; -0.897308; -2.536392; -4.883751
83256900845568; -0.713061; -1.931008; -4.170690
83256900845568; -0.713061; -1.931008; -4.170690
83256926011392; -0.004786; -1.576870; -3.713661
83256934400000; -0.004786; -1.576870; -3.713661
83256967954432; 1.409373; -1.875973; -0.681954
83256984731648; 1.071985; -2.167897; 0.586242
83257001508864; 0.892523; -1.531407; 0.423530
83257035063296; 1.246661; -1.500300; 0.016750
83257035063296; 2.811567; -1.976472; 1.710868
83257051840512; 2.811567; -1.976472; 1.710868
83257068617728; 3.670590; -4.979464; 3.086741
83257077006336; 2.519642; -4.773681; 3.756732
83257085394944; 2.519642; -4.773681; 3.756732
83257085394944; 2.519642; -4.773681; 3.756732
83257093783552; 2.519642; -4.773681; 3.756732
83257093783552; 2.519642; -4.773681; 3.756732
83257102172160; 2.258825; -4.543970; 4.366901
83257110560768; 2.258825; -4.543970; 4.366901
83257110560768; 1.885544; -4.130012; 4.551149
83257118949376; 1.885544; -4.130012; 4.551149
83257127337984; 1.885544; -4.130012; 4.551149
83257135726592; 1.160519; -3.460021; 4.319045
83257135726592; 1.160519; -3.460021; 4.319045
83257144115200; 1.160519; -3.460021; 4.319045
83257152503808; 0.095713; -3.077170; 3.850052
83257160892416; 0.095713; -3.077170; 3.850052
83257160892416; 0.095713; -3.077170; 3.850052
83257169281024; 0.095713; -3.077170; 3.850052
83257169281024; -1.033699; -3.108277; 3.809374
83257177669632; -1.033699; -3.108277; 3.809374
83257177669632; -1.033699; -3.108277; 3.809374
83257186058240; -1.033699; -3.108277; 3.809374
83257194446848; -1.727618; -2.861816; 4.311866
83257194446848; -1.727618; -2.861816; 4.311866
83257202835456; -1.727618; -2.861816; 4.311866
83257211224064; -1.727618; -2.861816; 4.311866
83257219612672; -1.127020; -3.012564; 4.386044
83257228001280; -0.535992; -4.165904; 4.388437
83257236389888; -0.535992; -4.165904; 4.388437
83257244778496; -0.863809; -4.206582; 4.888536
83257261555712; -0.863809; -4.206582; 4.888536
83257261555712; -0.863809; -4.206582; 4.888536
83257269944320; -0.770489; -4.713861; 5.012963
83257278332928; -0.770489; -4.713861; 5.012963
83257286721536; -0.622134; -5.400601; 4.809574
83257311887360; -0.318245; -5.608776; 4.615755
83257328664576; 0.665205; -6.367301; 4.917251
83257345441792; 1.074377; -7.515856; 5.130212
83257362219008; 1.215554; -7.616354; 5.151747
83257387384832; 1.780260; -8.329415; 4.661219
83257412550656; 2.517249; -9.611969; 4.462614
83257429327872; 4.000800; -11.071590; 4.596612
83257446105088; 5.115855; -12.574283; 5.304888
83257462882304; 6.376873; -14.244473; 6.503692
83257479659520; 7.269395; -16.197016; 6.630512
83257496436736; 7.594819; -17.455641; 6.424729
83257521602560; 8.609376; -17.864815; 6.867401
83257538379776; 8.547162; -18.501305; 7.594819
83257555156992; 6.972685; -18.604197; 8.434700
83257580322816; 6.317052; -17.824137; 9.772287
83257597100032; 5.386244; -16.350157; 9.451650
83257613877248; 2.962314; -16.929220; 7.743174
83257639043072; 0.258425; -16.699509; 8.269595
83257655820288; -1.239482; -13.957335; 10.088140
83257672597504; -3.266203; -13.641482; 8.539984
83257697763328; -3.909872; -13.079168; 6.623333
83257714540544; -3.888337; -15.869200; 4.603791
83257773260800; -2.672783; -14.553147; 2.297110
83257773260800; -2.672783; -14.553147; 2.297110
83257857146880; 0.899701; -14.175081; 1.351945
83257941032960; 2.065006; -10.348958; 5.041677
83257941032960; 2.065006; -10.348958; 5.041677
