time; x; y; z
38420176961536; 1.081556; 3.622734; 8.760123
38420181155840; 1.081556; 3.622734; 8.760123
38420181155840; 1.081556; 3.622734; 8.760123
38420189544448; 1.081556; 3.622734; 8.760123
38420193738752; 1.081556; 3.622734; 8.760123
38420193738752; 1.081556; 3.622734; 8.760123
38420239876096; 0.870987; 3.436093; 8.937193
38420244070400; 0.870987; 3.436093; 8.937193
38420248264704; 0.870987; 3.436093; 8.937193
38420269236224; 0.870987; 3.436093; 8.937193
38420269236224; 0.870987; 3.436093; 8.937193
38420273430528; 0.870987; 3.436093; 8.937193
38420298596352; 0.725025; 3.428915; 9.602397
38420306984960; 0.725025; 3.428915; 9.602397
38420323762176; 0.725025; 3.428915; 9.602397
38420327956480; 0.725025; 3.428915; 9.602397
38420336345088; 0.725025; 3.428915; 9.602397
38420340539392; 0.725025; 3.428915; 9.602397
38420365705216; 0.940379; 3.534199; 9.578469
38420374093824; 0.940379; 3.534199; 9.578469
38420382482432; 0.940379; 3.534199; 9.578469
38420390871040; 0.940379; 3.534199; 9.578469
38420399259648; 0.940379; 3.534199; 9.578469
38420411842560; 1.091127; 3.670590; 9.351151
38420424425472; 1.091127; 3.670590; 9.351151
38420428619776; 1.091127; 3.670590; 9.351151
38420437008384; 1.091127; 3.670590; 9.351151
38420441202688; 1.091127; 3.670590; 9.351151
38420441202688; 1.091127; 3.670590; 9.351151
38420445396992; 1.091127; 3.670590; 9.351151
38420474757120; 1.093520; 3.582056; 9.018549
38420478951424; 1.093520; 3.582056; 9.018549
38420483145728; 1.093520; 3.582056; 9.018549
38420483145728; 1.093520; 3.582056; 9.018549
38420487340032; 1.093520; 3.582056; 9.018549
38420491534336; 1.093520; 3.582056; 9.018549
38420525088768; 1.124627; 3.519842; 8.934800
38420537671680; 1.124627; 3.519842; 8.934800
38420541865984; 1.124627; 3.519842; 8.934800
38420541865984; 1.124627; 3.519842; 8.934800
38420541865984; 1.124627; 3.519842; 8.934800
38420554448896; 1.124627; 3.519842; 8.934800
38420583809024; 1.043271; 3.359523; 8.719446
