time; x; y; z
12298840178688; -1.957329; 0.703490; 9.439685
12298849615872; -2.234896; 0.792024; 9.726824
12298853810176; -2.234896; 0.792024; 9.726824
12298858004480; -2.234896; 0.792024; 9.726824
12298860101632; -2.234896; 0.792024; 9.726824
12298863247360; -2.234896; 0.792024; 9.726824
12298865344512; -2.234896; 0.792024; 9.726824
12298869538816; -2.234896; 0.792024; 9.726824
12298871635968; -2.234896; 0.792024; 9.726824
12298875830272; -2.234896; 0.792024; 9.726824
12298877927424; -2.234896; 0.792024; 9.726824
12298881073152; -2.234896; 0.792024; 9.726824
12298907287552; -2.110470; 0.658026; 9.669396
12298926161920; -2.110470; 0.658026; 9.669396
12298932453376; -2.110470; 0.658026; 9.669396
12298935599104; -2.110470; 0.658026; 9.669396
12298936647680; -2.110470; 0.658026; 9.669396
12298937696256; -2.110470; 0.658026; 9.669396
12299061428224; -2.318645; 0.993021; 9.298509
12299080302592; -2.830709; 1.710868; 8.683554
12299092885504; -2.830709; 1.710868; 8.683554
12299094982656; -2.830709; 1.710868; 8.683554
12299103371264; -2.830709; 1.710868; 8.683554
12299193548800; -4.309474; 2.797210; 6.211768
12299198791680; -4.309474; 2.797210; 6.211768
12299217666048; -4.309474; 2.797210; 6.211768
12299226054656; -4.309474; 2.797210; 6.211768
12299238637568; -5.862415; 2.600998; 7.049255
12299255414784; -5.862415; 2.600998; 7.049255
12299264851968; -5.862415; 2.600998; 7.049255
12299269046272; -5.862415; 2.600998; 7.049255
12299287920640; -5.862415; 2.600998; 7.049255
12299308892160; -4.039084; -7.424929; 3.299702
12299334057984; -4.039084; -7.424929; 3.299702
12299348738048; -4.039084; -7.424929; 3.299702
12299365515264; -0.569492; -15.754344; -1.660619
12299392778240; -0.569492; -15.754344; -1.660619
12299401166848; -0.569492; -15.754344; -1.660619
12299414798336; 3.067599; -9.434899; -2.988636
12299426332672; 3.067599; -9.434899; -2.988636
12299435769856; 3.067599; -9.434899; -2.988636
12299487150080; 0.528814; -9.157332; 1.641476
12299504975872; 0.528814; -9.157332; 1.641476
12299512315904; 0.528814; -9.157332; 1.641476
12299515461632; 0.528814; -9.157332; 1.641476
12299525947392; -3.101098; -10.753345; -0.301496
12299550064640; -3.471986; -11.373086; 0.007178
12299556356096; -3.471986; -11.373086; 0.007178
12299573133312; -3.471986; -11.373086; 0.007178
12299574181888; -3.471986; -11.373086; 0.007178
12299575230464; -3.471986; -11.373086; 0.007178
12299584667648; -3.471986; -11.373086; 0.007178
12299655970816; -5.565705; -11.207981; -0.165105
12299668553728; -5.606383; -11.181661; -0.390030
12299679039488; -5.606383; -11.181661; -0.390030
12299680088064; -5.606383; -11.181661; -0.390030
12299687428096; -6.285945; -10.561919; -1.275374
12299732516864; -5.651847; -9.683753; -3.189633
12299774459904; -7.582855; -12.497713; -0.622134
12299788091392; -8.063812; -11.964113; 0.789631
12299795431424; -8.063812; -11.964113; 0.789631
12299796480000; -8.063812; -11.964113; 0.789631
12299811160064; -7.657032; -11.057234; 1.433301
12299814305792; -7.657032; -11.057234; 1.433301
12299833180160; -7.915457; -11.423335; 1.801795
12299838423040; -8.580662; -11.581262; 1.564906
12299852054528; -8.580662; -11.581262; 1.564906
12299863588864; -9.030513; -11.609976; 1.179662
12299865686016; -9.030513; -11.609976; 1.179662
12299878268928; -9.678967; -11.492727; 2.160719
12299903434752; -9.999606; -11.176874; 2.407180
12299935940608; -9.298509; -9.643075; 2.727818
12299972640768; -9.320045; -10.688739; 5.087141
12299974737920; -9.320045; -10.688739; 5.087141
12299984175104; -9.320045; -10.688739; 5.087141
12299988369408; -9.320045; -10.688739; 5.087141
12300015632384; -7.460821; -11.004591; 4.630112
12300022972416; -7.460821; -11.004591; 4.630112
12300024020992; -7.460821; -11.004591; 4.630112
12300046041088; -7.051648; -11.540584; 4.508078
12300063866880; -6.912865; -11.430513; 3.852444
12300070158336; -6.448657; -11.030912; 3.120241
12300127830016; -4.409972; -8.238488; -0.052642
12300132024320; -4.409972; -8.238488; -0.052642
12300140412928; -4.409972; -8.238488; -0.052642
12300154044416; -3.866802; -7.001399; -0.669990
12300155092992; -3.866802; -7.001399; -0.669990
12300170821632; -3.361916; -6.025127; -1.205983
12300190744576; -2.794817; -5.173283; -1.962115
12300222201856; -2.277967; -2.455036; -3.211168
12300233736192; -2.277967; -2.455036; -3.211168
12300235833344; -2.277967; -2.455036; -3.211168
12300248416256; -2.189433; -2.177469; -3.215954
12300249464832; -2.189433; -2.177469; -3.215954
12300252610560; -2.189433; -2.177469; -3.215954
12300270436352; -1.686940; -2.904887; -3.349952
12300283019264; -1.083949; -2.682354; -4.091727
12300317622272; -1.083949; -2.682354; -4.091727
12300324962304; -1.569692; -2.428715; -4.783252
12300341739520; -2.041078; -2.024328; -5.429315
12300370051072; -2.189433; -1.060020; -5.938986
12300400459776; -2.390430; -0.459422; -6.987042
12300440305664; -2.900101; -1.957329; -6.537191
12300443451392; -2.900101; -1.957329; -6.537191
12300448694272; -2.900101; -1.957329; -6.537191
12300466520064; -2.100898; -2.526821; -7.908279
12300503220224; -3.316452; -3.967300; -9.040084
12300516851712; -4.266403; -3.749553; -8.410771
12300533628928; -5.350351; -3.376273; -8.183454
12300536774656; -5.350351; -3.376273; -8.183454
12300561940480; -5.446064; -4.823930; -8.523234
12300574523392; -5.209175; -8.020741; -9.389436
12300585009152; -5.209175; -8.020741; -9.389436
12300592349184; -5.541777; -9.097511; -10.085748
12300620660736; -6.884151; -8.013563; -9.652647
12300628000768; -8.738588; -7.106683; -8.736196
12300668895232; -10.908878; -10.320244; -9.475577
12300681478144; -10.908878; -10.320244; -9.475577
12300721324032; -9.667004; -10.774880; -8.779266
12300755927040; -9.832108; -12.464213; -5.907879
12300775849984; -9.915857; -11.617154; -5.517849
12300786335744; -9.736395; -10.772488; -5.137390
12300801015808; -9.736395; -10.772488; -5.137390
12300806258688; -9.978070; -11.150554; -5.472385
12300832473088; -10.734202; -10.868200; -5.682954
12300852396032; -10.875379; -10.222138; -6.407979
12300863930368; -9.985249; -11.030912; -7.161718
12300885950464; -9.023335; -12.019148; -7.628319
12300895387648; -9.023335; -12.019148; -7.628319
12300918456320; -7.240681; -13.048062; -7.582855
12300944670720; -5.211568; -14.938392; -9.757931
12300964593664; -3.519842; -15.091533; -9.781859
12300979273728; -1.935794; -13.816158; -12.067004
12300988710912; -1.935794; -13.816158; -12.067004
12301000245248; -0.296710; -10.614561; -12.449856
12301013876736; 1.540978; -12.313465; -12.600604
12301027508224; 1.540978; -12.313465; -12.600604
12301030653952; 1.540978; -12.313465; -12.600604
12301049528320; 2.275574; -12.514462; -11.239088
12301056868352; -0.215354; -7.544570; -12.306287
12301072596992; -0.215354; -7.544570; -12.306287
12301108248576; -1.813760; -8.666803; -11.715260
12301114540032; -1.332802; -10.837093; -10.243673
12301117685760; -1.332802; -10.837093; -10.243673
12301118734336; -1.332802; -10.837093; -10.243673
12301129220096; -1.332802; -10.837093; -10.243673
12301143900160; -0.870987; -15.093925; -10.439885
12301165920256; -0.256032; -11.700903; -7.994421
12301187940352; 0.914058; -9.068798; -4.998607
12301197377536; 0.914058; -9.068798; -4.998607
12301222543360; 0.973879; -8.975478; -3.866802
12301227786240; 2.002793; -9.621540; -2.313859
12301267632128; 3.376273; -9.772287; -2.263610
12301277069312; 3.376273; -9.772287; -2.263610
12301286506496; 2.768496; -8.616554; -2.828316
12301294895104; 2.768496; -8.616554; -2.828316
12301307478016; 2.330609; -6.077769; -2.012364
12301317963776; 2.330609; -6.077769; -2.012364
12301330546688; 1.923829; -4.199404; -0.949951
12301360955392; 0.641276; -3.440879; 1.287339
12301378781184; 0.641276; -3.440879; 1.287339
12301387169792; 1.093520; -2.926422; 1.428515
12301393461248; 1.093520; -2.926422; 1.428515
12301417578496; 0.897308; -2.411965; 1.217947
12301424918528; -0.516850; -2.079363; 2.438286
12301432258560; -0.516850; -2.079363; 2.438286
12301441695744; -0.708275; -1.871187; 3.787838
12301455327232; -0.708275; -1.871187; 3.787838
12301475250176; -0.751346; -1.703690; 4.771288
12301478395904; 0.186640; -3.297310; 4.802395
12301490978816; 0.186640; -3.297310; 4.802395
12301499367424; -2.055435; 0.425922; 5.843273
12301506707456; -2.055435; 0.425922; 5.843273
12301510901760; -2.055435; 0.425922; 5.843273
12301521387520; 2.517249; -2.531606; 5.778666
12301548650496; 2.400001; -2.483750; 5.692525
12301575913472; 3.840480; -2.361716; 5.414958
12301575913472; 3.840480; -2.361716; 5.414958
12301584302080; 3.840480; -2.361716; 5.414958
12301591642112; 3.840480; -2.361716; 5.414958
12301597933568; 4.208975; -2.651248; 7.412964
12301614710784; 2.801995; -1.158126; 6.195018
12301616807936; 2.801995; -1.158126; 6.195018
12301636730880; 5.831309; -2.553142; 5.268995
12301650362368; 4.831109; -3.129812; 3.797410
12301673431040; 2.852245; -1.902294; 4.417150
12301695451136; 1.818545; -2.754139; 5.008178
12301700694016; 1.818545; -2.754139; 5.008178
12301766754304; -1.438086; -6.764510; 3.500700
12301802405888; -1.950150; -7.298109; 4.455436
12301826523136; -2.667997; -7.566105; 3.926622
12301846446080; -4.242475; -8.889337; 2.167897
12301859028992; -4.242475; -8.889337; 2.167897
12301871611904; -5.032106; -9.166903; 3.656233
12301887340544; -4.862216; -9.195618; 5.790631
12301911457792; -4.972285; -10.100104; 5.395815
12301943963648; -5.632705; -11.172089; 3.038885
12301958643712; -6.527620; -12.720245; 4.831109
12301970178048; -6.527620; -12.720245; 4.831109
12302002683904; -5.111069; -14.481362; 3.110669
12302029946880; -5.321638; -16.120445; -0.433101
12302054064128; -5.577670; -19.121046; 0.641276
12302065598464; -5.807381; -18.953548; 5.225924
12302110687232; -3.364309; -15.668202; 2.830709
12302132707328; -1.840081; -21.140589; 0.229711
12302164164608; -1.445265; -19.080368; -0.471386
12302173601792; -2.103291; -15.371492; 0.212961
12302177796096; -2.103291; -15.371492; 0.212961
12302181990400; -2.103291; -15.371492; 0.212961
12302189330432; -2.103291; -15.371492; 0.212961
12302196670464; -2.837888; -13.842479; -0.468993
12302200864768; -2.837888; -13.842479; -0.468993
12302207156224; -2.837888; -13.842479; -0.468993
12302223933440; -3.467200; -12.870993; -1.591227
12302231273472; -3.570091; -11.507084; -1.947758
12302237564928; -3.570091; -11.507084; -1.947758
12302258536448; -3.426522; -10.119247; -0.492921
12302260633600; -3.426522; -10.119247; -0.492921
12302265876480; -3.426522; -10.119247; -0.492921
12302282653696; -4.084548; -10.399207; 0.677169
12302286848000; -3.876373; -10.344172; 1.574477
12302301528064; -3.876373; -10.344172; 1.574477
12302306770944; -3.876373; -10.344172; 1.574477
12302322499584; -2.945565; -10.595419; 2.227718
12302338228224; -2.392823; -10.045070; 1.811367
12302348713984; -3.192025; -8.291130; 0.964308
12302361296896; -3.192025; -8.291130; 0.964308
12302363394048; -3.192025; -8.291130; 0.964308
12302373879808; -4.230510; -6.300302; -0.086142
12302381219840; -4.230510; -6.300302; -0.086142
12302412677120; -3.723232; -4.929214; -1.710868
12302440988672; -1.928615; -4.687540; -2.792424
12302451474432; -1.928615; -4.687540; -2.792424
12302474543104; -1.177269; -3.725625; -2.763710
12302482931712; -0.483350; -3.259024; -3.524628
12302495514624; -0.483350; -3.259024; -3.524628
12302506000384; 0.078963; -1.808974; -4.453043
12302518583296; 0.708275; -0.789631; -6.412765
12302530117632; 0.708275; -0.789631; -6.412765
12302561574912; 1.016950; -2.060220; -8.377272
12302564720640; 1.016950; -2.060220; -8.377272
12302566817792; 1.016950; -2.060220; -8.377272
12302581497856; 0.803988; -2.699104; -7.448857
12302581497856; 0.803988; -2.699104; -7.448857
12302582546432; 0.803988; -2.699104; -7.448857
12302589886464; 0.803988; -2.699104; -7.448857
12302610857984; 1.576870; -1.880759; -8.417950
12302623440896; 2.309074; -1.890330; -8.575876
12302636023808; 1.409373; -3.656233; -8.903693
12302641266688; 1.409373; -3.656233; -8.903693
12302663286784; 0.236889; -5.429315; -7.996813
12302689501184; 1.208375; -5.795416; -7.537391
12302707326976; 1.974079; -6.635297; -8.066205
12302717812736; 1.038485; -7.434500; -7.530213
12302731444224; -0.040678; -7.846066; -6.888937
12302739832832; -0.040678; -7.846066; -6.888937
12302749270016; -0.031107; -8.260024; -6.482157
12302762901504; -0.031107; -8.260024; -6.482157
12302791213056; 2.009971; -8.961121; -9.241081
12302801698816; 2.009971; -8.961121; -9.241081
12302816378880; 0.368495; -8.666803; -9.075976
12302831058944; -1.521835; -9.370294; -7.010970
12302855176192; -1.715654; -10.013963; -6.754938
12302870904832; -2.091327; -9.875179; -6.955935
12302893973504; -3.503092; -9.647861; -7.379465
12302896070656; -3.503092; -9.647861; -7.379465
12302907604992; -4.211368; -10.183853; -8.114061
12302915993600; -4.211368; -10.183853; -8.114061
12302932770816; -3.627519; -10.939985; -7.767102
12302944305152; -3.371487; -11.009377; -7.556534
12302967373824; -4.371687; -11.662618; -6.570691
12302983102464; -5.254639; -11.832508; -6.094519
12303003025408; -5.144569; -13.713266; -7.381858
12303021899776; -4.512864; -14.122439; -8.721839
12303040774144; -4.352544; -12.660424; -9.394221
12303063842816; -4.642076; -14.242081; -10.435100
12303107883008; -2.397608; -9.944571; -11.050055
12303114174464; -2.397608; -9.944571; -11.050055
12303144583168; 0.380459; -12.775280; -13.725230
12303148777472; 0.380459; -12.775280; -13.725230
12303165554688; 1.557728; -11.947364; -12.370893
12303179186176; 0.861416; -8.989835; -11.799008
12303194914816; 0.708275; -9.607183; -11.624332
12303215886336; 0.650848; -10.913664; -10.437492
12303237906432; 1.287339; -9.518648; -8.953942
12303260975104; 2.397608; -9.018549; -7.475178
12303276703744; 2.636891; -8.817552; -7.061220
12303305015296; 3.239882; -8.657232; -7.391429
12303314452480; 5.005785; -7.458428; -7.379465
12303332278272; 5.515456; -6.412765; -5.900701
12303358492672; 5.986842; -7.008577; -4.917251
12303381561344; 6.223732; -6.781260; -3.811766
12303403581440; 6.041877; -5.812166; -3.400201
12303427698688; 5.563313; -1.964507; -1.713261
12303439233024; 5.563313; -1.964507; -1.713261
12303452864512; 4.517649; -1.356730; -1.859223
12303467544576; 3.773481; -1.634298; -1.569692
12303488516096; 4.558327; -2.517249; -2.459822
12303504244736; 3.919444; -2.787638; 0.165105
12303528361984; 3.294917; -3.314059; 2.459822
12303548284928; 2.000400; -2.739782; 3.608377
12303589179392; 4.615755; -3.309274; 1.239482
12303601762304; 4.692325; -1.773082; 2.038685
12303624830976; 4.400401; 0.035892; 3.113062
12303662579712; 4.852644; -0.318245; 2.924029
12303673065472; 4.852644; -0.318245; 2.924029
12303679356928; 4.759324; -1.414158; 2.055435
12303700328448; 3.390630; -0.488136; 3.584448
12303702425600; 3.390630; -0.488136; 3.584448
12303719202816; 2.751746; -0.533599; 5.084748
12303737028608; 2.615355; -1.158126; 4.788038
12303755902976; 2.012364; -2.407180; 3.818945
12303788408832; -0.057428; -4.232903; 3.950550
12303804137472; -0.940379; -6.175875; 4.630112
12303813574656; -0.215354; -7.223932; 5.113462
12303833497600; 0.107677; -7.487142; 5.663811
12303852371968; -0.768096; -7.568498; 6.022735
12303873343488; -1.665405; -7.032506; 5.649454
12303890120704; -1.246661; -7.314859; 4.649254
12303908995072; -0.579063; -8.886943; 4.553542
12303927869440; -0.588634; -10.774880; 4.534399
12303947792384; -1.062413; -10.865808; 4.790431
12303971909632; -0.658026; -10.083355; 4.331009
12303987638272; -0.942772; -11.361122; 3.290131
12304005464064; -1.208375; -12.256038; 2.632105
12304032727040; -1.842473; -13.076776; 2.184647
12304046358528; -0.957129; -14.701502; 1.497907
12304073621504; -0.263211; -15.168102; 0.550349
12304090398720; -1.840081; -14.249259; 0.488136
12304104030208; -3.428915; -13.445271; 3.189633
12304125001728; -2.364109; -12.681960; 3.605984
12304141778944; -1.974079; -12.940385; 2.062613
12304161701888; -3.543770; -13.808979; -0.055035
12304179527680; -4.563113; -16.053448; 1.146162
12304213082112; -3.936193; -17.084753; 3.778267
12304222519296; -3.833302; -15.952949; 1.935794
12304240345088; -5.582455; -17.115860; 0.897308
12304257122304; -6.546763; -17.771494; 1.919044
12304278093824; -6.510870; -18.656837; 2.191826
12304296968192; -5.977271; -16.541582; 1.174876
12304314793984; -5.857630; -14.895321; 0.047856
12304337862656; -6.460621; -15.022141; 0.023928
12304353591296; -6.829116; -13.981263; 1.351945
12304373514240; -5.819345; -11.619547; 1.734796
12304393437184; -4.216154; -10.626525; 2.560320
12304412311552; -2.761317; -11.042876; 1.811367
12304431185920; -2.017149; -10.504492; 0.918844
12304450060288; -2.117648; -8.779266; 0.421137
12304477323264; -2.041078; -7.578069; -0.208176
12304488857600; -1.584049; -8.135597; -1.237089
12304507731968; -1.100698; -7.688139; -2.670390
12304528703488; -0.942772; -5.864808; -3.806981
12304551772160; -1.512264; -4.084548; -3.172883
12304565403648; -1.485943; -3.115455; -3.000600
12304586375168; -0.832702; -1.524228; -3.113062
12304613638144; -0.050249; -0.660419; -3.491128
12304625172480; -0.050249; -1.071985; -3.756732
12304647192576; -0.516850; -1.840081; -3.984050
12304660824064; -0.028714; -0.531207; -5.556134
12304682844160; 0.629312; 0.516850; -6.637690
12304702767104; 0.808774; -0.153141; -7.463214
12304726884352; 0.729811; -1.191626; -7.788638
12304745758720; 1.442872; -1.646262; -8.559127
12304766730240; 2.194218; -2.787638; -9.573684
12304790847488; 1.686940; -3.199204; -9.643075
12304811819008; 0.634098; -4.637290; -8.992228
12304833839104; 2.380858; -7.238288; -10.262816
12304850616320; 2.380858; -7.238288; -10.262816
12304864247808; 2.526821; -7.712068; -10.092926
12304882073600; 1.354338; -7.601997; -9.224331
12304899899392; 1.079163; -7.599605; -8.425129
12304911433728; 1.122234; -8.183454; -8.989835
12304931356672; 0.449851; -8.755338; -8.925228
12304950231040; -0.521635; -8.480164; -7.982456
12304976445440; -1.026521; -8.413164; -7.525427
12304990076928; -0.969093; -8.805588; -8.295917
12305011048448; -1.289731; -8.688339; -8.908479
12305028874240; -2.210968; -8.618947; -8.279166
12305047748608; -3.335595; -10.047462; -7.831708
12305068720128; -3.416951; -9.008977; -7.920243
12305086545920; -3.716053; -7.274181; -7.874779
12305106468864; -4.615755; -9.243474; -7.774281
12305125343232; -4.488935; -12.957134; -9.061620
12305145266176; -2.959922; -12.387643; -11.227124
12305163091968; -2.333002; -12.270394; -11.054841
12305183014912; -2.364109; -11.483156; -10.030712
12305203986432; -2.182254; -12.602997; -11.306087
12305224957952; -1.043271; -13.770695; -11.576476
12305241735168; 0.433101; -12.720245; -11.408978
12305259560960; 1.117448; -11.078769; -12.289537
12305279483904; 1.663012; -12.028720; -13.416556
12305308844032; 3.393023; -11.688938; -12.722638
12305319329792; 5.154140; -9.329616; -10.801202
12305343447040; 5.625526; -9.253045; -10.234102
12305358127104; 4.957929; -10.490134; -10.557134
12305378050048; 5.233103; -9.480363; -10.052248
12305396924416; 5.821737; -7.604390; -9.042477
12305419993088; 5.383851; -8.178668; -8.721839
12305434673152; 4.706682; -9.552148; -8.894122
12305453547520; 4.299902; -8.470592; -7.745567
12305471373312; 4.594220; -6.015556; -6.228518
