time; x; y; z
19499252187136; -3.708875; 1.787439; 8.913264
19499254284288; -3.708875; 1.787439; 8.913264
19499256381440; -3.708875; 1.787439; 8.913264
19499264770048; -3.708875; 1.787439; 8.913264
19499268964352; -3.708875; 1.787439; 8.913264
19499273158656; -3.708875; 1.787439; 8.913264
19499313004544; -3.598805; 1.639084; 8.757730
19499315101696; -3.598805; 1.639084; 8.757730
19499317198848; -3.598805; 1.639084; 8.757730
19499319296000; -3.598805; 1.639084; 8.757730
19499321393152; -3.598805; 1.639084; 8.757730
19499327684608; -3.598805; 1.639084; 8.757730
19499365433344; -3.888337; 1.667797; 8.810373
19499365433344; -3.888337; 1.667797; 8.810373
19499369627648; -3.888337; 1.667797; 8.810373
19499369627648; -3.888337; 1.667797; 8.810373
19499373821952; -3.888337; 1.667797; 8.810373
19499417862144; -3.955336; 1.648655; 8.839087
19499419959296; -3.955336; 1.648655; 8.839087
19499434639360; -3.955336; 1.648655; 8.839087
19499434639360; -3.955336; 1.648655; 8.839087
19499438833664; -3.955336; 1.648655; 8.839087
19499449319424; -3.955336; 1.648655; 8.839087
19499480776704; -3.931408; 1.871187; 8.884550
19499491262464; -3.931408; 1.871187; 8.884550
19499495456768; -3.931408; 1.871187; 8.884550
19499499651072; -3.931408; 1.871187; 8.884550
19499501748224; -3.931408; 1.871187; 8.884550
19499514331136; -3.931408; 1.871187; 8.884550
19499552079872; -4.144369; 1.679762; 8.755338
19499570954240; -4.144369; 1.679762; 8.755338
19499591925760; -3.866802; 1.806581; 8.606983
19499596120064; -3.866802; 1.806581; 8.606983
19499604508672; -3.866802; 1.806581; 8.606983
19499606605824; -3.866802; 1.806581; 8.606983
19499648548864; -4.429115; 2.213361; 8.370093
19499663228928; -4.429115; 2.213361; 8.370093
19499671617536; -4.429115; 2.213361; 8.370093
19499680006144; -4.429115; 2.213361; 8.370093
19499686297600; -4.429115; 2.213361; 8.370093
19499692589056; -4.429115; 2.213361; 8.370093
19499726143488; -4.687540; 2.232503; 7.848458
19499734532096; -4.687540; 2.232503; 7.848458
19499736629248; -4.687540; 2.232503; 7.848458
19499738726400; -4.687540; 2.232503; 7.848458
19499749212160; -4.687540; 2.232503; 7.848458
19499774377984; -5.077569; 1.421337; 5.919843
19499795349504; -5.077569; 1.421337; 5.919843
19499810029568; -5.077569; 1.421337; 5.919843
19499824709632; -2.950350; -2.658426; 5.948557
19499828903936; -2.950350; -2.658426; 5.948557
19499831001088; -2.950350; -2.658426; 5.948557
19499833098240; -2.950350; -2.658426; 5.948557
19499845681152; -2.950350; -2.658426; 5.948557
19499851972608; -2.950350; -2.658426; 5.948557
19499864555520; -2.950350; -2.658426; 5.948557
19499868749824; -2.950350; -2.658426; 5.948557
19499870846976; -2.950350; -2.658426; 5.948557
19499875041280; -2.950350; -2.658426; 5.948557
19499898109952; 3.809374; -6.099305; 9.475577
19499900207104; 3.809374; -6.099305; 9.475577
19499902304256; 3.809374; -6.099305; 9.475577
19499906498560; 3.809374; -6.099305; 9.475577
19499912790016; 3.809374; -6.099305; 9.475577
19499921178624; 3.809374; -6.099305; 9.475577
19499965218816; 5.714060; -7.779067; 1.581656
19499967315968; 5.714060; -7.779067; 1.581656
19499973607424; 5.714060; -7.779067; 1.581656
19499981996032; 5.714060; -7.779067; 1.581656
19499981996032; 5.714060; -7.779067; 1.581656
19499986190336; 5.714060; -7.779067; 1.581656
19500002967552; 3.457629; -8.693125; 2.916851
19500009259008; 3.457629; -8.693125; 2.916851
19500013453312; 3.457629; -8.693125; 2.916851
19500021841920; 3.457629; -8.693125; 2.916851
19500026036224; 3.457629; -8.693125; 2.916851
19500026036224; 3.457629; -8.693125; 2.916851
19500042813440; 3.457629; -8.693125; 2.916851
19500042813440; 3.457629; -8.693125; 2.916851
19500047007744; 3.457629; -8.693125; 2.916851
19500051202048; -0.736989; -10.923235; 5.891129
19500053299200; -0.736989; -10.923235; 5.891129
19500057493504; -0.736989; -10.923235; 5.891129
19500080562176; -0.736989; -10.923235; 5.891129
19500088950784; -0.756132; -9.710074; 7.417750
19500095242240; -0.756132; -9.710074; 7.417750
19500095242240; -0.756132; -9.710074; 7.417750
19500099436544; -0.756132; -9.710074; 7.417750
19500105728000; -0.756132; -9.710074; 7.417750
19500122505216; -0.756132; -9.710074; 7.417750
19500128796672; -0.756132; -9.710074; 7.417750
19500130893824; -0.756132; -9.710074; 7.417750
19500179128320; 2.249253; -9.801002; 2.775674
19500185419776; 2.249253; -9.801002; 2.775674
19500198002688; 2.249253; -9.801002; 2.775674
19500202196992; 2.249253; -9.801002; 2.775674
19500208488448; 3.725625; -5.292923; 1.196411
19500210585600; 3.725625; -5.292923; 1.196411
19500225265664; 3.725625; -5.292923; 1.196411
19500239945728; 2.335395; -6.661618; 2.593820
19500242042880; 2.335395; -6.661618; 2.593820
19500248334336; 2.335395; -6.661618; 2.593820
19500250431488; 1.284946; -8.975478; 4.063013
19500254625792; 1.284946; -8.975478; 4.063013
19500256722944; 1.284946; -8.975478; 4.063013
19500279791616; 2.108077; -8.549556; 3.718446
19500290277376; 2.172683; -8.807981; 2.361716
19500292374528; 2.172683; -8.807981; 2.361716
19500336414720; 0.425922; -8.195417; 1.954936
