time; x; y; z
19332750901248; 0.646062; 4.120440; 8.748159
19332759289856; 0.646062; 4.120440; 8.748159
19332761387008; 0.646062; 4.120440; 8.748159
19332765581312; 0.646062; 4.120440; 8.748159
19332767678464; 0.646062; 4.120440; 8.748159
19332767678464; 0.646062; 4.120440; 8.748159
19332803330048; 0.698704; 4.055834; 8.817552
19332805427200; 0.698704; 4.055834; 8.817552
19332813815808; 0.698704; 4.055834; 8.817552
19332818010112; 0.698704; 4.055834; 8.817552
19332828495872; 0.698704; 4.055834; 8.817552
19332836884480; 0.698704; 4.055834; 8.817552
19332866244608; 0.681954; 4.022335; 8.827123
19332868341760; 0.681954; 4.022335; 8.827123
19332874633216; 0.681954; 4.022335; 8.827123
19332891410432; 0.681954; 4.022335; 8.827123
19332893507584; 0.681954; 4.022335; 8.827123
19332893507584; 0.681954; 4.022335; 8.827123
19332920770560; 0.617348; 3.900301; 8.855837
19332929159168; 0.617348; 3.900301; 8.855837
19332931256320; 0.617348; 3.900301; 8.855837
19332933353472; 0.617348; 3.900301; 8.855837
19332937547776; 0.617348; 3.900301; 8.855837
19332939644928; 0.617348; 3.900301; 8.855837
19332975296512; 0.748953; 4.201797; 8.764910
19332981587968; 0.748953; 4.201797; 8.764910
19332981587968; 0.748953; 4.201797; 8.764910
19332983685120; 0.748953; 4.201797; 8.764910
19332987879424; 0.748953; 4.201797; 8.764910
19332996268032; 0.748953; 4.201797; 8.764910
19333031919616; 1.174876; 4.776074; 8.611769
19333042405376; 1.174876; 4.776074; 8.611769
19333050793984; 1.174876; 4.776074; 8.611769
19333050793984; 1.174876; 4.776074; 8.611769
19333054988288; 1.174876; 4.776074; 8.611769
19333057085440; 1.174876; 4.776074; 8.611769
19333092737024; 1.079163; 4.570291; 8.420342
19333107417088; 1.079163; 4.570291; 8.420342
19333109514240; 1.079163; 4.570291; 8.420342
19333117902848; 1.079163; 4.570291; 8.420342
19333128388608; 1.079163; 4.570291; 8.420342
19333130485760; 1.079163; 4.570291; 8.420342
19333180817408; 1.883151; 3.735196; 7.889136
19333182914560; 1.883151; 3.735196; 7.889136
19333193400320; 1.883151; 3.735196; 7.889136
19333210177536; 2.510071; 3.787838; 8.042277
19333212274688; 2.510071; 3.787838; 8.042277
19333216468992; 2.510071; 3.787838; 8.042277
19333231149056; 2.510071; 3.787838; 8.042277
19333243731968; 2.510071; 3.787838; 8.042277
19333245829120; 2.510071; 3.787838; 8.042277
19333262606336; 0.198604; -3.067599; 5.190032
19333273092096; 0.198604; -3.067599; 5.190032
19333283577856; 0.198604; -3.067599; 5.190032
19333287772160; 0.198604; -3.067599; 5.190032
