time; x; y; z
12317210181632; 11.806187; -19.039690; 4.663611
12317229056000; 13.215559; -25.691736; 5.934200
12317247930368; 8.860622; -22.870600; 5.826523
12317266804736; 6.312266; -19.903500; 5.893522
12317285679104; 5.182854; -18.247665; 5.324030
12317305602048; 5.486742; -15.531812; 5.436493
12317325524992; 4.022335; -11.368300; 4.048656
12317344399360; 2.758924; -13.107882; 3.873980
12317363273728; 2.464607; -12.605390; 0.930808
12317384245248; 0.959522; -8.932407; -0.155533
12317406265344; -0.189033; -7.733603; 0.485743
12317467082752; -1.308874; -8.228917; 1.143769
12317496442880; -2.952743; -7.594819; -2.249253
12317498540032; -2.952743; -7.594819; -2.249253
12317529997312; -3.395415; -6.314659; -2.536392
12317560406016; -4.302295; -4.610969; -1.940579
12317561454592; -4.302295; -4.610969; -1.940579
12317586620416; -5.469993; -3.914658; -1.938186
12317588717568; -5.469993; -3.914658; -1.938186
12317592911872; -5.826523; -3.203990; -0.990629
12317603397632; -5.826523; -3.203990; -0.990629
12317615980544; -5.871987; -3.285346; -0.162712
12317639049216; -6.331409; -3.445665; 0.368495
12317692526592; -5.790631; -4.622933; -1.227518
12317693575168; -5.790631; -4.622933; -1.227518
12317694623744; -5.790631; -4.622933; -1.227518
12317710352384; -5.575277; -4.840680; -1.543371
12317732372480; -5.498706; -3.984050; -1.586441
12317761732608; -5.632705; -4.237689; -1.990828
12317777461248; -5.754738; -4.273581; -3.024528
12317796335616; -6.070591; -4.608576; -3.249453
12317808918528; -6.297909; -4.893322; -3.132205
12317826744320; -5.967700; -4.790431; -3.938586
12317850861568; -6.386444; -4.701897; -5.103891
12317864493056; -6.372087; -5.704489; -5.606383
12317896998912; -6.228518; -4.706682; -6.032306
12317906436096; -6.005985; -5.400601; -6.869794
12317922164736; -6.137590; -7.963314; -9.121440
12317944184832; -6.226124; -7.802995; -10.470992
12317960962048; -5.029713; -4.768896; -11.454442
12317985079296; -4.666004; -5.034499; -13.356736
12318002905088; -2.821138; -4.723432; -14.512469
12318023876608; -1.162912; -6.453443; -16.945971
12318041702400; 0.045464; -9.006584; -19.704895
12318061625344; -1.186840; -9.011370; -19.456041
12318078402560; -1.641476; -7.302895; -17.166109
