time; x; y; z
18493984473088; 0.177069; 5.359923; 7.795816
18493988667392; 0.177069; 5.359923; 7.795816
18493990764544; 0.177069; 5.359923; 7.795816
18494026416128; 0.595813; 5.388637; 8.145168
18494026416128; 0.595813; 5.388637; 8.145168
18494038999040; 0.595813; 5.388637; 8.145168
18494045290496; 0.595813; 5.388637; 8.145168
18494047387648; 0.595813; 5.388637; 8.145168
18494049484800; 0.595813; 5.388637; 8.145168
18494083039232; 0.744168; 5.295317; 8.465807
18494083039232; 0.744168; 5.295317; 8.465807
18494087233536; 0.744168; 5.295317; 8.465807
18494091427840; 0.744168; 5.295317; 8.465807
18494095622144; 0.744168; 5.295317; 8.465807
18494095622144; 0.744168; 5.295317; 8.465807
18494131273728; 0.540778; 5.862415; 7.858029
18494133370880; 0.540778; 5.862415; 7.858029
18494133370880; 0.540778; 5.862415; 7.858029
18494135468032; 0.540778; 5.862415; 7.858029
18494139662336; 0.540778; 5.862415; 7.858029
18494143856640; 0.540778; 5.862415; 7.858029
18494194188288; 1.239482; 7.874779; 7.101898
18494196285440; 1.239482; 7.874779; 7.101898
18494196285440; 1.239482; 7.874779; 7.101898
18494200479744; 1.239482; 7.874779; 7.101898
18494202576896; 1.239482; 7.874779; 7.101898
18494204674048; 1.239482; 7.874779; 7.101898
18494242422784; 1.954936; 6.321837; 5.481956
18494271782912; 1.954936; 6.321837; 5.481956
18494282268672; 1.954936; 6.321837; 5.481956
18494284365824; 1.954936; 6.321837; 5.481956
18494288560128; 1.954936; 6.321837; 5.481956
18494299045888; 1.909472; 4.989035; 5.489135
18494301143040; 1.909472; 4.989035; 5.489135
18494313725952; 1.909472; 4.989035; 5.489135
18494317920256; 1.909472; 4.989035; 5.489135
18494322114560; 1.909472; 4.989035; 5.489135
18494355668992; 0.935594; -0.466600; 2.864209
18494376640512; 0.935594; -0.466600; 2.864209
18494382931968; 0.935594; -0.466600; 2.864209
18494387126272; 0.935594; -0.466600; 2.864209
18494393417728; -1.907080; -10.894522; -0.033500
18494410194944; -1.907080; -10.894522; -0.033500
18494414389248; -1.907080; -10.894522; -0.033500
18494424875008; -1.907080; -10.894522; -0.033500
18494429069312; -2.615355; -12.844672; -1.014557
18494445846528; -2.615355; -12.844672; -1.014557
18494466818048; -2.615355; -12.844672; -1.014557
18494487789568; -2.514857; -9.650253; -2.864209
18494491983872; -2.514857; -9.650253; -2.864209
18494494081024; -2.514857; -9.650253; -2.864209
18494498275328; -2.514857; -9.650253; -2.864209
18494548606976; -0.392423; -10.054641; -3.469593
18494561189888; -0.392423; -10.054641; -3.469593
18494577967104; -0.392423; -10.054641; -3.469593
18494580064256; -0.392423; -10.054641; -3.469593
18494622007296; 3.060420; -8.066205; -3.828516
18494743642112; 6.936793; -7.025327; -10.925629
18494745739264; 6.936793; -7.025327; -10.925629
18494747836416; 6.936793; -7.025327; -10.925629
18494754127872; 6.477371; -7.987242; -11.717652
18494760419328; 6.477371; -7.987242; -11.717652
18494812848128; 6.958328; -7.357930; -12.497713
18494819139584; 6.805188; -8.073383; -13.435699
18494821236736; 6.805188; -8.073383; -13.435699
18494823333888; 6.805188; -8.073383; -13.435699
18494823333888; 6.805188; -8.073383; -13.435699
18494827528192; 6.805188; -8.073383; -13.435699
18494833819648; 6.479764; -8.267202; -13.641482
18494835916800; 6.479764; -8.267202; -13.641482
18494838013952; 6.479764; -8.267202; -13.641482
18494844305408; 6.479764; -8.267202; -13.641482
18494846402560; 6.479764; -8.267202; -13.641482
18494848499712; 6.479764; -8.267202; -13.641482
18494854791168; 6.453443; -6.470192; -13.998013
18494856888320; 6.453443; -6.470192; -13.998013
18494861082624; 6.453443; -6.470192; -13.998013
18494863179776; 6.453443; -6.470192; -13.998013
18494863179776; 6.453443; -6.470192; -13.998013
18494867374080; 6.453443; -6.470192; -13.998013
18494873665536; 5.778666; -4.709075; -13.277773
18494886248448; 5.778666; -4.709075; -13.277773
18494890442752; 4.426722; -6.537191; -12.667603
18494898831360; 4.426722; -6.537191; -12.667603
18494900928512; 4.426722; -6.537191; -12.667603
18494917705728; 4.268795; -7.750352; -13.892728
18494942871552; 3.933800; -7.494320; -14.672789
18494959648768; 2.641676; -8.066205; -14.474184
18494963843072; 2.641676; -8.066205; -14.474184
18494970134528; 1.141376; -8.496913; -15.089140
18494972231680; 1.141376; -8.496913; -15.089140
18494978523136; 1.141376; -8.496913; -15.089140
18494982717440; 1.141376; -8.496913; -15.089140
18494991106048; -0.957129; -7.269395; -14.242081
18495007883264; -2.388037; -6.601798; -13.593625
18495026757632; -3.601198; -8.408379; -13.423735
18495049826304; -4.821537; -8.630911; -13.859229
18495066603520; -5.312066; -7.171289; -13.098311
18495085477888; -6.271588; -5.034499; -11.803794
18495104352256; -6.477371; -5.333601; -12.009577
18495123226624; -6.661618; -6.443871; -12.095718
18495142100992; -6.675975; -7.274181; -11.830115
18495167266816; -7.233503; -8.145168; -12.358929
18495181946880; -7.228717; -7.963314; -12.698709
18495200821248; -6.242874; -6.771688; -11.978470
18495219695616; -6.429514; -4.137190; -10.317851
18495240667136; -6.343373; -3.256632; -9.399008
18495259541504; -4.778467; -3.747160; -8.831908
18495280513024; -3.486343; -3.347559; -6.972685
18495299387392; -2.359323; -1.950150; -4.792824
18495316164608; -1.256232; -0.217747; -2.522035
18495337136128; 1.718047; 2.160719; 2.596213
18495366496256; -0.112463; -2.124826; 0.602991
18495374884864; 1.012164; -4.587041; -2.273181
18495393759232; 3.414558; -0.815953; -4.168297
18495412633600; 3.644269; -3.352345; -0.545564
18495437799424; 5.123033; -4.749753; 3.151347
18495456673792; 5.312066; -4.074977; 5.271388
18495477645312; 4.216154; -4.084548; 5.529813
18495498616832; 4.656433; -6.367301; 6.008378
18495521685504; 3.706482; -8.059027; 7.898707
18495530074112; 2.218147; -6.111269; 8.793623
18495546851328; 1.792224; -4.914858; 8.164310
18495567822848; 1.505085; -5.764310; 7.063612
18495586697216; 1.435694; -8.181061; 8.092526
18495605571584; 2.199004; -9.037691; 9.683753
18495624445952; 2.400001; -7.779067; 9.470792
18495645417472; 1.062413; -6.836294; 8.193025
18495664291840; -0.078963; -7.073184; 7.704889
18495681069056; 0.626920; -7.910672; 8.683554
18495702040576; 2.294717; -8.011170; 8.635697
18495720914944; 1.186840; -7.511070; 7.874779
18495741886464; 0.229711; -7.798209; 6.812366
18495760760832; 0.076570; -7.927422; 6.750153
18495777538048; 1.112663; -7.721639; 6.879365
18495846744064; 1.576870; -8.032705; 6.556334
18495874007040; 1.655833; -9.549755; 5.398208
18495876104192; 1.655833; -9.549755; 5.398208
18495911755776; 2.663212; -10.808380; 4.431508
18495911755776; 2.663212; -10.808380; 4.431508
18495939018752; 2.773281; -11.258230; 3.984050
18495964184576; 5.087141; -14.804394; 3.795017
18495970476032; 5.187640; -14.713467; 3.603591
18495972573184; 5.187640; -14.713467; 3.603591
18495980961792; 5.187640; -14.713467; 3.603591
18495995641856; 4.342973; -15.254245; 3.957729
18496012419072; 5.618348; -15.495919; 4.867001
18496029196288; 5.769095; -15.292529; 4.723432
18496048070656; 6.027520; -15.014962; 4.802395
18496069042176; 7.360322; -15.385850; 5.536992
18496087916544; 7.905886; -13.445271; 5.941379
18496106790912; 7.195218; -12.358929; 5.850451
18496125665280; 7.731210; -11.873186; 6.484550
18496146636800; 7.700103; -10.636097; 5.551349
18496165511168; 7.678568; -10.377672; 4.666004
18496184385536; 7.941778; -9.253045; 5.134997
18496205357056; 6.075377; -9.482756; 5.733203
18496224231424; 4.608576; -8.585447; 3.010171
18496243105792; 3.998407; -6.364908; 5.481956
18496261980160; 2.165504; -7.726424; 4.768896
18496282951680; 1.495514; -6.508478; 3.342773
18496301826048; 1.091127; -4.627719; 2.857030
18496318603264; -0.069392; -5.271388; 3.278167
18496337477632; -0.411565; -6.503692; 3.778267
18496358449152; -0.086142; -7.156932; 3.098705
18496377323520; -0.227318; -6.982256; 1.907080
18496396197888; -0.339781; -5.630311; 1.399801
18496415072256; -0.662812; -4.797609; 1.756332
