time; x; y; z
13251581575168; 0.071785; 6.474978; 7.582855
13251582623744; 0.071785; 6.474978; 7.582855
13251583672320; 0.071785; 6.474978; 7.582855
13251585769472; 0.071785; 6.474978; 7.582855
13251591012352; 0.071785; 6.474978; 7.582855
13251593109504; 0.071785; 6.474978; 7.582855
13251642392576; 0.299103; 6.735796; 7.259824
13251648684032; 0.299103; 6.735796; 7.259824
13251654975488; 0.299103; 6.735796; 7.259824
13251657072640; 0.299103; 6.735796; 7.259824
13251668606976; 0.299103; 6.735796; 7.259824
13251672801280; 0.299103; 6.735796; 7.259824
13251701112832; 0.363709; 6.664011; 7.506285
13251703209984; 0.363709; 6.664011; 7.506285
13251714744320; 0.363709; 6.664011; 7.506285
13251717890048; 0.363709; 6.664011; 7.506285
13251736764416; 0.533599; 6.027520; 7.561319
13251751444480; 0.533599; 6.027520; 7.561319
13251753541632; 0.533599; 6.027520; 7.561319
13251758784512; 0.533599; 6.027520; 7.561319
13251761930240; 0.533599; 6.027520; 7.561319
13251766124544; 0.533599; 6.027520; 7.561319
13251799678976; 0.387637; 6.281159; 7.518249
13251826941952; 0.387637; 6.281159; 7.518249
13251834281984; 0.387637; 6.281159; 7.518249
13251843719168; 0.387637; 6.281159; 7.518249
13251852107776; 0.387637; 6.281159; 7.518249
13251861544960; 0.370888; 6.384051; 7.422536
13251900342272; 0.370888; 6.384051; 7.422536
13251909779456; 0.263211; 8.724232; 6.451050
13251917119488; 0.263211; 8.724232; 6.451050
13251919216640; 0.263211; 8.724232; 6.451050
13251924459520; 0.263211; 8.724232; 6.451050
13251929702400; 0.263211; 8.724232; 6.451050
13251933896704; 0.263211; 8.724232; 6.451050
13251934945280; 0.263211; 8.724232; 6.451050
13251938091008; 0.263211; 8.724232; 6.451050
13251945431040; 0.263211; 8.724232; 6.451050
13251946479616; 0.263211; 8.724232; 6.451050
13251947528192; 0.263211; 8.724232; 6.451050
13251985276928; 1.222732; 8.595019; 6.640083
13251992616960; 1.222732; 8.595019; 6.640083
13251995762688; 1.222732; 8.595019; 6.640083
13252001005568; 1.222732; 8.595019; 6.640083
13252003102720; 1.222732; 8.595019; 6.640083
13252006248448; 1.222732; 8.595019; 6.640083
13252015685632; 1.222732; 8.595019; 6.640083
13252039802880; 2.854637; 4.599005; 4.541577
13252045045760; 2.854637; 4.599005; 4.541577
13252049240064; 2.854637; 4.599005; 4.541577
13252057628672; 2.854637; 4.599005; 4.541577
13252064968704; 2.854637; 4.599005; 4.541577
13252069163008; 2.854637; 4.599005; 4.541577
13252093280256; -0.021535; -6.809973; 0.820738
13252101668864; -0.021535; -6.809973; 0.820738
13252115300352; -0.021535; -6.809973; 0.820738
13252117397504; -0.021535; -6.809973; 0.820738
13252118446080; -0.021535; -6.809973; 0.820738
13252136271872; -0.021535; -6.809973; 0.820738
13252161437696; -1.165305; -11.899507; -1.643869
13252165632000; -1.165305; -11.899507; -1.643869
13252179263488; -1.165305; -11.899507; -1.643869
13252181360640; -1.165305; -11.899507; -1.643869
13252182409216; -1.165305; -11.899507; -1.643869
13252183457792; -1.165305; -11.899507; -1.643869
13252214915072; -2.459822; -11.736795; -2.864209
13252218060800; -2.459822; -11.736795; -2.864209
13252223303680; -2.459822; -11.736795; -2.864209
13252233789440; -2.459822; -11.736795; -2.864209
13252236935168; -2.459822; -11.736795; -2.864209
13252257906688; -2.859423; -9.303294; -2.414358
13252266295296; -2.859423; -9.303294; -2.414358
13252268392448; -2.859423; -9.303294; -2.414358
13252270489600; -2.859423; -9.303294; -2.414358
13252284121088; -2.859423; -9.303294; -2.414358
13252287266816; -2.859423; -9.303294; -2.414358
13252373250048; -1.107877; -9.722038; -1.476372
13252378492928; -1.107877; -9.722038; -1.476372
13252380590080; -1.107877; -9.722038; -1.476372
13252387930112; -1.107877; -9.722038; -1.476372
13252397367296; -1.107877; -9.722038; -1.476372
13252398415872; -1.107877; -9.722038; -1.476372
13252399464448; -1.107877; -9.722038; -1.476372
13252401561600; -1.107877; -9.722038; -1.476372
13252403658752; -1.107877; -9.722038; -1.476372
13252408901632; -0.016750; -9.676575; -1.622334
13252420435968; -0.016750; -9.676575; -1.622334
13252443504640; 0.729811; -8.719446; -1.672583
13252449796096; 1.043271; -8.657232; -1.914258
13252453990400; 1.043271; -8.657232; -1.914258
13252457136128; 1.043271; -8.657232; -1.914258
13252464476160; 1.450050; -8.492127; -1.895115
13252470767616; 1.450050; -8.492127; -1.895115
13252476010496; 1.450050; -8.492127; -1.895115
13252489641984; 2.024328; -7.293324; -1.931008
13252511662080; 2.699104; -6.903293; -2.464607
13252524244992; 3.527021; -7.123433; -3.462414
13252546265088; 4.328616; -6.991828; -4.189833
13252569333760; 5.312066; -6.809973; -3.864408
13252581916672; 6.130412; -7.197610; -4.567898
13252602888192; 6.587441; -8.398808; -5.431707
13252620713984; 6.690332; -9.190832; -5.197211
13252640636928; 6.525228; -8.944371; -5.041677
13252659511296; 6.886544; -8.276773; -6.587441
13252685725696; 7.625926; -8.152347; -8.803194
13252697260032; 8.075776; -9.578469; -10.389636
13252718231552; 7.137790; -9.468399; -11.526227
13252739203072; 5.711668; -10.119247; -15.074782
13252755980288; 6.173482; -9.413364; -16.455441
13252776951808; 7.369894; -8.453842; -16.072590
13252795826176; 5.613562; -6.776474; -14.208581
13252816797696; 3.538985; -7.322037; -16.290337
13252840914944; 3.706482; -8.159525; -17.187645
13252851400704; 2.065006; -7.611569; -17.216358
13252871323648; 0.753739; -6.348158; -16.622938
13252890198016; -1.287339; -6.309873; -15.026926
13252910120960; -3.208775; -6.309873; -13.502698
13252934238208; -3.436093; -6.960721; -13.000205
13252960452608; -3.160919; -6.367301; -12.650853
13252968841216; -3.060420; -6.147161; -12.344572
13252986667008; -3.670590; -5.352744; -11.131411
13253006589952; -4.333402; -5.486742; -10.607383
13253025464320; -4.486542; -5.211568; -10.080962
13253044338688; -5.245067; -4.737789; -10.128819
13253110398976; -6.077769; -3.419343; -9.540184
13253139759104; -6.908079; -3.170490; -8.403593
13253143953408; -6.908079; -3.170490; -8.403593
13253173313536; -5.996414; -2.368894; -7.779067
13253206867968; -6.061020; 0.557528; -4.795217
13253210013696; -6.061020; 0.557528; -4.795217
13253239373824; -3.546163; -0.643669; -5.005785
13253244616704; -3.546163; -0.643669; -5.005785
13253246713856; -3.546163; -0.643669; -5.005785
13253250908160; -3.546163; -0.643669; -5.005785
13253262442496; -2.522035; 0.002393; -4.031906
13253281316864; -1.261018; -1.122234; -2.723032
13253294948352; -0.086142; -1.591227; -2.153540
13253314871296; 1.028914; -1.043271; -0.952343
13253333745664; 1.928615; -1.153340; 0.131605
13253353668608; 2.383251; -1.241875; 0.914058
13253372542976; 2.112862; -3.175276; 1.203590
13253392465920; 2.050649; -6.132804; 2.165504
13253412388864; 2.751746; -8.274381; 4.130012
13253431263232; 2.407180; -6.984649; 3.479164
13253451186176; 1.019342; -4.814359; 2.251646
13253469011968; 0.284746; -5.970092; 1.964507
13253487886336; 2.574677; -9.631111; 2.947958
13253507809280; 5.455636; -9.789038; 4.082155
13253525635072; 5.723632; -8.752945; 4.180261
13253546606592; 5.044070; -10.181460; 4.512864
13253565480960; 5.970092; -12.480963; 5.666204
13253584355328; 7.135397; -12.497713; 6.376873
13253605326848; 6.915257; -11.088340; 5.876772
13253622104064; 6.410372; -11.255837; 5.304888
13253642027008; 6.364908; -12.650853; 6.013163
13253660901376; 6.137590; -13.562519; 6.130412
13253680824320; 4.900501; -14.483755; 6.238089
13253700747264; 4.965107; -14.725430; 7.046863
13253719621632; 5.505885; -13.418949; 7.750352
13253738496000; 5.460421; -12.145967; 8.051848
13253757370368; 4.811966; -13.363914; 7.290931
13253778341888; 4.666004; -14.495720; 8.099705
13253796167680; 5.702096; -11.487942; 10.095319
13253816090624; 5.257031; -11.784652; 9.602397
13253834964992; 5.417350; -12.392428; 7.530213
13253853839360; 6.618547; -12.078969; 7.183254
13253873762304; 8.379665; -14.246866; 7.362715
13253893685248; 8.178668; -11.253445; 8.458628
13253923045376; 7.135397; -13.404593; 8.623733
13253950308352; 8.310273; -14.845072; 6.613762
13253962891264; 8.310273; -14.845072; 6.613762
13253974425600; 7.896315; -11.107483; 6.245267
13253990154240; 7.365108; -7.216753; 7.288538
13254012174336; 6.331409; -7.920243; 3.108277
13254028951552; 6.551548; -6.075377; 7.293324
13254046777344; 6.214160; -6.699903; 9.250652
13254075088896; 5.388637; -8.695518; 5.962914
13254090817536; 4.606184; -7.324430; 3.172883
13254111789056; 3.981657; -5.618348; 0.684347
13254124371968; 3.412165; -6.288338; 0.820738
13254143246336; 2.684747; -5.546563; 1.552942
13254164217856; 2.325824; -5.285745; 0.346959
13254182043648; 1.344766; -3.840480; -0.330210
13254205112320; 1.079163; -2.294717; -0.334995
13254220840960; 1.849652; -3.627519; -0.717847
13254239715328; 2.672783; -1.270589; -0.614955
13254258589696; 2.493321; 0.612563; 0.059821
13254278512640; 2.421536; -1.576870; -0.555135
13254299484160; 3.699304; -4.249653; -2.438286
13254316261376; 4.639683; -5.685347; -3.232703
13254336184320; 5.237889; -6.202196; -4.084548
13254356107264; 5.974878; -5.898308; -4.950750
13254374981632; 5.895915; -6.104091; -6.195018
13254393856000; 5.898308; -9.437292; -7.097112
13254414827520; 7.281359; -11.571691; -6.879365
13254433701888; 7.592426; -11.033305; -7.329216
13254452576256; 6.783652; -11.121840; -8.269595
13254471450624; 6.625726; -12.492927; -9.595219
13254490324992; 7.561319; -14.787644; -9.980463
13254510247936; 8.408379; -15.361921; -9.674182
13254529122304; 7.604390; -14.933606; -10.353744
13254549045248; 6.999006; -16.945971; -12.442677
13254567919616; 6.862615; -18.635303; -13.296915
13254603571200; 5.960521; -16.606190; -13.660625
13254610911232; 2.557927; -15.531812; -14.395221
13254627688448; -0.215354; -17.694923; -14.627325
13254644465664; -2.239682; -20.748165; -11.408978
13254664388608; -4.242475; -16.993826; -12.033505
13254682214400; -5.836094; -11.662618; -12.894921
13254702137344; -8.647661; -18.142382; -7.537391
13254722060288; -8.149954; -15.146567; -5.900701
13254743031808; -9.154940; -6.745367; -6.245267
13254760857600; -7.561319; -11.483156; -5.967700
13254779731968; -5.623133; -8.688339; -3.337988
13254800703488; -6.324230; -9.415757; -0.425922
13254818529280; -5.972486; -9.683753; -2.201397
13254837403648; -5.209175; -9.729217; -2.318645
13254857326592; -4.874180; -8.563912; -2.244468
13254876200960; -4.807181; -8.365308; -2.632105
13254896123904; -4.764110; -7.401000; -2.665604
13254914998272; -4.529613; -5.596812; -1.409373
13254933872640; -5.379066; -5.039285; -3.735196
13254953795584; -5.051249; -6.508478; -1.162912
13254972669952; -3.620341; -5.824131; -0.133998
13254992592896; -3.084348; -3.845266; 1.651048
13255011467264; -3.704089; -3.235096; 0.559920
13255031390208; -4.208975; -1.804188; 1.473979
13255050264576; -2.919244; -4.469793; 1.658226
13255116324864; -1.538585; -2.053042; 0.129212
13255143587840; -1.897508; -0.772882; -1.158126
13255145684992; -1.897508; -0.772882; -1.158126
13255177142272; -1.093520; -1.562513; -0.303888
13255206502400; 0.643669; -2.646462; 0.401994
13255208599552; 0.643669; -2.646462; 0.401994
13255228522496; 1.871187; -4.515256; 0.301496
13255234813952; 2.687140; -5.223532; 0.756132
13255252639744; 3.742375; -8.327023; 1.560120
13255263125504; 5.486742; -10.322637; 2.299503
13255272562688; 5.486742; -10.322637; 2.299503
13255290388480; 5.613562; -11.385050; 1.691726
13255300874240; 6.250053; -13.409378; 1.452443
13255319748608; 8.621340; -13.210773; 2.801995
13255338622976; 8.554341; -13.598412; 4.357330
13255358545920; 9.887143; -16.407585; 5.740382
13255378468864; 9.245867; -15.275780; 6.214160
13255397343232; 8.374879; -14.888143; 5.812166
13255416217600; 7.360322; -15.780665; 6.070591
13255435091968; 6.240481; -15.759130; 7.384251
13255455014912; 5.917450; -16.345371; 8.432307
13255474937856; 6.295516; -14.861821; 11.621940
13255494860800; 5.615955; -21.647867; 10.717453
13255511638016; 7.154540; -16.855043; 9.990034
13255530512384; 5.888737; -11.387443; 10.332209
13255551483904; 6.934400; -13.330415; 9.968499
13255570358272; 6.920043; -14.912070; 6.204589
13255589232640; 6.374479; -15.909878; 7.085148
13255609155584; 6.563512; -12.605390; 6.482157
13255628029952; 5.833702; -9.458828; 4.326223
13255646904320; 5.505885; -7.601997; 3.299702
13255667875840; 5.388637; -6.575477; 5.659026
13255685701632; 4.867001; -6.101698; 6.082555
13255704576000; 4.352544; -6.345766; 6.396015
13255723450368; 4.079762; -5.611169; 4.610969
13255744421888; 3.610769; -4.881358; 2.392823
13255763296256; 3.364309; -4.749753; 0.468993
13255781122048; 3.081956; -4.271188; -0.433101
13255802093568; 2.591427; -4.479364; -1.634298
13255820967936; 2.165504; -2.876173; -0.593420
13255840890880; 2.127219; -2.079363; 1.354338
13255859765248; 2.493321; -3.354737; 0.720240
13255878639616; 2.447858; -4.429115; 0.050249
13255898562560; 1.986043; -2.455036; -1.529014
13255917436928; 1.770689; -0.540778; -2.270789
13255936311296; 2.275574; -1.225125; -2.440679
13255956234240; 3.175276; -4.785645; -3.077170
13255974060032; 3.448057; -4.910072; -4.912465
13255993982976; 4.594220; -6.300302; -7.429714
13256012857344; 6.357730; -7.063612; -7.838887
13256032780288; 6.888937; -10.669596; -8.530413
13256053751808; 6.668797; -11.782259; -9.430114
13256071577600; 7.211967; -13.792230; -9.901500
13256090451968; 8.578269; -15.335600; -9.434899
13256109326336; 7.539784; -16.414762; -10.360922
13256128200704; 6.068198; -17.438892; -11.320444
13256149172224; 6.065805; -17.381464; -12.122040
13256166998016; 6.005985; -16.931614; -12.222538
13256189018112; 4.709075; -16.132410; -11.471191
13256206843904; 3.046063; -15.469599; -11.327622
13256225718272; 3.244668; -16.689938; -12.100504
13256246689792; 2.419144; -17.280966; -11.526227
13256263467008; 0.574277; -17.178074; -10.346565
13256284438528; -1.270589; -16.718653; -10.186246
13256303312896; -1.986043; -15.012569; -11.552547
13256322187264; -4.053442; -15.036497; -9.602397
13256344207360; -5.393422; -14.797215; -7.968100
13256360984576; -6.092126; -11.416157; -8.822337
13256379858944; -6.381658; -12.528819; -7.707282
13256399781888; -5.434100; -10.664810; -7.987242
13256417607680; -4.744967; -9.272188; -6.632905
13256438579200; -3.196811; -5.977271; -5.278567
13256457453568; -4.701897; -5.996414; -1.701297
13256476327936; -4.783252; -10.770095; -3.708875
13256495202304; -4.275974; -6.518049; -4.144369
13256515125248; -4.644469; -5.142176; -3.649055
13256535048192; -5.089534; -3.952943; -3.139383
13256552873984; -5.924629; -4.204189; -4.208975
13256572796928; -6.183053; -3.364309; -3.639483
13256591671296; -5.350351; -3.122633; -3.060420
13256611594240; -4.627719; -2.199004; -2.581856
13256631517184; -4.311866; -1.500300; -3.125026
13256649342976; -4.532006; -3.194418; -2.053042
13256669265920; -3.802195; -5.996414; -0.026321
13256689188864; -1.457229; -10.877771; 3.565306
13256707014656; -1.617548; -6.324230; 1.758725
13256726937600; -3.701697; -0.646062; -0.177069
13256745811968; -4.405187; 0.569492; -0.811167
13256765734912; -3.330809; -2.670390; -0.380459
13256784609280; -1.172483; -5.302495; 0.863809
13256804532224; 0.327817; -4.563113; 0.830309
13256823406592; -0.459422; -3.713661; -0.976272
13256843329536; -0.361316; -4.862216; -1.196411
13256867446784; 1.229911; -8.939586; 0.033500
13256881078272; 2.947958; -9.655040; 1.387837
13256901001216; 2.577070; -8.441878; 1.107877
13256918827008; 3.469593; -7.386643; -0.224925
13256937701376; 5.446064; -13.978869; 0.153141
13256957624320; 7.259824; -15.751951; 1.696511
13256976498688; 6.072984; -13.411771; 2.311467
13256996421632; 6.080163; -10.121640; 1.828117
13257015296000; 8.556734; -13.861622; 1.852045
13257034170368; 9.138189; -18.508484; 3.670590
13257055141888; 7.613962; -15.529419; 4.998607
