time; x; y; z
13145652330496; -0.961915; 3.914658; 8.729017
13145652330496; -0.961915; 3.914658; 8.729017
13145658621952; -0.961915; 3.914658; 8.729017
13145667010560; -0.961915; 3.914658; 8.729017
13145669107712; -0.961915; 3.914658; 8.729017
13145674350592; -0.961915; 3.914658; 8.729017
13145715245056; -0.966700; 4.204189; 9.186047
13145718390784; -0.966700; 4.204189; 9.186047
13145730973696; -0.966700; 4.204189; 9.186047
13145738313728; -0.966700; 4.204189; 9.186047
13145747750912; -0.966700; 4.204189; 9.186047
13145750896640; -0.966700; 4.204189; 9.186047
13145816956928; -1.119841; 3.979264; 9.265009
13145844219904; -1.079163; 4.197011; 8.846265
13145846317056; -1.079163; 4.197011; 8.846265
13145863094272; -1.079163; 4.197011; 8.846265
13145874628608; -1.079163; 4.197011; 8.846265
13145877774336; -1.079163; 4.197011; 8.846265
13145895600128; -0.973879; 4.206582; 9.004191
13145927057408; -0.973879; 4.206582; 9.004191
13145956417536; -1.167697; 3.850052; 8.985049
13145963757568; -1.167697; 3.850052; 8.985049
13145982631936; -1.167697; 3.850052; 8.985049
13145983680512; -1.167697; 3.850052; 8.985049
13146026672128; -1.162912; 4.115655; 8.721839
13146046595072; -1.162912; 4.115655; 8.721839
13146064420864; -0.930808; 4.204189; 8.669196
13146068615168; -0.930808; 4.204189; 8.669196
13146074906624; -0.930808; 4.204189; 8.669196
13146077003776; -0.930808; 4.204189; 8.669196
13146094829568; -0.930808; 4.204189; 8.669196
13146097975296; -0.930808; 4.204189; 8.669196
13146118946816; -0.902094; 4.034299; 8.867801
13146130481152; -0.902094; 4.034299; 8.867801
13146133626880; -0.902094; 4.034299; 8.867801
13146143064064; -0.902094; 4.034299; 8.867801
13146171375616; -0.937986; 4.457829; 8.994620
13146177667072; -0.937986; 4.457829; 8.994620
13146183958528; -0.937986; 4.457829; 8.994620
13146190249984; -0.937986; 4.457829; 8.994620
13146202832896; -0.937986; 4.457829; 8.994620
13146213318656; -0.937986; 4.457829; 8.994620
13146242678784; -0.734597; 4.194618; 8.587840
13146253164544; -0.734597; 4.194618; 8.587840
13146309787648; -0.813560; 4.261617; 8.757730
13146315030528; -0.813560; 4.261617; 8.757730
13146317127680; -0.813560; 4.261617; 8.757730
13146322370560; -0.813560; 4.261617; 8.757730
13146393673728; -0.894916; 4.295116; 8.757730
13146406256640; -0.777667; 4.240082; 8.736196
13146408353792; -0.777667; 4.240082; 8.736196
13146433519616; -0.777667; 4.240082; 8.736196
13146442956800; -0.777667; 4.240082; 8.736196
13146448199680; -0.777667; 4.240082; 8.736196
13146467074048; -0.880559; 4.319045; 8.965906
13146479656960; -0.880559; 4.319045; 8.965906
13146489094144; -0.880559; 4.319045; 8.965906
13146495385600; -0.880559; 4.319045; 8.965906
13146507968512; -0.880559; 4.319045; 8.965906
13146521600000; -0.732204; 4.450650; 8.803194
13146557251584; -0.732204; 4.450650; 8.803194
13146558300160; -0.732204; 4.450650; 8.803194
13146563543040; -0.732204; 4.450650; 8.803194
13146580320256; -0.760918; 4.591826; 8.662018
13146589757440; -0.760918; 4.591826; 8.662018
13146595000320; -0.760918; 4.591826; 8.662018
13146619117568; -0.760918; 4.591826; 8.662018
13146627506176; -0.760918; 4.591826; 8.662018
13146636943360; -0.854238; 4.436293; 8.595019
13146651623424; -0.854238; 4.436293; 8.595019
13146665254912; -0.854238; 4.436293; 8.595019
13146676789248; -0.854238; 4.436293; 8.595019
13146692517888; -0.744168; 4.386044; 8.717052
13146699857920; -0.744168; 4.386044; 8.717052
13146704052224; -0.744168; 4.386044; 8.717052
13146705100800; -0.744168; 4.386044; 8.717052
13146709295104; -0.744168; 4.386044; 8.717052
13146710343680; -0.744168; 4.386044; 8.717052
13146717683712; -0.744168; 4.386044; 8.717052
13146733412352; -0.744168; 4.386044; 8.717052
13146734460928; -0.744168; 4.386044; 8.717052
13146735509504; -0.744168; 4.386044; 8.717052
13146755432448; -0.698704; 4.445865; 8.626125
13146768015360; -0.698704; 4.445865; 8.626125
13146797375488; -0.698704; 4.445865; 8.626125
13146801569792; -0.698704; 4.445865; 8.626125
13146803666944; -0.698704; 4.445865; 8.626125
13146821492736; -0.770489; 4.615755; 8.733803
13146835124224; -0.770489; 4.615755; 8.733803
13146836172800; -0.770489; 4.615755; 8.733803
13146878115840; -0.717847; 4.615755; 8.930014
13146884407296; -0.717847; 4.615755; 8.930014
13146890698752; -0.717847; 4.615755; 8.930014
13146892795904; -0.717847; 4.615755; 8.930014
13146894893056; -0.717847; 4.615755; 8.930014
13146904330240; -0.717847; 4.615755; 8.930014
13146945224704; 0.646062; 4.543970; 7.518249
13146956759040; 0.646062; 4.543970; 7.518249
13146958856192; 0.646062; 4.543970; 7.518249
13146960953344; 0.646062; 4.543970; 7.518249
13146971439104; 0.646062; 4.543970; 7.518249
13146981924864; -1.024128; 4.780859; 9.535398
13147041693696; -1.213161; 4.603791; 8.532805
13147060568064; -1.213161; 4.603791; 8.532805
13147077345280; -1.213161; 4.603791; 8.532805
13147083636736; -1.213161; 4.603791; 8.532805
13147090976768; -1.213161; 4.603791; 8.532805
13147111948288; -0.516850; 4.541577; 8.197810
13147185348608; -0.504886; 4.668397; 8.551949
13147202125824; -0.504886; 4.668397; 8.551949
13147216805888; -0.617348; 4.534399; 8.886943
13147236728832; -0.617348; 4.534399; 8.886943
13147249311744; -0.617348; 4.534399; 8.886943
13147250360320; -0.617348; 4.534399; 8.886943
13147416035328; -0.483350; 5.034499; 8.145168
13147421278208; -0.483350; 5.034499; 8.145168
13147448541184; -0.107677; 5.828916; 7.243074
13147449589760; -0.107677; 5.828916; 7.243074
13147456929792; -0.107677; 5.828916; 7.243074
13147461124096; -0.107677; 5.828916; 7.243074
13147490484224; -0.107677; 5.828916; 7.243074
13147510407168; 0.378066; 7.819745; 6.345766
