time; x; y; z
2803632177152; -1.064806; 5.436493; 6.690332
2803675430912; 0.337388; 4.912465; 7.135397
2803677265920; 0.337388; 4.912465; 7.135397
2803683819520; 0.337388; 4.912465; 7.135397
2803687751680; 0.337388; 4.912465; 7.135397
2803691945984; 0.337388; 4.912465; 7.135397
2803695878144; 0.337388; 4.912465; 7.135397
2803722878976; -0.148355; 4.359723; 8.085348
2803747258368; -0.148355; 4.359723; 8.085348
2803751452672; -0.148355; 4.359723; 8.085348
2803758530560; -0.148355; 4.359723; 8.085348
2803780812800; -0.624527; 5.075177; 8.642876
2803791822848; -0.624527; 5.075177; 8.642876
2803794706432; -0.624527; 5.075177; 8.642876
2803796541440; -0.624527; 5.075177; 8.642876
2803805716480; -0.624527; 5.075177; 8.642876
2803808337920; -0.624527; 5.075177; 8.642876
2803842154496; -0.287139; 5.611169; 7.999206
2803845300224; -0.287139; 5.611169; 7.999206
2803853426688; -0.287139; 5.611169; 7.999206
2803867058176; -0.287139; 5.611169; 7.999206
2803877543936; -0.287139; 5.611169; 7.999206
2803888029696; -0.485743; 6.704689; 7.472785
2803927875584; -0.485743; 6.704689; 7.472785
2803934167040; -0.969093; 7.604390; 6.453443
2803954352128; -0.969093; 7.604390; 6.453443
2803957235712; -0.969093; 7.604390; 6.453443
2803958284288; -0.969093; 7.604390; 6.453443
2803961692160; -0.969093; 7.604390; 6.453443
2803971391488; -0.969093; 7.604390; 6.453443
2803977945088; -0.969093; 7.604390; 6.453443
2804000489472; -2.596213; 6.474978; 5.144569
2804004683776; -2.596213; 6.474978; 5.144569
2804008091648; -2.596213; 6.474978; 5.144569
2804026179584; -2.596213; 6.474978; 5.144569
2804036403200; -3.081956; 3.742375; 4.867001
2804040859648; -3.081956; 3.742375; 4.867001
2804041908224; -3.081956; 3.742375; 4.867001
2804047675392; -3.081956; 3.742375; 4.867001
2804054228992; -3.081956; 3.742375; 4.867001
2804072316928; -3.081956; 3.742375; 4.867001
2804086210560; -1.902294; -1.411765; 5.156533
2804088307712; -1.902294; -1.411765; 5.156533
2804092239872; -1.902294; -1.411765; 5.156533
2804136017920; -0.607777; -8.547162; 6.010770
2804141785088; -0.607777; -8.547162; 6.010770
2804142571520; -0.607777; -8.547162; 6.010770
2804153843712; -0.607777; -8.547162; 6.010770
2804156989440; -0.607777; -8.547162; 6.010770
2804158824448; -0.607777; -8.547162; 6.010770
